Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"MEL.NZ, Long, 2025-12-02 (Price: 5.61)",Daily,No Exit Yet,5.72 (EMA 200),No Date Target,0.85%/1.9%,"1.78%, 2.1 months","2026-02-04 (Price: 5.71), 1.78% above",5.8563 (Historic Rise or Fall to Pivot)/5.8187 (Avg % Gain of Historic Winning trades)/5.84 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/5.8737 (Backtested Max)/5.7587 (Backtested Min),No Next Date Target,5.58/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/No EMA 200 Support,"77.78%, Past 4 years, 9",5.6,No Information,No Information,No Information,No Information,No Information,No Information,4.7%/2.65%/3.72%,"9.78%, 16.99%",23 days/1 day/11 days,4.59%,-3.26%,7.85%,0.12,-0.21,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-01-14 (Price: 5.63)",Daily,No Exit Yet,5.7116 (Backtested Min),No Date Target,0.35%/1.75%,"1.42%, 21 days","2026-02-04 (Price: 5.71), 1.42% above",5.8282 (Historic Rise or Fall to Pivot)/5.8349 (Avg % Gain of Historic Winning trades)/5.81 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/5.73 (EMA 200)/6.0224 (Backtested Max),2027-01-09 (Max)/2026-02-11 (Min)/2026-05-20 (Avg),5.55/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,"93.94%, Past 4 years, 33",5.61,No Information,No Information,No Information,No Information,No Information,1.42% above/1.42% above/1.42% above,6.97%/1.45%/3.64%,"6.51%, 16.22%",8.3 months/20 days/2.9 months,15.17%,1.53%,13.64%,0.66,0.09,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-12-12 (Price: 42.83)",Daily,No Exit Yet,No Price Target,2026-02-02 (Min),2.22%/5.19%,"0.58%, 1.8 month","2026-02-04 (Price: 43.08), 0.58% above",45.3141 (Historic Rise or Fall to Pivot)/46.5562 (Avg % Gain of Historic Winning trades)/54.53 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/47.6312 (Backtested Max)/44.0378 (Backtested Min),2029-05-16 (Max)/2027-02-10 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.48,"100.0%, Past 5 years, 16",43.17,No Information,No Information,No Information,"23.66% (Price: 42.2713), 1.91% above, Upmove Bounce Back","2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.7042 (F-Stack 2)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,8.96%,"15.71%, 3.9 years","2026-02-04 (Price: 43.08), 15.71% above",46.94 (Function Specific Target),No Next Date Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",35.775,No Information,No Information,No Information,No Information,No Information,15.71% above/15.71% above/15.71% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2025-06-30 (Price: 10.6)",Monthly,No Exit Yet,No Price Target,2026-02-06 (Min),11.47%/16.59%,"3.21%, 7.3 months","2026-02-04 (Price: 10.94), 3.21% above",12.1953 (Historic Rise or Fall to Pivot)/12.8642 (Avg % Gain of Historic Winning trades)/17.08 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.0433 (Backtested Max)/12.755 (Backtested Min),2027-10-12 (Max)/2026-02-06 (Min)/2027-01-24 (Avg),10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.71%, Past 31 years, 7",10.55,No Information,No Information,No Information,"38.2% (Price: 9.2141), 18.73% above, Upmove Bounce Back","2016-12-31 (Price: 2.5393), 2024-10-31 (Price: 13.34)",No Information,23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,8.62%,8.22%,0.4%,0.91,0.49,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2025-12-07 (Price: 11.78)",Weekly,No Exit Yet,No Price Target,2026-02-05 (Min),8.21%/9.0%,"-7.13%, 2 months","2026-02-04 (Price: 10.94), 7.13% below",12.839 (Historic Rise or Fall to Pivot)/12.6988 (Avg % Gain of Historic Winning trades)/14.34 (Function Specific Target)/11.925 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/15.5661 (Backtested Max)/11.8377 (Backtested Min),2027-07-03 (Max)/2026-02-05 (Min)/2026-06-29 (Avg),11.55/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.34,"100.0%, Past 10 years, 24",11.69,No Information,No Information,No Information,No Information,No Information,7.13% below/7.13% below/7.13% below,32.14%/0.49%/7.8%,"0%, 24.36%",1.1 year/1.4 month/4.7 months,9.48%,8.73%,0.75%,1.08,0.54,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2026-01-23 (Price: 149.09)",Daily,2026-02-02 (Price: 133.66),No Price Target,No Date Target,26.8%/29.31%,"-19.46%, 12 days","2026-02-04 (Price: 120.08), 19.46% below",158.751 (Historic Rise or Fall to Pivot)/155.2772 (Avg % Gain of Historic Winning trades)/157.01 (Function Specific Target)/209.885 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/184.35 (EMA 200)/159.6158 (Backtested Max)/152.2656 (Backtested Min),2026-04-11 (Max)/2026-02-09 (Avg),148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 4 years, 14",148.62,No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,3.12%,-2.75%,5.87%,0.03,-0.07,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-05-18 (Price: 197.98)",Weekly,No Exit Yet,No Price Target,2026-02-07 (Max),73.05%/77.14%,"-39.35%, 8.7 months","2026-02-04 (Price: 120.08), 39.35% below",212.7097 (Historic Rise or Fall to Pivot)/218.6887 (Avg % Gain of Historic Winning trades)/207.8 (Function Specific Target)/225.9867 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/252.9788 (Backtested Max),2026-02-07 (Max),155.11/125.3967/177.4966/151.1683/No F-Track Level/No F-Track Level/166.06,"91.67%, Past 10 years, 12",194.26,No Information,No Information,No Information,No Information,No Information,37.6% below/39.35% below/39.35% below,27.78%/4.77%/10.46%,"3.79%, 30.73%",6.1 months/1.2 month/3 months,9.28%,17.23%,-7.95%,0.91,0.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",Monthly,No Exit Yet,3.7478 (Backtested Min),No Date Target,4.44%/8.06%,"11.87%, 4.2 months","2026-02-04 (Price: 3.77), 11.87% above",3.9375 (Historic Rise or Fall to Pivot)/4.0737 (Avg % Gain of Historic Winning trades)/4.39 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.286 (Backtested Max),2026-06-22 (Max)/2026-05-05 (Min)/2026-05-18 (Avg),2.83/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.1,"100.0%, Past 20 years, 10",3.13,No Information,No Information,No Information,No Information,No Information,19.68% above/11.87% above/11.87% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",Monthly,No Exit Yet,3.77 (Backtested Min),No Date Target,5.06%/8.69%,"11.21%, 11.4 months","2026-02-04 (Price: 3.77), 11.21% above",3.9609 (Historic Rise or Fall to Pivot)/4.0978 (Avg % Gain of Historic Winning trades)/4.25 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.3114 (Backtested Max),No Next Date Target,2.83/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"100.0%, Past 20 years, 10",2.85,No Information,No Information,No Information,No Information,No Information,32.28% above/11.21% above/11.21% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2026-01-06 (Price: 12.41)",Daily,No Exit Yet,No Price Target,2026-02-06 (Avg),9.78%/10.73%,"-7.66%, 29 days","2026-02-04 (Price: 11.46), 7.66% below",13.0044 (Historic Rise or Fall to Pivot)/13.028 (Avg % Gain of Historic Winning trades)/12.69 (Function Specific Target)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.4698 (Backtested Max)/12.5813 (Backtested Min),2026-10-02 (Max)/2026-02-06 (Avg),11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.43,"94.44%, Past 4 years, 18",12.36,No Information,No Information,No Information,No Information,No Information,7.66% below/7.66% below/7.66% below,8.54%/1.38%/4.98%,"6.4%, 20.48%",6.2 months/4 days/22 days,16.06%,5.58%,10.48%,1.15,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-16 (Price: 12.25)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Max),10.09%/12.3%,"-6.45%, 2.7 months","2026-02-04 (Price: 11.46), 6.45% below",13.5301 (Historic Rise or Fall to Pivot)/13.0499 (Avg % Gain of Historic Winning trades)/12.87 (Function Specific Target)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.5595 (Backtested Max)/12.6163 (Backtested Min),2026-02-06 (Max),10.66/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.45,"90.91%, Past 10 years, 11",11.86,No Information,No Information,No Information,No Information,No Information,3.37% below/6.45% below/6.45% below,10.69%/2.99%/6.53%,"8.88%, 47.61%",1.9 month/28 days/1.4 month,-0.02%,11.46%,-11.48%,0.54,0.63,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"MSFT, Long, 2026-01-26 (Price: 470.28)",Daily,No Exit Yet,No Price Target,2026-02-03 (Min),17.84%/17.92%,"-12.56%, 8 days","2026-02-03 (Price: 411.21), 12.56% below",486.3636 (Historic Rise or Fall to Pivot)/484.9057 (Avg % Gain of Historic Winning trades)/494.69 (Function Specific Target)/554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/484.55 (EMA 200)/520.0356 (Backtested Max),2026-07-14 (Max)/2026-03-04 (Avg),444.11/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,"87.5%, Past 4 years, 32",465.31,No Information,No Information,No Information,No Information,No Information,12.56% below/12.56% below/12.56% below,10.58%/0.94%/3.11%,"6.45%, 26.99%",3.9 months/6 days/26 days,13.15%,14.47%,-1.32%,0.53,0.76,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2026-02-03 (Price: 78932.3281)",Daily,No Exit Yet,No Price Target,2026-02-05 (Min),2.55%/2.86%,"0.0%, 0 days","2026-02-03 (Price: 78932.3281), 0.0% below",81189.7927 (Historic Rise or Fall to Pivot)/83636.6949 (Avg % Gain of Historic Winning trades)/82413.24 (Function Specific Target)/124582.2656 (Horizontal)/136097.3501 (F-Stack 1)/176633.5152 (F-Stack 2)/103745.77 (EMA 200)/88167.4105 (Backtested Max)/80945.1025 (Backtested Min),2026-04-26 (Max)/2026-02-05 (Min)/2026-02-17 (Avg),76974.45/18304.4229/72214.6916/57447.2152/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 4 years, 15",78677.4453,No Information,No Information,No Information,No Information,No Information,No Information,11.7%/2.55%/5.96%,"26.18%, 26.18%",1.9 month/2 days/10 days,6.02%,14.76%,-8.74%,0.14,0.5,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"META, Long, 2026-01-26 (Price: 672.36)",Daily,No Exit Yet,No Price Target,2026-02-06 (Min),10.33%/25.93%,"-0.5%, 9 days","2026-02-04 (Price: 668.99), 0.5% below",738.1168 (Historic Rise or Fall to Pivot)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2),2026-08-09 (Max)/2026-02-06 (Min)/2026-03-09 (Avg),604.12/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"95.0%, Past 4 years, 20",665.13,No Information,No Information,No Information,No Information,No Information,1.55% above/0.5% below/0.5% below,7.24%/0.93%/3.71%,"13.49%, 60.2%",4.5 months/8 days/29 days,19.23%,15.29%,3.94%,0.63,0.7,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"SPY, Long, 2025-03-23 (Price: 563.98)",Weekly,No Exit Yet,691.72 (Function Specific Target),No Date Target,4.27%/19.32%,"21.67%, 10.6 months","2026-02-04 (Price: 686.19), 21.67% above",818.7862 (Avg % Gain of Historic Winning trades)/969.1148 (F-Stack 2)/949.5167 (Backtested Max)/715.465 (Backtested Min),2029-12-07 (Max)/2027-10-17 (Min)/2029-01-28 (Avg),562.81/321.605/415.8599/285.255/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",562.79,No Information,No Information,No Information,No Information,No Information,No Information,68.36%/26.86%/45.18%,"-0.0%, 21.14%",3.3 years/1.8 year/2.7 years,12.5%,8.26%,4.24%,1.34,0.55,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-01-26 (Price: 182.44)",Daily,No Exit Yet,No Price Target,2026-02-03 (Min),25.3%/31.53%,"-19.61%, 9 days","2026-02-04 (Price: 146.67), 19.61% below",202.0341 (Historic Rise or Fall to Pivot)/192.9121 (Avg % Gain of Historic Winning trades)/216.06 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/218.9 (EMA 200)/207.2883 (Backtested Max)/183.7718 (Backtested Min),2026-06-14 (Max)/2026-03-19 (Avg),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 17",179.1,No Information,No Information,No Information,No Information,No Information,17.21% below/19.61% below/19.61% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,20.9%,16.31%,4.59%,1.07,0.75,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-30 (Price: 151.77)",Daily,No Exit Yet,156.5052 (Backtested Max),No Date Target,14.4%/18.98%,"3.36%, 5 days","2026-02-04 (Price: 156.87), 3.36% above",179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2),2026-06-22 (Max)/2026-02-07 (Min)/2026-03-23 (Avg),138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",150.43,No Information,No Information,No Information,No Information,No Information,4.65% above/3.36% above/3.36% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,9.71%,2.06%,7.65%,0.36,0.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"RELIANCE.NS, Long, 2026-01-12 (Price: 1483.2)",Daily,No Exit Yet,No Price Target,2026-02-04 (Max),3.09%/4.7%,"-1.79%, 23 days","2026-02-04 (Price: 1456.7), 1.79% below",1536.5952 (Historic Rise or Fall to Pivot)/1525.1746 (Avg % Gain of Historic Winning trades)/1530.88 (Function Specific Target)/1531.725 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1552.4654 (Backtested Max)/1501.74 (Backtested Min),No Next Date Target,1470.6/1025.8126/1375.0525/1288.3015/No F-Track Level/No F-Track Level/1446.66,"72.73%, Past 4 years, 11",1475.3,No Information,No Information,No Information,No Information,No Information,No Information,4.67%/1.25%/2.83%,"6.81%, 6.81%",16 days/4 days/9 days,4.15%,6.83%,-2.68%,0.09,0.37,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2026-01-22 (Price: 113.21)",Daily,No Exit Yet,No Price Target,2026-02-02 (Min),6.62%/7.62%,"-5.44%, 13 days","2026-02-04 (Price: 107.05), 5.44% below",115.7346 (Historic Rise or Fall to Pivot)/117.2742 (Avg % Gain of Historic Winning trades)/115.21 (Function Specific Target)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/124.4404 (Backtested Max)/114.1383 (Backtested Min),2026-08-27 (Max)/2026-03-23 (Avg),110.34/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/111.22,"80.0%, Past 4 years, 15",113.17,No Information,No Information,No Information,No Information,No Information,5.42% below/5.44% below/5.44% below,9.92%/0.82%/3.59%,"37.38%, 50.6%",5 months/8 days/1.4 month,-16.64%,-4.09%,-12.55%,-0.07,-0.15,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"HDB, Long, 2026-01-25 (Price: 32.06)",Weekly,No Exit Yet,34.0926 (Backtested Min),No Date Target,6.6%/16.0%,"5.9%, 10 days","2026-02-04 (Price: 33.95), 5.9% above",52.6906 (Avg % Gain of Historic Winning trades)/40.92 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/36.19 (EMA 200)/101.9893 (Backtested Max),2035-03-16 (Max)/2027-08-21 (Min)/2029-08-20 (Avg),29.16/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",32.18,No Information,No Information,No Information,No Information,No Information,No Information,218.12%/6.34%/64.35%,"0%, 32.59%",6.4 years/1.1 year/2.5 years,16.45%,7.23%,9.22%,0.72,0.37,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-01-12 (Price: 936.95)",Daily,2026-02-04 (Price: 954.4) (Today),No Price Target,No Date Target,1.07%/1.59%,"1.86%, 23 days","2026-02-04 (Price: 954.4), 1.86% above",974.5217 (Historic Rise or Fall to Pivot)/964.59 (Avg % Gain of Historic Winning trades)/969.56 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/977.59 (EMA 200)/989.1381 (Backtested Max),2026-05-09 (Max)/2026-02-18 (Avg),878.85/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",937.5,No Information,No Information,No Information,No Information,No Information,No Information,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,5.13%,4.11%,1.02%,0.21,0.19,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2025-12-28 (Price: 129.16)",Weekly,No Exit Yet,No Price Target,2026-02-06 (Min),5.59%/6.25%,"0.94%, 1.3 month","2026-02-04 (Price: 130.37), 0.94% above",138.5241 (Historic Rise or Fall to Pivot)/137.6587 (Avg % Gain of Historic Winning trades)/146.24 (Function Specific Target)/152.0396 (F-Stack 2)/145.0725 (Backtested Max),2028-07-23 (Max)/2026-02-06 (Min)/2026-07-20 (Avg),81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/102.19,"90.0%, Past 10 years, 30",128.25,No Information,No Information,No Information,No Information,No Information,3.63% above/0.94% above/0.94% above,12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,7.49%,5.65%,1.84%,1.01,0.31,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
DELTADRIFT,"SPOT, Long, 2026-01-14 (Price: 528.92)",Daily,2026-02-04 (Price: 440.53) (Today),No Price Target,2026-02-03 (Avg),24.47%/24.82%,"-16.71%, 21 days","2026-02-04 (Price: 440.53), 16.71% below",549.8652 (Historic Rise or Fall to Pivot)/564.7279 (Avg % Gain of Historic Winning trades)/557.3 (Function Specific Target)/854.3544 (F-Stack 1)/896.959 (F-Stack 2)/647.54 (EMA 200)/600.1126 (Backtested Max)/548.3314 (Backtested Min),2026-03-11 (Max),503.3/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 4 years, 9",537.0,No Information,No Information,No Information,No Information,No Information,No Information,13.46%/3.67%/6.77%,"8.88%, 11.98%",1.3 month/1 day/14 days,11.53%,6.15%,5.38%,0.63,0.37,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"CNR.TO, Long, 2026-02-02 (Price: 130.79)",Daily,No Exit Yet,135.4854 (Backtested Min),No Date Target,0.47%/0.93%,"3.39%, 2 days","2026-02-04 (Price: 135.23), 3.39% above",136.4924 (Historic Rise or Fall to Pivot)/141.9595 (Avg % Gain of Historic Winning trades)/139.23 (Function Specific Target)/173.435 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/135.86 (EMA 200)/147.3742 (Backtested Max),2028-03-25 (Max)/2026-03-17 (Min)/2026-08-29 (Avg),128.08/127.536/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,"70.0%, Past 5 years, 10",137.0,No Information,No Information,No Information,No Information,No Information,No Information,12.68%/3.59%/8.54%,"6.58%, 16.7%",1.5 year/1 month/4.8 months,10.42%,-0.9%,11.32%,0.54,-0.19,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-30 (Price: 189.55)",Weekly,2026-02-01 (Price: 150.45),No Price Target,No Date Target,54.88%/55.06%,"-32.54%, 2.2 months","2026-02-04 (Price: 127.87), 32.54% below",198.2693 (Historic Rise or Fall to Pivot)/201.2452 (Avg % Gain of Historic Winning trades)/199.76 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/228.6 (EMA 200)/204.8846 (Backtested Max)/198.0418 (Backtested Min),2027-11-28 (Max)/2026-07-31 (Avg),163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",190.76,No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,5.14%,6.08%,-0.94%,1.52,0.34,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",Weekly,2026-02-04 (Price: 191.49) (Today),No Price Target,No Date Target,9.43%/12.71%,"16.14%, 1.5 month","2026-02-04 (Price: 191.49), 16.14% above",215.83 (Function Specific Target)/209.546 (Backtested Max),2026-06-30 (Max)/2026-02-11 (Min)/2026-04-12 (Avg),135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,"86.67%, Past 10 years, 30",163.7,No Information,No Information,No Information,No Information,No Information,16.14% above/16.14% above/16.14% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,3.49%,6.66%,-3.17%,0.68,0.35,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,2026-02-01 (Price: 162.25),No Price Target,No Date Target,13.03%/20.5%,"34.14%, 11.5 months","2026-02-04 (Price: 166.91), 34.14% above",188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Max),2030-06-06 (Max)/2026-04-03 (Min)/2028-01-01 (Avg),106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",125.91,No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,11.98%,7.53%,4.45%,1.22,0.44,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
DELTADRIFT,"INDA, Long, 2026-01-22 (Price: 51.8)",Daily,2026-02-02 (Price: 53.28),No Price Target,2026-02-04 (Avg),0.46%/0.47%,"3.17%, 13 days","2026-02-04 (Price: 53.44), 3.17% above",54.3641 (Historic Rise or Fall to Pivot)/53.71 (Function Specific Target)/55.3975 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/53.69 (EMA 200)/53.6855 (Backtested Max),2026-03-03 (Max),51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,"78.57%, Past 4 years, 14",51.72,No Information,No Information,No Information,No Information,No Information,No Information,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,5.73%,3.54%,2.19%,0.28,0.12,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
