"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"EFN.TO, Long, 2025-11-18 (Price: 35.05)",No Exit Yet,"6.22%, 4 days","90.38%, Past 5 years, 52","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-24 (Price: 37.23), 6.22% above",4 days,Upmove Bounce Back,23.66% (Price: 35.0387),6.25% above,"2025-02-03 (Price: 25.0), 2025-09-19 (Price: 38.15)",43.0%/0.86%/18.32%,"6.13%, 26.27%",1.1 year/26 days/3.9 months,2027-06-01/2025-12-25/2026-05-06,16.07%,24.1%,-8.03%,0.65,1.02,35.765/41.4712/42.94/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,34.92/11.7733/29.5041/111.5522/No F-Track Level/No F-Track Level/33.46,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"ORCL, Long, 2025-11-18 (Price: 220.49)",No Exit Yet,"-9.17%, 4 days","100.0%, Past 5 years, 42","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-24 (Price: 200.28), 9.17% below",4 days,Upmove Bounce Back,50% (Price: 213.88),6.36% below,"2023-03-13 (Price: 82.04), 2025-09-10 (Price: 345.72)",248.14%/1.62%/42.03%,"-0.0%, 41.08%",1.9 year/10 days/5.8 months,2028-07-15/2025-12-02/2026-07-26,19.17%,35.11%,-15.94%,0.45,1.1,222.0775/313.1619/378.7/No Horizontal Resistance/300.069/376.1425/No Moving Avg Target,217.57/82.7925/208.7793/167.1709/No F-Track Level/No F-Track Level/210.71,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"BYD.TO, Long, 2025-11-16 (Price: 217.11)",No Exit Yet,"1.97%, 9 days","97.06%, Past 20 years, 34","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2025-11-25 (Price: 221.38), 1.97% above",9 days,Upmove Bounce Back,88.6% (Price: 205.401),7.78% above,"2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",1975.56%/0.56%/388.21%,"1.41%, 39.64%",5.2 years/3.6 months/1.8 year,2033-03-31/2026-04-22/2028-06-17,16.37%,23.47%,-7.1%,0.29,0.79,223.9055/1059.9527/252.85/256.6133/367.2583/388.6839/No Moving Avg Target,209.51/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level/216.24,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"GNE.NZ, Long, 2025-11-05 (Price: 2.53)",2025-11-20 (Price: 2.47),"-2.37%, 15 days","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-25 (Price: 2.45), 3.16% below",20 days,Upmove Bounce Back,23.66% (Price: 2.4547),0.19% below,"2025-04-07 (Price: 2.115), 2025-10-15 (Price: 2.56)",6.64%/0.44%/3.91%,"7.43%, 9.96%",4.8 months/1.2 month/2.6 months,2026-06-03/2025-12-27/2026-02-24,1.92%,-3.81%,5.72%,0.03,-0.29,2.548/2.6289/2.8/3.575/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,2.33/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.33,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"EFN.TO, Long, 2025-11-05 (Price: 37.65)",2025-11-18 (Price: 35.05),"-6.91%, 13 days","90.38%, Past 5 years, 52","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-24 (Price: 37.23), 1.12% below",19 days,Upmove Bounce Back,38.2% (Price: 37.1637),0.18% above,"2025-09-30 (Price: 35.39), 2025-10-28 (Price: 38.26)",43.0%/0.86%/18.32%,"6.13%, 26.27%",1.1 year/26 days/3.9 months,2027-05-19/2025-12-12/2026-04-23,16.07%,24.1%,-8.03%,0.65,1.02,38.4181/44.5475/39.37/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,37.08/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/33.46,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"BRK-B, Long, 2025-10-31 (Price: 477.54)",No Exit Yet,"6.34%, 25 days","92.31%, Past 29 years, 26","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 507.81), 6.34% above",25 days,Upmove Bounce Back,23.66% (Price: 451.5539),12.46% above,"2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",204.24%/9.94%/55.24%,"11.32%, 45.86%",8.7 years/7.9 months/2.4 years,2038-03-31/2026-10-10/2029-04-17,5.06%,11.04%,-5.98%,0.48,0.46,510.2992/741.3331/707.08/488.245/630.85/709.9376/496.99,267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"ASML, Long, 2025-10-31 (Price: 1059.23)",No Exit Yet,"-6.74%, 25 days","90.0%, Past 30 years, 30","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 987.82), 6.74% below",25 days,Upmove Bounce Back,38.2% (Price: 692.3064),42.69% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",569.94%/9.57%/122.25%,"6.56%, 50.14%",6.2 years/5.8 months/1.6 year,2034-09-18/2026-07-08/2028-02-28,10.68%,20.11%,-9.43%,0.34,0.62,1116.6403/2354.1387/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No Moving Avg Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/799.54,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"SJ.TO, Long, 2025-10-31 (Price: 79.61)",No Exit Yet,"5.74%, 25 days","100.0%, Past 31 years, 16","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 84.18), 5.74% above",25 days,Upmove Bounce Back,23.66% (Price: 74.8871),12.41% above,"1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",7355.0%/9.52%/1157.17%,"-0.0%, 70.23%",10.3 years/5.1 months/3.5 years,2040-07-27/2026-06-09/2030-10-03,13.79%,17.66%,-3.88%,0.26,0.62,88.7492/1000.833/138.22/84.3925/95.0177/123.2166/No Moving Avg Target,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/75.38,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IFT.NZ, Long, 2025-10-17 (Price: 12.43)",2025-11-18 (Price: 11.6),"-6.68%, 1.1 month","88.64%, Past 5 years, 44","Daily, was CONFIRMED on 2025-10-17",Already confirmed,"2025-11-25 (Price: 11.78), 5.23% below",1.3 month,Upmove Bounce Back,23.66% (Price: 11.9317),1.27% below,"2025-04-07 (Price: 9.13), 2025-09-12 (Price: 12.8)",49.32%/1.62%/13.7%,"0.96%, 15.98%",2.4 years/14 days/6.7 months,2029-02-24/2025-11-06/2026-08-02,8.65%,17.61%,-8.96%,0.54,0.71,12.6475/14.1329/14.63/No Horizontal Resistance/18.927/29.733/No Moving Avg Target,11.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.32,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SOXX, Long, 2025-06-30 (Price: 238.7)",2025-10-31 (Price: 306.55),"28.42%, 4.1 months","100.0%, Past 24 years, 20","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-11-25 (Price: 282.7), 18.43% above",4.9 months,Upmove Bounce Back,50% (Price: 145.7634),93.94% above,"2015-08-31 (Price: 24.2867), 2024-07-31 (Price: 267.24)",232.86%/6.72%/83.33%,"-0.0%, 59.88%",7.9 years/8.0 months/2.7 years,2036-10-13/2026-06-11/2029-05-03,6.92%,10.69%,-3.77%,0.53,0.39,278.5629/437.6087/384.47/239.6067/254.997/285.4342/No Moving Avg Target,183.84/95.6666/226.8328/161.2/No F-Track Level/No F-Track Level/234.83,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"GBPSGD=X, Long, 2025-03-31 (Price: 1.7372)",2025-10-31 (Price: 1.7102),"-1.55%, 7.1 months","75.0%, Past 55 years, 8","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-11-25 (Price: 1.7073), 1.72% below",8.0 months,Upmove Bounce Back,23.66% (Price: 1.6865),1.23% above,"2022-09-30 (Price: 1.4895), 2024-07-31 (Price: 1.7475)",5.36%/5.36%/5.36%,"4.45%, 10.09%",2.2 years/2.2 years/2.2 years,2028-05-06/2028-05-06/2028-05-06,-0.14%,-2.54%,2.41%,-0.04,-0.98,1.6974/1.8303/1.89/1.879/4.0285/5.5304/No Moving Avg Target,1.68/1.6718/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.73,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"EWJ, Long, 2025-03-31 (Price: 68.56)",2025-10-31 (Price: 83.45),"21.72%, 7.1 months","92.86%, Past 29 years, 28","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-11-25 (Price: 81.74), 19.22% above",8.0 months,Upmove Bounce Back,38.2% (Price: 63.4608),28.8% above,"2022-10-31 (Price: 47.64), 2024-09-30 (Price: 73.24)",34.52%/2.11%/14.26%,"13.86%, 50.07%",11.1 years/5.8 months/2.3 years,2041-02-10/2025-12-06/2028-06-17,2.48%,0.95%,1.53%,0.36,-0.11,70.7471/78.3367/83.92/73.68/83.4752/89.1379/75.03,67.1/53.98/52.3436/42.1436/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"RHHBY, Long, 2024-12-31 (Price: 34.88)",2025-11-25 (Price: 47.59) (Today),"36.44%, 11.0 months","100.0%, Past 24 years, 9","Quarterly, was CONFIRMED on 2024-12-31",Already confirmed,"2025-11-25 (Price: 47.59), 36.44% above",11.0 months,Upmove Bounce Back,88.6% (Price: 29.4418),61.64% above,"2018-06-30 (Price: 26.3), 2022-06-30 (Price: 53.86)",15.79%/12.77%/14.28%,"-0.0%, 30.62%",4.7 years/4.2 years/4.4 years,2031-09-21/2030-12-12/2031-05-02,2.03%,6.19%,-4.16%,0.46,0.19,34.1824/39.8609/51.42/52.46/58.6089/65.2057/41.23,31.92/34.87/31.0544/130.7472/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"META, Short, 2025-11-25 (Price: 613.05)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-07",No Cancellation Possible,"2025-11-25 (Price: 613.05), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 628.6993),2.49% below,"2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",32.63%/3.19%/11.97%,"-0.0%, 32.63%",2.2 months/20 days/1.2 month,2026-02-27/2025-12-23/2026-01-17,94.49%,5.3%,89.19%,0.68,0.8,547.9441/539.6679/188.15/280.19/591.2141/491.5059/No Moving Avg Target,773.44/280.19/591.2141/491.5059/628.6993/525.7329/674.28,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"SFTBY, Short, 2025-11-25 (Price: 56.26)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-11-25 (Price: 56.26), 0.0% below",0 days,Upmove Break Below,38.2% (Price: 59.121),4.84% below,"2016-03-31 (Price: 9.165), 2025-11-25 (Price: 90.0)",22.05%/16.72%/18.57%,"0%, 22.05%",6.5 months/2.2 months/3.3 months,2026-09-03/2026-02-27/2026-04-15,14.54%,5.4%,9.14%,7.65,0.48,60.637/45.8125/7.76/16.82/48.0625/43.9946/42.8,63.3/16.82/48.0625/43.9946/53.39/44.75/No Moving Avg Support,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
"KWEB, Short, 2025-11-25 (Price: 37.52)",No Exit Yet,"-0.0%, 0 days","88.89%, Past 12 years, 9","Monthly, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-25 (Price: 37.52), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 37.1791),0.92% above,"2022-10-31 (Price: 17.22), 2025-10-31 (Price: 43.365)",10.4%/3.11%/6.98%,"19.33%, 16.82%",2.2 months/21 days/1.2 month,2026-02-28/2025-12-25/2026-01-16,21.98%,5.3%,16.68%,0.3,0.14,34.4884/34.9011/21.83/24.5062/No F-Stack Support/No F-Stack Support/36.24,42.01/24.5062/No F-Stack Support/No F-Stack Support/39.3865/41.3508/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"NFLX, Short, 2025-11-25 (Price: 106.97)",No Exit Yet,"-0.0%, 0 days","87.5%, Past 23 years, 16","Monthly, was CONFIRMED on 2025-11-24",No Cancellation Possible,"2025-11-25 (Price: 106.97), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 106.2331),0.69% above,"2022-05-31 (Price: 16.271), 2025-06-30 (Price: 134.115)",51.8%/3.55%/19.68%,"21.42%, 51.8%",2.1 months/20 days/27 days,2026-02-25/2025-12-23/2026-01-03,107.65%,5.4%,102.25%,0.58,0.92,196.9746/85.9183/36.26/34.8663/101.6781/77.3488/No Moving Avg Target,133.91/34.8663/101.6781/77.3488/106.2331/89.0986/113.33,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"NFLX, Short, 2025-11-25 (Price: 106.97)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 23 years, 7","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-11-25 (Price: 106.97), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 106.2331),0.69% above,"2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",57.17%/10.52%/34.09%,"-0.0%, 57.17%",2.2 months/2.2 months/2.2 months,2026-02-28/2026-02-27/2026-02-27,106.75%,5.4%,101.35%,1.28,0.89,205.6819/70.5039/36.26/34.8663/101.6781/77.3488/No Moving Avg Target,133.91/34.8663/101.6781/77.3488/106.2331/89.0986/113.33,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
"SPOT, Short, 2025-11-23 (Price: 583.61)",No Exit Yet,"-0.23%, 1 day","87.5%, Past 7 years, 16","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-25 (Price: 584.98), 0.23% above",1 day,Upmove Break Below,23.66% (Price: 615.6618),4.98% below,"2022-11-06 (Price: 69.285), 2025-06-29 (Price: 785.0)",11.53%/3.99%/7.19%,"16.98%, 11.53%",1.1 month/4 days/9 days,2026-01-11/2025-11-28/2025-12-06,38.54%,5.2%,33.34%,0.12,0.66,576.7234/541.6484/154.18/118.6/552.6195/456.7863/No Moving Avg Target,734.92/118.6/552.6195/456.7863/No F-Track Level/No F-Track Level/653.3,50.0%/6/1.1 month (Across ALL Assets),46.15%/13/24 days (Across ALL Assets)
"ETH-USD, Short, 2025-10-31 (Price: 3847.0803)",2025-11-25 (Price: 2893.1487) (Today),"24.8%, 25 days","90.0%, Past 10 years, 10","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 2893.1487), 24.8% below",25 days,Upmove Break Below,23.66% (Price: 3801.2773),23.89% below,"2018-12-31 (Price: 82.8299), 2025-08-31 (Price: 4953.7329)",32.85%/5.87%/20.42%,"38.7%, 32.85%",1.4 month/21 days/25 days,2026-01-01/2025-11-30/2025-12-06,120.83%,5.2%,115.63%,0.39,0.97,3818.9966/3061.5065/924.54/1370.4997/3454.2267/2637.9184/3511.59,4390.02/1370.4997/3454.2267/2637.9184/No F-Track Level/No F-Track Level/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"WPM, Short, 2025-10-31 (Price: 96.52)",No Exit Yet,"-6.39%, 25 days","100.0%, Past 20 years, 16","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 102.69), 6.39% above",25 days,Upmove Break Below,23.66% (Price: 96.3808),6.55% above,"2023-10-31 (Price: 38.37), 2025-10-31 (Price: 114.36)",24.39%/3.3%/9.68%,"0.0%, 24.39%",2.2 months/20 days/1.1 month,2026-02-02/2025-11-28/2025-12-16,70.35%,5.4%,64.95%,0.87,0.57,100.014/87.1769/50.93/38.3375/85.7049/76.3674/89.9,111.84/38.3375/85.7049/76.3674/No F-Track Level/No F-Track Level/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"ETH-USD, Short, 2025-09-30 (Price: 4145.9575)",2025-10-31 (Price: 3847.0803),"7.21%, 1.0 month","90.0%, Past 10 years, 10","Monthly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-11-25 (Price: 2893.1487), 30.22% below",1.9 month,Upmove Break Below,23.66% (Price: 3993.6991),27.56% below,"2022-06-30 (Price: 896.109), 2025-08-31 (Price: 4953.7329)",32.85%/5.87%/20.42%,"38.7%, 32.85%",1.4 month/21 days/25 days,2025-12-01/2025-10-30/2025-11-05,120.83%,5.2%,115.63%,0.39,0.97,4115.692/3299.353/1711.38/1370.4997/3929.1537/3454.2267/3511.59,4390.02/1370.4997/3929.1537/3454.2267/No F-Track Level/No F-Track Level/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
