"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"DBC, Long, 2026-01-23 (Price: 24.18)",2026-01-29 (Price: 25.3),"4.63%, 6 days","75.0%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-02 (Price: 23.54), 2.65% below",10 days,"8, 2025-06-27 (Price: 21.8)",2026-01-22 (Price: 23.74),2026-01-23 (Price: 24.18),11/10/10 days,0.84% below/2.65% below/2.65% below,2025-06-27 (Price: 22.3146)/2026-01-23 (Price: 23.7352),5.33%/0.57%/2.1%,"7.94%, 13.15%",3.3 months/6 days/22 days,2026-06-15/2026-01-31/2026-02-23,5.64%,4.38%,1.26%,0.13,0.2,24.8546/24.6878/25.61/28.58/60.6441/65.878/No EMA 200 Target,22.36/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.23,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),24.05
"ENZL, Long, 2026-01-23 (Price: 46.62)",2026-01-29 (Price: 47.23),"1.31%, 6 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-02 (Price: 47.1177), 1.07% above",10 days,"0, 2024-04-08 (Price: 45.41)",2026-01-21 (Price: 46.11),2026-01-23 (Price: 46.62),12/10/10 days,2.19% above/1.07% above/1.07% above,2024-04-08 (Price: 52.3531)/2026-01-23 (Price: 45.9134),5.17%/0.29%/1.92%,"10.32%, 33.2%",1.9 month/8 days/20 days,2026-04-15/2026-02-03/2026-02-20,-5.23%,-2.63%,-2.6%,0.15,-0.23,46.9184/47.5151/47.35/65.1933/79.7363/84.688/No EMA 200 Target,44.64/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.34,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),46.49
"GILD, Long, 2026-01-23 (Price: 135.93)",2026-01-30 (Price: 141.95),"4.43%, 7 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-02 (Price: 142.89), 5.12% above",10 days,"2, 2025-11-20 (Price: 124.99)",2026-01-21 (Price: 129.11),2026-01-23 (Price: 135.93),12/10/10 days,10.67% above/5.12% above/5.12% above,2025-11-20 (Price: 128.9345)/2026-01-23 (Price: 124.5918),8.4%/1.52%/3.99%,"5.96%, 27.45%",3.3 months/7 days/1.1 month,2026-06-15/2026-02-02/2026-03-11,10.05%,7.71%,2.34%,1.26,0.4,141.9789/141.3536/142.49/No Horizontal Resistance/146.167/154.7608/No EMA 200 Target,118.3/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/114.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),131.26
"EFA, Long, 2026-01-12 (Price: 99.41)",2026-01-29 (Price: 101.69),"2.29%, 17 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-02-02 (Price: 101.4), 2.0% above",21 days,"0, 2024-03-26 (Price: 79.56)",2026-01-09 (Price: 98.81),2026-01-12 (Price: 99.41),24/21/21 days,2.62% above/2.0% above/2.0% above,2024-03-26 (Price: 79.0752)/2026-01-12 (Price: 98.4085),2.11%/0.62%/1.31%,"18.28%, 30.28%",1.3 month/4 days/15 days,2026-03-09/2026-01-17/2026-02-02,0.47%,3.77%,-3.3%,-0.12,0.15,102.6607/100.7123/111.32/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,94.15/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/90.58,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),99.15
"NVO, Long, 2026-01-04 (Price: 52.39)",2026-02-01 (Price: 59.43),"13.44%, 28 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-02 (Price: 58.93), 12.48% above",1 month,"2, 2025-03-02 (Price: 90.65)",2025-12-28 (Price: 52.4),2026-01-04 (Price: 52.39),36/29/29 days,12.46% above/12.48% above/12.48% above,2025-03-02 (Price: 95.0201)/2026-01-04 (Price: 47.1478),20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),51.56
"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"17.11%, 1.1 month","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-02 (Price: 352.69), 17.11% above",1.1 month,"6, 2015-06-30 (Price: 30.6967)",2025-12-31 (Price: 301.15),2025-12-31 (Price: 301.15),33/33/33 days,17.11% above/17.11% above/17.11% above,2015-06-30 (Price: 22.1158)/2025-12-31 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),269.38
"BDGI.TO, Long, 2025-12-31 (Price: 73.13)",No Exit Yet,"0.85%, 1.1 month","100.0%, Past 33 years, 6","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-02 (Price: 73.75), 0.85% above",1.1 month,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-31 (Price: 73.13),125/33/33 days,20.15% above/0.85% above/0.85% above,2018-06-30 (Price: 49.0339)/2025-12-31 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-26/2027-11-08/2028-04-13,16.49%,8.5%,7.99%,0.7,0.42,150.8453/189.2824/98.01/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,26.66/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/55.48,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),61.31
"GLD, Long, 2025-12-28 (Price: 416.74)",2026-02-03 (Price: 427.13),"2.49%, 1.2 month","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-02 (Price: 427.13), 2.49% above",1.2 month,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-28 (Price: 416.74),43/36/36 days,7.04% above/2.49% above/2.49% above,2024-08-11 (Price: 229.74)/2025-12-28 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-29/2026-02-06/2026-05-20,4.9%,5.02%,-0.12%,1.33,0.26,443.9948/441.8694/532.05/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,236.59/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/330.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),406.98
"GS, Long, 2025-12-28 (Price: 907.04)",2026-02-01 (Price: 935.41),"3.13%, 1.2 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-02 (Price: 946.33), 4.33% above",1.2 month,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-28 (Price: 907.04),50/36/36 days,6.57% above/4.33% above/4.33% above,2024-08-11 (Price: 536.6316)/2025-12-28 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),896.52
"WPM, Long, 2025-12-28 (Price: 124.22)",2026-02-03 (Price: 132.21),"6.43%, 1.2 month","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-02 (Price: 132.21), 6.43% above",1.2 month,"6, 2024-08-11 (Price: 55.81)",2025-12-21 (Price: 119.7),2025-12-28 (Price: 124.22),43/36/36 days,10.45% above/6.43% above/6.43% above,2024-08-11 (Price: 58.517)/2025-12-28 (Price: 119.4562),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-28/2026-02-06/2026-03-07,5.32%,5.11%,0.21%,0.63,0.29,134.2694/137.0643/165.27/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/94.77,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),122.33
"WPM.TO, Long, 2025-12-21 (Price: 164.88)",2026-02-03 (Price: 180.59),"9.53%, 1.5 month","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-02 (Price: 180.59), 9.53% above",1.5 month,"6, 2024-08-04 (Price: 79.97)",2025-12-21 (Price: 164.88),2025-12-21 (Price: 164.88),43/43/43 days,9.53% above/9.53% above/9.53% above,2024-08-04 (Price: 79.878)/2025-12-21 (Price: 162.5546),27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-30/2026-02-11/2026-04-12,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),163.7
"RHHBY, Long, 2025-12-21 (Price: 51.2)",2026-02-03 (Price: 57.12),"11.56%, 1.5 month","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-02 (Price: 57.12), 11.56% above",1.5 month,"2, 2025-07-06 (Price: 40.44)",2025-12-14 (Price: 50.04),2025-12-21 (Price: 51.2),50/43/43 days,14.15% above/11.56% above/11.56% above,2025-07-06 (Price: 40.6429)/2025-12-21 (Price: 49.0534),18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-07/2026-02-11/2026-07-04,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/41.95,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),50.25
"UPS, Long, 2025-12-21 (Price: 101.92)",2026-02-03 (Price: 110.27),"8.19%, 1.5 month","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-02 (Price: 110.27), 8.19% above",1.5 month,"2, 2025-07-06 (Price: 104.13)",2025-12-14 (Price: 100.92),2025-12-21 (Price: 101.92),50/43/43 days,9.26% above/8.19% above/8.19% above,2025-07-06 (Price: 106.46)/2025-12-21 (Price: 98.1447),11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-02-19/2026-01-30/2026-06-15,6.24%,1.27%,4.97%,0.28,0.02,98.9439/109.7678/103.25/221.2667/228.7501/295.6013/No EMA 200 Target,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.71,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),101.0
"BNS.TO, Long, 2025-12-07 (Price: 99.26)",2026-02-03 (Price: 102.8),"3.57%, 1.9 month","100.0%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2026-02-02 (Price: 102.8), 3.57% above",1.9 month,"2, 2024-10-13 (Price: 72.18)",2025-11-30 (Price: 96.94),2025-12-07 (Price: 99.26),64/57/57 days,6.04% above/3.57% above/3.57% above,2024-10-13 (Price: 75.69)/2025-12-07 (Price: 94.2113),12.4%/0.79%/4.02%,"0%, 33.13%",1.1 year/28 days/3.2 months,2027-07-03/2026-01-16/2026-04-25,7.58%,2.54%,5.04%,1.18,0.04,103.8557/103.2503/115.51/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,63.97/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/79.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),96.69
"^BVSP, Long, 2025-11-16 (Price: 157739.0)",2026-01-25 (Price: 178859.0),"13.39%, 2.3 months","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2026-02-02 (Price: 182793.4062), 15.88% above",2.6 months,"2, 2025-03-09 (Price: 125035.0)",2025-11-09 (Price: 154064.0),2025-11-16 (Price: 157739.0),85/78/78 days,18.65% above/15.88% above/15.88% above,2025-03-09 (Price: 133240.6247)/2025-11-16 (Price: 150914.5932),10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-06-12/2025-12-26/2026-04-12,7.52%,4.03%,3.49%,2.1,0.18,165058.0896/166588.1579/177361.4/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/136771.08,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),154061.0
"XLE, Long, 2025-10-26 (Price: 44.035)",2026-01-25 (Price: 49.19),"11.71%, 3 months","72.22%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-02-02 (Price: 50.05), 13.66% above",3.3 months,"4, 2024-11-24 (Price: 48.635)",2025-10-19 (Price: 42.99),2025-10-26 (Price: 44.035),106/99/99 days,16.42% above/13.66% above/13.66% above,2024-11-24 (Price: 49.2193)/2025-10-26 (Price: 42.658),16.62%/0.85%/7.33%,"27.58%, 58.07%",7.9 months/28 days/2.5 months,2026-10-04/2025-12-05/2026-02-11,4.71%,1.43%,3.28%,-0.1,0.05,47.4081/47.2628/46.79/49.2225/53.4428/58.8712/No EMA 200 Target,42.61/22.8475/37.0707/26.9521/No F-Track Level/No F-Track Level/43.51,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),43.065
"TSM, Long, 2025-10-05 (Price: 292.19)",2026-01-25 (Price: 334.87),"14.61%, 3.7 months","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2026-02-02 (Price: 341.36), 16.83% above",4 months,"4, 2024-07-14 (Price: 187.35)",2025-09-21 (Price: 264.87),2025-10-05 (Price: 292.19),134/120/120 days,28.88% above/16.83% above/16.83% above,2024-07-14 (Price: 196.0675)/2025-10-05 (Price: 261.0645),24.83%/4.38%/11.82%,"-0.0%, 31.75%",8.9 months/28 days/3.4 months,2026-10-26/2025-11-14/2026-03-01,13.85%,15.73%,-1.88%,1.66,0.83,333.0089/326.7269/355.09/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,146.8/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/209.36,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),276.49
"ATZ.TO, Long, 2025-09-30 (Price: 84.18)",2026-02-03 (Price: 114.34),"35.83%, 4.2 months","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-02-02 (Price: 114.34), 35.83% above",4.2 months,"0, 2020-09-30 (Price: 17.43)",2025-08-31 (Price: 82.22),2025-09-30 (Price: 84.18),155/125/125 days,39.07% above/35.83% above/35.83% above,2020-09-30 (Price: 54.9511)/2025-09-30 (Price: 76.2844),9.72%/9.72%/9.72%,"-0.0%, 27.64%",7.1 months/7.1 months/7.1 months,2026-08-04 (Max),13.41%,14.86%,-1.45%,1.61,0.68,145.2947/92.3623/124.23/No Horizontal Resistance/99.4929/119.4832/No EMA 200 Target,21.57/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/65.85,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),80.71
"XIU.TO, Long, 2025-08-31 (Price: 42.76)",2026-01-31 (Price: 46.9),"9.68%, 5.1 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-02 (Price: 47.33), 10.69% above",5.2 months,"0, 2020-08-31 (Price: 24.88)",2025-08-31 (Price: 42.76),2025-08-29 (Price: 42.76),155/157/155 days,10.69% above/10.69% above/10.69% above,2020-08-31 (Price: 30.7492)/2025-08-31 (Price: 40.7124),12.69%/8.05%/10.4%,"6.95%, 19.49%",1.2 year/4 months/8.4 months,2027-05-18/2026-02-20/2026-08-31,6.01%,3.56%,2.45%,0.45,0.12,47.0446/47.207/53.49/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/38.98,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),40.71
"QQQ, Long, 2025-08-31 (Price: 570.4)",2026-01-31 (Price: 621.87),"9.02%, 5.1 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-02 (Price: 626.14), 9.77% above",5.2 months,"0, 2020-08-31 (Price: 294.88)",2025-08-31 (Price: 570.4),2025-08-29 (Price: 570.4),155/157/155 days,9.77% above/9.77% above/9.77% above,2020-08-31 (Price: 357.9023)/2025-08-31 (Price: 561.1331),16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,2026-11-17/2026-04-05/2026-07-18,8.4%,6.82%,1.58%,1.2,0.37,649.1722/640.3881/735.71/No Horizontal Resistance/610.7303/836.2536/No EMA 200 Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),558.83
"GS, Long, 2025-08-31 (Price: 745.25)",2026-02-03 (Price: 946.33),"26.98%, 5.2 months","100.0%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-02 (Price: 946.33), 26.98% above",5.2 months,"10, 2019-10-31 (Price: 213.38)",2025-06-30 (Price: 707.75),2025-08-31 (Price: 745.25),217/155/155 days,33.71% above/26.98% above/26.98% above,2019-10-31 (Price: 280.0331)/2025-08-31 (Price: 603.5427),53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-03-26/2026-02-20/2027-03-27,10.95%,5.86%,5.09%,1.01,0.3,898.0263/959.882/1064.37/No Horizontal Resistance/794.5775/931.1482/No EMA 200 Target,303.61/288.555/634.5288/521.2487/No F-Track Level/No F-Track Level/618.35,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),710.51
"VGT, Long, 2025-08-31 (Price: 697.02)",2026-01-31 (Price: 747.92),"7.3%, 5.1 months","100.0%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-02 (Price: 753.05), 8.04% above",5.2 months,"0, 2020-08-31 (Price: 328.15)",2025-08-31 (Price: 697.02),2025-08-29 (Price: 697.02),155/157/155 days,8.04% above/8.04% above/8.04% above,2020-08-31 (Price: 388.487)/2025-08-31 (Price: 683.1357),27.2%/4.39%/15.02%,"-0.0%, 51.21%",1.4 year/4.1 months/8 months,2027-08-29/2026-02-23/2026-08-13,6.44%,9.1%,-2.66%,1.52,0.57,820.1137/801.7124/918.34/No Horizontal Resistance/702.1644/946.1588/No EMA 200 Target,542.38/311.83/626.0547/551.3644/No F-Track Level/No F-Track Level/618.84,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),683.16
"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-03 (Price: 246.27),"39.68%, 6.2 months","100.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-02-02 (Price: 246.27), 39.68% above",6.2 months,"2, 2024-03-31 (Price: 180.49)",2025-05-31 (Price: 110.73),2025-07-31 (Price: 176.31),247/186/186 days,122.41% above/39.68% above/39.68% above,2024-03-31 (Price: 224.5781)/2025-07-31 (Price: 100.79),190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,2029-02-23/2026-03-09/2026-09-21,26.16%,7.99%,18.17%,1.24,0.48,342.059/395.7983/178.82/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),138.77
"TSLA, Long, 2025-05-31 (Price: 346.46)",2026-01-31 (Price: 430.41),"24.23%, 8.2 months","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-02-02 (Price: 421.81), 21.75% above",8.3 months,"6, 2021-11-30 (Price: 381.5867)",2025-04-30 (Price: 282.16),2025-05-31 (Price: 346.46),278/247/247 days,49.49% above/21.75% above/21.75% above,2021-11-30 (Price: 408.2466)/2025-05-31 (Price: 214.4383),7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,2028-02-15 (Max),26.29%,28.82%,-2.53%,0.27,1.04,864.2098/373.4492/367.54/408.5817/413.6779/490.132/No EMA 200 Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),280.01
"DOL.TO, Long, 2025-05-31 (Price: 176.5)",2026-02-03 (Price: 187.0),"5.95%, 8.3 months","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-02-02 (Price: 187.0), 5.95% above",8.3 months,"2, 2022-11-30 (Price: 82.33)",2025-05-31 (Price: 176.5),2025-05-31 (Price: 176.5),247/247/247 days,5.95% above/5.95% above/5.95% above,2022-11-30 (Price: 82.963)/2025-05-31 (Price: 170.4717),24.69%/6.61%/16.58%,"-0.0%, 12.12%",1 year/5 months/9.4 months,2026-11-03/2026-01-03/2026-07-13,9.06%,19.7%,-10.64%,1.65,1.31,210.9352/205.7637/233.0/No Horizontal Resistance/194.1559/294.0831/No EMA 200 Target,39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),170.49
"MSE.PA, Long, 2025-02-28 (Price: 59.36)",2026-01-31 (Price: 66.41),"11.88%, 11.2 months","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-02-03 (Price: 67.26), 13.31% above",11.3 months,"0, 2020-02-29 (Price: 32.4)",2025-02-28 (Price: 59.36),2025-02-28 (Price: 59.36),340/340/340 days,13.31% above/13.31% above/13.31% above,2020-02-29 (Price: 36.9416)/2025-02-28 (Price: 56.3799),11.99%/4.9%/8.12%,"-0.0%, 28.4%",1.7 year/5 months/11.9 months,2027-08-03/2025-10-03/2026-07-30,5.39%,1.99%,3.4%,0.77,-0.0,60.7728/64.18/75.54/No Horizontal Resistance/58.4776/81.1364/No EMA 200 Target,52.08/33.57/44.4738/35.8188/No F-Track Level/No F-Track Level/53.71,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),56.21
"AAPL, Long, 2024-09-30 (Price: 233.0)",2026-01-31 (Price: 259.48),"11.36%, 1.4 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-02-02 (Price: 270.01), 15.88% above",1.4 year,"2, 2022-07-31 (Price: 162.51)",2024-09-30 (Price: 233.0),2024-09-30 (Price: 233.0),490/490/490 days,15.88% above/15.88% above/15.88% above,2022-07-31 (Price: 175.7774)/2024-09-30 (Price: 216.2229),49.66%/12.62%/21.67%,"-0.0%, 40.56%",2.5 years/5.1 months/10.5 months,2028-04-25/2025-05-09/2025-12-30,17.77%,21.49%,-3.72%,2.41,1.03,338.9451/283.4911/275.29/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/197.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),228.55
"PPH, Long, 2024-03-31 (Price: 90.7)",2026-02-03 (Price: 108.13),"19.22%, 1.9 year","85.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-02-02 (Price: 108.13), 19.22% above",1.9 year,"0, 2019-03-31 (Price: 60.72)",2024-01-31 (Price: 85.3),2024-03-28 (Price: 90.7),733/676/673 days,26.76% above/19.22% above/19.22% above,2019-03-31 (Price: 86.3975)/2024-03-31 (Price: 82.9475),15.31%/2.34%/9.66%,"3.25%, 39.01%",4.4 years/5 months/1.3 year,2030-07-12/2024-11-03/2026-02-06,1.56%,1.67%,-0.11%,1.06,-0.07,100.8131/99.4616/108.69/No Horizontal Resistance/96.895/110.4008/No EMA 200 Target,75.31/54.71/87.7591/80.4653/No F-Track Level/No F-Track Level/81.89,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),89.33
