"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"MEL.NZ, Long, 2025-10-22 (Price: 5.98)",No Exit Yet,"-1.34%, 2 days","95.45%, Past 5 years, 22","Daily, was CONFIRMED on 2025-10-22",Already confirmed,"2025-10-24 (Price: 5.9), 1.34% below",2 days,Upmove Bounce Back,38.2% (Price: 5.8017),1.69% above,"2025-08-28 (Price: 5.4), 2025-10-09 (Price: 6.05)",17.12%/0.38%/7.41%,"4.24%, 14.44%",229 days/31 days/121 days,2026-09-18/2025-12-05/2026-04-15,7.03%,3.81%,3.22%,0.22,0.14,6.0326/6.4231/6.37/6.825/7.4565/8.4213,5.8/4.3875/4.5145/3.5923/No Fib Ret Level/No Fib Ret Level,5.77/5.75,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-10-21 (Price: 241.36)",No Exit Yet,"0.67%, 3 days","90.32%, Past 5 years, 31","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-24 (Price: 242.98), 0.67% above",3 days,Upmove Bounce Back,78.6% (Price: 242.9796),0.0% below,"2025-08-08 (Price: 238.4), 2025-09-18 (Price: 259.8)",17.2%/3.12%/8.04%,"7.19%, 33.94%",724 days/18 days/149 days,2028-09-03/2025-11-16/2026-05-24,10.63%,9.73%,0.9%,0.33,0.36,245.0769/260.7653/254.2/366.6625/412.2037/473.5829,240.9/187.6063/216.7036/198.5041/No Fib Ret Level/No Fib Ret Level,247.19/263.53,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"PFE, Long, 2025-10-21 (Price: 24.85)",No Exit Yet,"-0.36%, 3 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-24 (Price: 24.76), 0.36% below",3 days,Upmove Bounce Back,50% (Price: 24.305),1.87% above,"2025-04-09 (Price: 20.92), 2025-10-03 (Price: 27.69)",10.42%/4.0%/7.21%,"2.36%, 11.78%",67 days/34 days/50 days,2026-01-26/2025-12-09/2026-01-01,7.04%,-6.47%,13.51%,0.24,-0.32,24.7506/26.6417/28.91/55.39/66.4672/73.1352,24.23/No Horizontal Support/21.508/20.5265/No Fib Ret Level/No Fib Ret Level,24.88/24.72,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"PPH, Long, 2025-10-21 (Price: 92.1)",No Exit Yet,"0.36%, 3 days","92.59%, Past 5 years, 27","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-24 (Price: 92.43), 0.36% above",3 days,Upmove Bounce Back,23.66% (Price: 91.7558),0.73% above,"2025-08-07 (Price: 81.74), 2025-10-03 (Price: 94.86)",32.63%/0.93%/14.04%,"3.69%, 20.52%",838 days/9 days/290 days,2029-02-15/2025-11-03/2026-12-15,11.38%,7.16%,4.22%,0.31,0.27,92.2842/105.0308/99.97/No Horizontal Resistance/100.0174/110.0139,91.8/65.915/87.7591/70.617/No Fib Ret Level/No Fib Ret Level,90.07/88.53,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"GNE.NZ, Long, 2025-10-21 (Price: 2.47)",No Exit Yet,"2.83%, 3 days","78.57%, Past 5 years, 14","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-24 (Price: 2.54), 2.83% above",3 days,Upmove Bounce Back,23.66% (Price: 2.3432),8.4% above,"2023-03-24 (Price: 2.64), 2024-11-27 (Price: 2.4)",2.52%/0.21%/1.37%,"4.84%, 9.65%",11 days/11 days/11 days,2025-11-05/2025-11-05/2025-11-05,3.18%,-3.41%,6.59%,-0.26,-0.26,2.4843/2.5038/2.61/3.575/No Next Fib Ext/No Next Fib Ext,2.33/2.0733/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,2.41/2.3,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"BYD.TO, Long, 2025-10-21 (Price: 212.17)",No Exit Yet,"2.37%, 3 days","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-24 (Price: 217.2), 2.37% above",3 days,Upmove Bounce Back,50% (Price: 213.83),1.58% above,"2025-08-08 (Price: 186.1), 2025-09-29 (Price: 241.56)",33.99%/0.03%/14.01%,"-0.0%, 22.66%",252 days/8 days/76 days,2026-10-21/2025-11-01/2026-02-08,34.94%,4.13%,30.81%,0.67,0.14,216.2437/241.895/245.45/256.6133/367.2583/388.6839,209.51/196.0/147.1212/139.9966/No Fib Ret Level/No Fib Ret Level,226.25/217.45,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"HOOD, Long, 2025-10-21 (Price: 131.84)",No Exit Yet,"6.03%, 3 days","100.0%, Past 4 years, 14","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-24 (Price: 139.79), 6.03% above",3 days,Upmove Bounce Back,23.66% (Price: 124.4743),12.3% above,"2025-04-07 (Price: 29.66), 2025-10-06 (Price: 153.86)",129.73%/9.09%/78.62%,"-0.0%, 56.69%",668 days/67 days/235 days,2028-06-14/2026-01-26/2026-09-26,101.75%,34.23%,67.52%,0.95,0.97,155.6635/235.4926/206.36/No Horizontal Resistance/164.8517/245.4076,129.91/8.2917/115.0659/84.2959/No Fib Ret Level/No Fib Ret Level,123.62/79.21,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"UBER, Long, 2025-10-20 (Price: 93.7)",No Exit Yet,"0.39%, 4 days","100.0%, Past 5 years, 38","Daily, was CONFIRMED on 2025-10-20",Already confirmed,"2025-10-24 (Price: 94.07), 0.39% above",4 days,Upmove Bounce Back,23.66% (Price: 92.2042),2.02% above,"2025-04-07 (Price: 60.63), 2025-09-22 (Price: 101.99)",103.69%/0.66%/27.26%,"-0.0%, 64.99%",1092 days/11 days/273 days,2030-02-17/2025-11-04/2026-11-19,50.24%,20.29%,29.95%,0.54,0.65,96.0331/119.2426/118.52/No Horizontal Resistance/102.095/116.8186,92.3/34.6025/80.4283/75.944/No Fib Ret Level/No Fib Ret Level,95.4/84.32,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"XLE, Long, 2025-10-20 (Price: 86.89)",No Exit Yet,"1.36%, 4 days","100.0%, Past 5 years, 46","Daily, was CONFIRMED on 2025-10-20",Already confirmed,"2025-10-24 (Price: 88.07), 1.36% above",4 days,Upmove Bounce Back,78.6% (Price: 85.9853),2.42% above,"2025-08-11 (Price: 84.1), 2025-09-26 (Price: 92.91)",45.63%/2.08%/20.18%,"-0.0%, 17.74%",365 days/73 days/148 days,2027-04-01/2026-02-02/2026-05-22,31.36%,21.09%,10.27%,0.35,0.77,87.9066/104.4244/92.18/98.445/106.8857/117.7423,85.22/45.695/74.1414/53.9043/No Fib Ret Level/No Fib Ret Level,88.23/87.02,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"MCY.NZ, Long, 2025-10-20 (Price: 6.65)",No Exit Yet,"-2.41%, 4 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-10-20",Already confirmed,"2025-10-24 (Price: 6.49), 2.41% below",4 days,Upmove Bounce Back,38.2% (Price: 6.4023),1.37% above,"2025-03-19 (Price: 5.5), 2025-09-12 (Price: 6.96)",6.92%/2.49%/3.84%,"1.62%, 23.8%",658 days/15 days/337 days,2028-05-30/2025-11-10/2027-02-20,1.98%,6.99%,-5.01%,0.31,0.25,6.6892/6.9054/7.53/7.085/7.8394/8.9737,6.39/5.13/6.4223/5.8309/No Fib Ret Level/No Fib Ret Level,6.63/6.17,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"ETH-USD, Long, 2025-10-19 (Price: 3984.6497)",No Exit Yet,"-1.13%, 4 days","95.56%, Past 5 years, 45","Daily, was CONFIRMED on 2025-10-19",Already confirmed,"2025-10-24 (Price: 3939.7068), 1.13% below",4 days,Upmove Bounce Back,38.2% (Price: 3591.1643),9.71% above,"2025-04-09 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",249.85%/0.46%/49.93%,"2.0%, 75.81%",958 days/2 days/259 days,2029-08-06/2025-10-21/2026-10-29,66.29%,61.64%,4.65%,0.47,1.06,4098.2122/5974.1853/6124.81/4922.7188/4887.278/5344.0381,3750.61/1370.4997/3929.1537/3454.2267/No Fib Ret Level/No Fib Ret Level,4248.97/3245.96,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"TCS.NS, Long, 2025-10-19 (Price: 2962.2)",No Exit Yet,"3.41%, 4 days","95.65%, Past 20 years, 23","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2025-10-24 (Price: 3063.2), 3.41% above",4 days,Upmove Bounce Back,50% (Price: 2809.1),9.05% above,"2016-11-20 (Price: 1025.95), 2024-09-01 (Price: 4592.25)",163.97%/0.89%/58.77%,"5.76%, 64.77%",1639 days/79 days/561 days,2032-04-18/2026-02-10/2028-01-09,16.08%,15.1%,0.98%,0.63,0.57,3293.9664/4703.0849/5101.98/4543.575/5637.7577/6110.9256,2899.1/2937.675/2637.2425/2286.8248/No Fib Ret Level/No Fib Ret Level,3045.34/3429.88,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
"IFT.NZ, Long, 2025-10-17 (Price: 12.43)",No Exit Yet,"-1.53%, 5 days","91.11%, Past 5 years, 45","Daily, was CONFIRMED on 2025-10-17",Already confirmed,"2025-10-24 (Price: 12.24), 1.53% below",5 days,Upmove Bounce Back,23.66% (Price: 12.1423),0.8% above,"2025-06-11 (Price: 10.02), 2025-09-12 (Price: 12.8)",49.32%/3.35%/24.68%,"3.24%, 15.98%",875 days/36 days/368 days,2029-04-06/2025-12-08/2027-04-03,44.79%,20.04%,24.75%,0.55,0.82,12.4822/15.4977/14.1/No Horizontal Resistance/18.927/29.733,11.91/7.3167/12.2485/8.121/No Fib Ret Level/No Fib Ret Level,12.21/11.25,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
"C6L.SI, Long, 2025-10-12 (Price: 6.64)",No Exit Yet,"-0.3%, 9 days","88.89%, Past 20 years, 27","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2025-10-24 (Price: 6.62), 0.3% below",9 days,Upmove Bounce Back,61.8% (Price: 6.5361),1.28% above,"2024-08-18 (Price: 5.86), 2025-08-03 (Price: 7.63)",12.48%/5.49%/8.98%,"8.55%, 13.74%",169 days/114 days/141 days,2026-06-13/2026-03-26/2026-05-04,4.42%,-1.13%,5.55%,-0.01,-0.15,6.8226/7.2363/7.7/6.9575/15.377/16.6022,6.46/4.792/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,6.57/6.71,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
"ATM.NZ, Long, 2025-10-12 (Price: 10.21)",No Exit Yet,"1.57%, 9 days","89.47%, Past 20 years, 19","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2025-10-24 (Price: 10.37), 1.57% above",9 days,Upmove Bounce Back,23.66% (Price: 9.5179),8.95% above,"2024-11-17 (Price: 5.22), 2025-08-31 (Price: 10.85)",150.0%/2.13%/64.66%,"13.56%, 83.33%",1499 days/19 days/467 days,2031-09-22/2025-11-08/2027-08-19,18.01%,26.34%,-8.33%,0.67,0.79,11.4117/16.8118/13.59/No Horizontal Resistance/21.7391/26.494,7.98/5.2267/9.4247/8.6495/No Fib Ret Level/No Fib Ret Level,10.1/8.76,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
"IEI, Long, 2025-09-30 (Price: 119.51)",No Exit Yet,"0.58%, 18 days","100.0%, Past 18 years, 4","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-24 (Price: 120.2), 0.58% above",18 days,Upmove Bounce Back,23.66% (Price: 115.4064),4.15% above,"2007-03-31 (Price: 99.52), 2024-09-30 (Price: 120.33)",1.94%/1.94%/1.94%,"-0.0%, 3.8%",784 days/784 days/784 days,2028-11-08/2028-11-08/2028-11-08,3.94%,0.92%,3.02%,0.41,-0.77,120.1673/121.8285/132.0/129.9625/No Next Fib Ext/No Next Fib Ext,113.16/113.8775/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,119.62/118.04,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"BPCL.NS, Long, 2025-09-30 (Price: 339.65)",No Exit Yet,"-2.71%, 18 days","100.0%, Past 29 years, 9","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-24 (Price: 330.45), 2.71% below",18 days,Upmove Bounce Back,61.8% (Price: 232.6394),42.04% above,"2022-12-31 (Price: 144.025), 2024-09-30 (Price: 376.0)",235.98%/69.81%/135.85%,"-0.0%, 57.26%",1891 days/716 days/1010 days,2033-03-30/2028-08-02/2029-10-01,16.85%,11.42%,5.43%,0.75,0.39,377.0115/801.0645/478.83/343.7375/372.4081/393.108,152.4/145.35/295.7614/248.4289/No Fib Ret Level/No Fib Ret Level,326.1/304.25,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"INDA, Long, 2025-09-30 (Price: 52.06)",No Exit Yet,"4.71%, 18 days","100.0%, Past 13 years, 5","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-24 (Price: 54.51), 4.71% above",18 days,Upmove Bounce Back,50% (Price: 48.63),12.09% above,"2023-03-31 (Price: 37.77), 2024-09-30 (Price: 59.49)",27.54%/16.24%/21.39%,"-0.0%, 19.16%",707 days/512 days/623 days,2028-07-20/2027-10-11/2028-03-20,6.43%,5.69%,0.74%,1.04,0.17,57.1306/63.1956/65.09/55.3633/66.8401/79.771,39.36/39.06/49.0901/45.3705/No Fib Ret Level/No Fib Ret Level,53.18/52.55,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"AIA.NZ, Long, 2025-09-30 (Price: 7.88)",No Exit Yet,"4.06%, 18 days","95.24%, Past 27 years, 21","Monthly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-24 (Price: 8.2), 4.06% above",18 days,Upmove Bounce Back,38.2% (Price: 7.5163),9.1% above,"2014-08-31 (Price: 3.66), 2019-08-31 (Price: 9.9)",283.98%/2.9%/67.46%,"1.0%, 26.27%",2717 days/238 days/922 days,2036-07-09/2026-09-09/2029-05-27,10.79%,8.13%,2.66%,0.48,0.3,8.2787/13.1958/11.62/8.8962/11.1706/12.8535,7.3/7.0017/7.3934/6.6643/No Fib Ret Level/No Fib Ret Level,7.81/7.93,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"ATD.TO, Long, 2025-09-30 (Price: 74.25)",No Exit Yet,"0.3%, 18 days","100.0%, Past 37 years, 5","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-24 (Price: 74.47), 0.3% above",18 days,Upmove Bounce Back,23.66% (Price: 67.0289),11.1% above,"2008-09-30 (Price: 1.72), 2024-03-31 (Price: 87.27)",134.64%/29.11%/81.88%,"-0.0%, 42.24%",1566 days/1174 days/1370 days,2031-12-16/2030-05-27/2031-03-07,8.08%,22.7%,-14.62%,0.61,0.72,71.1315/135.0459/125.58/85.51/85.3936/96.14,67.69/45.49/59.8475/53.4732/No Fib Ret Level/No Fib Ret Level,72.63/71.95,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"IEI, Long, 2025-08-03 (Price: 119.01)",2025-10-19 (Price: 120.18),"0.98%, 54 days","96.43%, Past 18 years, 28","Weekly, was CONFIRMED on 2025-08-03",Already confirmed,"2025-10-24 (Price: 120.2), 1.0% above",59 days,Upmove Bounce Back,23.66% (Price: 114.9981),4.52% above,"2021-04-11 (Price: 129.59), 2024-02-04 (Price: 117.79)",7.52%/0.48%/4.33%,"1.04%, 6.36%",999 days/194 days/490 days,2029-07-19/2026-05-10/2027-07-13,3.28%,0.97%,2.31%,0.32,-0.88,119.617/124.1631/126.09/130.446/No Next Fib Ext/No Next Fib Ext,117.11/113.0583/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,119.62/118.04,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
"HDB, Long, 2025-03-31 (Price: 33.22)",2025-10-24 (Price: 36.76) (Today),"10.66%, 149 days","85.71%, Past 25 years, 14","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-10-24 (Price: 36.76), 10.66% above",149 days,Upmove Bounce Back,23.66% (Price: 28.9654),26.91% above,"2013-08-31 (Price: 6.655), 2023-01-31 (Price: 35.88)",99.84%/8.35%/44.32%,"32.26%, 39.31%",1043 days/218 days/451 days,2029-05-19/2026-02-09/2027-01-13,7.57%,17.0%,-9.43%,0.28,0.59,35.6882/47.9431/50.75/39.24/40.717/47.4928,26.75/25.82/32.7076/21.1884/No Fib Ret Level/No Fib Ret Level,35.56/34.75,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"GBPSGD=X, Long, 2025-03-31 (Price: 1.7372)",2025-10-24 (Price: 1.7274) (Today),"-0.56%, 149 days","100.0%, Past 55 years, 6","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-10-24 (Price: 1.7274), 0.56% below",149 days,Upmove Bounce Back,23.66% (Price: 1.6865),2.43% above,"2022-09-30 (Price: 1.4895), 2024-07-31 (Price: 1.7475)",5.36%/5.36%/5.36%,"-0.0%, 7.18%",782 days/782 days/782 days,2028-05-06/2028-05-06/2028-05-06,4.4%,-2.48%,6.88%,0.41,-0.97,1.7021/1.8303/1.89/1.879/4.0285/5.5304,1.68/1.6718/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,1.73/1.72,83.64%/55/1306 days (Across ALL Assets),69.7%/132/363 days (Across ALL Assets)
"FPH.NZ, Long, 2024-06-30 (Price: 30.08)",2025-10-24 (Price: 35.86) (Today),"19.22%, 344 days","100.0%, Past 23 years, 5","Quarterly, was CONFIRMED on 2024-06-30",Already confirmed,"2025-10-24 (Price: 35.86), 19.22% above",344 days,Upmove Bounce Back,50% (Price: 19.875),80.43% above,"2012-09-30 (Price: 1.86), 2020-09-30 (Price: 37.89)",619.75%/487.3%/565.36%,"-0.0%, 48.03%",3587 days/3066 days/3326 days,2038-09-20/2036-08-26/2037-09-07,20.2%,14.17%,6.03%,1.15,0.51,42.3767/200.1403/51.7/37.034/38.8108/40.9296,18.5/22.675/28.7839/26.1935/No Fib Ret Level/No Fib Ret Level,37.09/36.06,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"SLV, Long, 2023-03-31 (Price: 22.12)",2025-10-24 (Price: 43.99) (Today),"98.87%, 670 days","75.0%, Past 19 years, 4","Quarterly, was CONFIRMED on 2023-03-31",Already confirmed,"2025-10-24 (Price: 43.99), 98.87% above",670 days,Upmove Bounce Back,38.2% (Price: 16.3483),169.08% above,"2018-12-31 (Price: 13.11), 2019-09-30 (Price: 18.35)",48.48%/48.48%/48.48%,"0.6%, 21.76%",1043 days/1043 days/1043 days,2027-05-19/2027-05-19/2027-05-19,7.07%,6.41%,0.66%,0.54,0.22,20.9056/32.8438/25.26/27.685/47.5817/52.1458,17.5/13.2033/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,40.28/33.21,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
"GBPSGD=X, Short, 2025-10-24 (Price: 1.7274)",No Exit Yet,"-0.0%, 0 days","91.84%, Past 20 years, 49","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-24 (Price: 1.7274), 0.0% below",0 days,Upmove Break Below,50% (Price: 1.7346),0.42% below,"2025-04-06 (Price: 1.7308), 2025-08-03 (Price: 1.7255)",5.75%/0.36%/3.18%,"7.33%, 5.81%",284 days/4 days/72 days,2026-12-09/2025-10-29/2026-02-05,5.67%,5.4%,0.27%,0.5,-0.86,1.7124/1.6725/1.72/1.6718/No Next Fib Ext Support/No Next Fib Ext Support,1.74/1.6718/No Next Fib Ext Support/No Next Fib Ext Support/1.7681/1.7807,1.73/1.72,69.23%/13/22 days (Across ALL Assets),38.1%/21/34 days (Across ALL Assets)
"WPM, Short, 2025-10-24 (Price: 98.15)",No Exit Yet,"-0.0%, 0 days","87.5%, Past 20 years, 24","Monthly, was CONFIRMED on 2025-10-22",No Cancellation Possible,"2025-10-24 (Price: 98.15), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 96.3808),1.84% above,"2023-10-31 (Price: 38.37), 2025-10-24 (Price: 114.36)",24.39%/3.3%/10.76%,"20.59%, 24.39%",65 days/20 days/29 days,2026-01-26/2025-11-21/2025-12-05,13.82%,5.4%,8.42%,0.5,0.59,104.5298/87.5891/52.56/38.3375/94.5529/85.5992,111.84/38.3375/94.5529/85.5992/94.0739/81.6073,103.7/85.77,50.0%/8/134 days (Across ALL Assets),50.0%/24/87 days (Across ALL Assets)
"^VIX, Short, 2025-10-24 (Price: 16.37)",No Exit Yet,"-0.0%, 0 days","87.5%, Past 35 years, 24","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price > 65.73 prior to 2025-12-31,"2025-10-24 (Price: 16.37), 0.0% below",0 days,Upmove Break Below,88.6% (Price: 44.7024),63.38% below,"1997-12-31 (Price: 19.28), 2021-06-30 (Price: 28.93)",33.76%/3.51%/16.23%,"107.76%, 33.76%",132 days/64 days/69 days,2026-05-03/2026-01-24/2026-01-31,11.36%,5.5%,5.86%,0.09,0.21,17.4897/13.7131/10.58/11.665/15.5549/11.7677,22.28/11.665/15.5549/11.7677/45.6405/49.7582,16.6/19.34,No Data (Across ALL Assets),55.56%/18/83 days (Across ALL Assets)
"BYDDY, Short, 2025-10-24 (Price: 13.36)",No Exit Yet,"-0.0%, 0 days","88.89%, Past 15 years, 18","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price > 20.05 prior to 2025-10-31,"2025-10-24 (Price: 13.36), 0.0% below",0 days,Upmove Break Below,88.6% (Price: 13.3457),0.11% above,"2022-07-31 (Price: 11.2883), 2022-10-31 (Price: 9.1033)",35.45%/3.52%/13.28%,"29.22%, 35.45%",108 days/21 days/35 days,2026-03-29/2025-11-23/2025-12-13,15.98%,5.4%,10.58%,0.53,0.4,13.4495/11.5858/12.05/7.1075/10.2889/7.0216,16.89/7.1075/10.2889/7.0216/13.66/12.152,13.92/15.17,50.0%/8/134 days (Across ALL Assets),50.0%/24/87 days (Across ALL Assets)
"CNR.TO, Short, 2025-10-23 (Price: 134.25)",No Exit Yet,"0.61%, 1 days","87.5%, Past 5 years, 40","Daily, was CONFIRMED on 2025-10-23",Already confirmed,"2025-10-24 (Price: 133.43), 0.61% below",1 days,Upmove Break Below,23.66% (Price: 136.9844),2.59% below,"2024-07-16 (Price: 165.46), 2025-08-11 (Price: 128.63)",4.67%/0.57%/2.83%,"2.07%, 5.65%",17 days/3 days/8 days,2025-11-16/2025-10-27/2025-11-03,6.01%,5.1%,0.91%,0.15,-0.19,132.6659/130.4507/112.15/127.762/86.815/55.8095,136.43/127.762/86.815/55.8095/No Fib Ret Level/No Fib Ret Level,131.73/138.91,65.0%/80/9 days (Across ALL Assets),31.9%/163/61 days (Across ALL Assets)
"NZDCAD=X, Short, 2025-10-19 (Price: 0.8043)",No Exit Yet,"-0.0%, 4 days","86.49%, Past 20 years, 37","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2025-10-24 (Price: 0.8043), 0.0% below",4 days,Upmove Break Below,78.6% (Price: 0.8226),2.22% below,"2025-03-23 (Price: 0.8223), 2025-04-13 (Price: 0.8091)",4.12%/0.09%/3.08%,"3.78%, 6.34%",104 days/4 days/32 days,2026-03-18/2025-10-24/2025-12-04,5.5%,5.4%,0.1%,0.33,-0.44,0.8017/0.7795/0.8/0.7543/No Next Fib Ext Support/No Next Fib Ext Support,0.83/0.7543/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,0.81/0.82,69.23%/13/22 days (Across ALL Assets),38.1%/21/34 days (Across ALL Assets)
"USDCHF=X, Short, 2025-10-17 (Price: 0.7918)",No Exit Yet,"-0.42%, 5 days","89.19%, Past 5 years, 37","Daily, was CONFIRMED on 2025-10-17",Already confirmed,"2025-10-24 (Price: 0.7951), 0.42% above",5 days,Upmove Break Below,23.66% (Price: 0.8117),2.05% below,"2024-11-22 (Price: 0.8852), 2025-09-17 (Price: 0.7878)",3.25%/0.45%/1.88%,"2.31%, 4.14%",54 days/2 days/19 days,2026-01-03/2025-10-19/2025-11-13,6.22%,5.1%,1.12%,0.23,-0.84,0.7844/0.7769/0.73/No Horizontal Support/No Next Fib Ext Support/No Next Fib Ext Support,0.81/No Horizontal Support/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,0.8/0.83,65.0%/80/9 days (Across ALL Assets),31.9%/163/61 days (Across ALL Assets)
"GBPSGD=X, Short, 2025-09-30 (Price: 1.7327)",No Exit Yet,"0.31%, 18 days","88.0%, Past 55 years, 25","Monthly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-24 (Price: 1.7274), 0.31% below",18 days,Upmove Break Below,38.2% (Price: 1.7493),1.25% below,"2021-05-31 (Price: 1.8373), 2025-01-31 (Price: 1.7103)",7.17%/0.94%/3.94%,"10.13%, 10.17%",281 days/22 days/121 days,2026-11-11/2025-10-31/2026-03-24,4.43%,5.4%,-0.97%,0.52,-0.97,1.6674/1.6644/1.66/1.6874/No Next Fib Ext Support/No Next Fib Ext Support,1.75/1.6874/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,1.73/1.72,50.0%/8/134 days (Across ALL Assets),50.0%/24/87 days (Across ALL Assets)
