"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"QQQ, Long, 2025-10-31 (Price: 629.07)",No Exit Yet,"-3.8%, 25 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 605.16), 3.8% below",25 days,"0, 2020-10-31 (Price: 269.38)",2025-09-30 (Price: 600.37),2025-10-31 (Price: 629.07),55/24/24 days,0.8% above/3.8% below/3.8% below,2020-10-31 (Price: 364.6767)/2025-10-31 (Price: 567.9074),26.83%/5.89%/12.63%,"-0.0%, 33.07%",1.9 year/3.6 months/7.7 months,2028-07-01/2026-04-03/2026-09-29,11.42%,9.45%,1.97%,2.06,0.36,677.0051/708.5215/844.88/No Horizontal Resistance/610.7303/836.2536/No Moving Avg Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/537.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"^GSPC, Long, 2025-10-31 (Price: 6840.2002)",No Exit Yet,"-1.97%, 25 days","95.45%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 6705.1201), 1.97% below",25 days,"0, 2020-10-31 (Price: 3269.96)",2025-09-30 (Price: 6688.46),2025-10-31 (Price: 6840.2002),55/24/24 days,0.25% above/1.97% below/1.97% below,2020-10-31 (Price: 4279.9133)/2025-10-31 (Price: 6434.7405),17.02%/3.9%/10.39%,"7.48%, 24.77%",1.8 year/2.9 months/6.4 months,2028-05-01/2026-03-06/2026-08-06,9.69%,6.68%,3.01%,1.42,0.24,7449.662/7550.897/8982.34/No Horizontal Resistance/6767.7249/9765.5661/No Moving Avg Target,5569.06/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6111.52,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"^NDX, Long, 2025-10-31 (Price: 25858.1309)",No Exit Yet,"-3.81%, 25 days","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 24873.8496), 3.81% below",25 days,"0, 2020-10-31 (Price: 11052.9502)",2025-09-30 (Price: 24679.9902),2025-10-31 (Price: 25858.1309),55/24/24 days,0.79% above/3.81% below/3.81% below,2020-10-31 (Price: 14945.6094)/2025-10-31 (Price: 23342.1479),30.75%/6.45%/14.42%,"-0.0%, 13.1%",1.0 year/3.6 months/6.8 months,2027-04-18/2026-04-03/2026-08-21,16.42%,9.59%,6.84%,1.86,0.37,29242.9602/29586.8734/34741.24/No Horizontal Resistance/25025.4383/33965.62/No Moving Avg Target,19278.45/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/22067.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",No Exit Yet,"2.14%, 25 days","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 93.96), 2.14% above",25 days,"0, 2020-10-31 (Price: 55.35)",2025-08-31 (Price: 85.77),2025-10-31 (Price: 91.99),85/24/24 days,9.55% above/2.14% above/2.14% above,2020-10-31 (Price: 101.9929)/2025-10-31 (Price: 75.7694),24.83%/3.08%/11.43%,"30.99%, 38.87%",2.0 year/4.3 months/9.4 months,2028-09-06/2026-05-05/2026-12-13,4.31%,6.33%,-2.02%,0.35,0.21,94.4461/102.5045/113.97/No Horizontal Resistance/92.969/100.7509/No Moving Avg Target,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level/76.35,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"CVS, Long, 2025-10-31 (Price: 78.15)",No Exit Yet,"-0.32%, 25 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 77.9), 0.32% below",25 days,"0, 2020-10-31 (Price: 56.09)",2025-08-31 (Price: 73.15),2025-10-31 (Price: 78.15),85/24/24 days,6.49% above/0.32% below/0.32% below,2020-10-31 (Price: 127.1433)/2025-10-31 (Price: 67.5433),28.65%/12.56%/20.39%,"44.04%, 44.04%",7.3 months/2.9 months/5.3 months,2026-09-11/2026-03-06/2026-06-18,6.5%,4.04%,2.46%,0.24,0.13,87.1138/94.0848/91.39/106.045/116.3721/144.3517/No Moving Avg Target,44.89/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/67.21,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XLU, Long, 2025-10-31 (Price: 89.1)",No Exit Yet,"0.06%, 25 days","90.48%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 89.15), 0.06% above",25 days,"0, 2020-10-31 (Price: 62.38)",2025-09-30 (Price: 87.21),2025-10-31 (Price: 89.1),55/24/24 days,2.22% above/0.06% above/0.06% above,2020-10-31 (Price: 67.198)/2025-10-31 (Price: 87.0494),16.63%/1.39%/9.27%,"27.25%, 40.67%",2.4 years/3.6 months/8.2 months,2029-04-14/2026-04-03/2026-10-23,5.14%,3.83%,1.3%,0.73,0.04,93.0739/97.3596/105.13/No Horizontal Resistance/98.9717/144.4725/No Moving Avg Target,58.93/59.52/70.8508/53.4708/No F-Track Level/No F-Track Level/82.19,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"ACWX, Long, 2025-10-31 (Price: 66.35)",No Exit Yet,"-2.05%, 25 days","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 64.99), 2.05% below",25 days,"2, 2023-06-30 (Price: 49.22)",2025-10-31 (Price: 66.35),2025-10-31 (Price: 66.35),24/24/24 days,2.05% below/2.05% below/2.05% below,2023-06-30 (Price: 50.8243)/2025-10-31 (Price: 64.1443),15.1%/1.81%/6.09%,"10.07%, 26.55%",2.4 years/2.9 months/10.5 months,2029-03-13/2026-03-07/2027-01-30,2.59%,1.11%,1.48%,0.53,-0.09,69.9329/70.3907/76.63/No Horizontal Resistance/69.6679/76.9985/No Moving Avg Target,52.16/45.07/61.9685/307.3483/No F-Track Level/No F-Track Level/59.62,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"TSM, Long, 2025-10-31 (Price: 300.43)",No Exit Yet,"-5.26%, 25 days","96.55%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 284.64), 5.26% below",25 days,"2, 2023-06-30 (Price: 100.92)",2025-10-31 (Price: 300.43),2025-10-31 (Price: 300.43),24/24/24 days,5.26% below/5.26% below/5.26% below,2023-06-30 (Price: 111.482)/2025-10-31 (Price: 284.8673),62.44%/5.05%/21.09%,"28.26%, 49.81%",1.1 year/3.6 months/8.2 months,2027-05-21/2026-04-03/2026-10-23,11.28%,15.19%,-3.91%,0.91,0.52,354.6276/363.7907/420.14/No Horizontal Resistance/334.306/349.9895/No Moving Avg Target,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/218.77,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BAC, Long, 2025-10-31 (Price: 53.45)",No Exit Yet,"-2.84%, 25 days","75.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 51.93), 2.84% below",25 days,"0, 2020-10-31 (Price: 23.7)",2025-08-31 (Price: 50.74),2025-10-31 (Price: 53.45),85/24/24 days,2.35% above/2.84% below/2.84% below,2020-10-31 (Price: 51.0942)/2025-10-31 (Price: 47.4033),30.69%/9.64%/20.1%,"25.08%, 44.87%",1.1 year/2.9 months/6.9 months,2027-06-19/2026-03-07/2026-08-25,4.84%,3.94%,0.9%,0.33,0.19,59.5593/64.1935/71.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.86,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"CSCO, Long, 2025-10-31 (Price: 73.11)",2025-11-18 (Price: 77.37),"5.83%, 18 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 76.24), 4.28% above",24 days,"2, 2025-09-11 (Price: 67.69)",2025-10-30 (Price: 72.91),2025-10-31 (Price: 73.11),25/24/24 days,4.57% above/4.28% above/4.28% above,2025-09-11 (Price: 68.1337)/2025-10-31 (Price: 72.2095),7.42%/1.03%/3.28%,"17.72%, 27.08%",1.1 month/4 days/14 days,2025-12-19/2025-11-05/2025-11-20,14.5%,7.19%,7.31%,0.19,0.26,74.3894/75.508/76.36/No Horizontal Resistance/78.7458/109.6316/No Moving Avg Target,67.46/40.92/68.2017/52.6706/No F-Track Level/No F-Track Level/64.73,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"PPH, Long, 2025-10-31 (Price: 92.54)",No Exit Yet,"8.46%, 25 days","81.48%, Past 20 years, 27","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 100.37), 8.46% above",25 days,"2, 2024-08-31 (Price: 99.43)",2025-09-30 (Price: 90.36),2025-10-31 (Price: 92.54),55/24/24 days,11.08% above/8.46% above/8.46% above,2024-08-31 (Price: 100.5162)/2025-10-31 (Price: 88.7495),15.31%/0.84%/7.86%,"30.19%, 39.01%",3.1 years/3.5 months/10.2 months,2030-04-23/2026-04-02/2027-01-15,1.99%,2.01%,-0.01%,0.18,-0.1,98.296/99.8136/96.67/No Horizontal Resistance/100.0174/110.0139/No Moving Avg Target,82.93/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/88.68,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"VGT, Long, 2025-10-31 (Price: 793.21)",No Exit Yet,"-7.09%, 25 days","82.61%, Past 20 years, 23","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 736.95), 7.09% below",25 days,"0, 2020-10-31 (Price: 297.99)",2025-09-30 (Price: 746.63),2025-10-31 (Price: 793.21),55/24/24 days,1.3% below/7.09% below/7.09% below,2020-10-31 (Price: 398.3086)/2025-10-31 (Price: 692.9573),27.2%/4.39%/14.49%,"23.72%, 51.21%",1.2 year/2.8 months/6.3 months,2027-07-21/2026-03-01/2026-07-30,6.59%,13.32%,-6.73%,0.5,0.59,878.718/908.1461/1090.34/No Horizontal Resistance/946.1588/993.4664/No Moving Avg Target,542.38/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/644.77,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"FRW.NZ, Long, 2025-10-31 (Price: 14.72)",No Exit Yet,"-5.03%, 25 days","95.65%, Past 20 years, 23","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 13.98), 5.03% below",25 days,"0, 2020-10-31 (Price: 8.4)",2025-08-31 (Price: 12.16),2025-10-31 (Price: 14.72),86/25/25 days,14.97% above/5.03% below/5.03% below,2020-10-31 (Price: 13.6522)/2025-10-31 (Price: 11.2035),25.1%/4.41%/14.42%,"3.66%, 17.71%",1.4 year/2.9 months/7.8 months,2027-10-26/2026-03-04/2026-10-06,10.04%,9.85%,0.19%,1.67,0.39,15.8122/16.8426/18.51/No Horizontal Resistance/16.2179/21.849/No Moving Avg Target,7.7/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/11.41,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BDGI.TO, Long, 2025-10-31 (Price: 73.59)",No Exit Yet,"-3.33%, 25 days","89.66%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 71.14), 3.33% below",25 days,"10, 2019-12-31 (Price: 35.14)",2025-08-31 (Price: 57.63),2025-10-31 (Price: 73.59),85/24/24 days,23.44% above/3.33% below/3.33% below,2019-12-31 (Price: 41.6895)/2025-10-31 (Price: 55.5322),159.21%/3.87%/50.82%,"37.81%, 54.03%",1.1 year/3.5 months/6.0 months,2027-06-21/2026-04-02/2026-07-17,17.99%,19.81%,-1.82%,0.67,0.65,111.6287/110.9884/96.66/No Horizontal Resistance/63.2847/69.0016/No Moving Avg Target,35.88/24.32/58.5532/53.241/No F-Track Level/No F-Track Level/48.39,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"RY.TO, Long, 2025-10-31 (Price: 205.47)",No Exit Yet,"2.88%, 25 days","78.95%, Past 20 years, 19","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 211.39), 2.88% above",25 days,"0, 2020-10-31 (Price: 93.16)",2025-08-31 (Price: 199.58),2025-10-31 (Price: 205.47),85/24/24 days,5.92% above/2.88% above/2.88% above,2020-10-31 (Price: 122.675)/2025-10-31 (Price: 192.005),16.93%/2.86%/10.78%,"16.54%, 21.22%",1.8 year/2.8 months/7.0 months,2028-06-02/2026-03-01/2026-08-29,5.05%,9.0%,-3.95%,0.4,0.37,220.0584/227.6197/272.86/No Horizontal Resistance/221.431/339.4883/No Moving Avg Target,162.1/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/179.57,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"MSE.PA, Long, 2025-10-31 (Price: 62.93)",No Exit Yet,"-1.95%, 25 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 61.7), 1.95% below",25 days,"10, 2020-10-31 (Price: 28.795)",2025-08-31 (Price: 59.41),2025-10-31 (Price: 62.93),86/25/25 days,3.85% above/1.95% below/1.95% below,2020-10-31 (Price: 38.3464)/2025-10-31 (Price: 58.9082),14.35%/2.24%/8.34%,"-0.0%, 28.4%",2.5 years/3.6 months/1.3 year,2029-05-16/2026-04-03/2027-09-23,5.98%,2.81%,3.17%,0.92,-0.0,63.9243/68.1784/83.41/No Horizontal Resistance/81.1364/117.7989/No Moving Avg Target,52.08/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/59.09,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"^NZ50, Long, 2025-10-31 (Price: 13548.3203)",No Exit Yet,"-0.5%, 25 days","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 13480.4297), 0.5% below",25 days,"0, 2020-10-31 (Price: 12084.4697)",2025-10-31 (Price: 13548.3203),2025-10-31 (Price: 13548.3203),25/25/25 days,0.5% below/0.5% below/0.5% below,2020-10-31 (Price: 13363.1815)/2025-10-31 (Price: 13251.3755),16.11%/2.05%/8.79%,"10.24%, 18.13%",10.1 months/4.3 months/6.8 months,2027-01-14/2026-05-07/2026-08-23,6.21%,8.68%,-2.47%,0.51,0.45,14269.0909/14739.2177/14426.63/No Horizontal Resistance/14773.8816/17170.3822/No Moving Avg Target,11903.31/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/12757.79,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"EFA, Long, 2025-10-31 (Price: 94.49)",No Exit Yet,"-1.86%, 25 days","80.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-24 (Price: 92.73), 1.86% below",25 days,"2, 2023-06-30 (Price: 72.5)",2025-10-31 (Price: 94.49),2025-10-31 (Price: 94.49),24/24/24 days,1.86% below/1.86% below/1.86% below,2023-06-30 (Price: 74.0386)/2025-10-31 (Price: 93.6786),18.42%/4.43%/11.81%,"14.7%, 23.01%",1.1 year/2.8 months/5.6 months,2027-05-20/2026-03-01/2026-06-29,6.85%,3.37%,3.48%,0.51,0.03,101.6618/105.6493/107.68/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,75.61/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/87.2,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"^BVSP, Long, 2025-10-26 (Price: 146172.0)",2025-11-23 (Price: 154770.0) (Today),"5.88%, 28 days","94.44%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-11-24 (Price: 155278.0), 6.23% above",1 month,"0, 2021-07-04 (Price: 127622.0)",2025-10-19 (Price: 143399.0),2025-10-24 (Price: 146172.0),36/31/29 days,8.28% above/6.23% above/6.23% above,2021-07-04 (Price: 122214.0)/2025-10-26 (Price: 143016.2727),11.93%/0.93%/6.26%,"15.17%, 43.39%",9.6 months/19 days/2.4 months,2026-12-18/2025-11-22/2026-02-05,10.24%,5.05%,5.2%,0.76,0.14,149972.472/155322.3672/157302.0/No Horizontal Resistance/173653.968/192289.6/No Moving Avg Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/134509.56,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"UPS, Long, 2025-10-26 (Price: 87.22)",2025-11-23 (Price: 94.66) (Today),"8.53%, 28 days","91.43%, Past 10 years, 35","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-11-24 (Price: 93.56), 7.27% above",1 month,"4, 2024-09-29 (Price: 134.26)",2025-10-19 (Price: 86.41),2025-10-26 (Price: 87.22),36/29/29 days,8.27% above/7.27% above/7.27% above,2024-09-29 (Price: 153.0472)/2025-10-26 (Price: 84.9372),31.22%/1.77%/7.51%,"13.76%, 27.26%",8.1 months/19 days/3.6 months,2026-10-14/2025-11-22/2026-04-01,13.13%,2.3%,10.84%,0.5,0.04,85.8332/93.7702/115.44/221.2667/228.7501/295.6013/100.59,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"BDGI.TO, Long, 2025-10-12 (Price: 65.01)",2025-11-16 (Price: 71.55),"10.06%, 1.2 month","85.0%, Past 10 years, 60","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-11-24 (Price: 71.14), 9.43% above",1.5 month,"2, 2025-01-05 (Price: 35.97)",2025-10-12 (Price: 65.01),2025-10-12 (Price: 65.01),43/43/43 days,9.43% above/9.43% above/9.43% above,2025-01-05 (Price: 38.0844)/2025-10-12 (Price: 61.3659),22.6%/3.01%/13.6%,"47.14%, 54.37%",9.3 months/19 days/2.3 months,2026-11-20/2025-11-08/2026-01-18,9.3%,18.14%,-8.84%,0.3,0.62,71.1404/73.8514/82.43/No Horizontal Resistance/63.2847/70.6207/No Moving Avg Target,35.59/24.32/58.5532/50.7492/No F-Track Level/No F-Track Level/46.03,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"^DJI, Long, 2025-09-28 (Price: 46247.2891)",2025-11-16 (Price: 47147.4805),"1.95%, 1.6 month","93.75%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-09-26",Already confirmed,"2025-11-24 (Price: 46448.2695), 0.43% above",1.9 month,"2, 2025-04-13 (Price: 40212.7109)",2025-09-14 (Price: 45834.2188),2025-09-28 (Price: 46247.2891),71/57/57 days,1.34% above/0.43% above/0.43% above,2025-04-13 (Price: 44362.2969)/2025-09-28 (Price: 45409.3593),6.98%/0.22%/3.8%,"3.06%, 34.78%",8.3 months/19 days/3.4 months,2026-09-23/2025-10-25/2026-02-21,6.99%,9.91%,-2.92%,1.11,0.44,47394.2219/48004.6861/49868.04/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,38314.86/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43246.39,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"TD.TO, Long, 2025-09-28 (Price: 110.35)",2025-11-16 (Price: 114.05),"3.35%, 1.6 month","84.62%, Past 10 years, 39","Weekly, is CONFIRMED on 2025-09-26",Already confirmed,"2025-11-24 (Price: 116.71), 5.76% above",1.9 month,"2, 2025-01-19 (Price: 83.13)",2025-09-28 (Price: 110.35),2025-09-28 (Price: 110.35),57/57/57 days,5.76% above/5.76% above/5.76% above,2025-01-19 (Price: 82.7223)/2025-09-28 (Price: 108.6012),12.32%/1.31%/5.77%,"9.57%, 31.6%",1.3 year/19 days/3.6 months,2027-07-24/2025-10-25/2026-03-03,7.92%,7.82%,0.1%,0.84,0.3,115.2606/116.7172/126.68/No Horizontal Resistance/128.6672/152.0396/No Moving Avg Target,81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/91.14,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"BPCL.NS, Long, 2025-09-21 (Price: 329.55)",2025-11-23 (Price: 364.55),"10.62%, 2.1 months","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-11-25 (Price: 355.85), 7.98% above",2.2 months,"0, 2021-05-30 (Price: 235.75)",2025-09-07 (Price: 312.5),2025-09-19 (Price: 329.55),79/67/65 days,13.87% above/7.98% above/7.98% above,2021-05-30 (Price: 496.83)/2025-09-21 (Price: 310.08),29.59%/1.78%/11.46%,"32.02%, 47.09%",5.8 months/19 days/2.0 months,2026-05-31/2025-10-18/2025-12-18,12.02%,12.45%,-0.44%,0.38,0.44,345.8627/367.3164/385.83/343.7375/372.4081/393.108/No Moving Avg Target,308.2/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/299.65,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"EEM, Long, 2025-09-21 (Price: 53.01)",2025-11-16 (Price: 54.96),"3.68%, 1.9 month","91.43%, Past 10 years, 35","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-11-24 (Price: 53.66), 1.23% above",2.2 months,"2, 2024-12-15 (Price: 44.03)",2025-09-14 (Price: 52.26),2025-09-21 (Price: 53.01),71/64/64 days,2.68% above/1.23% above/1.23% above,2024-12-15 (Price: 44.5752)/2025-09-21 (Price: 51.008),11.23%/1.19%/4.72%,"22.64%, 35.1%",12.0 months/19 days/2.3 months,2027-02-22/2025-10-18/2025-12-29,5.95%,1.15%,4.8%,0.39,-0.07,54.2133/55.5121/58.4/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,40.58/36.64/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.71,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"GOOG, Long, 2025-09-14 (Price: 241.38)",2025-11-16 (Price: 276.98),"14.75%, 2.1 months","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-11-24 (Price: 318.47), 31.94% above",2.4 months,"8, 2023-11-12 (Price: 134.06)",2025-09-07 (Price: 235.17),2025-09-14 (Price: 241.38),78/71/71 days,35.42% above/31.94% above/31.94% above,2023-11-12 (Price: 164.7561)/2025-09-14 (Price: 229.6932),19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-03-19/2025-10-18/2025-11-21,35.83%,21.1%,14.73%,1.74,0.79,266.3387/261.1249/305.77/No Horizontal Resistance/219.0619/240.3589/No Moving Avg Target,147.74/84.6567/203.7099/185.0665/No F-Track Level/No F-Track Level/182.46,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"^DJI, Long, 2025-09-14 (Price: 45834.2188)",2025-11-16 (Price: 47147.4805),"2.87%, 2.1 months","93.75%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-11-24 (Price: 46448.2695), 1.34% above",2.4 months,"2, 2025-03-30 (Price: 41583.8984)",2025-09-14 (Price: 45834.2188),2025-09-14 (Price: 45834.2188),71/71/71 days,1.34% above/1.34% above/1.34% above,2025-03-30 (Price: 44275.0417)/2025-09-14 (Price: 45322.1041),6.98%/0.22%/3.8%,"3.06%, 34.78%",8.3 months/19 days/3.4 months,2026-09-09/2025-10-11/2026-02-07,6.99%,9.91%,-2.92%,1.11,0.44,46970.9074/47575.9191/48384.41/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,38314.86/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43178.04,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"DIA, Long, 2025-09-14 (Price: 459.32)",2025-11-16 (Price: 471.8),"2.72%, 2.1 months","100.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-11-24 (Price: 464.44), 1.11% above",2.4 months,"2, 2025-03-30 (Price: 415.62)",2025-09-07 (Price: 454.99),2025-09-14 (Price: 459.32),78/71/71 days,2.08% above/1.11% above/1.11% above,2025-03-30 (Price: 442.3733)/2025-09-14 (Price: 453.4933),8.64%/1.23%/3.89%,"-0.0%, 14.86%",7.0 months/19 days/2.9 months,2026-07-13/2025-10-11/2026-01-18,10.29%,9.9%,0.39%,1.56,0.44,470.6652/477.1875/485.54/No Horizontal Resistance/538.1343/826.9871/No Moving Avg Target,383.22/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/432.0,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
