Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,3139.7414 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-20 (Price: 3144.8), 3.85% above","75.0%, Past 15 years, 4",0.89%/2.86%,"3.85%, 28 days",14.06%/3.68%/8.87%,3172.7499 (Historic Rise or Fall to Pivot)/3296.9102 (Avg % Gain of Historic Winning trades)/3234.83 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3328.26 (Moving Avg)/3454.079 (Backtested Best),No Next Date Target,"3.85%, 28 days","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,28 days,No Information,No Information,No Information,No Information,No Information,No Information,"14.47%, 16.73%",19 days/14 days/16 days,2025-11-08/2025-11-01/2025-11-04,4.81%,11.95%,-7.14%,0.07,0.46,3172.7499/3296.9102/3234.83/4543.575/5637.7577/6110.9256/3328.26,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No Moving Avg Support,94.87%/39/40 days (Across ALL Assets),89.42%/104/49 days (Across ALL Assets)
OSCILLATOR DELTA,"BTC-USD, Long, 2025-10-11 (Price: 110807.8828)",Daily,No Price Target,2025-11-23 (Max),2025-11-13 (Price: 99697.4922),"2025-11-19 (Price: 91465.9922), 17.46% below","84.21%, Past 6 years, 57",26.63%/27.2%,"-17.46%, 27 days",19.05%/5.04%/8.14%,115827.4799 (Historic Rise or Fall to Pivot)/119827.6445 (Avg % Gain of Historic Winning trades)/116348.28 (Exit Rule)/123774.3633 (Horizontal)/134811.0702 (F-Stack 1)/174387.6923 (F-Stack 2)/131916.7845 (Backtested Best)/116392.6001 (Backtested Worst),2025-11-23 (Max),"-10.03%, 23 days","Daily, is Confirmed on 2025-10-11",No Cancellation Possible,27 days,No Information,No Information,No Information,No Information,No Information,No Information,"14.07%, 15.29%",30 days/0 days/8 days,2025-11-23/2025-10-11/2025-10-22,54.01%,49.41%,4.61%,0.19,0.92,115827.4799/119827.6445/116348.28/123774.3633/134811.0702/174387.6923/No Moving Avg Target,No Recent Minima/18304.4229/107223.5861/87809.6423/No F-Track Level/No F-Track Level/110409.11,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-09 (Price: 6.02)",Daily,No Price Target,2025-11-22 (Avg),No Exit Yet,"2025-11-20 (Price: 5.75), 4.49% below","91.3%, Past 4 years, 46",5.18%/6.43%,"-4.49%, 30 days",18.47%/0.46%/5.52%,6.1422 (Historic Rise or Fall to Pivot)/6.3523 (Avg % Gain of Historic Winning trades)/6.12 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/7.1319 (Backtested Best)/6.0477 (Backtested Worst),2026-06-23 (Max)/2025-11-22 (Avg),"-4.49%, 30 days","Daily, is CONFIRMED on 2025-10-09",Already confirmed,30 days,No Information,No Information,No Information,No Information,No Information,3.52% below/4.49% below/4.49% below,"6.51%, 17.02%",178 days/5 days/31 days,2026-06-23/2025-10-16/2025-11-22,19.9%,4.2%,15.69%,0.73,0.16,6.1422/6.3523/6.12/6.825/7.4565/8.4213/No Moving Avg Target,5.57/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"DOL.TO, Long, 2025-10-01 (Price: 181.79)",Daily,197.56 (Horizontal)/197.7512 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-20 (Price: 198.34), 9.1% above","100.0%, Past 5 years, 5",1.97%/6.76%,"9.1%, 36 days",16.48%/8.78%/11.25%,202.2414 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/211.749 (Backtested Best),2026-01-06 (Max)/2025-11-27 (Min)/2025-12-12 (Avg),"9.1%, 36 days","Daily, was CONFIRMED on 2025-10-01",Already confirmed,36 days,"-4.42, 93.33",No Information,No Information,No Information,No Information,No Information,"-0.0%, 7.51%",67 days/40 days/50 days,2026-01-06/2025-11-27/2025-12-12,14.73%,27.78%,-13.05%,1.6,1.2,188.8071/202.2414/194.1559/197.56/194.1559/294.0831/No Moving Avg Target,175.34/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/175.55,85.95%/121/73 days (Across ALL Assets),74.78%/230/78 days (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2025-09-28 (Price: 110.35)",Weekly,No Price Target,No Date Target,2025-11-16 (Price: 114.05),"2025-11-20 (Price: 114.66), 3.91% above","84.62%, Past 10 years, 39",0.52%/1.79%,"3.91%, 38 days",12.32%/1.31%/5.77%,115.2606 (Historic Rise or Fall to Pivot)/116.7172 (Avg % Gain of Historic Winning trades)/126.68 (Exit Rule)/128.6672 (F-Stack 1)/152.0396 (F-Stack 2)/123.9451 (Backtested Best),2027-07-24 (Max)/2026-03-03 (Avg),"3.35%, 34 days","Weekly, is CONFIRMED on 2025-09-26",Already confirmed,38 days,No Information,No Information,No Information,No Information,No Information,3.91% above/3.91% above/3.91% above,"9.57%, 31.6%",459 days/19 days/108 days,2027-07-24/2025-10-25/2026-03-03,7.92%,7.82%,0.1%,0.84,0.3,115.2606/116.7172/126.68/No Horizontal Resistance/128.6672/152.0396/No Moving Avg Target,81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/91.14,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
FRACTAL TRACK,"HDB, Long, 2025-09-21 (Price: 35.45)",Weekly,36.7475 (Historic Rise or Fall to Pivot),No Date Target,No Exit Yet,"2025-11-20 (Price: 36.88), 4.03% above","90.24%, Past 20 years, 41",5.86%/10.4%,"4.03%, 43 days",54.75%/29.34%/46.04%,51.7712 (Avg % Gain of Historic Winning trades)/43.69 (Exit Rule)/39.042 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/54.8589 (Backtested Best)/45.851 (Backtested Worst),2029-05-14 (Max)/2026-06-14 (Min)/2027-05-31 (Avg),"4.03%, 43 days","Weekly, was CONFIRMED on 2025-09-21",Already confirmed,43 days,No Information,No Information,No Information,"38.2% (Price: 34.562), 6.71% above, Upmove Bounce Back","2024-02-18 (Price: 26.08), 2025-07-27 (Price: 39.805)",No Information,"11.0%, 32.59%",919 days/184 days/426 days,2029-05-14/2026-06-14/2027-05-31,11.85%,14.21%,-2.36%,0.38,0.5,36.7475/51.7712/43.69/39.042/40.717/47.4928/No Moving Avg Target,35.07/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/35.38,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2025-09-14 (Price: 459.32)",Weekly,No Price Target,No Date Target,2025-11-16 (Price: 471.8),"2025-11-20 (Price: 458.1), 0.27% below","100.0%, Past 10 years, 28",4.17%/5.99%,"-0.27%, 48 days",8.64%/1.23%/3.89%,477.1875 (Avg % Gain of Historic Winning trades)/485.54 (Exit Rule)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/499.0052 (Backtested Best),2026-07-13 (Max)/2026-01-18 (Avg),"2.72%, 44 days","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,48 days,No Information,No Information,No Information,No Information,No Information,0.68% above/0.27% below/0.27% below,"-0.0%, 14.86%",209 days/19 days/87 days,2026-07-13/2025-10-11/2026-01-18,10.29%,9.9%,0.39%,1.56,0.44,470.6652/477.1875/485.54/No Horizontal Resistance/538.1343/826.9871/No Moving Avg Target,383.22/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/432.0,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-09-14 (Price: 241.38)",Weekly,287.2905 (Backtested Best),2025-11-21 (Avg),2025-11-16 (Price: 276.98),"2025-11-20 (Price: 289.98), 20.13% above","100.0%, Past 10 years, 26",5.45%,"20.13%, 48 days",19.02%/3.15%/8.18%,305.77 (Exit Rule),2026-03-19 (Max)/2025-11-21 (Avg),"14.75%, 44 days","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,48 days,No Information,No Information,No Information,No Information,No Information,23.31% above/20.13% above/20.13% above,"-0.0%, 15.08%",129 days/24 days/47 days,2026-03-19/2025-10-18/2025-11-21,35.83%,21.1%,14.73%,1.74,0.79,266.3387/261.1249/305.77/No Horizontal Resistance/219.0619/240.3589/No Moving Avg Target,147.74/84.6567/203.7099/185.0665/No F-Track Level/No F-Track Level/182.46,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
BASELINEDIVERGENCE,"SPY, Long, 2025-09-07 (Price: 647.24)",Weekly,No Price Target,No Date Target,2025-11-16 (Price: 671.93),"2025-11-20 (Price: 652.53), 0.82% above","90.48%, Past 10 years, 21",7.54%/9.34%,"0.82%, 53 days",10.23%/0.46%/4.63%,701.7376 (Historic Rise or Fall to Pivot)/969.1148 (Exit Rule)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/713.4527 (Backtested Best),2026-03-05 (Max)/2025-12-24 (Avg),"3.81%, 49 days","Weekly, was CONFIRMED on 2025-09-07",Already confirmed,53 days,No Information,"^GSPC, Tangent Case",No Information,No Information,No Information,No Information,"5.53%, 12.25%",124 days/44 days/75 days,2026-03-05/2025-11-09/2025-12-24,8.38%,12.23%,-3.85%,0.78,0.56,701.7376/677.2072/969.1148/No Horizontal Resistance/969.1148/1522.3697/No Moving Avg Target,505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/614.33,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
FRACTAL TRACK,"MX.TO, Long, 2025-08-31 (Price: 48.78)",Weekly,No Price Target,2025-11-17 (Min),No Exit Yet,"2025-11-20 (Price: 48.06), 1.48% below","95.45%, Past 20 years, 44",29.47%/52.8%,"-1.48%, 58 days",102.78%/1.23%/27.56%,62.2238 (Avg % Gain of Historic Winning trades)/87.74 (Exit Rule)/73.435 (Horizontal)/104.8718 (F-Stack 1)/122.9238 (F-Stack 2)/98.9161 (Backtested Best),2029-10-21 (Max)/2027-05-02 (Avg),"-1.48%, 58 days","Weekly, was CONFIRMED on 2025-08-31",Already confirmed,58 days,No Information,No Information,No Information,"50% (Price: 45.71), 5.14% above, Upmove Bounce Back","2020-03-29 (Price: 13.24), 2025-02-09 (Price: 78.18)",No Information,"5.57%, 51.52%",1044 days/54 days/421 days,2029-10-21/2025-11-17/2027-05-02,7.03%,5.25%,1.77%,0.4,0.25,48.1459/62.2238/87.74/73.435/104.8718/122.9238/50.12,45.56/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
BASELINEDIVERGENCE,"HDFCBANK.NS, Long, 2025-08-31 (Price: 951.6)",Weekly,1013.6443 (Avg % Gain of Historic Winning trades),No Date Target,2025-11-09 (Price: 982.3),"2025-11-20 (Price: 1008.85), 6.02% above","86.21%, Past 10 years, 29",4.05%/5.52%,"6.02%, 58 days",11.87%/0.05%/6.52%,1049.71 (Historic Rise or Fall to Pivot)/1098.0619 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1064.5549 (Backtested Best),2026-01-22 (Max)/2025-12-04 (Avg),"3.23%, 49 days","Weekly, was CONFIRMED on 2025-08-31",Already confirmed,58 days,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,"1.95%, 12.56%",100 days/44 days/66 days,2026-01-22/2025-11-02/2025-12-04,59.88%,13.58%,46.3%,1.19,0.56,1049.71/1013.6443/1098.0619/No Horizontal Resistance/1098.0619/1305.7899/952.26,818.38/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No Moving Avg Support,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
BAND MATRIX,"HDFCBANK.NS, Long, 2025-08-29 (Price: 951.6)",Daily,1006.9831 (Avg % Gain of Historic Winning trades)/1011.74 (Exit Rule),No Date Target,No Exit Yet,"2025-11-20 (Price: 1008.85), 6.02% above","85.71%, Past 5 years, 7",0.76%/8.84%,"6.02%, 59 days",16.98%/0.21%/5.82%,1016.4991 (Historic Rise or Fall to Pivot)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1113.1817 (Backtested Best),2027-06-05 (Max)/2026-04-16 (Avg),"6.02%, 59 days","Daily, was CONFIRMED on 2025-08-29",No Cancellation Possible,59 days,No Information,No Information,No Information,No Information,No Information,No Information,"2.65%, 24.13%",446 days/25 days/159 days,2027-06-05/2025-10-04/2026-04-16,7.15%,9.35%,-2.2%,0.56,0.36,1016.4991/1006.9831/1011.74/No Horizontal Resistance/1098.0619/1305.7899/952.26,944.85/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No Moving Avg Support,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
FRACTAL TRACK,"BRK-B, Long, 2025-08-24 (Price: 489.0)",Weekly,No Price Target,2025-11-17 (Min),No Exit Yet,"2025-11-20 (Price: 501.12), 2.48% above","97.37%, Past 20 years, 38",2.22%/25.89%,"2.48%, 63 days",228.59%/0.58%/56.41%,512.2275 (Historic Rise or Fall to Pivot)/764.8449 (Avg % Gain of Historic Winning trades)/718.54 (Exit Rule)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/1606.8051 (Backtested Best),2034-11-11 (Max)/2028-03-15 (Avg),"2.48%, 63 days","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,63 days,No Information,No Information,No Information,"23.66% (Price: 451.5539), 10.98% above, Upmove Bounce Back","2020-03-29 (Price: 159.5), 2025-05-04 (Price: 542.07)",No Information,"0.28%, 26.48%",2324 days/59 days/645 days,2034-11-11/2025-11-17/2028-03-15,5.23%,10.72%,-5.49%,0.47,0.42,512.2275/764.8449/718.54/No Horizontal Resistance/630.85/709.9376/496.68,465.4/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2025-08-24 (Price: 456.64)",Weekly,No Price Target,No Date Target,2025-11-16 (Price: 471.8),"2025-11-20 (Price: 458.1), 0.32% above","100.0%, Past 10 years, 28",3.56%/8.29%,"0.32%, 63 days",8.64%/1.23%/3.89%,474.4033 (Avg % Gain of Historic Winning trades)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/496.0937 (Backtested Best),2026-06-22 (Max)/2025-12-28 (Avg),"3.32%, 59 days","Weekly, is CONFIRMED on 2025-08-22",Already confirmed,63 days,No Information,No Information,No Information,No Information,No Information,0.32% above/0.32% above/0.32% above,"-0.0%, 14.86%",209 days/19 days/87 days,2026-06-22/2025-09-20/2025-12-28,10.29%,9.9%,0.39%,1.56,0.44,467.919/474.4033/469.92/No Horizontal Resistance/538.1343/826.9871/No Moving Avg Target,383.22/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/430.51,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-08-11 (Price: 573.59)",Daily,No Price Target,2025-11-18 (Min),No Exit Yet,"2025-11-20 (Price: 527.88), 7.97% below","93.1%, Past 5 years, 29",27.51%/35.66%,"-7.97%, 73 days",52.16%/1.79%/24.85%,716.1271 (Avg % Gain of Historic Winning trades)/673.1 (Exit Rule)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/872.7745 (Backtested Best),2029-03-16 (Max)/2027-03-09 (Avg),"-7.97%, 73 days","Daily, was CONFIRMED on 2025-08-11",Already confirmed,73 days,No Information,No Information,No Information,"23.66% (Price: 555.4699), 4.97% below, Upmove Bounce Back","2024-07-24 (Price: 428.86), 2025-06-11 (Price: 594.71)",No Information,"1.45%, 28.57%",907 days/69 days/397 days,2029-03-16/2025-11-18/2027-03-09,8.0%,12.16%,-4.16%,0.57,0.46,582.9395/716.1271/673.1/588.47/716.5814/751.3605/No Moving Avg Target,550.18/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level/560.76,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
BASELINEDIVERGENCE,"QQQ, Long, 2025-08-10 (Price: 574.55)",Weekly,No Price Target,No Date Target,2025-11-16 (Price: 608.86),"2025-11-20 (Price: 585.67), 1.94% above","85.53%, Past 10 years, 76",8.26%/9.95%,"1.94%, 73 days",44.95%/0.81%/10.36%,643.9556 (Historic Rise or Fall to Pivot)/634.0734 (Avg % Gain of Historic Winning trades)/836.2536 (F-Stack 2)/832.8102 (Backtested Best),2026-03-13 (Max)/2025-12-05 (Avg),"5.97%, 69 days","Weekly, was CONFIRMED on 2025-08-10",Already confirmed,73 days,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,"13.49%, 27.25%",149 days/44 days/81 days,2026-03-13/2025-10-12/2025-12-05,23.29%,18.13%,5.16%,0.88,0.81,643.9556/634.0734/610.7303/No Horizontal Resistance/610.7303/836.2536/No Moving Avg Target,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/543.2,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
BASELINEDIVERGENCE,"SPY, Long, 2025-08-10 (Price: 637.18)",Weekly,No Price Target,No Date Target,2025-11-16 (Price: 671.93),"2025-11-20 (Price: 652.53), 2.41% above","90.48%, Past 10 years, 21",5.87%/7.64%,"2.41%, 73 days",10.23%/0.46%/4.63%,690.8306 (Historic Rise or Fall to Pivot)/969.1148 (Exit Rule)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/702.3635 (Backtested Best),2026-02-05 (Max)/2025-11-26 (Avg),"5.45%, 69 days","Weekly, was CONFIRMED on 2025-08-10",Already confirmed,73 days,No Information,"^GSPC, Tangent Case",No Information,No Information,No Information,No Information,"5.53%, 12.25%",124 days/44 days/75 days,2026-02-05/2025-10-12/2025-11-26,8.38%,12.23%,-3.85%,0.78,0.56,690.8306/666.6814/969.1148/No Horizontal Resistance/969.1148/1522.3697/No Moving Avg Target,505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/614.33,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-08-06 (Price: 194.0)",Daily,No Price Target,No Date Target,2025-11-20 (Price: 198.34) (Today),"2025-11-20 (Price: 198.34), 2.24% above","100.0%, Past 4 years, 44",1.25%/2.92%,"2.24%, 76 days",10.12%/0.29%/3.51%,200.8094 (Avg % Gain of Historic Winning trades)/204.14 (Exit Rule)/294.0831 (F-Stack 2)/213.6328 (Backtested Best),2025-12-30 (Max),"2.24%, 76 days","Daily, is CONFIRMED on 2025-08-06",Already confirmed,76 days,No Information,No Information,No Information,No Information,No Information,2.93% above/2.24% above/2.24% above,"-0.0%, 13.61%",101 days/4 days/29 days,2025-12-30/2025-08-11/2025-09-17,31.05%,25.35%,5.71%,1.47,1.07,197.7442/200.8094/204.14/No Horizontal Resistance/194.1559/294.0831/No Moving Avg Target,185.49/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/159.0,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"DOL.TO, Long, 2025-07-24 (Price: 185.86)",Daily,No Price Target,2025-11-18 (Avg),No Exit Yet,"2025-11-20 (Price: 198.34), 6.71% above","100.0%, Past 5 years, 11",4.66%/6.22%,"6.71%, 85 days",39.41%/3.85%/15.01%,207.587 (Historic Rise or Fall to Pivot)/213.7576 (Avg % Gain of Historic Winning trades)/210.67 (Exit Rule)/294.0831 (F-Stack 2)/259.1074 (Backtested Best),2026-06-22 (Max),"6.71%, 85 days","Daily, was CONFIRMED on 2025-07-24",No Cancellation Possible,85 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 11.58%",230 days/21 days/81 days,2026-06-22/2025-08-23/2025-11-18,37.24%,30.26%,6.98%,1.39,1.4,207.587/213.7576/210.67/No Horizontal Resistance/194.1559/294.0831/No Moving Avg Target,185.8/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/175.55,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
BAND MATRIX,"RELIANCE.NS, Long, 2025-07-23 (Price: 1424.6)",Daily,1558.3 (Exit Rule)/1542.272 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-20 (Price: 1549.1), 8.74% above","77.78%, Past 5 years, 9",3.44%/10.25%,"8.74%, 86 days",19.89%/8.26%/12.48%,1602.3901 (Avg % Gain of Historic Winning trades)/1879.7264 (F-Stack 1)/2250.6285 (F-Stack 2)/1707.9529 (Backtested Best),2026-02-22 (Max),"8.74%, 86 days","Daily, was CONFIRMED on 2025-07-23",No Cancellation Possible,86 days,No Information,No Information,No Information,No Information,No Information,No Information,"12.12%, 24.71%",148 days/31 days/78 days,2026-02-22/2025-09-05/2025-11-12,16.33%,10.71%,5.62%,0.69,0.42,1514.2073/1602.3901/1558.3/No Horizontal Resistance/1879.7264/2250.6285/No Moving Avg Target,1412.8/853.4344/1375.0525/1032.6763/No F-Track Level/No F-Track Level/1378.03,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
PULSEGAUGE,"META, Long, 2025-07-06 (Price: 719.01)",Weekly,No Price Target,2025-11-19 (Max),2025-11-16 (Price: 609.46),"2025-11-20 (Price: 589.15), 18.06% below","100.0%, Past 13 years, 10",43.0%/43.0%,"-18.06%, 98 days",27.47%/20.35%/22.69%,882.1534 (Avg % Gain of Historic Winning trades)/842.484 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/916.522 (Backtested Best)/865.3285 (Backtested Worst),No Next Date Target,"-15.24%, 94 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,98 days,No Information,No Information,No Information,No Information,No Information,No Information,"-0.0%, 16.89%",94 days/34 days/67 days,2025-11-19/2025-08-24/2025-10-11,78.09%,22.84%,55.25%,1.02,0.73,773.511/882.1534/842.484/No Horizontal Resistance/842.484/1305.5879/No Moving Avg Target,501.48/241.8667/556.264/3267.3398/No F-Track Level/No F-Track Level/675.37,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
PULSEGAUGE,"SONY, Long, 2025-07-06 (Price: 25.58)",Weekly,No Price Target,2025-11-23 (Avg),No Exit Yet,"2025-11-20 (Price: 27.75), 8.48% above","88.24%, Past 25 years, 17",11.93%/13.98%,"8.48%, 98 days",33.42%/21.43%/23.65%,31.6297 (Avg % Gain of Historic Winning trades)/33.2191 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/34.1288 (Backtested Best)/31.0618 (Backtested Worst),2026-04-27 (Max)/2025-11-23 (Avg),"8.48%, 98 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,98 days,No Information,No Information,No Information,No Information,No Information,No Information,"25.75%, 32.11%",204 days/9 days/97 days,2026-04-27/2025-07-19/2025-11-23,24.86%,2.16%,22.7%,0.37,0.11,26.5981/31.6297/33.2191/No Horizontal Resistance/33.2191/35.3948/26.18,21.82/14.992/24.8529/22.354/No F-Track Level/No F-Track Level/No Moving Avg Support,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
PULSEGAUGE,"INDA, Long, 2025-07-06 (Price: 55.79)",Weekly,No Price Target,2025-11-19 (Min),No Exit Yet,"2025-11-20 (Price: 54.72), 1.92% below","80.0%, Past 13 years, 10",2.78%/22.15%,"-1.92%, 98 days",20.61%/20.19%/20.42%,56.2419 (Historic Rise or Fall to Pivot)/67.1823 (Avg % Gain of Historic Winning trades)/66.8401 (Exit Rule)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/67.2883 (Backtested Best)/67.054 (Backtested Worst),2026-03-15 (Max)/2026-01-27 (Avg),"-1.92%, 98 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,98 days,No Information,No Information,No Information,No Information,No Information,No Information,"15.84%, 19.38%",174 days/94 days/142 days,2026-03-15/2025-11-19/2026-01-27,12.68%,5.13%,7.55%,0.23,0.14,56.2419/67.1823/66.8401/No Horizontal Resistance/66.8401/79.771/No Moving Avg Target,48.1/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/52.87,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
PULSEGAUGE,"DIS, Long, 2025-07-06 (Price: 124.0)",Weekly,No Price Target,No Date Target,2025-11-20 (Price: 102.7) (Today),"2025-11-20 (Price: 102.7), 17.18% below","76.47%, Past 25 years, 17",23.9%/45.19%,"-17.18%, 98 days",25.73%/20.25%/22.1%,127.2488 (Historic Rise or Fall to Pivot)/151.404 (Avg % Gain of Historic Winning trades)/207.5364 (Exit Rule)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/155.9052 (Backtested Best)/149.11 (Backtested Worst),2027-06-28 (Max)/2026-06-02 (Avg),"-17.18%, 98 days","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,98 days,No Information,No Information,No Information,No Information,No Information,No Information,"25.68%, 34.0%",499 days/29 days/229 days,2027-06-28/2025-08-17/2026-06-02,2.4%,5.15%,-2.74%,0.06,0.17,127.2488/151.404/207.5364/168.455/207.5364/245.6322/No Moving Avg Target,83.53/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/109.94,73.47%/49/155 days (Across ALL Assets),72.58%/124/147 days (Across ALL Assets)
