"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"TSLA, Long, 2025-11-30 (Price: 430.17)",2026-01-18 (Price: 437.5),"1.7%, 1.6 month","73.33%, Past 15 years, 15","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-01-27 (Price: 435.59), 1.26% above",1.9 month,Upmove Bounce Back,23.66% (Price: 375.7432),15.93% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,2028-01-21/2026-01-21/2026-06-22,12.11%,30.11%,-18.0%,0.69,1.16,622.2409/508.8481/716.21/No Horizontal Resistance/490.132/554.3681/No EMA 200 Target,391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/374.64,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),402.17
"MAR, Long, 2025-11-16 (Price: 285.72)",2026-01-27 (Price: 314.17) (Today),"9.96%, 2.4 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-01-27 (Price: 314.17), 9.96% above",2.4 months,Upmove Bounce Back,50% (Price: 256.035),22.71% above,"2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",23.39%/8.05%/16.44%,"-0.0%, 61.32%",3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,300.3774/332.6924/347.5/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/274.42,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),292.12
"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-27 (Price: 1458.765) (Today),"37.72%, 2.9 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-01-27 (Price: 1458.765), 37.72% above",2.9 months,Upmove Bounce Back,38.2% (Price: 692.3064),110.71% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/896.4,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),965.61
"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-27 (Price: 477.81) (Today),"-3.94%, 7 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-27 (Price: 477.81), 3.94% below",7 months,Upmove Bounce Back,50% (Price: 340.89),40.17% above,"2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,669.6133/608.4319/650.36/No Horizontal Resistance/517.4523/553.3726/No EMA 200 Target,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/484.99,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),457.14
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-31 (Price: 80.63),"-0.02%, 6.1 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-27 (Price: 81.21), 0.69% above",7 months,Upmove Bounce Back,38.2% (Price: 76.5615),6.07% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03 (Max),3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/80.18,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),79.13
"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-27 (Price: 263.425) (Today),"22.07%, 7 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-27 (Price: 263.425), 22.07% above",7 months,Upmove Bounce Back,88.6% (Price: 171.1673),53.9% above,"2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/230.1,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),205.32
"PPH, Long, 2025-06-30 (Price: 87.96)",2026-01-27 (Price: 107.9194) (Today),"22.69%, 7 months","90.0%, Past 26 years, 10","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-27 (Price: 107.9194), 22.69% above",7 months,Upmove Bounce Back,38.2% (Price: 78.775),37.0% above,"2015-08-31 (Price: 45.23), 2024-09-30 (Price: 99.51)",23.88%/20.36%/21.19%,"1.09%, 37.34%",6.1 years/10.1 months/3.2 years,2034-03-15/2026-09-11/2030-01-23,4.29%,2.59%,1.7%,1.41,0.03,101.4091/106.5987/120.53/No Horizontal Resistance/100.0174/110.4008/92.02,86.28/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),87.83
"BPCL.NS, Long, 2025-05-31 (Price: 318.4)",2025-12-31 (Price: 384.0),"20.6%, 7.1 months","100.0%, Past 30 years, 4","Monthly, was CONFIRMED on 2025-05-31",Already confirmed,"2026-01-27 (Price: 357.4), 12.25% above",8 months,Upmove Bounce Back,61.8% (Price: 232.6394),53.63% above,"2022-10-31 (Price: 144.025), 2024-09-30 (Price: 376.0)",30.51%/20.62%/27.17%,"-0.0%, 29.42%",1.8 year/3 months/1.1 year,2027-12-25/2025-10-08/2026-12-25,9.39%,8.87%,0.52%,1.53,0.44,327.2834/404.9093/457.58/343.7375/372.4081/393.108/336.46,237.3/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),310.55
"XLU, Long, 2025-03-31 (Price: 39.425)",2026-01-27 (Price: 43.184) (Today),"9.53%, 10.1 months","92.31%, Past 27 years, 13","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2026-01-27 (Price: 43.184), 9.53% above",10.1 months,Upmove Bounce Back,23.66% (Price: 36.9765),16.79% above,"2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,2033-09-01/2026-07-26/2027-09-03,5.35%,2.87%,2.48%,1.11,0.06,40.9429/45.1535/51.42/41.0733/49.4858/72.2363/42.36,29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),39.57
"SFTBY, Short, 2025-12-31 (Price: 14.175)",2026-01-27 (Price: 13.01) (Today),"8.22%, 27 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 13.01), 8.22% below",27 days,Upmove Break Below,50.0% (Price: 13.3475),2.53% below,"2022-06-30 (Price: 4.195), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-14 (Max),12.53%,5.4%,7.13%,1.47,0.38,12.7362/11.7071/3.19/4.205/14.0995/12.0968/12.16,No support/4.205/14.0995/12.0968/No F-Track Level/No F-Track Level/No EMA 200 Support,0.0%/1/0 days (Across ALL Assets),53.33%/15/0 days (Across ALL Assets),15.6175
"KWEB, Short, 2025-12-31 (Price: 34.05)",No Exit Yet,"-5.59%, 27 days","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 35.955), 5.59% above",27 days,Upmove Break Below,38.2% (Price: 35.4633),1.39% above,"2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-05-14/2026-02-12/2026-03-10,5.83%,5.4%,0.43%,0.25,0.12,31.1762/31.6222/21.64/24.5062/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,85.71%/7/0 days (Across ALL Assets),38.89%/18/0 days (Across ALL Assets),37.73
"NFLX, Short, 2025-12-31 (Price: 93.76)",2026-01-27 (Price: 84.665) (Today),"9.7%, 27 days","100.0%, Past 23 years, 6","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 84.665), 9.7% below",27 days,Upmove Break Below,23.66% (Price: 106.2331),20.3% below,"2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,2026-05-14/2026-05-10/2026-05-10,11.77%,5.5%,6.27%,1.3,0.88,184.1259/66.1196/23.05/34.8663/86.4764/77.567/No EMA 200 Target,No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,0.0%/1/0 days (Across ALL Assets),53.33%/15/0 days (Across ALL Assets),117.549
"C6L.SI, Short, 2025-12-31 (Price: 6.4)",No Exit Yet,"0.31%, 27 days","92.86%, Past 40 years, 14","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 6.38), 0.31% below",27 days,Downmove Bounce Back,78.6% (Price: 7.5813),15.85% below,"2026-01-27 (Price: 6.52), 2026-01-27 (Price: 6.33)",13.97%/3.18%/6.42%,"3.38%, 13.97%",3.1 months/1 month/1.7 month,2026-05-14/2026-02-12/2026-03-14,8.07%,5.5%,2.57%,1.46,-0.19,5.9699/5.9891/6.29/4.7975/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,85.71%/7/0 days (Across ALL Assets),38.89%/18/0 days (Across ALL Assets),6.49
"KWEB, Short, 2025-11-30 (Price: 37.57)",2025-12-31 (Price: 34.05),"9.37%, 1 month","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-01-27 (Price: 35.955), 4.3% below",1.9 month,Upmove Break Below,23.66% (Price: 37.1791),3.29% below,"2022-10-31 (Price: 17.22), 2025-10-31 (Price: 43.365)",10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-04-13/2026-01-12/2026-02-07,5.83%,5.4%,0.43%,0.25,0.12,34.3991/34.8913/21.88/24.5062/No F-Stack Support/No F-Stack Support/36.53,No support/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/0 days (Across ALL Assets),38.89%/18/0 days (Across ALL Assets),40.03
