"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"WPM.TO, Long, 2025-11-28 (Price: 153.47)",No Exit Yet,"-1.06%, 4 days","93.33%, Past 4 years, 30","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 151.85), 1.06% below",4 days,"2, 2025-10-08 (Price: 149.62)",2025-11-27 (Price: 149.43),2025-11-28 (Price: 153.47),5/4/4 days,1.62% above/1.06% below/1.06% below,2025-10-08 (Price: 162.3768)/2025-11-28 (Price: 148.4316),16.03%/1.23%/5.13%,"19.7%, 28.41%",3.1 months/4 days/17 days,2026-04-13/2025-12-03/2025-12-22,31.81%,24.47%,7.34%,0.41,0.82,159.2251/161.343/155.78/No Horizontal Resistance/180.0371/199.4231/No Moving Avg Target,139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"DBC, Long, 2025-11-28 (Price: 23.06)",No Exit Yet,"0.56%, 4 days","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 23.19), 0.56% above",4 days,"0, 2024-02-13 (Price: 22.14)",2025-11-26 (Price: 22.76),2025-11-28 (Price: 23.06),8/4/4 days,1.89% above/0.56% above/0.56% above,2024-02-13 (Price: 25.0597)/2025-11-28 (Price: 22.7435),5.33%/1.09%/2.64%,"7.94%, 13.15%",2.4 months/4 days/19 days,2026-03-10/2025-12-03/2025-12-25,11.28%,6.28%,5.0%,0.33,0.21,23.4889/23.6688/23.61/28.58/61.3269/86.3141/No Moving Avg Target,22.52/19.55/22.4363/93.8694/No F-Track Level/No F-Track Level/22.08,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"TD, Long, 2025-11-28 (Price: 83.93)",No Exit Yet,"2.56%, 4 days","82.35%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 86.08), 2.56% above",4 days,"2, 2025-09-30 (Price: 79.95)",2025-11-26 (Price: 83.44),2025-11-28 (Price: 83.93),8/4/4 days,3.16% above/2.56% above/2.56% above,2025-09-30 (Price: 82.1443)/2025-11-28 (Price: 83.3293),8.23%/0.22%/2.92%,"19.84%, 40.97%",2.4 months/4 days/11 days,2026-03-10/2025-12-03/2025-12-13,2.49%,5.91%,-3.43%,0.02,0.2,86.9179/86.3808/86.32/No Horizontal Resistance/91.6167/97.2953/No Moving Avg Target,81.32/54.526/74.6074/62.3451/No F-Track Level/No F-Track Level/70.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"WPM, Long, 2025-11-28 (Price: 110.05)",No Exit Yet,"-1.14%, 4 days","97.22%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 108.8), 1.14% below",4 days,"2, 2025-10-08 (Price: 107.21)",2025-11-26 (Price: 106.76),2025-11-28 (Price: 110.05),8/4/4 days,1.91% above/1.14% below/1.14% below,2025-10-08 (Price: 116.064)/2025-11-28 (Price: 105.84),15.63%/0.69%/6.07%,"14.18%, 36.59%",5.4 months/4 days/28 days,2026-07-20/2025-12-03/2026-01-07,37.84%,23.17%,14.67%,1.01,0.77,115.1783/116.73/111.75/No Horizontal Resistance/132.4733/148.0295/No Moving Avg Target,99.27/38.3375/99.8674/92.8869/No F-Track Level/No F-Track Level/90.49,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"NA.TO, Long, 2025-11-28 (Price: 168.95)",No Exit Yet,"1.98%, 4 days","93.1%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-04 (Price: 172.3), 1.98% above",4 days,"8, 2025-05-05 (Price: 122.46)",2025-11-28 (Price: 168.95),2025-11-28 (Price: 168.95),4/4/4 days,1.98% above/1.98% above/1.98% above,2025-05-05 (Price: 132.3092)/2025-11-28 (Price: 167.9913),4.34%/1.0%/2.44%,"4.62%, 23.98%",2.1 months/4 days/17 days,2026-02-28/2025-12-03/2025-12-22,18.74%,14.44%,4.3%,1.0,0.56,173.2751/173.0724/196.84/No Horizontal Resistance/188.6608/207.1743/No Moving Avg Target,147.83/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"RY.TO, Long, 2025-11-24 (Price: 211.39)",2025-11-28 (Price: 216.14),"2.25%, 4 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-12-04 (Price: 224.06), 5.99% above",10 days,"2, 2025-10-02 (Price: 204.44)",2025-11-21 (Price: 211.38),2025-11-24 (Price: 211.39),13/10/10 days,6.0% above/5.99% above/5.99% above,2025-10-02 (Price: 205.8585)/2025-11-24 (Price: 210.0366),4.14%/0.14%/1.98%,"3.64%, 22.27%",3.6 months/4 days/18 days,2026-04-30/2025-11-29/2025-12-20,15.71%,11.08%,4.63%,1.07,0.45,215.0893/215.5755/215.56/No Horizontal Resistance/221.431/339.4883/No Moving Avg Target,204.01/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/182.18,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLV, Long, 2025-11-23 (Price: 154.61)",No Exit Yet,"-0.46%, 11 days","100.0%, Past 10 years, 38","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-12-04 (Price: 153.9), 0.46% below",11 days,"0, 2021-08-01 (Price: 132.15)",2025-11-23 (Price: 154.61),2025-11-21 (Price: 154.61),11/13/11 days,0.46% below/0.46% below/0.46% below,2021-08-01 (Price: 143.183)/2025-11-23 (Price: 151.7246),7.4%/0.4%/4.39%,"0%, 12.97%",5.6 months/19 days/1.8 month,2026-07-25/2025-12-20/2026-02-10,17.4%,10.58%,6.81%,1.98,0.49,159.3256/161.3974/168.09/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,130.16/121.6312/153.114/117.2225/No F-Track Level/No F-Track Level/139.37,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"CNQ.TO, Long, 2025-11-23 (Price: 47.11)",No Exit Yet,"2.08%, 11 days","70.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-12-04 (Price: 48.09), 2.08% above",11 days,"0, 2021-08-01 (Price: 20.1616)",2025-11-09 (Price: 44.4),2025-11-18 (Price: 47.56),25/16/11 days,8.31% above/1.11% above/2.08% above,2021-08-01 (Price: 78.2704)/2025-11-23 (Price: 43.5224),19.11%/1.41%/7.62%,"22.31%, 71.02%",4.3 months/19 days/1.5 month,2026-05-28/2025-12-20/2026-01-27,1.12%,5.6%,-4.49%,0.03,0.24,47.7036/50.6998/63.28/51.51/65.8353/68.6522/No Moving Avg Target,41.23/34.9317/46.0303/41.121/No F-Track Level/No F-Track Level/42.96,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"UPS, Long, 2025-11-23 (Price: 94.66)",No Exit Yet,"0.11%, 11 days","91.43%, Past 10 years, 35","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-12-04 (Price: 94.76), 0.11% above",11 days,"6, 2023-05-14 (Price: 168.5)",2025-11-23 (Price: 94.66),2025-11-21 (Price: 94.66),11/13/11 days,0.11% above/0.11% above/0.11% above,2023-05-14 (Price: 197.499)/2025-11-23 (Price: 93.6556),31.22%/1.77%/7.51%,"13.76%, 27.26%",8.1 months/19 days/3.6 months,2026-11-11/2025-12-20/2026-04-29,13.13%,2.3%,10.84%,0.5,0.04,93.1549/101.769/138.96/221.2667/228.7501/295.6013/97.5,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"MTY.TO, Long, 2025-11-21 (Price: 36.56)",2025-11-28 (Price: 37.84),"3.5%, 5 days","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-21",Already confirmed,"2025-12-04 (Price: 37.69), 3.09% above",13 days,"6, 2025-06-18 (Price: 40.66)",2025-11-19 (Price: 34.96),2025-11-21 (Price: 36.56),15/13/13 days,7.81% above/3.09% above/3.09% above,2025-06-18 (Price: 48.0555)/2025-11-21 (Price: 34.7677),10.03%/0.53%/3.45%,"1.08%, 22.19%",3.7 months/4 days/1.0 month,2026-04-29/2025-11-26/2026-01-04,28.2%,-6.94%,35.14%,1.34,-0.03,37.4667/37.8213/39.02/72.5033/No Next Fib Ext/No Next Fib Ext/40.28,33.34/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLV, Long, 2025-11-12 (Price: 152.82)",2025-11-28 (Price: 157.65),"3.16%, 16 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-12-04 (Price: 153.9), 0.71% above",22 days,"2, 2025-08-19 (Price: 136.76)",2025-11-11 (Price: 150.68),2025-11-12 (Price: 152.82),23/22/22 days,2.14% above/0.71% above/0.71% above,2025-08-19 (Price: 138.084)/2025-11-12 (Price: 150.0742),3.35%/0.29%/1.59%,"7.54%, 13.97%",3 months/4 days/26 days,2026-03-22/2025-11-17/2025-12-19,7.94%,7.25%,0.69%,0.38,0.26,155.5555/155.2498/162.46/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,143.98/121.6312/117.2225/81.225/No F-Track Level/No F-Track Level/139.18,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-05 (Price: 82.96)",2025-11-27 (Price: 86.36),"4.1%, 22 days","80.56%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-12-04 (Price: 85.5), 3.06% above",29 days,"8, 2025-04-09 (Price: 65.83)",2025-11-05 (Price: 82.96),2025-11-05 (Price: 82.96),29/29/29 days,3.06% above/3.06% above/3.06% above,2025-04-09 (Price: 85.2402)/2025-11-05 (Price: 79.4912),12.01%/1.22%/4.01%,"21.83%, 34.43%",4.0 months/4 days/21 days,2026-04-26/2025-11-10/2025-12-05,8.72%,13.33%,-4.61%,0.22,0.49,84.6524/86.2867/93.24/84.3925/95.0177/123.2166/No Moving Avg Target,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.59,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"^BVSP, Long, 2025-10-26 (Price: 146172.0)",2025-11-23 (Price: 154770.0),"5.88%, 28 days","94.44%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-12-04 (Price: 164455.6094), 12.51% above",1.3 month,"0, 2021-07-04 (Price: 127622.0)",2025-10-19 (Price: 143399.0),2025-10-24 (Price: 146172.0),46/41/39 days,14.68% above/12.51% above/12.51% above,2021-07-04 (Price: 122214.0)/2025-10-26 (Price: 143016.2727),11.93%/0.93%/6.26%,"15.17%, 43.39%",9.6 months/19 days/2.4 months,2026-12-18/2025-11-22/2026-02-05,10.24%,5.05%,5.2%,0.76,0.14,149972.472/155322.3672/157302.0/No Horizontal Resistance/173653.968/192289.6/No Moving Avg Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/134509.56,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"UPS, Long, 2025-10-26 (Price: 87.22)",2025-11-23 (Price: 94.66),"8.53%, 28 days","91.43%, Past 10 years, 35","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-12-04 (Price: 94.76), 8.64% above",1.3 month,"4, 2024-09-29 (Price: 134.26)",2025-10-19 (Price: 86.41),2025-10-26 (Price: 87.22),46/39/39 days,9.66% above/8.64% above/8.64% above,2024-09-29 (Price: 153.0472)/2025-10-26 (Price: 84.9372),31.22%/1.77%/7.51%,"13.76%, 27.26%",8.1 months/19 days/3.6 months,2026-10-14/2025-11-22/2026-04-01,13.13%,2.3%,10.84%,0.5,0.04,85.8332/93.7702/115.44/221.2667/228.7501/295.6013/100.59,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"ATD.TO, Long, 2025-10-15 (Price: 73.4)",2025-12-01 (Price: 75.38),"2.7%, 1.6 month","96.43%, Past 4 years, 28","Daily, is CONFIRMED on 2025-10-15",Already confirmed,"2025-12-04 (Price: 74.49), 1.49% above",1.7 month,"4, 2025-07-02 (Price: 68.48)",2025-10-14 (Price: 73.09),2025-10-15 (Price: 73.4),51/50/50 days,1.92% above/1.49% above/1.49% above,2025-07-02 (Price: 82.4644)/2025-10-15 (Price: 72.6174),5.29%/0.99%/3.68%,"6.48%, 15.84%",3.1 months/4 days/1.0 month,2026-02-26/2025-10-20/2025-11-28,25.63%,10.15%,15.48%,1.24,0.37,73.8257/76.1011/76.35/85.51/85.3936/96.14/No Moving Avg Target,72.67/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.09,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"WMT, Long, 2025-10-14 (Price: 107.21)",2025-12-03 (Price: 114.41),"6.72%, 1.7 month","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-10-14",Already confirmed,"2025-12-04 (Price: 114.84), 7.12% above",1.7 month,"2, 2025-08-22 (Price: 96.83)",2025-10-13 (Price: 102.12),2025-10-14 (Price: 107.21),52/51/51 days,12.46% above/7.12% above/7.12% above,2025-08-22 (Price: 110.2089)/2025-10-14 (Price: 101.5289),12.24%/0.97%/3.78%,"14.39%, 26.01%",1.8 month/4 days/19 days,2026-01-01/2025-10-19/2025-11-10,43.52%,16.53%,26.99%,0.61,0.68,109.7616/111.2625/113.44/No Horizontal Resistance/137.8139/No Next Fib Ext/No Moving Avg Target,101.7/42.3916/85.5556/53.2582/No F-Track Level/No F-Track Level/96.5,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GS, Long, 2025-10-06 (Price: 796.78)",2025-12-02 (Price: 815.21),"2.31%, 1.9 month","75.86%, Past 4 years, 29","Daily, is CONFIRMED on 2025-10-06",Already confirmed,"2025-12-04 (Price: 837.83), 5.15% above",2.0 month,"0, 2023-12-18 (Price: 376.4)",2025-10-02 (Price: 779.38),2025-10-06 (Price: 796.78),63/59/59 days,7.5% above/5.15% above/5.15% above,2023-12-18 (Price: 430.1917)/2025-10-06 (Price: 775.9417),15.23%/0.89%/4.44%,"15.57%, 33.99%",2.2 months/5 days/21 days,2026-01-08/2025-10-13/2025-11-05,-6.28%,23.3%,-29.58%,-0.08,0.8,821.7989/832.157/1049.01/No Horizontal Resistance/931.1482/1236.8362/No Moving Avg Target,779.38/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/641.55,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BPCL.NS, Long, 2025-09-21 (Price: 329.55)",2025-11-23 (Price: 364.55),"10.62%, 2.1 months","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-12-04 (Price: 356.0), 8.03% above",2.5 months,"0, 2021-05-30 (Price: 235.75)",2025-09-07 (Price: 312.5),2025-09-19 (Price: 329.55),88/76/74 days,13.92% above/8.03% above/8.03% above,2021-05-30 (Price: 496.83)/2025-09-21 (Price: 310.08),29.59%/1.78%/11.46%,"32.02%, 47.09%",5.8 months/19 days/2.0 months,2026-05-31/2025-10-18/2025-12-18,12.02%,12.45%,-0.44%,0.38,0.44,345.8627/367.3164/385.83/343.7375/372.4081/393.108/No Moving Avg Target,308.2/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/299.65,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"GDX, Long, 2025-09-21 (Price: 72.36)",2025-12-04 (Price: 81.39) (Today),"12.48%, 2.5 months","91.67%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-12-04 (Price: 81.39), 12.48% above",2.5 months,"2, 2024-12-15 (Price: 36.65)",2025-09-07 (Price: 66.34),2025-09-19 (Price: 72.36),88/76/74 days,22.69% above/12.48% above/12.48% above,2024-12-15 (Price: 38.5655)/2025-09-21 (Price: 64.8751),27.5%/0.75%/11.96%,"1.9%, 52.31%",11.6 months/19 days/2.0 month,2027-02-08/2025-10-18/2025-12-15,19.85%,1.2%,18.66%,1.67,0.09,75.4642/81.0143/93.79/No Horizontal Resistance/72.73/90.9746/No Moving Avg Target,34.26/25.645/50.0225/36.1563/No F-Track Level/No F-Track Level/47.97,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"IWM, Long, 2025-09-18 (Price: 244.84)",2025-12-03 (Price: 249.63),"1.96%, 2.5 months","92.59%, Past 4 years, 27","Daily, is CONFIRMED on 2025-09-18",Already confirmed,"2025-12-04 (Price: 251.82), 2.85% above",2.6 months,"6, 2025-04-14 (Price: 186.53)",2025-09-17 (Price: 238.89),2025-09-18 (Price: 244.84),78/77/77 days,5.41% above/2.85% above/2.85% above,2025-04-14 (Price: 209.3679)/2025-09-18 (Price: 237.9281),5.6%/1.96%/3.61%,"7.05%, 22.58%",3.6 months/4 days/29 days,2026-02-22/2025-09-23/2025-10-30,32.42%,7.38%,25.04%,0.87,0.26,249.2716/253.6787/279.83/No Horizontal Resistance/348.4025/539.5308/No Moving Avg Target,214.92/162.3167/230.2783/157.2742/No F-Track Level/No F-Track Level/216.62,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"FPH.NZ, Long, 2025-08-21 (Price: 38.45)",2025-12-02 (Price: 38.0),"-1.17%, 3.4 months","75.86%, Past 4 years, 58","Daily, is CONFIRMED on 2025-08-21",Already confirmed,"2025-12-04 (Price: 38.2), 0.65% below",3.5 months,"2, 2025-07-02 (Price: 37.5)",2025-08-20 (Price: 37.65),2025-08-21 (Price: 38.45),106/105/105 days,1.46% above/0.65% below/0.65% below,2025-07-02 (Price: 37.0844)/2025-08-21 (Price: 37.2991),11.99%/0.47%/4.38%,"35.23%, 43.46%",2.5 months/5 days/29 days,2025-12-06/2025-08-28/2025-10-02,0%,10.77%,0%,-0.18,0.39,39.7304/40.1341/39.02/39.1917/40.9296/48.5677/No Moving Avg Target,35.78/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.19,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"DOL.TO, Long, 2025-08-19 (Price: 196.9)",2025-11-28 (Price: 199.95),"1.55%, 3.4 months","100.0%, Past 4 years, 44","Daily, is CONFIRMED on 2025-08-19",Already confirmed,"2025-12-04 (Price: 200.08), 1.62% above",3.6 months,"2, 2025-06-26 (Price: 190.73)",2025-08-18 (Price: 196.92),2025-08-19 (Price: 196.9),108/107/107 days,1.6% above/1.62% above/1.62% above,2025-06-26 (Price: 193.4612)/2025-08-19 (Price: 194.8204),10.12%/0.29%/3.51%,"-0.0%, 13.61%",3.4 months/4 days/29 days,2026-01-12/2025-08-24/2025-09-30,31.05%,25.35%,5.71%,1.47,1.07,200.7002/203.8112/200.6/No Horizontal Resistance/194.1559/294.0831/No Moving Avg Target,185.49/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/161.24,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SFTBY, Long, 2025-07-31 (Price: 38.15)",2025-12-04 (Price: 58.53) (Today),"53.42%, 4.2 months","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-04 (Price: 58.53), 53.42% above",4.2 months,"2, 2024-07-31 (Price: 30.54)",2025-06-30 (Price: 36.43),2025-07-18 (Price: 37.5),157/139/126 days,60.66% above/56.08% above/53.42% above,2024-07-31 (Price: 37.19)/2025-07-31 (Price: 32.01),195.86%/14.0%/54.91%,"49.17%, 64.04%",1.2 year/8.7 months/1.1 year,2027-04-20/2026-08-11/2027-02-23,16.52%,15.45%,1.07%,0.27,0.51,42.1901/59.0982/42.72/No Horizontal Resistance/48.3837/56.3971/No Moving Avg Target,25.22/16.82/32.5245/28.6536/No F-Track Level/No F-Track Level/29.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SLV, Long, 2025-07-31 (Price: 33.32)",2025-11-30 (Price: 51.21),"53.69%, 4.1 months","72.22%, Past 20 years, 18","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-04 (Price: 51.76), 55.34% above",4.2 months,"2, 2024-07-31 (Price: 26.39)",2025-06-30 (Price: 32.81),2025-07-02 (Price: 33.24),157/155/126 days,57.76% above/55.72% above/55.34% above,2024-07-31 (Price: 32.034)/2025-07-31 (Price: 31.098),30.37%/2.87%/19.11%,"54.87%, 60.6%",1.4 year/2.9 months/7.7 months,2027-08-26/2025-12-04/2026-06-30,3.89%,5.98%,-2.09%,0.2,0.22,36.0589/39.6875/37.48/No Horizontal Resistance/47.5817/54.635/No Moving Avg Target,26.33/18.99/31.6598/28.4154/No F-Track Level/No F-Track Level/29.96,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BAC, Long, 2025-07-31 (Price: 47.27)",2025-12-04 (Price: 54.16) (Today),"14.58%, 4.2 months","75.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-04 (Price: 54.16), 14.58% above",4.2 months,"8, 2021-07-31 (Price: 38.36)",2025-05-31 (Price: 44.13),2025-07-30 (Price: 47.96),187/127/126 days,22.73% above/12.93% above/14.58% above,2021-07-31 (Price: 51.4786)/2025-07-31 (Price: 42.0938),30.69%/9.64%/20.1%,"25.08%, 44.87%",1.1 year/2.9 months/6.9 months,2027-03-19/2025-12-05/2026-05-25,4.84%,3.94%,0.9%,0.33,0.19,52.673/56.7713/52.62/48.715/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/44.14,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"EEM, Long, 2025-07-31 (Price: 48.56)",2025-12-04 (Price: 54.33) (Today),"11.88%, 4.2 months","80.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-04 (Price: 54.33), 11.88% above",4.2 months,"0, 2020-07-31 (Price: 43.29)",2025-05-31 (Price: 45.52),2025-07-31 (Price: 48.56),187/126/126 days,19.35% above/11.88% above/11.88% above,2020-07-31 (Price: 60.0161)/2025-07-31 (Price: 45.2207),23.15%/1.8%/12.25%,"17.13%, 38.01%",1.1 year/2.9 months/6.2 months,2027-03-22/2025-12-04/2026-04-26,4.02%,6.97%,-2.95%,0.38,0.24,53.7074/54.5086/51.72/51.3833/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,36.7/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/44.66,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BDGI.TO, Long, 2025-07-31 (Price: 52.29)",2025-12-04 (Price: 75.96) (Today),"45.27%, 4.2 months","89.66%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-12-04 (Price: 75.96), 45.27% above",4.2 months,"4, 2023-07-31 (Price: 32.1)",2025-05-31 (Price: 44.61),2025-07-02 (Price: 48.62),187/155/126 days,70.28% above/56.23% above/45.27% above,2023-07-31 (Price: 58.772)/2025-07-31 (Price: 36.956),159.21%/3.87%/50.82%,"37.81%, 54.03%",1.1 year/3.5 months/6.0 months,2027-03-21/2025-12-31/2026-04-16,17.99%,19.81%,-1.82%,0.67,0.65,79.3187/78.8638/64.4/No Horizontal Resistance/50.7492/58.5532/No Moving Avg Target,35.88/24.32/46.0323/42.8299/No F-Track Level/No F-Track Level/41.26,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BPCL.NS, Long, 2025-07-06 (Price: 346.2)",2025-11-30 (Price: 359.1),"3.73%, 4.9 months","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-07-04",Already confirmed,"2025-12-04 (Price: 356.0), 2.83% above",5.0 months,"2, 2024-09-01 (Price: 357.65)",2025-06-29 (Price: 333.0),2025-07-04 (Price: 346.2),158/153/151 days,6.91% above/2.83% above/2.83% above,2024-09-01 (Price: 375.2119)/2025-07-06 (Price: 315.9317),29.59%/1.78%/11.46%,"32.02%, 47.09%",5.8 months/19 days/2.0 months,2026-03-15/2025-08-02/2025-10-02,12.02%,12.45%,-0.44%,0.38,0.44,363.3369/385.8745/353.07/No Horizontal Resistance/372.4081/393.108/No Moving Avg Target,237.3/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/298.54,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"MAR, Long, 2025-07-06 (Price: 280.03)",2025-12-04 (Price: 296.0) (Today),"5.7%, 5.0 months","94.59%, Past 10 years, 37","Weekly, is CONFIRMED on 2025-07-04",Already confirmed,"2025-12-04 (Price: 296.0), 5.7% above",5.0 months,"2, 2025-01-19 (Price: 277.18)",2025-06-29 (Price: 273.47),2025-07-01 (Price: 278.07),158/156/151 days,8.24% above/6.45% above/5.7% above,2025-01-19 (Price: 314.27)/2025-07-06 (Price: 260.27),17.69%/2.51%/8.94%,"12.52%, 61.32%",7.6 months/19 days/2.1 months,2026-06-02/2025-08-02/2025-10-06,18.08%,13.74%,4.35%,1.1,0.49,302.9085/305.0647/281.74/No Horizontal Resistance/372.972/399.3723/No Moving Avg Target,214.58/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/264.74,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
