Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"TCEHY, Long, 2025-10-16 (Price: 79.68)",No Exit Yet,"2.69%, 5 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 81.82), 2.69% above",5 days,No Information,No Information,No Information,"23.66% (Price: 79.3091), 3.17% above, Upmove Bounce Back","2025-04-09 (Price: 52.3), 2025-10-06 (Price: 87.68)",No Information,67.79%/0.36%/27.13%,"-0.0%, 58.13%",794 days/5 days/375 days,2028-12-09/2025-10-23/2027-04-12,21.12%,4.06%,17.06%,0.38,0.23,82.2298/101.2972/100.91/No Horizontal Resistance/91.9947/116.3817,67.91/36.36/76.6795/58.4956/No Fib Ret Level/No Fib Ret Level,80.86/67.19,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"CNU.NZ, Long, 2025-10-16 (Price: 9.11)",No Exit Yet,"1.21%, 5 days","81.82%, Past 5 years, 22","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 9.22), 1.21% above",5 days,No Information,No Information,No Information,"38.2% (Price: 9.046), 1.92% above, Upmove Bounce Back","2025-03-19 (Price: 7.535), 2025-09-05 (Price: 9.98)",No Information,5.65%/5.09%/5.37%,"7.17%, 18.52%",357 days/116 days/236 days,2027-03-17/2026-04-02/2026-09-22,1.6%,1.61%,-0.01%,-0.09,-0.02,9.1328/9.5992/10.58/9.22/10.0225/12.705,8.97/6.0983/7.51/6.7409/No Fib Ret Level/No Fib Ret Level,9.47/8.67,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-10-16 (Price: 36.47)",No Exit Yet,"-1.97%, 5 days","95.45%, Past 5 years, 22","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 35.75), 1.97% below",5 days,No Information,No Information,No Information,"23.66% (Price: 34.5732), 3.4% above, Upmove Bounce Back","2023-10-30 (Price: 20.29), 2025-08-21 (Price: 39.0)",No Information,20.3%/0.52%/5.87%,"4.49%, 24.03%",259 days/12 days/79 days,2026-10-26/2025-11-02/2026-02-07,10.51%,3.38%,7.13%,0.37,0.13,37.2796/38.6108/47.7/39.1438/40.9296/48.5677,35.75/22.5167/30.9793/26.1935/No Fib Ret Level/No Fib Ret Level,37.12/36.07,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2025-10-16 (Price: 180.73)",No Exit Yet,"2.99%, 5 days","88.89%, Past 5 years, 27","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 186.14), 2.99% above",5 days,No Information,No Information,No Information,"23.66% (Price: 171.255), 8.69% above, Upmove Bounce Back","2023-12-15 (Price: 89.93), 2025-06-11 (Price: 196.46)",No Information,96.3%/4.06%/27.18%,"4.51%, 11.99%",453 days/25 days/173 days,2027-08-03/2025-11-21/2026-06-23,34.78%,30.51%,4.27%,0.37,1.41,186.0254/229.8524/244.65/197.56/194.1559/294.0831,174.88/53.835/132.3972/94.2286/No Fib Ret Level/No Fib Ret Level,186.33/170.57,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
FRACTAL TRACK,"NVO, Long, 2025-10-16 (Price: 56.09)",No Exit Yet,"-5.1%, 5 days","94.12%, Past 5 years, 34","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-23 (Price: 53.23), 5.1% below",5 days,No Information,No Information,No Information,"38.2% (Price: 55.7229), 4.47% below, Upmove Bounce Back","2025-08-06 (Price: 45.05), 2025-09-19 (Price: 62.32)",No Information,69.48%/2.33%/29.65%,"11.1%, 21.78%",396 days/24 days/171 days,2027-05-12/2025-11-19/2026-06-20,54.55%,9.03%,45.52%,0.69,0.34,57.3969/72.7207/66.45/139.01/157.4212/201.8641,55.49/37.445/51.1046/45.3824/No Fib Ret Level/No Fib Ret Level,56.43/68.14,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2025-10-15 (Price: 176.2)",2025-10-23 (Price: 186.14) (Today),"5.64%, 6 days","90.0%, Past 6 years, 10","Daily, is Confirmed on 2025-10-15",No Cancellation Possible,"2025-10-23 (Price: 186.14), 5.64% above",6 days,No Information,No Information,No Information,No Information,No Information,No Information,15.26%/5.54%/9.06%,"10.55%, 10.55%",67 days/6 days/31 days,2026-01-20/2025-10-23/2025-11-28,14.73%,25.81%,-11.08%,0.79,1.09,188.6221/192.1637/185.01/197.56/194.1559/294.0831,No Recent Minima/53.835/132.3972/94.2286/No Fib Ret Level/No Fib Ret Level,186.33/170.57,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2025-10-15 (Price: 36.05)",2025-10-23 (Price: 36.46) (Today),"1.14%, 6 days","100.0%, Past 4 years, 7","Daily, is CONFIRMED on 2025-10-15",Already confirmed,"2025-10-23 (Price: 36.46), 1.14% above",6 days,No Information,No Information,No Information,No Information,No Information,3.85% above/1.14% above/1.14% above,5.45%/2.76%/4.66%,"0%, 9.34%",16 days/4 days/8 days,2025-11-07/2025-10-20/2025-10-26,12.79%,5.32%,7.47%,5.11,0.21,39.5108/37.7299/37.87/39.042/40.717/47.4928,33.8/25.6925/32.7076/21.1884/No Fib Ret Level/No Fib Ret Level,35.67/34.57,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"WIPRO.NS, Long, 2025-10-15 (Price: 250.21)",2025-10-23 (Price: 244.3) (Today),"-2.36%, 6 days","92.31%, Past 4 years, 13","Daily, is CONFIRMED on 2025-10-15",Already confirmed,"2025-10-23 (Price: 244.3), 2.36% below",6 days,No Information,No Information,No Information,No Information,No Information,1.66% below/2.36% below/2.36% below,12.97%/1.23%/3.87%,"4.22%, 15.72%",43 days/6 days/16 days,2025-12-16/2025-10-23/2025-11-07,13.11%,12.7%,0.41%,0.82,0.47,270.3519/259.8931/268.73/366.6625/412.2037/473.5829,235.75/187.6063/216.7036/198.5041/No Fib Ret Level/No Fib Ret Level,246.99/265.28,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"WMT, Long, 2025-10-14 (Price: 107.21)",2025-10-23 (Price: 106.86) (Today),"-0.33%, 7 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2025-10-14",Already confirmed,"2025-10-23 (Price: 106.86), 0.33% below",7 days,No Information,No Information,No Information,No Information,No Information,4.64% above/0.33% below/0.33% below,12.24%/1.02%/3.9%,"0%, 13.14%",55 days/4 days/19 days,2026-01-01/2025-10-19/2025-11-10,13.45%,16.98%,-3.53%,1.49,0.71,112.7528/111.3912/113.44/No Horizontal Resistance/137.8139/No Next Fib Ext,101.7/42.3916/85.5556/53.2582/No Fib Ret Level/No Fib Ret Level,101.49/96.5,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2025-10-12 (Price: 45.66)",2025-10-23 (Price: 42.48) (Today),"-6.96%, 8 days","83.33%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-23 (Price: 42.48), 6.96% below",8 days,No Information,No Information,No Information,No Information,No Information,6.23% below/6.27% below/6.96% below,15.89%/0.85%/5.15%,"21.59%, 44.18%",314 days/9 days/77 days,2027-01-09/2025-10-25/2026-01-31,4.06%,6.06%,-2.0%,0.37,0.19,47.8197/48.0115/50.49/52.46/58.6089/65.2057,38.23/34.5167/41.5794/31.0544/No Fib Ret Level/No Fib Ret Level,41.29/40.19,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"BDGI.TO, Long, 2025-10-12 (Price: 65.01)",2025-10-23 (Price: 70.08) (Today),"7.8%, 8 days","79.17%, Past 10 years, 24","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-23 (Price: 70.08), 7.8% above",8 days,No Information,No Information,No Information,No Information,No Information,7.8% above/7.8% above/7.8% above,22.6%/3.76%/12.95%,"47.14%, 54.37%",164 days/24 days/57 days,2026-06-06/2025-11-15/2026-01-02,3.07%,17.39%,-14.32%,0.18,0.59,74.8265/73.4288/82.43/No Horizontal Resistance/63.2847/70.6207,35.59/24.32/58.5532/50.7492/No Fib Ret Level/No Fib Ret Level,57.75/46.03,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-09 (Price: 6.02)",2025-10-23 (Price: 5.93) (Today),"-1.5%, 10 days","85.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-10-09",Already confirmed,"2025-10-23 (Price: 5.93), 1.5% below",10 days,No Information,No Information,No Information,No Information,No Information,0.5% below/1.5% below/1.5% below,7.98%/0.46%/4.31%,"4.97%, 14.45%",178 days/5 days/42 days,2026-06-23/2025-10-16/2025-12-08,11.94%,1.86%,10.08%,0.74,0.08,6.2205/6.2795/6.12/6.825/7.4565/8.4213,5.57/4.3875/4.5145/3.5923/No Fib Ret Level/No Fib Ret Level,5.71/5.75,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"PYPL, Long, 2025-10-07 (Price: 74.61)",2025-10-23 (Price: 69.66) (Today),"-6.63%, 12 days","75.0%, Past 4 years, 8","Daily, is CONFIRMED on 2025-10-07",Already confirmed,"2025-10-23 (Price: 69.66), 6.63% below",12 days,No Information,No Information,No Information,No Information,No Information,2.29% below/6.63% below/6.63% below,11.07%/3.8%/6.57%,"17.75%, 23.23%",23 days/4 days/10 days,2025-11-09/2025-10-12/2025-10-21,7.94%,-7.13%,15.07%,0.27,-0.06,78.6837/79.5119/77.84/309.65/318.1818/No Next Fib Ext,66.66/56.966/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,68.63/72.81,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-10-06 (Price: 796.78)",2025-10-23 (Price: 750.78) (Today),"-5.77%, 13 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2025-10-06",Already confirmed,"2025-10-23 (Price: 750.78), 5.77% below",13 days,No Information,No Information,No Information,No Information,No Information,3.67% below/5.77% below/5.77% below,8.8%/0.89%/4.44%,"14.29%, 31.34%",53 days/5 days/22 days,2025-12-21/2025-10-13/2025-11-06,9.03%,23.38%,-14.35%,0.38,0.81,824.5876/832.157/1049.01/No Horizontal Resistance/931.1482/1236.8362,779.38/288.555/794.5775/634.5288/No Fib Ret Level/No Fib Ret Level,756.01/641.55,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"TCEHY, Long, 2025-10-05 (Price: 86.51)",2025-10-23 (Price: 81.82) (Today),"-5.42%, 13 days","90.91%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2025-10-23 (Price: 81.82), 5.42% below",13 days,No Information,No Information,No Information,No Information,No Information,1.88% below/5.42% below/5.42% below,16.74%/5.02%/11.43%,"2.99%, 23.62%",129 days/19 days/59 days,2026-04-09/2025-11-01/2025-12-29,11.75%,21.47%,-9.72%,2.06,0.73,93.872/96.3981/114.83/No Horizontal Resistance/91.9947/116.3817,57.4/36.36/76.6795/58.3318/No Fib Ret Level/No Fib Ret Level,77.75/65.14,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
OSCILLATOR DELTA,"TRI.TO, Long, 2025-10-03 (Price: 213.48)",2025-10-22 (Price: 228.2),"6.9%, 13 days","100.0%, Past 6 years, 11","Daily, is Confirmed on 2025-10-03",No Cancellation Possible,"2025-10-23 (Price: 228.64), 7.1% above",14 days,No Information,No Information,No Information,No Information,No Information,No Information,28.53%/5.03%/9.58%,"0.0%, 12.44%",229 days/2 days/66 days,2026-08-30/2025-10-05/2026-01-06,21.98%,17.11%,4.87%,1.44,0.74,233.6539/233.9314/226.29/240.8933/293.2329/455.2123,No Recent Minima/116.89/193.124/131.2534/No Fib Ret Level/No Fib Ret Level,229.76/249.49,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
TRENDPULSE,"IBIT, Long, 2025-10-02 (Price: 68.77)",2025-10-23 (Price: 62.56) (Today),"-9.03%, 15 days","100.0%, Past 4 years, 4","Daily, is CONFIRMED on 2025-10-02",Already confirmed,"2025-10-23 (Price: 62.56), 9.03% below",15 days,No Information,No Information,No Information,No Information,No Information,3.75% below/9.03% below/9.03% below,7.07%/4.18%/5.4%,"0%, 8.48%",39 days/4 days/13 days,2025-11-27/2025-10-07/2025-10-20,36.83%,68.92%,-32.09%,4.41,1.78,78.1915/72.4836/69.26/No Horizontal Resistance/70.3093/87.2457,61.94/41.99/60.36/52.8569/No Fib Ret Level/No Fib Ret Level,65.15/58.09,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"PPH, Long, 2025-10-01 (Price: 94.26)",2025-10-23 (Price: 92.49) (Today),"-1.88%, 16 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2025-10-01",Already confirmed,"2025-10-23 (Price: 92.49), 1.88% below",16 days,No Information,No Information,No Information,No Information,No Information,2.36% above/1.88% below/1.88% below,3.01%/1.25%/1.99%,"8.41%, 20.52%",87 days/4 days/20 days,2026-02-04/2025-10-06/2025-10-29,4.8%,7.56%,-2.76%,0.27,0.28,96.2866/96.1358/102.72/No Horizontal Resistance/100.0174/110.0139,85.99/65.915/87.7591/70.617/No Fib Ret Level/No Fib Ret Level,87.67/88.07,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"KWEB, Long, 2025-09-30 (Price: 42.01)",2025-10-23 (Price: 40.27) (Today),"-4.14%, 17 days","100.0%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 40.27), 4.14% below",17 days,No Information,No Information,No Information,No Information,No Information,4.14% below/4.0% below/4.14% below,46.31%/6.03%/27.1%,"0%, 16.01%",325 days/130 days/205 days,2027-01-13/2026-04-06/2026-07-23,16.92%,3.48%,13.44%,2.2,0.15,58.8182/53.3947/46.8/71.73/No Next Fib Ext/No Next Fib Ext,23.34/24.5062/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,38.29/34.34,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"^GSPC, Long, 2025-09-30 (Price: 6688.46)",2025-10-23 (Price: 6738.4399) (Today),"0.75%, 17 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 6738.4399), 0.75% above",17 days,No Information,No Information,No Information,No Information,No Information,0.75% above/0.75% above/0.75% above,15.39%/5.61%/10.47%,"7.48%, 24.77%",631 days/87 days/231 days,2028-03-31/2026-02-03/2026-08-30,6.19%,6.14%,0.05%,1.33,0.2,7688.3848/7388.7418/8683.74/No Horizontal Resistance/6767.7249/9765.5661,5569.06/4106.4632/6316.2337/5433.2046/No Fib Ret Level/No Fib Ret Level,6474.72/6021.22,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"ACWX, Long, 2025-09-30 (Price: 65.01)",2025-10-23 (Price: 66.29) (Today),"1.97%, 17 days","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 66.29), 1.97% above",17 days,No Information,No Information,No Information,No Information,No Information,1.97% above/2.95% above/1.97% above,12.34%/1.81%/5.37%,"10.41%, 24.22%",371 days/261 days/319 days,2027-03-21/2026-10-13/2027-01-05,0.86%,0.96%,-0.1%,0.14,-0.1,66.4207/68.501/74.28/No Horizontal Resistance/69.6679/76.9985,52.16/45.07/61.9685/307.3483/No Fib Ret Level/No Fib Ret Level,62.96/58.09,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-09-30 (Price: 155.74)",2025-10-23 (Price: 137.36) (Today),"-11.8%, 17 days","70.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 137.36), 11.8% below",17 days,No Information,No Information,No Information,No Information,No Information,8.4% above/2.94% below/11.8% below,50.73%/14.74%/29.84%,"32.86%, 44.83%",325 days/99 days/172 days,2027-01-13/2026-02-20/2026-06-06,7.15%,18.86%,-11.71%,0.54,0.59,206.4957/202.2128/209.37/No Horizontal Resistance/146.152/178.0989,55.12/48.855/125.9496/92.3678/No Fib Ret Level/No Fib Ret Level,137.75/113.78,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"EEM, Long, 2025-09-30 (Price: 53.4)",2025-10-23 (Price: 54.74) (Today),"2.51%, 17 days","80.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 54.74), 2.51% above",17 days,No Information,No Information,No Information,No Information,No Information,2.51% above/2.91% above/2.51% above,16.96%/9.46%/12.5%,"17.13%, 32.71%",281 days/87 days/173 days,2026-11-11/2026-02-03/2026-06-07,4.83%,6.75%,-1.92%,0.52,0.23,67.4442/60.075/60.62/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,36.7/37.485/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,50.66/46.03,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"SPY, Long, 2025-09-30 (Price: 666.18)",2025-10-23 (Price: 671.76) (Today),"0.84%, 17 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 671.76), 0.84% above",17 days,No Information,No Information,No Information,No Information,No Information,0.84% above/0.84% above/0.84% above,13.4%/3.69%/8.82%,"0%, 6.63%",303 days/87 days/183 days,2026-12-12/2026-02-03/2026-06-22,6.81%,6.14%,0.67%,2.51,0.2,764.1751/724.9371/864.95/No Horizontal Resistance/969.1148/1522.3697,554.54/412.1625/627.1849/415.8599/No Fib Ret Level/No Fib Ret Level,645.85/600.46,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",2025-10-23 (Price: 3.17) (Today),"-5.93%, 17 days","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 3.17), 5.93% below",17 days,No Information,No Information,No Information,No Information,No Information,0.63% above/0.32% above/5.93% below,27.18%/18.27%/23.24%,"10.91%, 14.75%",260 days/109 days/159 days,2026-10-11/2026-03-06/2026-05-18,6.99%,0.65%,6.34%,0.9,-0.01,4.2604/4.1532/4.39/7.985/12.7156/14.3053,2.83/2.82/3.1474/16.1988/No Fib Ret Level/No Fib Ret Level,3.09/3.1,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"MX.TO, Long, 2025-09-30 (Price: 55.33)",2025-10-23 (Price: 50.3) (Today),"-9.09%, 17 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 50.3), 9.09% below",17 days,No Information,No Information,No Information,No Information,No Information,8.59% above/9.09% below/9.09% below,51.09%/9.27%/29.03%,"12.82%, 35.46%",456 days/107 days/230 days,2027-07-22/2026-03-03/2026-08-29,12.98%,8.21%,4.77%,1.3,0.33,61.0954/71.3923/55.66/73.435/104.8718/122.9238,43.2/38.425/48.7635/45.8359/No Fib Ret Level/No Fib Ret Level,49.71/53.65,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
FRACTAL TRACK,"IEI, Long, 2025-09-30 (Price: 119.51)",No Exit Yet,"0.51%, 17 days","100.0%, Past 18 years, 4","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 120.12), 0.51% above",17 days,No Information,No Information,No Information,"23.66% (Price: 115.4064), 4.08% above, Upmove Bounce Back","2007-03-31 (Price: 99.52), 2024-09-30 (Price: 120.33)",No Information,1.94%/1.94%/1.94%,"-0.0%, 3.8%",784 days/784 days/784 days,2028-11-08/2028-11-08/2028-11-08,3.94%,0.92%,3.02%,0.41,-0.77,120.1673/121.8285/132.0/129.9625/No Next Fib Ext/No Next Fib Ext,113.16/113.8775/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,119.6/118.02,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
FRACTAL TRACK,"BPCL.NS, Long, 2025-09-30 (Price: 339.65)",No Exit Yet,"-2.46%, 17 days","100.0%, Past 29 years, 9","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 331.3), 2.46% below",17 days,No Information,No Information,No Information,"61.8% (Price: 232.6394), 42.41% above, Upmove Bounce Back","2022-12-31 (Price: 144.025), 2024-09-30 (Price: 376.0)",No Information,235.98%/69.81%/135.85%,"-0.0%, 57.26%",1891 days/716 days/1010 days,2033-03-30/2028-08-02/2029-10-01,16.85%,11.42%,5.43%,0.75,0.39,377.0115/801.0645/478.83/343.7375/372.4081/393.108,152.4/145.35/295.7614/248.4289/No Fib Ret Level/No Fib Ret Level,325.91/304.08,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
FRACTAL TRACK,"INDA, Long, 2025-09-30 (Price: 52.06)",No Exit Yet,"5.19%, 17 days","100.0%, Past 13 years, 5","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 54.76), 5.19% above",17 days,No Information,No Information,No Information,"50% (Price: 48.63), 12.61% above, Upmove Bounce Back","2023-03-31 (Price: 37.77), 2024-09-30 (Price: 59.49)",No Information,27.54%/16.24%/21.39%,"-0.0%, 19.16%",707 days/512 days/623 days,2028-07-20/2027-10-11/2028-03-20,6.43%,5.69%,0.74%,1.04,0.17,57.1306/63.1956/65.09/55.3633/66.8401/79.771,39.36/39.06/49.0901/45.3705/No Fib Ret Level/No Fib Ret Level,53.14/52.54,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2025-09-30 (Price: 74.25)",No Exit Yet,"-1.95%, 17 days","100.0%, Past 37 years, 5","Quarterly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-10-23 (Price: 72.8), 1.95% below",17 days,No Information,No Information,No Information,"23.66% (Price: 67.0289), 8.61% above, Upmove Bounce Back","2008-09-30 (Price: 1.72), 2024-03-31 (Price: 87.27)",No Information,134.64%/29.11%/81.88%,"-0.0%, 42.24%",1566 days/1174 days/1370 days,2031-12-16/2030-05-27/2031-03-07,8.08%,22.7%,-14.62%,0.61,0.72,71.1315/135.0459/125.58/85.51/85.3936/96.14,67.69/45.49/59.8475/53.4732/No Fib Ret Level/No Fib Ret Level,72.54/71.96,90.0%/10/1207 days (Across ALL Assets),52.17%/23/344 days (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2025-09-28 (Price: 273.36)",2025-10-23 (Price: 290.73) (Today),"6.35%, 18 days","90.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2025-09-26",Already confirmed,"2025-10-23 (Price: 290.73), 6.35% above",18 days,No Information,No Information,No Information,No Information,No Information,12.11% above/6.35% above/6.35% above,40.88%/5.34%/14.87%,"3.63%, 21.69%",189 days/29 days/60 days,2026-06-28/2025-11-09/2025-12-23,15.56%,23.68%,-8.12%,1.14,0.87,317.2616/314.0086/330.59/No Horizontal Resistance/274.027/334.306,146.8/83.575/233.1074/217.8566/No Fib Ret Level/No Fib Ret Level,246.14/207.14,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"XLE, Long, 2025-09-26 (Price: 91.99)",2025-10-23 (Price: 88.97) (Today),"-3.28%, 19 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-09-26",Already confirmed,"2025-10-23 (Price: 88.97), 3.28% below",19 days,No Information,No Information,No Information,No Information,No Information,2.39% below/3.28% below/3.28% below,7.08%/0.4%/4.08%,"17.64%, 40.87%",27 days/4 days/11 days,2025-11-04/2025-10-01/2025-10-11,5.04%,6.12%,-1.08%,0.11,0.24,95.5408/95.7432/94.32/98.445/106.8857/117.7423,87.67/45.695/89.0231/74.1414/No Fib Ret Level/No Fib Ret Level,87.52/86.91,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"SONY, Long, 2025-09-26 (Price: 29.78)",2025-10-23 (Price: 28.71) (Today),"-3.59%, 19 days","81.82%, Past 4 years, 11","Daily, is CONFIRMED on 2025-09-26",Already confirmed,"2025-10-23 (Price: 28.71), 3.59% below",19 days,No Information,No Information,No Information,No Information,No Information,3.59% below/3.59% below/3.59% below,7.79%/1.36%/3.92%,"15.95%, 32.85%",39 days/4 days/15 days,2025-11-21/2025-10-01/2025-10-17,4.41%,15.89%,-11.48%,0.11,0.58,31.2005/30.9474/32.7/No Horizontal Resistance/33.2191/35.3948,26.95/14.992/26.0795/24.8529/No Fib Ret Level/No Fib Ret Level,27.29/24.72,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
