"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ENZL, Long, 2026-01-23 (Price: 46.62)",No Exit Yet,"1.2%, 4 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 47.18), 1.2% above",4 days,"0, 2024-04-08 (Price: 45.41)",2026-01-21 (Price: 46.11),2026-01-23 (Price: 46.62),6/4/4 days,2.32% above/1.2% above/1.2% above,2024-04-08 (Price: 52.3531)/2026-01-23 (Price: 45.9134),5.17%/0.29%/1.92%,"10.32%, 33.2%",1.9 month/8 days/20 days,2026-04-15/2026-02-03/2026-02-20,-5.23%,-2.63%,-2.6%,0.15,-0.23,46.9184/47.5151/47.35/65.1933/79.7363/84.688/No EMA 200 Target,44.64/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.34,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),46.49
"GILD, Long, 2026-01-23 (Price: 135.93)",No Exit Yet,"3.49%, 4 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 140.68), 3.49% above",4 days,"2, 2025-11-20 (Price: 124.99)",2026-01-21 (Price: 129.11),2026-01-23 (Price: 135.93),6/4/4 days,8.96% above/3.49% above/3.49% above,2025-11-20 (Price: 128.9345)/2026-01-23 (Price: 124.5918),8.4%/1.52%/3.99%,"5.96%, 27.45%",3.3 months/7 days/1.1 month,2026-06-15/2026-02-02/2026-03-11,10.05%,7.71%,2.34%,1.26,0.4,141.9789/141.3536/142.49/No Horizontal Resistance/146.167/154.7608/No EMA 200 Target,118.3/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/114.82,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),131.26
"MEL.NZ, Long, 2026-01-23 (Price: 5.7)",No Exit Yet,"0.18%, 4 days","93.94%, Past 4 years, 33","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 5.71), 0.18% above",4 days,"2, 2025-11-04 (Price: 6.03)",2026-01-22 (Price: 5.69),2026-01-23 (Price: 5.7),5/4/4 days,0.35% above/0.18% above/0.18% above,2025-11-04 (Price: 6.0392)/2026-01-23 (Price: 5.5621),6.97%/1.45%/3.64%,"6.51%, 16.22%",8.3 months/20 days/2.9 months,2027-01-18/2026-02-20/2026-05-29,15.17%,1.53%,13.64%,0.66,0.09,5.9006/5.9075/5.9/6.825/7.4565/8.4564/5.73,5.52/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),5.65
"DIS, Long, 2026-01-22 (Price: 113.21)",No Exit Yet,"-2.58%, 5 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 110.285), 2.58% below",5 days,"6, 2025-08-18 (Price: 116.55)",2026-01-21 (Price: 113.19),2026-01-22 (Price: 113.21),6/5/5 days,2.57% below/2.58% below/2.58% below,2025-08-18 (Price: 121.3017)/2026-01-22 (Price: 111.7386),9.92%/0.82%/3.59%,"37.38%, 50.6%",5 months/8 days/1.4 month,2026-08-27/2026-02-02/2026-03-23,-16.64%,-4.09%,-12.55%,-0.07,-0.15,115.7346/117.2742/115.21/168.455/207.5364/245.6322/No EMA 200 Target,110.34/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/111.22,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),113.17
"AMD, Long, 2026-01-22 (Price: 253.73)",No Exit Yet,"-0.09%, 5 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 253.5), 0.09% below",5 days,"2, 2025-11-28 (Price: 217.53)",2026-01-21 (Price: 249.8),2026-01-22 (Price: 253.73),6/5/5 days,1.48% above/0.09% below/0.09% below,2025-11-28 (Price: 225.2491)/2026-01-22 (Price: 238.4055),15.23%/5.01%/9.23%,"0.89%, 48.49%",2.6 months/7 days/20 days,2026-05-14/2026-02-01/2026-02-19,27.17%,20.84%,6.33%,1.91,0.87,274.3836/277.1493/275.45/No Horizontal Resistance/273.8526/307.9609/No EMA 200 Target,203.17/72.05/251.3512/219.0648/No F-Track Level/No F-Track Level/170.96,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),251.75
"XLE, Long, 2026-01-22 (Price: 48.91)",No Exit Yet,"0.89%, 5 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 49.345), 0.89% above",5 days,"2, 2025-11-11 (Price: 45.765)",2026-01-20 (Price: 47.6),2026-01-22 (Price: 48.91),7/5/5 days,3.67% above/0.89% above/0.89% above,2025-11-11 (Price: 46.0491)/2026-01-22 (Price: 47.7451),6.81%/0.4%/3.61%,"6.99%, 40.87%",1.5 month/6 days/17 days,2026-03-28/2026-01-30/2026-02-15,10.35%,4.61%,5.74%,0.88,0.26,51.5071/50.6757/50.8/49.2225/53.4428/58.8712/No EMA 200 Target,43.81/22.8475/44.5115/37.0707/No F-Track Level/No F-Track Level/43.58,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),48.62
"^BVSP, Long, 2026-01-22 (Price: 175589.0)",No Exit Yet,"4.24%, 5 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 183033.5938), 4.24% above",5 days,"2, 2025-11-27 (Price: 158292.0)",2026-01-20 (Price: 166277.0),2026-01-22 (Price: 175589.0),7/5/5 days,10.08% above/4.24% above/4.24% above,2025-11-27 (Price: 165265.1744)/2026-01-22 (Price: 163773.686),5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-10-05/2026-02-01/2026-03-06,10.46%,4.14%,6.32%,1.7,0.2,186229.6934/180628.4043/185967.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,157327.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/144087.66,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),171817.0
"PG, Long, 2026-01-20 (Price: 147.0)",2026-01-27 (Price: 148.15) (Today),"0.78%, 7 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-20",Already confirmed,"2026-01-27 (Price: 148.15), 0.78% above",7 days,"4, 2025-09-02 (Price: 157.99)",2026-01-16 (Price: 144.53),2026-01-20 (Price: 147.0),11/7/7 days,2.5% above/0.78% above/0.78% above,2025-09-02 (Price: 164.4567)/2026-01-20 (Price: 144.0005),3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-12/2026-01-28/2026-03-13,9.71%,2.06%,7.65%,0.36,0.03,148.5729/149.94/153.59/179.4533/186.6499/209.3631/154.63,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),144.46
"XIU.TO, Long, 2026-01-18 (Price: 48.64)",No Exit Yet,"-0.82%, 9 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-27 (Price: 48.24), 0.82% below",9 days,"2, 2024-11-24 (Price: 38.41)",2026-01-11 (Price: 48.22),2026-01-18 (Price: 48.64),16/9/9 days,0.04% above/0.82% below/0.82% below,2024-11-24 (Price: 38.3918)/2026-01-18 (Price: 47.9139),5.21%/1.57%/3.78%,"2.16%, 32.4%",1.1 year/1.2 month/6.5 months,2027-08-14/2026-03-11/2026-10-27,5.54%,4.24%,1.3%,1.64,0.19,49.569/50.4786/54.78/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/42.5,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),48.27
"ASML, Long, 2026-01-18 (Price: 1358.5699)",No Exit Yet,"7.38%, 9 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-27 (Price: 1458.765), 7.38% above",9 days,"2, 2025-07-06 (Price: 794.5)",2026-01-18 (Price: 1358.5699),2026-01-18 (Price: 1358.5699),9/9/9 days,7.38% above/7.38% above/7.38% above,2025-07-06 (Price: 806.2086)/2026-01-18 (Price: 1258.5642),26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-08/2026-03-11/2026-06-19,11.7%,15.27%,-3.57%,1.0,0.74,1503.3935/1524.9947/1697.01/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,689.82/576.784/1034.6774/832.8601/No F-Track Level/No F-Track Level/873.67,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),1256.0601
"GS, Long, 2026-01-18 (Price: 962.0)",No Exit Yet,"-3.98%, 9 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-27 (Price: 923.68), 3.98% below",9 days,"2, 2025-07-06 (Price: 723.68)",2026-01-18 (Price: 962.0),2026-01-18 (Price: 962.0),9/9/9 days,3.98% below/3.98% below/3.98% below,2025-07-06 (Price: 725.236)/2026-01-18 (Price: 938.1843),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-03-10/2026-03-19/2026-10-10,9.45%,7.78%,1.67%,2.03,0.4,986.3386/1046.0788/1104.99/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/727.07,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),934.0
"MTY.TO, Long, 2026-01-18 (Price: 40.33)",No Exit Yet,"4.98%, 9 days","73.91%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-27 (Price: 42.34), 4.98% above",9 days,"8, 2023-04-16 (Price: 59.7)",2026-01-18 (Price: 40.33),2026-01-18 (Price: 40.33),9/9/9 days,4.98% above/4.98% above/4.98% above,2023-04-16 (Price: 70.7306)/2026-01-18 (Price: 39.5891),16.17%/2.07%/7.98%,"37.54%, 76.03%",1.1 year/28 days/4.3 months,2027-08-14/2026-02-27/2026-07-23,2.07%,4.23%,-2.16%,-0.11,0.25,41.1527/43.5483/51.95/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.34/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.21,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),39.9
"MSE.PA, Long, 2026-01-18 (Price: 67.23)",No Exit Yet,"-0.59%, 9 days","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-27 (Price: 66.83), 0.59% below",9 days,"2, 2025-07-06 (Price: 58.64)",2026-01-18 (Price: 67.23),2026-01-18 (Price: 67.23),9/9/9 days,0.59% below/0.59% below/0.59% below,2025-07-06 (Price: 60.0117)/2026-01-18 (Price: 66.601),10.47%/2.5%/6.07%,"-0.0%, 33.38%",1.4 year/1.2 month/6.9 months,2028-01-16/2026-03-11/2026-11-13,7.99%,3.79%,4.2%,2.07,0.15,70.8873/71.3109/72.38/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,61.34/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/60.53,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),66.84
"^BVSP, Long, 2026-01-15 (Price: 165568.0)",2026-01-26 (Price: 178721.0),"7.94%, 11 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-27 (Price: 183033.5938), 10.55% above",12 days,"2, 2025-11-19 (Price: 155381.0)",2026-01-14 (Price: 165146.0),2026-01-15 (Price: 165568.0),13/12/12 days,10.83% above/10.55% above/10.55% above,2025-11-19 (Price: 165586.6111)/2026-01-15 (Price: 163784.6111),5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-09-28/2026-01-25/2026-02-27,10.46%,4.14%,6.32%,1.7,0.2,175601.4208/170319.8016/171680.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,157327.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/143125.97,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),165180.0
"WPM, Long, 2026-01-15 (Price: 135.5)",2026-01-23 (Price: 146.16),"7.87%, 8 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-27 (Price: 145.83), 7.62% above",12 days,"2, 2025-11-21 (Price: 99.27)",2026-01-15 (Price: 135.5),2026-01-15 (Price: 135.5),12/12/12 days,7.62% above/7.62% above/7.62% above,2025-11-21 (Price: 110.0779)/2026-01-15 (Price: 131.5351),15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-06-29/2026-01-20/2026-03-12,22.59%,17.13%,5.46%,1.09,0.81,146.0148/144.0365/157.24/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,104.96/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/97.95,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),131.63
"WPM.TO, Long, 2026-01-14 (Price: 184.93)",2026-01-22 (Price: 198.25),"7.2%, 8 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-27 (Price: 198.39), 7.28% above",13 days,"2, 2025-11-12 (Price: 150.99)",2026-01-12 (Price: 178.39),2026-01-14 (Price: 184.93),15/13/13 days,11.21% above/7.28% above/7.28% above,2025-11-12 (Price: 151.1722)/2026-01-14 (Price: 177.7597),9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-07-24/2026-01-22/2026-02-26,12.04%,18.03%,-5.99%,0.06,0.87,199.0771/194.2505/205.29/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/135.01,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),183.95
"BABA, Long, 2026-01-13 (Price: 167.01)",2026-01-27 (Price: 174.88) (Today),"4.71%, 14 days","73.33%, Past 4 years, 30","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-27 (Price: 174.88), 4.71% above",14 days,"2, 2025-10-24 (Price: 174.7)",2026-01-09 (Price: 150.96),2026-01-13 (Price: 167.01),18/14/14 days,15.85% above/4.71% above/4.71% above,2025-10-24 (Price: 182.7225)/2026-01-13 (Price: 148.7306),13.07%/3.26%/7.2%,"49.23%, 66.54%",2.5 months/6 days/1.2 month,2026-05-01/2026-01-21/2026-03-06,-7.81%,-3.01%,-4.8%,-0.14,0.07,170.6508/179.0347/171.62/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,146.58/67.495/144.416/No support/No F-Track Level/No F-Track Level/138.31,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),165.5
"MTY.TO, Long, 2026-01-07 (Price: 40.04)",2026-01-26 (Price: 42.91),"7.17%, 19 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-27 (Price: 42.34), 5.74% above",20 days,"0, 2024-03-21 (Price: 53.02)",2026-01-06 (Price: 40.03),2026-01-07 (Price: 40.04),21/20/20 days,5.77% above/5.74% above/5.74% above,2024-03-21 (Price: 66.6843)/2026-01-07 (Price: 38.5086),7.25%/0.53%/3.58%,"0.46%, 22.19%",2.6 months/7 days/21 days,2026-04-29/2026-01-17/2026-02-06,16.78%,-4.47%,21.25%,1.28,-0.0,41.8178/41.4734/47.83/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),39.7
"NVO, Long, 2026-01-04 (Price: 52.39)",2026-01-27 (Price: 62.715) (Today),"19.71%, 23 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-27 (Price: 62.715), 19.71% above",23 days,"2, 2025-03-02 (Price: 90.65)",2025-12-28 (Price: 52.4),2026-01-04 (Price: 52.39),30/23/23 days,19.69% above/19.71% above/19.71% above,2025-03-02 (Price: 95.0201)/2026-01-04 (Price: 47.1478),20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),51.56
"JPY=X, Long, 2025-12-31 (Price: 156.413)",No Exit Yet,"-2.0%, 27 days","73.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 153.284), 2.0% below",27 days,"2, 2024-06-30 (Price: 160.687)",2025-11-30 (Price: 156.284),2025-12-31 (Price: 156.413),58/27/27 days,1.92% below/2.0% below/2.0% below,2024-06-30 (Price: 162.4562)/2025-12-31 (Price: 153.2012),18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-27/2026-08-05/2027-02-03,-1.08%,0.88%,-1.96%,0.37,-0.3,172.2576/173.5089/158.98/159.6617/175.8568/187.2285/No EMA 200 Target,142.3/110.2702/138.2059/No support/No F-Track Level/No F-Track Level/148.77,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),155.887
"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"16.88%, 27 days","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 351.97), 16.88% above",27 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-31 (Price: 301.15),2025-12-31 (Price: 301.15),27/27/27 days,16.88% above/16.88% above/16.88% above,2015-06-30 (Price: 22.1158)/2025-12-31 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),269.38
"BAC, Long, 2025-12-31 (Price: 55.0)",No Exit Yet,"-5.61%, 27 days","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 51.915), 5.61% below",27 days,"4, 2022-08-31 (Price: 33.61)",2025-11-30 (Price: 53.65),2025-12-31 (Price: 55.0),58/27/27 days,3.23% below/5.61% below/5.61% below,2022-08-31 (Price: 37.3153)/2025-12-31 (Price: 51.7863),30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-11-08/2026-08-05/2027-01-26,4.68%,2.37%,2.31%,0.29,0.18,64.064/64.9825/67.83/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/47.69,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),53.5
"MAR, Long, 2025-12-31 (Price: 310.24)",No Exit Yet,"1.27%, 27 days","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 314.17), 1.27% above",27 days,"2, 2024-12-31 (Price: 278.94)",2025-11-30 (Price: 304.79),2025-12-31 (Price: 310.24),58/27/27 days,3.08% above/1.27% above/1.27% above,2024-12-31 (Price: 317.028)/2025-12-31 (Price: 259.98),30.2%/3.49%/16.71%,"0%, 34.42%",2.2 years/5 months/10.1 months,2029-02-20/2026-08-05/2027-03-14,9.36%,7.98%,1.38%,1.77,0.4,379.9199/362.0811/329.02/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,136.01/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/267.22,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),302.43
"FBU.NZ, Long, 2025-12-31 (Price: 3.68)",No Exit Yet,"5.98%, 27 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 3.9), 5.98% above",27 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-12-31 (Price: 3.68),88/27/27 days,19.63% above/5.98% above/5.98% above,2021-04-30 (Price: 8.1708)/2025-12-31 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-22/2026-08-05/2026-08-18,5.5%,0.69%,4.81%,1.23,0.0,4.2997/4.4484/5.83/7.985/12.7156/14.3053/No EMA 200 Target,2.83/2.82/3.5015/3.1474/No F-Track Level/No F-Track Level/3.23,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),3.28
"MFT.NZ, Long, 2025-12-31 (Price: 68.62)",No Exit Yet,"-0.29%, 27 days","92.86%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 68.42), 0.29% below",27 days,"0, 2020-12-31 (Price: 69.5)",2025-12-31 (Price: 68.62),2025-12-31 (Price: 68.62),27/27/27 days,0.29% below/0.29% below/0.29% below,2020-12-31 (Price: 105.6512)/2025-12-31 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-26/2026-08-05/2027-01-04,9.96%,11.66%,-1.7%,0.82,0.67,106.3884/77.7327/69.15/85.45/105.252/119.9356/No EMA 200 Target,55.51/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.85,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),67.06
"BDGI.TO, Long, 2025-12-31 (Price: 73.13)",No Exit Yet,"6.22%, 27 days","100.0%, Past 33 years, 6","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 77.68), 6.22% above",27 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-31 (Price: 73.13),119/27/27 days,26.56% above/6.22% above/6.22% above,2018-06-30 (Price: 49.0339)/2025-12-31 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-26/2027-11-08/2028-04-13,16.49%,8.5%,7.99%,0.7,0.42,150.8453/189.2824/98.01/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,26.66/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/55.48,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),61.31
"EFA, Long, 2025-12-31 (Price: 96.03)",No Exit Yet,"5.87%, 27 days","80.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-27 (Price: 101.665), 5.87% above",27 days,"2, 2023-06-30 (Price: 72.5)",2025-12-31 (Price: 96.03),2025-12-31 (Price: 96.03),27/27/27 days,5.87% above/5.87% above/5.87% above,2023-06-30 (Price: 74.0386)/2025-12-31 (Price: 95.0814),18.42%/4.43%/10.16%,"13.47%, 23.01%",1.5 year/5 months/8.9 months,2028-02-21/2026-08-05/2027-01-21,4.72%,2.4%,2.32%,0.44,0.03,108.197/105.7866/110.15/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.61/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/90.09,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),94.92
"GS, Long, 2025-12-28 (Price: 907.04)",2026-01-27 (Price: 923.68) (Today),"1.83%, 1 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-27 (Price: 923.68), 1.83% above",1 month,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-28 (Price: 907.04),44/30/30 days,4.02% above/1.83% above/1.83% above,2024-08-11 (Price: 536.6316)/2025-12-28 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),896.52
"^TNX, Long, 2025-12-15 (Price: 4.182)",2026-01-23 (Price: 4.239),"1.36%, 1.3 month","90.62%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-15",Already confirmed,"2026-01-27 (Price: 4.213), 0.74% above",1.4 month,"6, 2025-03-28 (Price: 4.255)",2025-12-11 (Price: 4.141),2025-12-15 (Price: 4.182),47/43/43 days,1.74% above/0.74% above/0.74% above,2025-03-28 (Price: 4.6957)/2025-12-15 (Price: 4.1036),14.35%/1.59%/5.42%,"7.92%, 30.24%",2.1 months/6 days/19 days,2026-03-16/2025-12-23/2026-01-11,26.36%,9.62%,16.74%,0.75,0.51,4.7052/4.4087/4.23/4.6918/17.4008/18.8284/4.24,4.0/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),4.17
