Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"MAR, Long, 2026-01-30 (Price: 315.3)",No Exit Yet,"1.27%, 3 days","100.0%, Past 5 years, 21","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 319.29), 1.27% above",3 days,316.72,No Information,No Information,No Information,"23.66% (Price: 313.5035), 1.85% above, Upmove Bounce Back","2025-10-31 (Price: 256.76), 2026-01-09 (Price: 331.09)",No Information,12.51%/1.42%/10.06%,"-0.0%, 25.1%",1.2 year/13 days/3.2 months,2027-10-17/2026-02-17/2026-06-18,39.1%,12.92%,26.18%,1.83,0.68,326.2724/347.0192/359.9/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,312.07/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/276.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-01-30 (Price: 162.25)",No Exit Yet,"1.04%, 3 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 163.94), 1.04% above",3 days,163.43,No Information,No Information,No Information,"23.66% (Price: 160.7722), 1.97% above, Upmove Bounce Back","2025-04-09 (Price: 106.67), 2025-12-22 (Price: 177.54)",No Information,15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,2029-01-29/2026-04-26/2027-01-08,24.66%,12.6%,12.06%,7.0,0.93,169.1294/180.1786/204.77/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,161.96/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/149.26,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"RY.TO, Long, 2026-01-30 (Price: 226.72)",No Exit Yet,"1.67%, 3 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 230.51), 1.67% above",3 days,227.25,No Information,No Information,No Information,"23.66% (Price: 219.2613), 5.13% above, Upmove Bounce Back","2025-04-07 (Price: 151.25), 2026-01-06 (Price: 240.34)",No Information,10.81%/4.09%/9.09%,"0%, 26.48%",2.5 years/1.2 month/8.2 months,2029-08-25/2026-03-23/2027-01-19,16.77%,10.42%,6.35%,3.94,0.82,235.6074/247.3288/280.17/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/197.47,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"JPY=X, Long, 2026-01-30 (Price: 153.162)",2026-02-02 (Price: 155.202),"1.33%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-03 (Price: 155.915), 1.8% above",4 days,153.147,No Information,No Information,No Information,No Information,No Information,No Information,2.21%/1.18%/1.7%,"5.69%, 5.69%",1.4 month/2 days/14 days,2026-03-31/2026-02-01/2026-02-19,3.17%,6.05%,-2.88%,0.02,0.47,156.6694/155.7658/156.22/159.6618/175.8568/187.2285/No EMA 200 Target,152.45/108.0995/138.2059/No support/No F-Track Level/No F-Track Level/149.95,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"CVS, Long, 2026-01-30 (Price: 74.52)",No Exit Yet,"1.21%, 3 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 75.42), 1.21% above",3 days,74.11,No Information,No Information,No Information,No Information,No Information,No Information,9.78%/2.14%/4.7%,"18.34%, 19.27%",25 days/1 day/13 days,2026-03-07/2026-01-31/2026-02-17,4.95%,1.78%,3.17%,0.09,0.08,80.0792/78.0224/79.05/106.045/116.3721/144.3517/No EMA 200 Target,72.0/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/72.08,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"XLV, Long, 2026-01-30 (Price: 154.74)",No Exit Yet,"0.61%, 3 days","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-02 (Price: 155.69), 0.61% above",3 days,154.12,No Information,No Information,No Information,No Information,No Information,No Information,8.23%/1.41%/5.28%,"0%, 18.11%",1.9 year/1 month/10 months,2028-10-16/2026-03-14/2027-04-09,6.21%,5.05%,1.16%,2.09,0.27,162.2139/162.9103/162.56/159.295/174.1807/202.706/No EMA 200 Target,153.82/121.1/153.114/117.2225/No F-Track Level/No F-Track Level/141.94,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"PLTR, Long, 2026-01-30 (Price: 146.59)",No Exit Yet,"0.8%, 3 days","83.33%, Past 5 years, 6","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-02 (Price: 147.76), 0.8% above",3 days,150.05,No Information,No Information,No Information,No Information,No Information,No Information,72.52%/7.59%/47.15%,"59.64%, 74.92%",5.4 months/1.3 month/2.9 months,2026-09-21/2026-03-27/2026-06-05,30.7%,28.98%,1.72%,0.56,1.12,191.8423/215.7072/203.77/No Horizontal Resistance/236.8667/248.6965/159.17,130.68/7.205/125.5072/97.1748/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"ATD.TO, Long, 2026-01-30 (Price: 70.84)",No Exit Yet,"4.38%, 3 days","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-02 (Price: 73.94), 4.38% above",3 days,71.47,No Information,No Information,No Information,No Information,No Information,No Information,29.23%/0.22%/10.51%,"9.62%, 20.63%",8.6 months/1.8 month/4.1 months,2027-02-07/2026-04-18/2026-07-25,16.38%,7.89%,8.49%,0.66,0.43,73.3336/78.2853/75.81/85.51/85.3936/96.14/72.13,69.19/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2026-01-29 (Price: 476.79)",No Exit Yet,"2.2%, 4 days","89.47%, Past 6 years, 19","Daily, is Confirmed on 2026-01-29",No Cancellation Possible,"2026-02-02 (Price: 487.29), 2.2% above",4 days,473.73,No Information,No Information,No Information,No Information,No Information,No Information,31.41%/5.03%/9.81%,"13.58%, 26.58%",2.2 years/8 days/3.7 months,2029-03-21/2026-02-09/2026-07-08,16.46%,9.82%,6.64%,0.56,0.59,505.2544/523.5631/500.63/512.255/630.85/709.9376/494.52,No Recent Minima/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"LYFT, Long, 2026-01-29 (Price: 17.75)",No Exit Yet,"-2.76%, 4 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-02 (Price: 17.26), 2.76% below",4 days,17.2,No Information,No Information,No Information,No Information,No Information,No Information,8.38%/5.33%/6.9%,"26.16%, 31.32%",1.8 month/1 day/15 days,2026-04-17/2026-01-30/2026-02-19,-3.92%,-12.3%,8.38%,-0.15,-0.0,17.569/18.9748/18.27/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,17.2/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/17.68,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"RY.TO, Long, 2026-01-29 (Price: 227.52)",2026-02-02 (Price: 230.51) (Today),"1.31%, 4 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-02 (Price: 230.51), 1.31% above",4 days,226.03,No Information,No Information,No Information,No Information,No Information,No Information,3.75%/1.31%/1.82%,"7.86%, 8.45%",29 days/1 day/12 days,2026-03-12/2026-01-30/2026-02-15,1.66%,11.78%,-10.12%,-0.11,0.96,238.35/231.6609/235.01/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/197.47,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2026-01-23 (Price: 149.09)",2026-02-02 (Price: 133.66) (Today),"-10.35%, 10 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-02-02 (Price: 133.66), 10.35% below",10 days,148.62,No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,2026-04-11/2026-01-25/2026-02-09,3.12%,-2.75%,5.87%,0.03,-0.07,158.751/155.2772/157.01/209.885/222.5978/243.8843/184.62,148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"^NSEI, Long, 2026-01-22 (Price: 25289.9004)",2026-02-03 (Price: 25727.5508) (Today),"1.73%, 12 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-03 (Price: 25727.5508), 1.73% above",12 days,25344.1504,No Information,No Information,No Information,No Information,No Information,No Information,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-02-18/2026-01-23/2026-01-29,7.24%,8.84%,-1.6%,0.75,0.7,27007.0846/25815.9303/26411.51/25973.3496/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,25157.5/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25213.55,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"NIFTY_MIDCAP_100.NS, Long, 2026-01-22 (Price: 58191.3008)",2026-02-03 (Price: 59307.1016) (Today),"1.92%, 12 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-03 (Price: 59307.1016), 1.92% above",12 days,57962.6016,No Information,No Information,No Information,No Information,No Information,No Information,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-02-19/2026-01-24/2026-02-01,9.79%,15.36%,-5.57%,0.56,1.16,62538.191/59797.3807/61167.79/59773.5488/69983.5191/76335.2565/58260.69,57423.65/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"INDA, Long, 2026-01-22 (Price: 51.8)",2026-02-02 (Price: 53.28) (Today),"2.86%, 11 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-02 (Price: 53.28), 2.86% above",11 days,51.72,No Information,No Information,No Information,No Information,No Information,No Information,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,2026-03-03/2026-01-24/2026-02-04,5.73%,3.54%,2.19%,0.28,0.12,54.3641/53.0587/53.71/55.3975/66.8401/79.771/53.68,51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"MA, Long, 2026-01-20 (Price: 531.74)",2026-02-02 (Price: 555.37) (Today),"4.44%, 13 days","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-01-20",Already confirmed,"2026-02-02 (Price: 555.37), 4.44% above",13 days,530.6,No Information,No Information,No Information,No Information,No Information,No Information,5.48%/1.68%/3.6%,"3.92%, 6.0%",1.3 month/2 days/10 days,2026-03-17/2026-01-22/2026-02-03,12.96%,7.15%,5.81%,1.12,0.38,578.5331/550.8826/564.71/592.9033/716.5814/751.3605/563.47,527.58/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",2026-02-02 (Price: 49.91) (Today),"11.86%, 24 days","83.33%, Past 6 years, 18","Daily, is Confirmed on 2026-01-09",No Cancellation Possible,"2026-02-02 (Price: 49.91), 11.86% above",24 days,44.08,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,2026-08-31/2026-01-10/2026-03-02,20.81%,10.2%,10.61%,0.68,0.51,54.0973/48.6224/54.44/51.51/65.8353/68.6522/No EMA 200 Target,No Recent Minima/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/44.14,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"NVO, Long, 2026-01-04 (Price: 52.39)",2026-02-01 (Price: 59.43),"13.44%, 28 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-02 (Price: 58.93), 12.48% above",1 month,51.56,No Information,No Information,No Information,No Information,No Information,12.46% above/12.48% above/12.48% above,20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"17.11%, 1.1 month","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-02 (Price: 352.69), 17.11% above",1.1 month,269.38,No Information,No Information,No Information,No Information,No Information,17.11% above/17.11% above/17.11% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
TRENDPULSE,"BDGI.TO, Long, 2025-12-31 (Price: 73.13)",No Exit Yet,"0.85%, 1.1 month","100.0%, Past 33 years, 6","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-02 (Price: 73.75), 0.85% above",1.1 month,61.31,No Information,No Information,No Information,No Information,No Information,20.15% above/0.85% above/0.85% above,227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-26/2027-11-08/2028-04-13,16.49%,8.5%,7.99%,0.7,0.42,150.8453/189.2824/98.01/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,26.66/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/55.48,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
FRACTAL TRACK,"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"-0.68%, 1.1 month","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-03 (Price: 270.01), 0.68% below",1.1 month,255.04,No Information,No Information,No Information,"38.2% (Price: 169.2862), 59.5% above, Upmove Bounce Back","2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",No Information,37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/236.99,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
FRACTAL TRACK,"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"-6.51%, 1.1 month","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-02-03 (Price: 11.49), 6.51% below",1.1 month,10.7,No Information,No Information,No Information,"50% (Price: 10.74), 6.98% above, Upmove Bounce Back","2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",No Information,48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
TRENDPULSE,"GLD, Long, 2025-12-28 (Price: 416.74)",2026-02-03 (Price: 427.13),"2.49%, 1.2 month","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-02 (Price: 427.13), 2.49% above",1.2 month,406.98,No Information,No Information,No Information,No Information,No Information,7.04% above/2.49% above/2.49% above,8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-29/2026-02-06/2026-05-20,4.9%,5.02%,-0.12%,1.33,0.26,443.9948/441.8694/532.05/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,236.59/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/330.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-12-28 (Price: 907.04)",2026-02-01 (Price: 935.41),"3.13%, 1.2 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-02 (Price: 946.33), 4.33% above",1.2 month,896.52,No Information,No Information,No Information,No Information,No Information,6.57% above/4.33% above/4.33% above,16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"WPM, Long, 2025-12-28 (Price: 124.22)",2026-02-03 (Price: 132.21),"6.43%, 1.2 month","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-02 (Price: 132.21), 6.43% above",1.2 month,122.33,No Information,No Information,No Information,No Information,No Information,10.45% above/6.43% above/6.43% above,30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-28/2026-02-06/2026-03-07,5.32%,5.11%,0.21%,0.63,0.29,134.2694/137.0643/165.27/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/94.77,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
FRACTAL TRACK,"TCEHY, Long, 2025-12-28 (Price: 78.08)",2026-02-03 (Price: 76.27) (Today),"-2.32%, 1.2 month","92.31%, Past 18 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-03 (Price: 76.27), 2.32% below",1.2 month,78.76,No Information,No Information,No Information,"23.66% (Price: 74.7427), 2.04% above, Upmove Bounce Back","2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",No Information,19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-13/2026-01-27/2027-04-06,12.94%,13.58%,-0.64%,1.45,0.67,86.6141/91.7596/110.89/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,77.81/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/74.11,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",2026-02-03 (Price: 180.59),"9.53%, 1.5 month","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-02 (Price: 180.59), 9.53% above",1.5 month,163.7,No Information,No Information,No Information,No Information,No Information,9.53% above/9.53% above/9.53% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-30/2026-02-11/2026-04-12,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2025-12-21 (Price: 51.2)",2026-02-03 (Price: 57.12),"11.56%, 1.5 month","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-02 (Price: 57.12), 11.56% above",1.5 month,50.25,No Information,No Information,No Information,No Information,No Information,14.15% above/11.56% above/11.56% above,18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-07/2026-02-11/2026-07-04,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/41.95,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2025-12-21 (Price: 101.92)",2026-02-03 (Price: 110.27),"8.19%, 1.5 month","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-02 (Price: 110.27), 8.19% above",1.5 month,101.0,No Information,No Information,No Information,No Information,No Information,9.26% above/8.19% above/8.19% above,11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-02-19/2026-01-30/2026-06-15,6.24%,1.27%,4.97%,0.28,0.02,98.9439/109.7678/103.25/221.2667/228.7501/295.6013/No EMA 200 Target,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.71,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2025-12-07 (Price: 99.26)",2026-02-03 (Price: 102.8),"3.57%, 1.9 month","100.0%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2026-02-02 (Price: 102.8), 3.57% above",1.9 month,96.69,No Information,No Information,No Information,No Information,No Information,6.04% above/3.57% above/3.57% above,12.4%/0.79%/4.02%,"0%, 33.13%",1.1 year/28 days/3.2 months,2027-07-03/2026-01-16/2026-04-25,7.58%,2.54%,5.04%,1.18,0.04,103.8557/103.2503/115.51/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,63.97/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/79.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-30 (Price: 189.55)",2026-02-01 (Price: 150.45),"-20.63%, 2.1 months","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-02-03 (Price: 149.0), 21.39% below",2.2 months,190.76,No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2027-11-28/2025-12-20/2026-07-31,5.14%,6.08%,-0.94%,1.52,0.34,198.2693/201.2452/199.76/240.8933/293.2329/455.2123/229.22,163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
BAND MATRIX,"USCI, Long, 2025-11-25 (Price: 76.97)",2026-02-02 (Price: 80.53) (Today),"4.63%, 2.3 months","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-25",No Cancellation Possible,"2026-02-02 (Price: 80.53), 4.63% above",2.3 months,76.75,No Information,No Information,No Information,No Information,No Information,No Information,30.17%/1.73%/14.57%,"-0.0%, 16.38%",1.6 year/2.6 months/10 months,2028-03-08/2026-03-17/2027-02-02,13.97%,13.72%,0.25%,0.89,0.99,79.4715/88.1845/83.83/No Horizontal Resistance/81.0354/90.2685/No EMA 200 Target,76.9/38.14/75.2881/67.5442/No F-Track Level/No F-Track Level/75.99,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
FRACTAL TRACK,"MAR, Long, 2025-11-16 (Price: 285.72)",2026-02-01 (Price: 315.3),"10.35%, 2.6 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-02-03 (Price: 319.29), 11.75% above",2.6 months,292.12,No Information,No Information,No Information,"50% (Price: 256.035), 24.71% above, Upmove Bounce Back","2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",No Information,23.39%/8.05%/16.44%,"-0.0%, 61.32%",3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,300.3774/332.6924/347.5/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/276.28,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
