Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,No Exit Yet,3139.7414 (Backtested Worst),No Date Target,1.26%/3.24%,"3.47%, 1.7 month","2025-12-01 (Price: 3133.3999), 3.47% above",3172.7499 (Historic Rise or Fall to Pivot)/3296.9102 (Avg % Gain of Historic Winning trades)/3234.83 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3295.35 (Moving Avg)/3454.079 (Backtested Best),No Next Date Target,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No Moving Avg Support,"75.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.87%,"14.47%, 16.73%",19 days/14 days/16 days,4.81%,11.95%,-7.14%,0.07,0.46,94.87%/39/1.3 month (Across ALL Assets),89.42%/104/1.6 month (Across ALL Assets)
TRENDPULSE,"IBIT, Long, 2025-10-02 (Price: 68.77)",Daily,No Exit Yet,No Price Target,2025-11-27 (Max),47.72%/52.24%,"-29.48%, 2 months","2025-12-01 (Price: 48.5), 29.48% below",73.8383 (Historic Rise or Fall to Pivot)/74.1616 (Avg % Gain of Historic Winning trades)/87.2457 (F-Stack 2)/78.4391 (Backtested Best)/71.6446 (Backtested Worst),No Next Date Target,61.94/41.99/60.36/52.8569/No F-Track Level/No F-Track Level/58.09,"100.0%, Past 4 years, 8",No Information,No Information,No Information,No Information,No Information,25.38% below/29.48% below/29.48% below,14.06%/4.18%/7.84%,"-0.0%, 8.48%",1.3 month/4 days/9 days,562.23%,58.43%,503.8%,1.47,1.54,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"DOL.TO, Long, 2025-10-01 (Price: 181.79)",Daily,No Exit Yet,No Price Target,2025-11-27 (Min),1.81%/6.6%,"9.27%, 2.0 months","2025-12-01 (Price: 198.64), 9.27% above",202.2414 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/211.749 (Backtested Best),2026-01-06 (Max)/2025-12-12 (Avg),175.34/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/177.68,"100.0%, Past 5 years, 5","-4.42, 93.33",No Information,No Information,No Information,No Information,No Information,16.48%/8.78%/11.25%,"-0.0%, 7.51%",2.2 months/1.3 month/1.7 month,14.73%,27.78%,-13.05%,1.6,1.2,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
SIGMASHELL,"BTI, Long, 2025-10-01 (Price: 52.28)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),13.91%/41.45%,"11.19%, 2.0 months","2025-12-01 (Price: 58.13), 11.19% above",82.226 (Exit Rule)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/66.2178 (Backtested Best),2026-02-12 (Max)/2025-12-22 (Avg),46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level/48.75,"75.0%, Past 5 years, 8","-6.68, 93.18",No Information,No Information,No Information,No Information,No Information,26.66%/2.98%/9.01%,"3.83%, 21.48%",3.1 months/1.4 month/1.9 month,9.1%,9.86%,-0.76%,0.56,0.35,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
TRENDPULSE,"SONY, Long, 2025-09-26 (Price: 29.78)",Daily,No Exit Yet,No Price Target,2025-12-03 (Max),6.98%/7.04%,"-3.36%, 2.2 months","2025-12-01 (Price: 28.78), 3.36% below",30.8074 (Historic Rise or Fall to Pivot)/30.7895 (Avg % Gain of Historic Winning trades)/32.7 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/32.0999 (Backtested Best),2025-12-03 (Max),26.95/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/24.72,"93.55%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,3.36% below/3.36% below/3.36% below,7.79%/0.97%/3.39%,"15.95%, 32.85%",1.6 month/4 days/13 days,29.57%,14.31%,15.27%,0.53,0.52,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"BTI, Long, 2025-09-26 (Price: 53.0)",Daily,2025-11-28 (Price: 58.66),58.1145 (Avg % Gain of Historic Winning trades),No Date Target,23.21%/26.86%,"9.68%, 2.2 months","2025-12-01 (Price: 58.13), 9.68% above",71.62 (Exit Rule)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/73.7442 (Backtested Best),2029-03-04 (Max)/2027-01-05 (Avg),52.35/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/48.75,"100.0%, Past 5 years, 26",No Information,No Information,No Information,"23.66% (Price: 51.9459), 11.9% above, Upmove Bounce Back","2024-04-16 (Price: 28.25), 2025-08-21 (Price: 59.29)",No Information,39.14%/0.1%/9.65%,"-0.0%, 37.23%",2.4 years/11 days/10.7 months,5.64%,8.81%,-3.17%,0.41,0.33,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"NFLX, Long, 2025-09-04 (Price: 125.748)",Daily,No Exit Yet,No Price Target,2025-11-29 (Max),15.75%/17.19%,"-13.22%, 2.9 months","2025-12-01 (Price: 109.13), 13.22% below",127.8857 (Historic Rise or Fall to Pivot)/130.5264 (Avg % Gain of Historic Winning trades)/128.7 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/134.7516 (Backtested Best)/126.3139 (Backtested Worst),No Next Date Target,114.79/34.8663/116.3145/100.8852/No F-Track Level/No F-Track Level/106.04,"85.71%, Past 4 years, 21",No Information,No Information,No Information,No Information,No Information,11.0% below/13.22% below/13.22% below,7.16%/0.45%/3.8%,"0.56%, 20.2%",2 months/4 days/24 days,30.5%,24.78%,5.72%,1.11,0.78,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-08-19 (Price: 196.9)",Daily,2025-11-28 (Price: 199.95),No Price Target,No Date Target,2.6%/9.16%,"0.88%, 3.5 months","2025-12-01 (Price: 198.64), 0.88% above",203.8112 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/216.8263 (Backtested Best),2026-01-12 (Max),185.49/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/161.24,"100.0%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,0.87% above/0.88% above/0.88% above,10.12%/0.29%/3.51%,"-0.0%, 13.61%",3.4 months/4 days/29 days,31.05%,25.35%,5.71%,1.47,1.07,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-07-31 (Price: 253.77)",Monthly,No Exit Yet,No Price Target,2025-12-04 (Min),51.66%/85.51%,"-20.82%, 4.1 months","2025-12-01 (Price: 200.94), 20.82% below",304.7524 (Avg % Gain of Historic Winning trades)/372.76 (Exit Rule)/391.0849 (Backtested Best),2027-06-23 (Max)/2025-12-04 (Min)/2026-05-31 (Avg),139.81/62.38/167.1709/145.7273/No F-Track Level/No F-Track Level/175.23,"81.25%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,8.09% below/20.82% below/20.82% below,54.11%/7.78%/20.09%,"6.17%, 28.67%",1.3 year/2.9 months/7 months,9.74%,9.41%,0.32%,1.04,0.34,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
PULSEGAUGE,"EFN.TO, Long, 2025-07-06 (Price: 34.69)",Weekly,No Exit Yet,No Price Target,2025-11-27 (Avg),14.18%/15.16%,"6.0%, 4.9 months","2025-12-01 (Price: 36.77), 6.0% above",42.3461 (Avg % Gain of Historic Winning trades)/45.1741 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/42.9289 (Backtested Best)/41.9853 (Backtested Worst),2026-06-24 (Max),27.54/11.7733/29.5041/111.5522/No F-Track Level/No F-Track Level/33.68,"100.0%, Past 22 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,23.75%/21.03%/22.07%,"-0.0%, 12.69%",8.1 months/1.1 month/3.3 months,46.11%,15.83%,30.28%,0.92,0.55,73.47%/49/5.2 months (Across ALL Assets),72.58%/124/4.9 months (Across ALL Assets)
PULSEGAUGE,"IFT.NZ, Long, 2025-07-06 (Price: 10.77)",Weekly,No Exit Yet,No Price Target,2025-11-26 (Min),11.9%/12.9%,"7.71%, 4.9 months","2025-12-01 (Price: 11.6), 7.71% above",13.0963 (Avg % Gain of Historic Winning trades)/18.927 (Exit Rule)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.3333 (Backtested Best)/12.98 (Backtested Worst),2027-02-03 (Max)/2026-08-21 (Avg),10.28/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No Moving Avg Support,"94.12%, Past 25 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,23.8%/20.52%/21.6%,"15.21%, 21.03%",1.1 year/3.3 months/9.5 months,11.23%,12.72%,-1.49%,0.63,0.53,73.47%/49/5.2 months (Across ALL Assets),72.58%/124/4.9 months (Across ALL Assets)
PULSEGAUGE,"TWR.NZ, Long, 2025-07-06 (Price: 1.6)",Weekly,2025-11-30 (Price: 1.94) (Today),1.92 (Backtested Worst),No Date Target,7.26%/21.11%,"20.62%, 4.9 months","2025-12-01 (Price: 1.93), 20.62% above",2.0702 (Avg % Gain of Historic Winning trades)/7.3695 (Exit Rule)/7.3695 (F-Stack 1)/7.9211 (F-Stack 2)/2.3374 (Backtested Best),2027-02-25 (Max)/2026-01-20 (Avg),1.35/0.6344/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,"88.24%, Past 25 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,46.09%/20.0%/29.39%,"19.52%, 29.37%",1.1 year/1.1 month/4.6 months,17.75%,-4.18%,21.93%,0.48,-0.09,73.47%/49/5.2 months (Across ALL Assets),72.58%/124/4.9 months (Across ALL Assets)
PULSEGAUGE,"INDY, Long, 2025-07-06 (Price: 54.46)",Weekly,No Exit Yet,No Price Target,2025-11-26 (Min),4.9%/14.24%,"-2.09%, 4.9 months","2025-12-01 (Price: 53.32), 2.09% below",55.9304 (Historic Rise or Fall to Pivot)/66.1417 (Avg % Gain of Historic Winning trades)/60.9145 (Exit Rule)/60.9145 (F-Stack 1)/68.1277 (F-Stack 2)/68.1295 (Backtested Best)/65.4065 (Backtested Worst),2026-07-16 (Max)/2026-04-01 (Avg),47.57/40.73/48.7816/37.969/No F-Track Level/No F-Track Level/51.99,"90.0%, Past 16 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,25.1%/20.1%/21.45%,"15.01%, 16.13%",8.6 months/3.3 months/6.2 months,19.26%,4.76%,14.5%,0.58,0.13,73.47%/49/5.2 months (Across ALL Assets),72.58%/124/4.9 months (Across ALL Assets)
PULSEGAUGE,"BTC-USD, Long, 2025-07-06 (Price: 109232.0703)",Weekly,2025-11-23 (Price: 86805.0078),No Price Target,2025-11-26 (Max),42.43%/52.23%,"-20.86%, 4.9 months","2025-12-01 (Price: 86448.4688), 20.86% below",123126.3896 (Historic Rise or Fall to Pivot)/136987.9394 (Avg % Gain of Historic Winning trades)/145442.5016 (Backtested Best)/131602.7983 (Backtested Worst),No Next Date Target,78214.48/18304.4229/87809.6423/72214.6916/No F-Track Level/No F-Track Level/No Moving Avg Support,"87.5%, Past 11 years, 8",No Information,No Information,No Information,No Information,No Information,No Information,33.15%/20.48%/25.41%,"15.02%, 15.64%",3.3 months/9 days/1.5 month,144.79%,63.87%,80.93%,0.46,1.51,73.47%/49/5.2 months (Across ALL Assets),72.58%/124/4.9 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-07-06 (Price: 78.82)",Weekly,No Exit Yet,No Price Target,2025-11-26 (Min),10.68%/36.75%,"8.92%, 4.9 months","2025-12-01 (Price: 85.85), 8.92% above",117.4024 (Avg % Gain of Historic Winning trades)/137.36 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/259.9799 (Backtested Best),2033-05-04 (Max)/2029-03-29 (Avg),65.75/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/75.8,"96.55%, Past 20 years, 29",No Information,No Information,No Information,"23.66% (Price: 74.9167), 14.59% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,229.84%/0.22%/48.95%,"14.17%, 65.83%",5.5 years/3.3 months/2.6 years,4.97%,16.95%,-11.98%,0.35,0.61,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
PULSEGAUGE,"NA.TO, Long, 2025-07-06 (Price: 141.41)",Weekly,No Exit Yet,170.3283 (Backtested Worst),No Date Target,2.3%/5.01%,"18.88%, 4.9 months","2025-12-01 (Price: 168.11), 18.88% above",171.9828 (Avg % Gain of Historic Winning trades)/188.6608 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/176.5362 (Backtested Best),2026-06-17 (Max)/2025-12-29 (Avg),112.96/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/138.24,"94.12%, Past 25 years, 17",No Information,No Information,No Information,No Information,No Information,No Information,24.84%/20.45%/21.62%,"24.51%, 35.98%",8.0 months/1.3 month/4.1 months,22.55%,10.54%,12.01%,0.56,0.41,73.47%/49/5.2 months (Across ALL Assets),72.58%/124/4.9 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2025-06-30 (Price: 140.52)",Monthly,2025-11-30 (Price: 168.95) (Today),No Price Target,No Date Target,12.22%/16.74%,"19.63%, 5.1 months","2025-12-01 (Price: 168.11), 19.63% above",196.2502 (Avg % Gain of Historic Winning trades)/222.66 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/328.6763 (Backtested Best),2034-04-13 (Max)/2026-01-02 (Min)/2028-03-19 (Avg),118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/138.24,"94.12%, Past 42 years, 34",No Information,No Information,No Information,"23.66% (Price: 108.7595), 54.57% above, Upmove Bounce Back","1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",No Information,133.9%/2.69%/39.66%,"11.85%, 52.46%",6.2 years/4.3 months/1.9 year,5.1%,11.99%,-6.9%,0.45,0.51,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"SUM.NZ, Long, 2025-06-30 (Price: 11.25)",Monthly,No Exit Yet,12.8554 (Historic Rise or Fall to Pivot),No Date Target,3.65%/3.65%,"13.07%, 5.1 months","2025-12-01 (Price: 12.72), 13.07% above",13.1839 (Avg % Gain of Historic Winning trades)/14.49 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.1839 (Backtested Best)/13.1839 (Backtested Worst),2028-05-02 (Max)/2028-05-02 (Max)/2028-05-02 (Max),10.78/9.1367/11.0645/43.9323/No F-Track Level/No F-Track Level/No Moving Avg Support,"91.67%, Past 14 years, 12",No Information,No Information,No Information,"50% (Price: 10.74), 18.44% above, Upmove Bounce Back","2023-04-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",No Information,17.19%/17.19%/17.19%,"0.66%, 38.9%",2.0 year/2.0 year/2.0 year,4.38%,16.24%,-11.86%,0.29,0.61,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"FSF.NZ, Long, 2025-06-30 (Price: 6.58)",Monthly,2025-11-30 (Price: 7.75) (Today),No Price Target,No Date Target,8.74%/10.06%,"17.8%, 5.1 months","2025-12-01 (Price: 7.751), 17.8% above",8.4283 (Avg % Gain of Historic Winning trades)/8.67 (Exit Rule)/8.5311 (F-Stack 1)/12.0421 (F-Stack 2)/9.4791 (Backtested Best),2026-12-17 (Max)/2026-01-04 (Min)/2026-05-23 (Avg),3.0/2.942/6.3611/26.9153/No F-Track Level/No F-Track Level/5.37,"100.0%, Past 20 years, 9",No Information,No Information,No Information,No Information,No Information,26.03% above/21.11% above/17.8% above,44.06%/6.89%/28.09%,"-0.0%, 15.01%",1.0 year/4.3 months/7.5 months,27.24%,1.15%,26.09%,1.21,-0.07,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-06-29 (Price: 1007.45)",Weekly,No Exit Yet,No Price Target,2025-11-26 (Avg),1.62%/6.54%,"-0.53%, 5.2 months","2025-12-01 (Price: 1002.1), 0.53% below",1071.1208 (Historic Rise or Fall to Pivot)/1067.5948 (Avg % Gain of Historic Winning trades)/1152.92 (Exit Rule)/1263.3223 (F-Stack 1)/2016.6114 (F-Stack 2)/1127.2358 (Backtested Best)/1018.3305 (Backtested Worst),2026-11-23 (Max),818.38/640.9/797.7641/510.0332/No F-Track Level/No F-Track Level/892.58,"100.0%, Past 10 years, 31",No Information,No Information,No Information,No Information,No Information,2.01% above/1.21% above/0.53% below,11.89%/1.08%/5.97%,"-0.0%, 23.57%",11.8 months/19 days/3.5 months,11.86%,15.07%,-3.2%,1.45,0.63,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BTC-USD, Long, 2025-05-31 (Price: 104638.0938)",Monthly,No Exit Yet,No Price Target,2025-11-28 (Avg),57.43%/79.5%,"-17.38%, 6.1 months","2025-12-01 (Price: 86448.4688), 17.38% below",290297.4636 (Historic Rise or Fall to Pivot)/332895.6316 (Avg % Gain of Historic Winning trades)/161744.31 (Exit Rule)/136097.3501 (F-Stack 2)/468339.1802 (Backtested Best)/155178.2931 (Backtested Worst),2025-12-06 (Max),16547.5/18304.4229/88806.9363/81023.3741/No F-Track Level/No F-Track Level/94736.72,"100.0%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,8.24% below/17.38% below/17.38% below,347.58%/48.3%/218.14%,"-0.0%, 15.0%",4.4 months/3.6 months/4.2 months,256.42%,64.47%,191.95%,1.22,1.44,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"SONY, Long, 2025-03-31 (Price: 25.39)",Quarterly,No Exit Yet,28.4546 (Historic Rise or Fall to Pivot),No Date Target,8.64%/15.42%,"13.35%, 8.2 months","2025-12-01 (Price: 28.78), 13.35% above",40.9896 (Avg % Gain of Historic Winning trades)/36.14 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/80.8164 (Backtested Best)/31.2678 (Backtested Worst),2031-03-11 (Max)/2026-04-13 (Min)/2028-03-14 (Avg),12.81/14.992/24.8529/22.354/No F-Track Level/No F-Track Level/19.99,"88.89%, Past 55 years, 18",No Information,No Information,No Information,No Information,No Information,36.01% above/12.86% above/13.35% above,218.3%/23.15%/61.44%,"75.81%, 80.33%",4.2 years/8.7 months/2.1 years,7.15%,5.75%,1.4%,0.67,0.23,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
TRENDPULSE,"SONY, Long, 2025-03-31 (Price: 25.39)",Monthly,2025-12-01 (Price: 28.78) (Today),No Price Target,No Date Target,2.08%/14.12%,"13.35%, 8.2 months","2025-12-01 (Price: 28.78), 13.35% above",32.8445 (Avg % Gain of Historic Winning trades)/29.38 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/37.6204 (Backtested Best),2026-10-16 (Max)/2026-02-03 (Avg),16.47/14.992/24.8529/22.354/No F-Track Level/No F-Track Level/19.99,"75.0%, Past 20 years, 20",No Information,No Information,No Information,No Information,No Information,30.76% above/15.26% above/13.35% above,48.17%/7.34%/29.36%,"31.07%, 31.13%",1.1 year/3.6 months/7.1 months,10.26%,2.49%,7.77%,0.63,0.12,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2025-01-31 (Price: 8.64)",Monthly,No Exit Yet,No Price Target,2025-12-02 (Avg),8.4%/8.83%,"-7.64%, 10.1 months","2025-12-01 (Price: 7.98), 7.64% below",8.7558 (Historic Rise or Fall to Pivot)/9.326 (Avg % Gain of Historic Winning trades)/8.65 (Exit Rule)/8.9117 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/10.9184 (Backtested Best)/8.6849 (Backtested Worst),2027-01-23 (Max)/2025-12-02 (Avg),7.3/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.76,"88.24%, Past 20 years, 17",No Information,No Information,No Information,No Information,No Information,7.64% below/7.64% below/7.64% below,26.37%/0.52%/7.94%,"22.94%, 49.34%",1.4 year/3.6 months/7.0 months,4.72%,8.05%,-3.33%,0.41,0.3,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"ASHR, Long, 2024-10-06 (Price: 32.82)",Weekly,2025-11-30 (Price: 32.58) (Today),No Price Target,No Date Target,3.71%/8.13%,"0.03%, 1.2 year","2025-12-01 (Price: 32.83), 0.03% above",34.0475 (Historic Rise or Fall to Pivot)/36.4171 (Avg % Gain of Historic Winning trades)/35.5 (Exit Rule)/39.9467 (Horizontal)/60.2967 (F-Stack 1)/80.3432 (F-Stack 2)/40.9298 (Backtested Best),No Next Date Target,22.46/23.852/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/23.97,"75.76%, Past 10 years, 33",No Information,No Information,No Information,No Information,No Information,20.12% above/11.74% above/0.03% above,24.71%/0.16%/10.96%,"38.84%, 52.68%",7.3 months/19 days/3.2 months,2.29%,2.49%,-0.19%,0.16,0.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",Monthly,2025-12-01 (Price: 9.08) (Today),No Price Target,No Date Target,15.28%/21.43%,"4.13%, 1.2 year","2025-12-01 (Price: 9.08), 4.13% above",10.4675 (Avg % Gain of Historic Winning trades)/11.0256 (Backtested Best),2026-02-17 (Max),7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,"100.0%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,6.32% above/4.13% above/4.13% above,26.44%/7.23%/20.04%,"-0.0%, 15.86%",11.6 months/3.6 months/7.0 months,20.51%,7.62%,12.9%,1.86,0.27,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2024-06-30 (Price: 246.63)",Quarterly,No Exit Yet,299.1129 (Historic Rise or Fall to Pivot)/301.3628 (F-Stack 2),No Date Target,9.63%/18.74%,"20.39%, 1.4 year","2025-12-01 (Price: 296.92), 20.39% above",352.5576 (Avg % Gain of Historic Winning trades)/376.19 (Exit Rule)/430.394 (Backtested Best)/325.5269 (Backtested Worst),2027-11-08 (Max)/2026-01-30 (Avg),106.24/95.6666/226.8328/161.2/No F-Track Level/No F-Track Level/198.64,"100.0%, Past 24 years, 9",No Information,No Information,No Information,No Information,No Information,20.39% above/27.29% above/20.39% above,74.51%/31.99%/42.95%,"-0.0%, 41.23%",2.4 years/10.8 months/1.1 year,17.9%,12.73%,5.17%,1.39,0.46,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
TRENDPULSE,"TRI.TO, Short, 2025-09-30 (Price: 216.1)",Monthly,No Exit Yet,186.14 (Exit Rule),No Date Target,-37.32%/-29.62%,"13.7%, 2.1 months","2025-12-01 (Price: 186.49), 13.7% below",170.1787 (Avg % Gain of Historic Winning trades)/116.89 (Horizontal)/131.2534 (F-Stack 2),2026-04-07 (Max)/2026-03-05 (Min)/2026-03-18 (Avg),278.08/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/250.82,"88.89%, Past 20 years, 9",No Information,No Information,No Information,No Information,No Information,23.54% below/22.92% below/13.7% below,25.37%/7.99%/21.25%,"21.18%, 25.96%",4.4 months/3.6 months/3.9 months,35.0%,5.4%,29.6%,0.54,0.45,100.0%/1/9.4 months (Across ALL Assets),0.0%/4/3.7 months (Across ALL Assets)
