Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
TRENDPULSE,"CNR.TO, Long, 2024-02-11 (Price: 173.01)",Weekly,No Exit Yet,No Price Target,2025-12-19 (Max),35.65%/36.32%,"-21.69%, 1.9 year","2025-12-19 (Price: 135.49), 21.69% below",183.7885 (Historic Rise or Fall to Pivot)/184.7055 (Avg % Gain of Historic Winning trades)/207.91 (Exit Rule)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/190.9511 (Backtested Max),No Next Date Target,145.05/125.9933/136.9828/86.815/No F-Track Level/No F-Track Level/157.05,"88.0%, Past 10 years, 25",No Information,No Information,No Information,No Information,No Information,20.56% below/21.69% below/21.69% below,10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,8.16%,6.53%,1.63%,1.11,0.37,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
FRACTAL TRACK,"NA.TO, Long, 2025-06-30 (Price: 140.52)",Monthly,2025-11-30 (Price: 168.95),No Price Target,2025-12-20 (Min),3.06%/7.18%,"25.27%, 5.7 months","2025-12-19 (Price: 176.03), 25.27% above",222.66 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/181.4113 (Backtested Max),2032-01-22 (Max)/2025-12-20 (Min)/2027-08-21 (Avg),118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.86%, Past 42 years, 14",No Information,No Information,No Information,"23.66% (Price: 108.7595), 61.85% above, Upmove Bounce Back","1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",No Information,29.1%/8.19%/21.58%,"3.99%, 52.46%",4.6 years/4 months/1.5 year,8.81%,8.57%,0.24%,1.75,0.52,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
TRENDPULSE,"EFN.TO, Long, 2025-10-26 (Price: 37.71)",Weekly,No Exit Yet,No Price Target,2025-12-17 (Min),6.87%/13.15%,"-4.32%, 1.8 month","2025-12-19 (Price: 36.08), 4.32% below",40.8248 (Historic Rise or Fall to Pivot)/41.2849 (Avg % Gain of Historic Winning trades)/47.64 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/47.5146 (Backtested Max)/38.5585 (Backtested Min),2026-07-18 (Max)/2026-02-15 (Avg),36.01/11.7733/29.5041/No support/No F-Track Level/No F-Track Level/32.61,"100.0%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,1.77% below/3.58% below/4.32% below,26.0%/2.25%/9.48%,"-0.0%, 76.43%",6.1 months/1.2 month/2.6 months,-1.48%,10.86%,-12.34%,1.09,0.54,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,2.52%/10.11%,"14.5%, 3.8 years","2025-12-19 (Price: 42.63), 14.5% above",46.94 (Exit Rule)/43.7042 (F-Stack 2),2026-03-28 (Max)/2026-03-28 (Max)/2026-03-28 (Max),12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",No Information,No Information,No Information,No Information,No Information,14.5% above/14.5% above/14.5% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),
TRENDPULSE,"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",Daily,No Exit Yet,No Price Target,2025-12-18 (Avg),16.39%/16.42%,"-13.34%, 1.2 month","2025-12-19 (Price: 10.98), 13.34% below",13.3048 (Historic Rise or Fall to Pivot)/13.1299 (Avg % Gain of Historic Winning trades)/12.78 (Exit Rule)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.8711 (Backtested Max)/12.7828 (Backtested Min),2026-03-31 (Max),12.27/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.29,"96.0%, Past 4 years, 25",No Information,No Information,No Information,No Information,No Information,12.86% below/13.34% below/13.34% below,9.48%/0.89%/3.63%,"10.91%, 28.9%",3.2 months/6 days/25 days,16.02%,10.32%,5.7%,0.78,0.55,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
OSCILLATOR DELTA,"CEN.NZ, Long, 2025-12-18 (Price: 9.27)",Daily,No Exit Yet,9.4367 (Horizontal),No Date Target,1.98%/2.96%,"1.94%, 1 day","2025-12-19 (Price: 9.45), 1.94% above",9.6371 (Historic Rise or Fall to Pivot)/9.9708 (Avg % Gain of Historic Winning trades)/9.73 (Exit Rule)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.3101 (Backtested Max)/9.7428 (Backtested Min),2026-12-07 (Max)/2025-12-26 (Min)/2026-05-01 (Avg),No Recent Minima/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.15,"81.82%, Past 6 years, 22",No Information,No Information,No Information,No Information,No Information,No Information,11.22%/5.1%/7.56%,"14.26%, 14.97%",8.2 months/6 days/3.1 months,11.41%,3.46%,7.95%,0.46,0.15,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets),
FRACTAL TRACK,"KXS.TO, Long, 2025-10-12 (Price: 182.12)",Weekly,No Exit Yet,No Price Target,2025-12-20 (Min),4.16%/9.33%,"-2.84%, 2.3 months","2025-12-19 (Price: 176.95), 2.84% below",212.9529 (Avg % Gain of Historic Winning trades)/232.11 (Exit Rule)/209.885 (Horizontal)/222.1498 (F-Stack 1)/245.5558 (F-Stack 2)/184.31 (EMA 200)/224.9 (Backtested Max)/193.4661 (Backtested Min),2027-10-10 (Max)/2025-12-20 (Min)/2026-12-03 (Avg),175.17/125.3967/177.4966/151.1683/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 11 years, 10",No Information,No Information,No Information,"50% (Price: 170.79), 3.61% above, Upmove Bounce Back","2023-10-29 (Price: 129.13), 2025-08-03 (Price: 212.45)",No Information,23.49%/6.23%/16.93%,"14.59%, 37.82%",1.4 year/1.6 month/9.6 months,12.74%,17.23%,-4.49%,0.84,0.8,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),
TRENDPULSE,"MX.TO, Long, 2025-12-10 (Price: 54.01)",Daily,No Exit Yet,No Price Target,2025-12-18 (Min),0.55%/4.62%,"-0.07%, 9 days","2025-12-19 (Price: 53.97), 0.07% below",60.0537 (Historic Rise or Fall to Pivot)/56.4621 (Avg % Gain of Historic Winning trades)/73.435 (Horizontal)/104.8718 (F-Stack 1)/122.9238 (F-Stack 2)/58.6117 (Backtested Max)/54.2692 (Backtested Min),2026-05-15 (Max)/2026-01-26 (Avg),48.06/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/48.98,"95.45%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,0.31% below/0.07% below/0.07% below,8.52%/0.48%/4.54%,"6.93%, 41.4%",3.6 months/6 days/1.1 month,15.61%,-0.38%,15.99%,1.09,0.16,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",Monthly,2025-12-19 (Price: 9.31) (Today),No Price Target,No Date Target,11.16%/18.43%,"6.77%, 1.2 year","2025-12-19 (Price: 9.31), 6.77% above",10.3489 (Avg % Gain of Historic Winning trades)/11.0256 (Backtested Max),2026-01-25 (Max),7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,"100.0%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,9.02% above/6.77% above/6.77% above,26.44%/7.23%/18.68%,"-0.0%, 15.86%",11.1 months/5.1 months/8.1 months,14.78%,5.28%,9.5%,1.0,0.27,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"SOXX, Long, 2024-06-30 (Price: 246.63)",Quarterly,No Exit Yet,301.3628 (F-Stack 2),No Date Target,8.58%/9.77%,"21.56%, 1.5 year","2025-12-19 (Price: 299.81), 21.56% above",329.1031 (Historic Rise or Fall to Pivot)/364.3958 (Avg % Gain of Historic Winning trades)/376.19 (Exit Rule)/430.394 (Backtested Max)/325.5269 (Backtested Min),2029-03-16 (Max)/2026-05-08 (Min)/2027-03-17 (Avg),106.24/95.6666/226.8328/161.2/No F-Track Level/No F-Track Level/198.64,"100.0%, Past 24 years, 7",No Information,No Information,No Information,No Information,No Information,21.56% above/28.53% above/21.56% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,16.0%,8.74%,7.26%,0.66,0.45,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),
TRENDPULSE,"FSF.NZ, Long, 2025-06-30 (Price: 6.58)",Monthly,2025-11-30 (Price: 7.75),8.5311 (F-Stack 1)/8.4718 (Backtested Min),No Date Target,4.21%/8.01%,"26.44%, 5.7 months","2025-12-19 (Price: 8.32), 26.44% above",8.9863 (Avg % Gain of Historic Winning trades)/8.67 (Exit Rule)/12.0421 (F-Stack 2)/9.4791 (Backtested Max),2027-06-28 (Max)/2026-03-22 (Min)/2026-07-30 (Avg),3.0/2.942/6.3611/No support/No F-Track Level/No F-Track Level/5.37,"100.0%, Past 20 years, 7",No Information,No Information,No Information,No Information,No Information,35.28% above/30.0% above/26.44% above,44.06%/28.75%/36.57%,"-0.0%, 15.01%",1.4 year/6.1 months/9.1 months,14.41%,0.49%,13.92%,1.44,-0.1,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
DELTADRIFT,"CAD=X, Long, 2025-12-16 (Price: 1.3769)",Daily,No Exit Yet,No Price Target,2025-12-18 (Min),0.38%/0.62%,"0.11%, 2 days","2025-12-18 (Price: 1.3784), 0.11% above",1.3973 (Historic Rise or Fall to Pivot)/1.387 (Avg % Gain of Historic Winning trades)/1.39 (Exit Rule)/1.3921 (Horizontal)/1.39 (EMA 200)/1.394 (Backtested Max)/1.3836 (Backtested Min),2026-01-22 (Max)/2025-12-30 (Avg),No support/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,1.24%/0.49%/0.73%,"1.99%, 2.15%",26 days/2 days/10 days,5.03%,1.76%,3.27%,0.25,-0.29,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),
FRACTAL TRACK,"ETH-USD, Short, 2025-10-31 (Price: 3847.0803)",Monthly,2025-11-30 (Price: 2992.1125),No Price Target,2025-12-22 (Avg),-68.97%/-54.0%,"22.56%, 1.6 month","2025-12-19 (Price: 2979.1304), 22.56% below",924.54 (Exit Rule)/1370.4997 (Horizontal)/2637.9184 (F-Stack 2),2026-01-25 (Max)/2025-12-22 (Avg),No support/1370.4997/3454.2267/2637.9184/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 10 years, 4",No Information,No Information,No Information,"23.66% (Price: 3801.2773), 21.63% below, Upmove Break Below","2018-12-31 (Price: 82.8299), 2025-08-31 (Price: 4953.7329)",No Information,32.85%/5.87%/17.04%,"0%, 32.85%",2 months/1 month/1.2 month,59.0%,5.2%,53.8%,1.33,1.37,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),
