Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SOXX, Long, 2024-10-25 (Price: 229.58)",Daily,301.3628 (F-Stack 2),No Date Target,2024-11-04 (Price: 219.31),"2025-10-31 (Price: 306.55), 33.53% above","96.88%, Past 5 years, 32",25.56%,"33.53%, 265 days",67.65%/2.41%/19.96%,384.89087000000006 (Backtested Best),2027-05-18 (Farthest),"-4.47%, 6 days","Daily, was CONFIRMED on 2024-10-25",Already confirmed,"2025-10-31 (Price: 306.55), 33.53% above",265 days,No Information,No Information,No Information,"38.2% (Price: 222.2868), 37.91% above, Upmove Bounce Back","2024-08-05 (Price: 192.87), 2024-10-15 (Price: 240.47)",No Information,"1.09%, 40.81%",646 days/20 days/153 days,2027-05-18/2024-11-22/2025-06-03,42.7%,20.72%,21.98%,0.5,0.7,235.9394/275.4042/258.14/No Horizontal Resistance/254.997/301.3628,226.04/95.6666/226.8328/161.2/No F-Track Level/No F-Track Level,272.11/229.39,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
DELTADRIFT,"BTI, Long, 2024-10-22 (Price: 34.89)",Daily,No Price Target,No Date Target,2024-11-06 (Price: 35.64),"2025-10-31 (Price: 51.19), 46.72% above","88.89%, Past 4 years, 9",60.63%/79.81%,"46.72%, 268 days",5.78%/2.23%/3.81%,82.226 (F-Stack 1)/92.0468 (F-Stack 2),No Next Date Target,"2.15%, 11 days","Daily, was CONFIRMED on 2024-10-22",Already confirmed,"2025-10-31 (Price: 51.19), 46.72% above",268 days,No Information,No Information,No Information,No Information,No Information,No Information,"5.74%, 6.42%",30 days/3 days/10 days,2024-12-04/2024-10-26/2024-11-05,13.57%,11.38%,2.19%,0.78,0.46,36.9904/36.2193/36.6/45.46/82.226/92.0468,34.25/28.5067/34.0342/27.0974/No F-Track Level/No F-Track Level,53.61/47.18,80.36%/112/11 days (Across ALL Assets),78.09%/470/11 days (Across ALL Assets)
FRACTAL TRACK,"META, Long, 2024-10-18 (Price: 576.47)",Daily,No Price Target,No Date Target,2024-11-05 (Price: 572.43),"2025-10-31 (Price: 648.35), 12.47% above","88.24%, Past 5 years, 17",24.59%/24.59%,"12.47%, 270 days",96.84%/3.89%/40.13%,807.8074 (Avg % Gain of Historic Winning trades)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/1134.723548 (Backtested Best)/807.807411 (Backtested Avg),2027-06-25 (Farthest)/2025-11-24 (Avg),"-0.7%, 12 days","Daily, was CONFIRMED on 2024-10-18",Already confirmed,"2025-10-31 (Price: 648.35), 12.47% above",270 days,No Information,No Information,No Information,"23.66% (Price: 565.023), 14.75% above, Upmove Bounce Back","2024-07-25 (Price: 442.65), 2024-10-07 (Price: 602.95)",No Information,"3.02%, 74.42%",677 days/19 days/278 days,2027-06-25/2024-11-14/2025-11-24,41.24%,23.92%,17.32%,0.54,0.75,583.6182/807.8074/672.65/No Horizontal Resistance/842.484/1305.5879,500.27/241.8667/556.264/2054.9119/No F-Track Level/No F-Track Level,738.6/678.54,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2024-10-13 (Price: 428.73)",Weekly,No Price Target,No Date Target,2024-12-08 (Price: 447.15),"2025-10-31 (Price: 475.67), 10.95% above","100.0%, Past 10 years, 9",13.13%/73.86%,"10.95%, 274 days",6.15%/1.18%/3.37%,538.1343 (F-Stack 1)/826.9871 (F-Stack 2),No Next Date Target,"4.3%, 39 days","Weekly, is CONFIRMED on 2024-10-11",Already confirmed,"2025-10-31 (Price: 475.67), 10.95% above",274 days,No Information,No Information,No Information,No Information,No Information,10.95% above/10.95% above/10.95% above,"-0.0%, 8.54%",194 days/14 days/87 days,2025-07-20/2024-11-02/2025-02-16,5.84%,9.92%,-4.08%,1.38,0.44,449.7806/443.1782/451.18/No Horizontal Resistance/538.1343/826.9871,379.8/292.81/359.6128/249.2814/No F-Track Level/No F-Track Level,411.68/394.47,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
FRACTAL TRACK,"TRI.TO, Long, 2024-10-09 (Price: 230.38)",Daily,No Price Target,No Date Target,2024-12-18 (Price: 237.43),"2025-10-31 (Price: 214.84), 6.75% below","96.97%, Past 5 years, 33",36.49%/37.89%,"-6.75%, 277 days",28.59%/1.02%/10.63%,293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/296.24564200000003 (Backtested Best),2025-12-27 (Farthest),"3.06%, 50 days","Daily, was CONFIRMED on 2024-10-09",Already confirmed,"2025-10-31 (Price: 214.84), 6.75% below",277 days,No Information,No Information,No Information,"38.2% (Price: 228.0009), 5.77% below, Upmove Bounce Back","2024-08-06 (Price: 214.51), 2024-09-12 (Price: 236.34)",No Information,"0.25%, 22.86%",307 days/18 days/134 days,2025-12-27/2024-11-04/2025-04-21,21.21%,17.35%,3.86%,0.44,0.8,234.9646/254.8694/243.48/No Horizontal Resistance/293.2329/455.2123,225.22/115.1142/193.124/131.2534/No F-Track Level/No F-Track Level,227.71/249.35,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
DELTADRIFT,"BTI, Long, 2024-10-08 (Price: 35.22)",Daily,No Price Target,No Date Target,2024-10-16 (Price: 35.8),"2025-10-31 (Price: 51.19), 45.34% above","88.89%, Past 4 years, 9",60.63%/79.81%,"45.34%, 278 days",5.78%/2.23%/3.81%,82.226 (F-Stack 1)/92.0468 (F-Stack 2),No Next Date Target,"1.65%, 6 days","Daily, was CONFIRMED on 2024-10-08",Already confirmed,"2025-10-31 (Price: 51.19), 45.34% above",278 days,No Information,No Information,No Information,No Information,No Information,No Information,"5.74%, 6.42%",30 days/3 days/10 days,2024-11-20/2024-10-12/2024-10-22,13.57%,11.38%,2.19%,0.78,0.46,37.3402/36.5619/36.95/45.46/82.226/92.0468,35.11/28.5067/34.0342/27.0974/No F-Track Level/No F-Track Level,53.61/47.18,80.36%/112/11 days (Across ALL Assets),78.09%/470/11 days (Across ALL Assets)
DELTADRIFT,"ATD.TO, Long, 2024-10-07 (Price: 73.82)",Daily,No Price Target,No Date Target,2024-11-06 (Price: 76.34),"2025-10-31 (Price: 71.28), 3.44% below","90.0%, Past 4 years, 10",19.8%/21.21%,"-3.44%, 279 days",4.29%/1.99%/3.16%,86.4 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2),No Next Date Target,"3.41%, 22 days","Daily, was CONFIRMED on 2024-10-07",Already confirmed,"2025-10-31 (Price: 71.28), 3.44% below",279 days,No Information,No Information,No Information,No Information,No Information,No Information,"7.87%, 8.49%",42 days/1 days/7 days,2024-12-06/2024-10-08/2024-10-17,10.18%,9.78%,0.4%,0.55,0.37,81.3349/76.1527/78.74/86.4/85.3936/96.14,73.15/40.61/59.8475/53.4732/No F-Track Level/No F-Track Level,72.8/71.85,80.36%/112/11 days (Across ALL Assets),78.09%/470/11 days (Across ALL Assets)
TRENDPULSE,"UBER, Long, 2024-10-07 (Price: 74.59)",Daily,No Price Target,No Date Target,2024-10-11 (Price: 86.34),"2025-10-31 (Price: 96.5), 29.37% above","85.71%, Past 4 years, 14",5.51%,"29.37%, 279 days",36.5%/2.64%/11.12%,101.81535000000001 (Backtested Best),No Next Date Target,"15.75%, 4 days","Daily, is CONFIRMED on 2024-10-07",Already confirmed,"2025-10-31 (Price: 96.5), 29.37% above",279 days,No Information,No Information,No Information,No Information,No Information,29.91% above/29.37% above/29.37% above,"36.48%, 57.69%",75 days/4 days/14 days,2025-01-23/2024-10-12/2024-10-27,12.86%,18.16%,-5.3%,0.25,0.6,78.3419/82.8844/76.52/No Horizontal Resistance/89.1576/94.5323,72.87/28.592/72.8134/67.6463/No F-Track Level/No F-Track Level,71.05/70.33,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
BAND MATRIX,"BTI, Long, 2024-10-01 (Price: 36.45)",Daily,No Price Target,No Date Target,2025-02-13 (Price: 39.61),"2025-10-31 (Price: 51.19), 40.44% above","87.5%, Past 5 years, 8",60.63%/79.81%,"40.44%, 283 days",44.96%/1.83%/12.64%,82.226 (F-Stack 1)/92.0468 (F-Stack 2),No Next Date Target,"8.67%, 97 days","Daily, was CONFIRMED on 2024-10-01",No Cancellation Possible,"2025-10-31 (Price: 51.19), 40.44% above",283 days,No Information,No Information,No Information,No Information,No Information,No Information,"6.64%, 12.82%",167 days/26 days/91 days,2025-05-30/2024-11-07/2025-02-09,18.26%,10.6%,7.66%,0.72,0.42,39.0416/41.0573/40.05/45.46/82.226/92.0468,34.92/28.5067/34.0342/27.0974/No F-Track Level/No F-Track Level,53.61/47.18,76.32%/76/130 days (Across ALL Assets),76.19%/252/112 days (Across ALL Assets)
SIGMASHELL,"ATD.TO, Long, 2024-10-01 (Price: 74.2)",Daily,No Price Target,No Date Target,2025-04-28 (Price: 72.9),"2025-10-31 (Price: 71.28), 3.94% below","78.57%, Past 5 years, 14",19.8%/19.8%,"-3.94%, 283 days",18.52%/3.26%/9.19%,85.3936 (Exit Rule)/86.4 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/87.94184 (Backtested Best),No Next Date Target,"-1.75%, 149 days","Daily, was CONFIRMED on 2024-10-01",Already confirmed,"2025-10-31 (Price: 71.28), 3.94% below",283 days,"-5.29, 83.34",No Information,No Information,No Information,No Information,No Information,"6.22%, 19.86%",92 days/38 days/62 days,2025-02-11/2024-11-25/2024-12-29,16.8%,10.16%,6.64%,0.83,0.39,76.8786/81.019/85.3936/86.4/85.3936/96.14,74.18/40.61/59.8475/53.4732/No F-Track Level/No F-Track Level,72.8/71.85,83.21%/137/75 days (Across ALL Assets),76.31%/325/86 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2024-09-30 (Price: 170.4)",Monthly,No Price Target,No Date Target,2025-10-31 (Price: 262.61) (Today),"2025-10-31 (Price: 262.61), 54.11% above","85.71%, Past 20 years, 7",18.05%,"54.11%, 284 days",81.93%/7.78%/27.53%,310.00872000000004 (Backtested Best),2026-07-25 (Farthest),"54.11%, 284 days","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2025-10-31 (Price: 262.61), 54.11% above",284 days,No Information,No Information,No Information,No Information,No Information,54.11% above/54.11% above/54.11% above,"3.23%, 28.67%",458 days/87 days/222 days,2026-07-25/2025-02-03/2025-08-17,10.12%,8.42%,1.7%,0.8,0.31,182.8562/217.3111/239.62/No Horizontal Resistance/145.7273/152.3597,61.07/54.8525/117.4897/106.3198/No F-Track Level/No F-Track Level,145.55/126.67,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2024-09-30 (Price: 304.51)",Monthly,No Price Target,No Date Target,2025-01-31 (Price: 288.7),"2025-10-31 (Price: 298.43), 2.0% below","88.1%, Past 60 years, 42",21.62%/24.0%,"-2.0%, 284 days",1283.45%/2.37%/190.96%,362.9455 (Historic Rise or Fall to Pivot)/886.0023 (Avg % Gain of Historic Winning trades)/397.84 (Exit Rule)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/4212.743595 (Backtested Best)/886.002296 (Backtested Avg),2049-10-02 (Farthest)/2031-08-03 (Avg),"-5.19%, 89 days","Monthly, was CONFIRMED on 2024-09-30",Already confirmed,"2025-10-31 (Price: 298.43), 2.0% below",284 days,No Information,No Information,No Information,"38.2% (Price: 242.9699), 22.83% above, Upmove Bounce Back","2018-03-31 (Price: 146.84), 2024-01-31 (Price: 302.39)",No Information,"40.98%, 70.25%",6306 days/238 days/1725 days,2049-10-02/2025-09-09/2031-08-03,10.14%,12.54%,-2.4%,0.54,0.47,362.9455/886.0023/397.84/No Horizontal Resistance/370.0426/590.3302,254.84/203.8833/254.2758/233.8976/No F-Track Level/No F-Track Level,305.7/304.57,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
TRENDPULSE,"BRK-B, Long, 2024-09-30 (Price: 460.26)",Daily,No Price Target,No Date Target,2024-10-18 (Price: 464.8),"2025-10-31 (Price: 477.54), 3.75% above","91.67%, Past 4 years, 12",11.62%,"3.75%, 284 days",5.02%/0.99%/3.05%,533.0296 (F-Stack 2),No Next Date Target,"0.99%, 14 days","Daily, is CONFIRMED on 2024-09-30",Already confirmed,"2025-10-31 (Price: 477.54), 3.75% above",284 days,No Information,No Information,No Information,No Information,No Information,5.14% above/3.75% above/3.75% above,"1.61%, 7.4%",44 days/4 days/14 days,2024-12-02/2024-10-05/2024-10-20,11.77%,14.99%,-3.22%,1.59,0.64,481.9843/474.2979/477.49/No Horizontal Resistance/491.88/533.0296,447.61/200.57/449.7662/405.99/No F-Track Level/No F-Track Level,447.97/411.65,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2024-09-30 (Price: 31.28)",Monthly,No Price Target,No Date Target,2025-08-31 (Price: 35.58),"2025-10-31 (Price: 36.22), 15.79% above","80.0%, Past 20 years, 5",8.34%/12.07%,"15.79%, 284 days",71.58%/7.1%/29.77%,40.5921 (Avg % Gain of Historic Winning trades)/39.24 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/53.670224000000005 (Backtested Best)/40.59205600000001 (Backtested Avg),2027-11-06 (Farthest)/2026-04-26 (Avg),"13.75%, 239 days","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2025-10-31 (Price: 36.22), 15.79% above",284 days,No Information,No Information,No Information,No Information,No Information,15.79% above/15.79% above/15.79% above,"2.75%, 63.31%",782 days/109 days/396 days,2027-11-06/2025-03-06/2026-04-26,8.0%,17.0%,-9.0%,0.78,0.59,34.9022/40.5921/35.06/39.24/40.717/47.4928,26.75/25.82/21.1884/14.0692/No F-Track Level/No F-Track Level,30.68/29.7,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
TRENDPULSE,"INDY, Long, 2024-09-29 (Price: 57.02)",Weekly,No Price Target,No Date Target,2025-07-27 (Price: 52.63),"2025-10-31 (Price: 52.98), 7.09% below","80.0%, Past 10 years, 15",8.49%/12.36%,"-7.09%, 284 days",10.32%/0.8%/5.16%,59.5289 (Historic Rise or Fall to Pivot)/59.9622 (Avg % Gain of Historic Winning trades)/65.62 (Exit Rule)/60.9145 (F-Stack 1)/82.7089 (F-Stack 2)/62.904464000000004 (Backtested Best)/57.47616 (Backtested Worst)/59.96223200000001 (Backtested Avg),2025-11-21 (Farthest),"-7.7%, 214 days","Weekly, is CONFIRMED on 2024-09-27",Already confirmed,"2025-10-31 (Price: 52.98), 7.09% below",284 days,No Information,No Information,No Information,No Information,No Information,6.28% below/7.09% below/7.09% below,"18.76%, 40.6%",289 days/24 days/81 days,2025-11-21/2024-11-02/2025-01-24,3.46%,3.49%,-0.03%,0.25,0.06,59.5289/59.9622/65.62/No Horizontal Resistance/60.9145/82.7089,49.55/40.5233/47.4445/267.3557/No F-Track Level/No F-Track Level,54.7/51.7,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2024-09-27 (Price: 422.95)",Daily,No Price Target,No Date Target,2024-10-15 (Price: 427.54),"2025-10-31 (Price: 475.67), 12.46% above","83.33%, Past 4 years, 12",13.13%/73.86%,"12.46%, 285 days",2.62%/0.78%/1.5%,538.1343 (F-Stack 1)/826.9871 (F-Stack 2),No Next Date Target,"1.09%, 12 days","Daily, is CONFIRMED on 2024-09-27",Already confirmed,"2025-10-31 (Price: 475.67), 12.46% above",285 days,No Information,No Information,No Information,No Information,No Information,13.49% above/12.46% above/12.46% above,"5.91%, 15.93%",56 days/4 days/17 days,2024-12-17/2024-10-02/2024-10-21,4.73%,9.04%,-4.31%,0.24,0.35,427.391/429.2942/432.27/No Horizontal Resistance/538.1343/826.9871,404.47/292.81/359.6128/249.2814/No F-Track Level/No F-Track Level,407.9/391.96,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2024-09-26 (Price: 431.31)",Daily,No Price Target,No Date Target,2024-12-20 (Price: 436.6),"2025-10-31 (Price: 517.81), 20.06% above","100.0%, Past 5 years, 33",6.87%/16.08%,"20.06%, 286 days",39.36%/1.23%/16.74%,553.3726 (F-Stack 2)/601.073616 (Backtested Best),2027-01-15 (Farthest),"1.23%, 61 days","Daily, was CONFIRMED on 2024-09-26",Already confirmed,"2025-10-31 (Price: 517.81), 20.06% above",286 days,No Information,No Information,No Information,"23.66% (Price: 428.5365), 20.83% above, Upmove Bounce Back","2024-08-05 (Price: 385.58), 2024-09-17 (Price: 441.85)",No Information,"-0.0%, 37.56%",581 days/25 days/229 days,2027-01-15/2024-11-01/2025-08-23,27.07%,19.67%,7.4%,0.49,0.76,436.3563/503.5113/465.07/No Horizontal Resistance/517.4523/553.3726,429.17/193.475/386.873/350.287/No F-Track Level/No F-Track Level,513.83/461.14,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
BAND MATRIX,"SJ.TO, Long, 2024-09-26 (Price: 87.63)",Daily,No Price Target,No Date Target,2025-06-16 (Price: 75.72),"2025-10-31 (Price: 79.61), 9.15% below","75.0%, Past 5 years, 8",18.22%/19.35%,"-9.15%, 286 days",23.09%/7.4%/14.06%,99.9508 (Avg % Gain of Historic Winning trades)/95.68 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/107.86376700000001 (Backtested Best)/94.11462 (Backtested Worst)/99.950778 (Backtested Avg),No Next Date Target,"-13.59%, 187 days","Daily, was CONFIRMED on 2024-09-26",No Cancellation Possible,"2025-10-31 (Price: 79.61), 9.15% below",286 days,No Information,No Information,No Information,No Information,No Information,No Information,"13.59%, 37.19%",103 days/18 days/63 days,2025-02-22/2024-10-22/2024-12-26,11.95%,11.37%,0.58%,0.6,0.42,91.4156/99.9508/95.68/No Horizontal Resistance/95.0177/123.2166,86.13/35.835/66.807/60.0601/No F-Track Level/No F-Track Level,79.07/74.45,76.32%/76/130 days (Across ALL Assets),76.19%/252/112 days (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2024-09-25 (Price: 257.02)",Daily,No Price Target,No Date Target,2024-11-11 (Price: 350.0),"2025-10-31 (Price: 456.56), 77.64% above","92.86%, Past 4 years, 14",18.56%/23.74%,"77.64%, 287 days",28.08%/0.85%/9.74%,541.282 (F-Stack 1)/564.9603 (F-Stack 2),No Next Date Target,"36.18%, 33 days","Daily, is CONFIRMED on 2024-09-25",Already confirmed,"2025-10-31 (Price: 456.56), 77.64% above",287 days,No Information,No Information,No Information,No Information,No Information,82.62% above/77.64% above/77.64% above,"20.56%, 36.25%",38 days/4 days/15 days,2024-11-19/2024-09-30/2024-10-16,21.57%,66.36%,-44.79%,0.65,1.58,304.4659/282.0537/291.9/408.5817/541.282/564.9603,205.75/167.4534/223.4247/142.799/No F-Track Level/No F-Track Level,222.06/202.47,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
FRACTAL TRACK,"BTI, Long, 2024-09-24 (Price: 38.1)",Daily,No Price Target,No Date Target,2025-02-18 (Price: 38.14),"2025-10-31 (Price: 51.19), 34.36% above","100.0%, Past 5 years, 22",60.63%/79.81%,"34.36%, 288 days",28.63%/2.14%/10.45%,82.226 (F-Stack 1)/92.0468 (F-Stack 2),2026-04-27 (Farthest),"0.1%, 105 days","Daily, was CONFIRMED on 2024-09-24",Already confirmed,"2025-10-31 (Price: 51.19), 34.36% above",288 days,No Information,No Information,No Information,"23.66% (Price: 37.6661), 35.9% above, Upmove Bounce Back","2023-08-16 (Price: 31.62), 2024-09-16 (Price: 39.54)",No Information,"-0.0%, 16.26%",401 days/11 days/115 days,2026-04-27/2024-10-09/2025-03-09,16.41%,10.39%,6.02%,0.54,0.41,39.6202/42.0815/42.85/45.46/82.226/92.0468,37.44/28.5067/34.0342/27.0974/No F-Track Level/No F-Track Level,53.61/47.18,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
TRENDPULSE,"ASHR, Long, 2024-09-24 (Price: 24.94)",Daily,No Price Target,No Date Target,2024-10-01 (Price: 29.38),"2025-10-31 (Price: 33.03), 32.44% above","80.0%, Past 4 years, 10",20.94%/82.55%,"32.44%, 288 days",17.8%/0.86%/7.21%,39.9467 (Horizontal)/60.2967 (F-Stack 1)/80.3432 (F-Stack 2),No Next Date Target,"17.8%, 5 days","Daily, is CONFIRMED on 2024-09-24",Already confirmed,"2025-10-31 (Price: 33.03), 32.44% above",288 days,No Information,No Information,No Information,No Information,No Information,43.05% above/32.44% above/32.44% above,"17.99%, 29.12%",31 days/5 days/14 days,2024-11-07/2024-10-01/2024-10-14,8.59%,2.41%,6.18%,0.28,0.06,26.9776/26.7382/25.42/39.9467/60.2967/80.3432,22.46/23.852/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,23.36/23.76,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2024-09-22 (Price: 238.25)",Weekly,455.534 (Backtested Best),No Date Target,2024-11-24 (Price: 352.56),"2025-10-31 (Price: 456.56), 91.63% above","94.12%, Past 10 years, 17",18.56%/23.74%,"91.63%, 289 days",91.2%/4.56%/33.38%,541.282 (F-Stack 1)/564.9603 (F-Stack 2),2026-05-07 (Farthest),"47.98%, 44 days","Weekly, is CONFIRMED on 2024-09-20",Already confirmed,"2025-10-31 (Price: 456.56), 91.63% above",289 days,No Information,No Information,No Information,No Information,No Information,98.25% above/91.63% above/91.63% above,"12.11%, 49.37%",409 days/19 days/99 days,2026-05-07/2024-10-19/2025-02-12,25.2%,44.26%,-19.06%,1.31,1.15,352.6815/317.7779/238.82/408.5817/541.282/564.9603,147.05/167.4534/223.4247/142.799/No F-Track Level/No F-Track Level,221.98/202.27,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
TRENDPULSE,"UBER, Long, 2024-09-22 (Price: 73.94)",Weekly,No Price Target,No Date Target,2025-05-25 (Price: 87.75),"2025-10-31 (Price: 96.5), 30.51% above","100.0%, Past 10 years, 4",8.26%/13.24%,"30.51%, 289 days",47.79%/2.05%/18.26%,104.4698 (Historic Rise or Fall to Pivot)/109.275926 (Backtested Best),No Next Date Target,"18.68%, 174 days","Weekly, is CONFIRMED on 2024-09-20",Already confirmed,"2025-10-31 (Price: 96.5), 30.51% above",289 days,No Information,No Information,No Information,No Information,No Information,33.14% above/30.51% above/30.51% above,"0%, 11.56%",79 days/19 days/55 days,2025-01-14/2024-10-19/2024-12-10,25.54%,13.62%,11.92%,0.9,0.48,104.4698/87.4414/75.76/No Horizontal Resistance/89.1576/94.5323,58.99/28.592/72.8134/67.6463/No F-Track Level/No F-Track Level,69.59/69.58,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2024-09-22 (Price: 435.27)",Weekly,517.4523 (F-Stack 1),No Date Target,No Exit Yet,"2025-10-31 (Price: 517.81), 18.96% above","100.0%, Past 20 years, 20",6.87%/13.6%,"18.96%, 289 days",520.95%/6.95%/66.6%,725.1598 (Avg % Gain of Historic Winning trades)/588.22 (Exit Rule)/553.3726 (F-Stack 2)/2702.809065 (Backtested Best)/725.15982 (Backtested Avg),2033-09-14 (Farthest)/2027-01-26 (Avg),"18.96%, 289 days","Weekly, was CONFIRMED on 2024-09-22",Already confirmed,"2025-10-31 (Price: 517.81), 18.96% above",289 days,No Information,No Information,No Information,"23.66% (Price: 408.0359), 26.9% above, Upmove Bounce Back","2022-11-06 (Price: 213.43), 2024-07-07 (Price: 468.35)",No Information,"-0.0%, 45.68%",2264 days/49 days/591 days,2033-09-14/2024-12-01/2027-01-26,13.82%,15.74%,-1.92%,0.36,0.61,460.298/725.1598/588.22/No Horizontal Resistance/517.4523/553.3726,401.7/193.475/386.873/350.287/No F-Track Level/No F-Track Level,513.83/461.14,94.0%/50/558 days (Across ALL Assets),72.73%/165/214 days (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2024-09-22 (Price: 32.865)",Weekly,No Price Target,No Date Target,2025-05-11 (Price: 35.24),"2025-10-31 (Price: 36.22), 10.21% above","82.35%, Past 10 years, 17",8.34%/12.42%,"10.21%, 289 days",12.46%/1.61%/7.31%,39.24 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2),No Next Date Target,"7.23%, 164 days","Weekly, is CONFIRMED on 2024-09-20",Already confirmed,"2025-10-31 (Price: 36.22), 10.21% above",289 days,No Information,No Information,No Information,No Information,No Information,15.72% above/10.21% above/10.21% above,"17.27%, 33.22%",224 days/19 days/62 days,2025-08-12/2024-10-19/2024-12-20,5.77%,9.18%,-3.41%,0.4,0.33,35.5731/35.2674/33.25/39.24/40.717/47.4928,26.88/25.82/32.7076/21.1884/No F-Track Level/No F-Track Level,30.39/29.68,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2024-09-13 (Price: 31.3)",Daily,No Price Target,No Date Target,2024-09-20 (Price: 32.865),"2025-10-31 (Price: 36.22), 15.72% above","100.0%, Past 4 years, 7",8.34%/12.42%,"15.72%, 295 days",5.45%/2.76%/4.66%,39.24 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2),No Next Date Target,"5.0%, 5 days","Daily, is CONFIRMED on 2024-09-13",Already confirmed,"2025-10-31 (Price: 36.22), 15.72% above",295 days,No Information,No Information,No Information,No Information,No Information,18.39% above/15.72% above/15.72% above,"0%, 9.34%",16 days/4 days/8 days,2024-10-06/2024-09-18/2024-09-24,12.79%,5.32%,7.47%,5.11,0.21,34.3048/32.7586/32.17/39.24/40.717/47.4928,30.26/25.82/21.1884/14.0692/No F-Track Level/No F-Track Level,30.25/29.64,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
