Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"TFII.TO, Long, 2024-03-31 (Price: 216.0)",2025-10-09 (Price: 127.3) (Today),"-41.06%, 398 days","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2025-10-09 (Price: 127.3), 41.06% below",398 days,No Information,No Information,No Information,No Information,No Information,41.06% below/41.06% below/41.06% below,46.3%/12.14%/26.25%,"38.98%, 82.56%",328 days/109 days/213 days,2025-07-19/2024-09-04/2025-02-02,6.26%,12.86%,-6.6%,0.56,0.45,235.6128/272.7/321.92/No Horizontal Resistance/292.119/470.5571,103.33/116.3/181.8381/113.6809/No Fib Ret Level/No Fib Ret Level,196.05/172.41,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"TRI.TO, Long, 2025-07-31 (Price: 278.08)",2025-10-09 (Price: 210.48) (Today),"-24.31%, 50 days","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-10-09 (Price: 210.48), 24.31% below",50 days,No Information,No Information,No Information,No Information,No Information,23.14% below/24.31% below/24.31% below,32.32%/8.14%/19.92%,"13.76%, 18.1%",413 days/152 days/246 days,2027-03-21/2026-03-08/2026-07-22,8.69%,11.09%,-2.4%,0.62,0.5,304.4698/333.4735/362.56/No Horizontal Resistance/293.2329/455.2123,166.11/117.9612/193.124/131.2534/No Fib Ret Level/No Fib Ret Level,272.78/249.41,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"TD.TO, Long, 2025-09-28 (Price: 110.35)",2025-10-09 (Price: 112.02) (Today),"1.51%, 8 days","93.33%, Past 10 years, 15","Weekly, is CONFIRMED on 2025-09-26",Already confirmed,"2025-10-09 (Price: 112.02), 1.51% above",8 days,No Information,No Information,No Information,No Information,No Information,1.51% above/1.51% above/1.51% above,10.05%/1.31%/5.9%,"9.57%, 31.6%",459 days/19 days/93 days,2027-07-24/2025-10-25/2026-02-09,6.71%,7.1%,-0.39%,1.04,0.25,118.0635/116.8606/126.68/No Horizontal Resistance/128.6672/152.0396,81.05/73.6233/101.1064/83.3451/No Fib Ret Level/No Fib Ret Level,103.64/91.14,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"NVO, Long, 2025-07-24 (Price: 70.73)",2025-10-09 (Price: 58.68) (Today),"-17.04%, 55 days","85.71%, Past 4 years, 7","Daily, is CONFIRMED on 2025-07-24",Already confirmed,"2025-10-09 (Price: 58.68), 17.04% below",55 days,No Information,No Information,No Information,No Information,No Information,12.13% below/17.04% below/17.04% below,9.26%/2.91%/6.05%,"15.27%, 17.98%",29 days/6 days/14 days,2025-09-04/2025-08-01/2025-08-13,9.82%,13.02%,-3.2%,0.39,0.46,74.7758/75.0092/71.99/139.01/157.4212/189.8872,64.31/37.265/70.5125/51.1046/No Fib Ret Level/No Fib Ret Level,70.23/84.53,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"NVO, Long, 2025-06-08 (Price: 74.63)",2025-10-09 (Price: 58.68) (Today),"-21.37%, 88 days","78.57%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-06-06",Already confirmed,"2025-10-09 (Price: 58.68), 21.37% below",88 days,No Information,No Information,No Information,No Information,No Information,12.87% below/21.37% below/21.37% below,21.72%/1.43%/9.91%,"27.75%, 39.63%",149 days/24 days/57 days,2026-01-09/2025-07-12/2025-08-29,5.37%,11.93%,-6.56%,0.28,0.44,80.5482/82.0258/113.35/139.01/157.4212/189.8872,58.08/31.6225/70.5125/51.1046/No Fib Ret Level/No Fib Ret Level,66.39/94.1,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"NOVA.F, Long, 2025-07-24 (Price: 59.6)",2025-10-09 (Price: 50.6) (Today),"-15.1%, 55 days","100.0%, Past 4 years, 4","Daily, is CONFIRMED on 2025-07-24",Already confirmed,"2025-10-09 (Price: 50.6), 15.1% below",55 days,No Information,No Information,No Information,No Information,No Information,10.28% below/15.1% below/15.1% below,6.12%/0.47%/3.49%,"0%, 11.68%",34 days/4 days/21 days,2025-09-11/2025-07-29/2025-08-23,13.05%,12.13%,0.92%,1.22,0.43,61.3642/61.68/61.64/126.5/138.0871/146.706,55.1/31.375/44.5645/40.2093/No Fib Ret Level/No Fib Ret Level,60.84/77.43,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"NOVA.F, Long, 2025-06-15 (Price: 68.5)",2025-10-09 (Price: 50.6) (Today),"-26.13%, 83 days","90.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2025-06-13",Already confirmed,"2025-10-09 (Price: 50.6), 26.13% below",83 days,No Information,No Information,No Information,No Information,No Information,19.04% below/26.13% below/26.13% below,21.94%/2.36%/11.06%,"32.63%, 38.83%",129 days/24 days/57 days,2025-12-18/2025-07-19/2025-09-05,7.5%,12.89%,-5.39%,0.46,0.47,75.9117/76.0761/98.2/126.5/138.0871/146.706,51.0/26.875/61.5779/44.5645/No Fib Ret Level/No Fib Ret Level,59.5/85.62,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"NOVA.F, Long, 2024-03-31 (Price: 118.5)",2025-10-09 (Price: 50.6) (Today),"-57.3%, 398 days","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2025-10-09 (Price: 50.6), 57.3% below",398 days,No Information,No Information,No Information,No Information,No Information,54.21% below/57.3% below/57.3% below,34.84%/4.76%/22.85%,"61.05%, 69.29%",346 days/108 days/199 days,2025-08-14/2024-09-03/2025-01-13,2.61%,16.16%,-13.55%,0.25,0.65,147.6036/145.5772/159.6/No Horizontal Resistance/138.0871/213.5668,27.0/23.0/91.4382/62.6074/No Fib Ret Level/No Fib Ret Level,112.59/92.88,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"NOVA.F, Long, 2024-02-29 (Price: 110.5)",2025-10-09 (Price: 50.6) (Today),"-54.21%, 420 days","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2025-10-09 (Price: 50.6), 54.21% below",420 days,No Information,No Information,No Information,No Information,No Information,54.21% below/54.21% below/54.21% below,34.84%/4.76%/22.85%,"61.05%, 69.29%",346 days/108 days/199 days,2025-07-14/2024-08-03/2024-12-13,2.61%,16.16%,-13.55%,0.25,0.65,137.6388/135.7492/144.1/No Horizontal Resistance/138.0871/213.5668,27.0/23.0/91.4382/62.6074/No Fib Ret Level/No Fib Ret Level,102.89/88.34,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"HOOD, Long, 2025-09-30 (Price: 143.18)",2025-10-09 (Price: 152.46) (Today),"6.48%, 7 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-09 (Price: 152.46), 6.48% above",7 days,No Information,No Information,No Information,No Information,No Information,11.51% above/6.48% above/6.48% above,22.83%/6.1%/13.94%,"0%, 18.75%",36 days/4 days/11 days,2025-11-21/2025-10-05/2025-10-15,70.94%,34.23%,36.71%,2.12,0.97,175.3525/163.1393/184.12/No Horizontal Resistance/164.8517/245.4076,100.82/8.2917/115.0659/84.2959/No Fib Ret Level/No Fib Ret Level,111.92/70.24,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"EFN.TO, Long, 2025-08-03 (Price: 35.99)",2025-10-09 (Price: 36.31) (Today),"0.89%, 48 days","90.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2025-08-01",Already confirmed,"2025-10-09 (Price: 36.31), 0.89% above",48 days,No Information,No Information,No Information,No Information,No Information,1.42% above/0.89% above/0.89% above,26.0%/1.9%/8.8%,"54.81%, 76.43%",64 days/24 days/44 days,2025-11-03/2025-09-06/2025-10-05,2.64%,15.84%,-13.2%,0.1,0.55,39.589/39.1571/40.52/No Horizontal Resistance/45.1741/70.5281,27.54/11.7733/29.5041/177.9303/No Fib Ret Level/No Fib Ret Level,34.02/30.4,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"USDCHF=X, Long, 2025-01-12 (Price: 0.9121)",2025-10-09 (Price: 0.8015) (Today),"-12.13%, 193 days","79.31%, Past 10 years, 29","Weekly, is CONFIRMED on 2025-01-10",Already confirmed,"2025-10-09 (Price: 0.8015), 12.13% below",193 days,No Information,No Information,No Information,No Information,No Information,10.84% below/12.13% below/12.13% below,6.38%/1.06%/2.7%,"12.09%, 16.78%",289 days/19 days/80 days,2026-03-06/2025-02-08/2025-05-07,-3.76%,-1.38%,-2.38%,-0.01,-0.55,0.9178/0.9367/0.91/1.0032/No Next Fib Ext/No Next Fib Ext,0.84/0.8422/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,0.89/0.88,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2025-07-02 (Price: 105.54)",2025-10-09 (Price: 85.28) (Today),"-19.2%, 71 days","84.62%, Past 4 years, 13","Daily, is CONFIRMED on 2025-07-02",Already confirmed,"2025-10-09 (Price: 85.28), 19.2% below",71 days,No Information,No Information,No Information,No Information,No Information,19.2% below/19.2% below/19.2% below,14.16%/0.81%/3.54%,"11.16%, 24.75%",94 days/4 days/16 days,2025-11-15/2025-07-07/2025-07-25,7.18%,-5.7%,12.88%,0.3,-0.19,109.8038/109.2761/109.66/221.2667/228.7501/289.9226,99.21/No Horizontal Support/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,98.59/117.4,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2025-07-06 (Price: 104.13)",2025-10-09 (Price: 85.28) (Today),"-18.1%, 68 days","72.73%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-07-04",Already confirmed,"2025-10-09 (Price: 85.28), 18.1% below",68 days,No Information,No Information,No Information,No Information,No Information,14.09% below/18.1% below/18.1% below,5.87%/2.75%/4.29%,"54.87%, 55.03%",209 days/19 days/75 days,2026-05-04/2025-08-02/2025-10-22,-7.73%,1.5%,-9.23%,-0.31,0.0,100.8083/108.5972/122.54/221.2667/228.7501/289.9226,95.37/No Horizontal Support/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,98.74/117.28,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2025-01-26 (Price: 133.03)",2025-10-09 (Price: 85.28) (Today),"-35.89%, 183 days","72.73%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-01-24",Already confirmed,"2025-10-09 (Price: 85.28), 35.89% below",183 days,No Information,No Information,No Information,No Information,No Information,34.26% below/35.89% below/35.89% below,5.87%/2.75%/4.29%,"54.87%, 55.03%",209 days/19 days/75 days,2025-11-24/2025-02-22/2025-05-14,-7.73%,1.5%,-9.23%,-0.31,0.0,128.7863/138.737/164.37/221.2667/228.7501/269.293,123.28/No Horizontal Support/112.825/532.2452/No Fib Ret Level/No Fib Ret Level,129.3/134.31,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2024-11-24 (Price: 134.82)",2025-10-09 (Price: 85.28) (Today),"-36.75%, 228 days","72.73%, Past 10 years, 11","Weekly, is CONFIRMED on 2024-11-22",Already confirmed,"2025-10-09 (Price: 85.28), 36.75% below",228 days,No Information,No Information,No Information,No Information,No Information,36.75% below/36.75% below/36.75% below,5.87%/2.75%/4.29%,"54.87%, 55.03%",209 days/19 days/75 days,2025-09-22/2024-12-21/2025-03-12,-7.73%,1.5%,-9.23%,-0.31,0.0,130.5192/140.6038/145.95/221.2667/228.7501/267.7789,125.82/No Horizontal Support/112.825/532.2452/No Fib Ret Level/No Fib Ret Level,132.97/138.71,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2024-07-21 (Price: 145.18)",2025-10-09 (Price: 85.28) (Today),"-41.26%, 318 days","72.73%, Past 10 years, 11","Weekly, is CONFIRMED on 2024-07-19",Already confirmed,"2025-10-09 (Price: 85.28), 41.26% below",318 days,No Information,No Information,No Information,No Information,No Information,40.09% below/41.26% below/41.26% below,5.87%/2.75%/4.29%,"54.87%, 55.03%",209 days/19 days/75 days,2025-05-19/2024-08-17/2024-11-06,-7.73%,1.5%,-9.23%,-0.31,0.0,140.5488/151.4082/169.48/221.2667/228.7501/262.6495,135.65/124.47/112.825/669.7485/No Fib Ret Level/No Fib Ret Level,140.09/148.1,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2023-07-23 (Price: 187.3)",2025-10-09 (Price: 85.28) (Today),"-54.47%, 578 days","72.73%, Past 10 years, 11","Weekly, is CONFIRMED on 2023-07-21",Already confirmed,"2025-10-09 (Price: 85.28), 54.47% below",578 days,No Information,No Information,No Information,No Information,No Information,54.47% below/54.47% below/54.47% below,5.87%/2.75%/4.29%,"54.87%, 55.03%",209 days/19 days/75 days,2024-05-20/2023-08-19/2023-11-08,-7.73%,1.5%,-9.23%,-0.31,0.0,181.3251/195.3352/232.64/221.2667/228.7501/344.6751,168.5/91.27/157.105/112.825/No Fib Ret Level/No Fib Ret Level,175.11/178.49,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"EWJ, Long, 2025-09-14 (Price: 80.76)",2025-10-09 (Price: 81.55) (Today),"0.98%, 18 days","73.33%, Past 10 years, 15","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-10-09 (Price: 81.55), 0.98% above",18 days,No Information,No Information,No Information,No Information,No Information,2.99% above/0.98% above/0.98% above,12.51%/1.17%/4.99%,"20.09%, 34.01%",129 days/29 days/55 days,2026-03-19/2025-10-26/2025-12-02,2.9%,4.83%,-1.93%,0.22,0.12,83.4412/84.7899/88.13/No Horizontal Resistance/83.4752/89.1379,71.76/53.915/68.8472/52.3436/No Fib Ret Level/No Fib Ret Level,76.6/71.51,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"COIN, Long, 2025-10-03 (Price: 380.02)",2025-10-09 (Price: 387.0) (Today),"1.84%, 4 days","80.0%, Past 4 years, 10","Daily, is CONFIRMED on 2025-10-03",Already confirmed,"2025-10-09 (Price: 387.0), 1.84% above",4 days,No Information,No Information,No Information,No Information,No Information,4.01% above/1.84% above/1.84% above,23.56%/7.26%/14.68%,"23.25%, 55.92%",102 days/4 days/25 days,2026-02-27/2025-10-08/2025-11-08,25.59%,-0.52%,26.11%,0.51,0.46,505.9966/435.8069/411.83/No Horizontal Resistance/494.3788/524.6349,306.69/86.505/359.5789/234.936/No Fib Ret Level/No Fib Ret Level,325.36/274.36,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-09-10 (Price: 328.33)",2025-10-09 (Price: 296.96) (Today),"-9.55%, 21 days","87.5%, Past 4 years, 8","Daily, is CONFIRMED on 2025-09-10",Already confirmed,"2025-10-09 (Price: 296.96), 9.55% below",21 days,No Information,No Information,No Information,No Information,No Information,22.96% above/9.55% below/9.55% below,13.62%/1.15%/5.65%,"5.58%, 11.99%",69 days/6 days/20 days,2025-12-18/2025-09-18/2025-10-08,11.71%,33.63%,-21.92%,0.73,1.06,368.8131/346.8806/379.2/No Horizontal Resistance/265.6307/376.1425,223.0/82.7925/233.7381/167.1709/No Fib Ret Level/No Fib Ret Level,241.86/184.4,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-09-21 (Price: 308.66)",2025-10-09 (Price: 296.96) (Today),"-3.79%, 13 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-10-09 (Price: 296.96), 3.79% below",13 days,No Information,No Information,No Information,No Information,No Information,1.64% above/3.79% below/3.79% below,15.36%/2.24%/6.94%,"9.56%, 22.84%",414 days/19 days/100 days,2027-05-13/2025-10-18/2026-02-12,8.43%,17.3%,-8.87%,0.93,0.63,348.9401/330.081/383.61/No Horizontal Resistance/265.6307/376.1425,226.13/82.7925/233.7381/167.1709/No Fib Ret Level/No Fib Ret Level,251.7/188.37,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2025-07-31 (Price: 253.77)",2025-10-09 (Price: 296.96) (Today),"17.02%, 50 days","85.71%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-10-09 (Price: 296.96), 17.02% above",50 days,No Information,No Information,No Information,No Information,No Information,35.83% above/17.02% above/17.02% above,81.93%/7.78%/27.53%,"3.23%, 28.67%",458 days/87 days/222 days,2027-05-25/2025-12-04/2026-06-17,10.12%,8.42%,1.7%,0.8,0.31,272.3206/323.6329/372.76/No Horizontal Resistance/233.7381/265.6307,139.81/62.38/167.1709/145.7273/No Fib Ret Level/No Fib Ret Level,209.16/175.23,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"EFN.TO, Long, 2025-07-31 (Price: 36.04)",2025-10-09 (Price: 36.31) (Today),"0.75%, 50 days","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-10-09 (Price: 36.31), 0.75% above",50 days,No Information,No Information,No Information,No Information,No Information,6.45% above/0.75% above/0.75% above,38.62%/3.0%/21.83%,"0%, 23.79%",435 days/33 days/236 days,2027-04-22/2025-09-16/2026-07-07,17.38%,15.7%,1.68%,1.64,0.56,42.0695/43.9075/50.92/No Horizontal Resistance/45.1741/70.5281,11.47/11.7733/29.5041/177.9303/No Fib Ret Level/No Fib Ret Level,33.96/30.37,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-08-06 (Price: 194.0)",2025-10-09 (Price: 175.41) (Today),"-9.58%, 46 days","100.0%, Past 4 years, 21","Daily, is CONFIRMED on 2025-08-06",Already confirmed,"2025-10-09 (Price: 175.41), 9.58% below",46 days,No Information,No Information,No Information,No Information,No Information,8.97% below/9.58% below/9.58% below,6.33%/0.29%/2.99%,"0%, 13.61%",87 days/4 days/23 days,2025-12-10/2025-08-11/2025-09-08,14.78%,25.41%,-10.63%,1.64,1.08,200.4408/199.8006/204.14/No Horizontal Resistance/194.1559/294.0831,185.49/45.99/132.3972/94.2286/No Fib Ret Level/No Fib Ret Level,187.12/159.0,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-07-02 (Price: 37.5)",2025-10-09 (Price: 37.58) (Today),"0.21%, 71 days","78.26%, Past 4 years, 23","Daily, is CONFIRMED on 2025-07-02",Already confirmed,"2025-10-09 (Price: 37.58), 0.21% above",71 days,No Information,No Information,No Information,No Information,No Information,0.43% above/0.21% above/0.21% above,11.0%/0.78%/4.44%,"22.46%, 31.61%",74 days/4 days/24 days,2025-10-17/2025-07-07/2025-08-05,7.82%,14.41%,-6.59%,0.27,0.51,39.9412/39.165/47.26/38.8662/40.9296/48.5677,36.05/22.5167/30.9793/26.1935/No Fib Ret Level/No Fib Ret Level,35.93/36.17,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-09-01 (Price: 5.84)",2025-10-09 (Price: 6.02) (Today),"3.08%, 28 days","85.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-09-01",Already confirmed,"2025-10-09 (Price: 6.02), 3.08% above",28 days,No Information,No Information,No Information,No Information,No Information,3.08% above/3.08% above/3.08% above,7.98%/0.46%/4.31%,"4.97%, 14.45%",178 days/5 days/42 days,2026-05-16/2025-09-08/2025-10-31,11.94%,1.86%,10.08%,0.74,0.08,6.0345/6.0917/5.89/6.825/7.4565/8.4564,5.42/4.3875/4.8318/4.5145/No Fib Ret Level/No Fib Ret Level,5.72/5.77,78.12%/329/31 days (Across ALL Assets),85.01%/647/27 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2024-09-08 (Price: 37.4)",2025-10-09 (Price: 37.58) (Today),"0.48%, 283 days","100.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2024-09-06",Already confirmed,"2025-10-09 (Price: 37.58), 0.48% above",283 days,No Information,No Information,No Information,No Information,No Information,6.16% above/0.48% above/0.48% above,13.43%/6.92%/9.31%,"0%, 27.7%",239 days/24 days/68 days,2025-08-20/2024-10-12/2024-12-15,11.81%,18.03%,-6.22%,4.39,0.69,42.5762/40.8819/45.55/No Horizontal Resistance/40.9296/48.5677,23.8/22.675/30.9793/26.1935/No Fib Ret Level/No Fib Ret Level,32.78/27.55,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2020-06-30 (Price: 35.6)",2025-10-09 (Price: 37.58) (Today),"5.56%, 1377 days","100.0%, Past 23 years, 6","Quarterly, is CONFIRMED on 2020-06-30",Already confirmed,"2025-10-09 (Price: 37.58), 5.56% above",1377 days,No Information,No Information,No Information,No Information,No Information,69.28% above/5.56% above/5.56% above,111.71%/7.3%/50.4%,"0%, 48.03%",1425 days/316 days/734 days,2026-02-22/2021-09-30/2023-05-29,16.77%,14.17%,2.6%,1.18,0.51,59.7866/53.5424/50.93/No Horizontal Resistance/30.6331/48.385,1.97/6.93/19.6619/12.8812/No Fib Ret Level/No Fib Ret Level,29.58/24.2,90.0%/20/554 days (Across ALL Assets),100.0%/1/136 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",2025-10-09 (Price: 3.35) (Today),"-0.59%, 7 days","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-10-09 (Price: 3.35), 0.59% below",7 days,No Information,No Information,No Information,No Information,No Information,6.35% above/0.59% below/0.59% below,27.18%/18.27%/23.24%,"10.91%, 14.75%",260 days/109 days/159 days,2026-10-11/2026-03-06/2026-05-18,6.99%,0.65%,6.34%,0.9,-0.01,4.2604/4.1532/4.39/7.985/12.7156/14.3053,2.83/2.82/3.1474/16.1988/No Fib Ret Level/No Fib Ret Level,3.09/3.1,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",2025-10-09 (Price: 3.35) (Today),"-1.18%, 159 days","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2025-10-09 (Price: 3.35), 1.18% below",159 days,No Information,No Information,No Information,No Information,No Information,17.54% above/1.18% below/1.18% below,27.18%/18.27%/23.24%,"10.91%, 14.75%",260 days/109 days/159 days,2026-03-11/2025-08-04/2025-10-16,6.99%,0.65%,6.34%,0.9,-0.01,4.2856/4.1778/4.25/7.985/12.7156/14.3053,2.83/3.3133/3.1474/16.1988/No Fib Ret Level/No Fib Ret Level,2.96/3.02,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
TRENDPULSE,"FRW.NZ, Long, 2025-08-24 (Price: 12.1)",2025-10-09 (Price: 13.48) (Today),"11.4%, 33 days","100.0%, Past 10 years, 8","Weekly, is CONFIRMED on 2025-08-22",Already confirmed,"2025-10-09 (Price: 13.48), 11.4% above",33 days,No Information,No Information,No Information,No Information,No Information,16.61% above/11.4% above/11.4% above,16.8%/0.23%/6.39%,"0%, 36.82%",249 days/14 days/112 days,2026-08-19/2025-09-13/2026-02-02,7.28%,9.67%,-2.39%,0.98,0.38,12.5041/12.8732/12.78/12.9875/16.2179/21.849,10.0/7.405/11.0078/7.8689/No Fib Ret Level/No Fib Ret Level,11.27/10.79,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"GNE.NZ, Long, 2025-07-20 (Price: 2.38)",2025-10-09 (Price: 2.47) (Today),"3.78%, 58 days","81.82%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-07-18",Already confirmed,"2025-10-09 (Price: 2.47), 3.78% above",58 days,No Information,No Information,No Information,No Information,No Information,4.66% above/3.78% above/3.78% above,9.3%/0.78%/4.56%,"22.37%, 34.69%",309 days/19 days/106 days,2026-10-10/2025-08-16/2025-12-20,1.47%,2.94%,-1.47%,0.05,0.04,2.5019/2.4885/2.54/3.575/No Next Fib Ext/No Next Fib Ext,2.14/2.0733/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,2.3/2.22,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2024-09-15 (Price: 12.21)",2025-10-09 (Price: 12.39) (Today),"1.47%, 278 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2024-09-13",Already confirmed,"2025-10-09 (Price: 12.39), 1.47% above",278 days,No Information,No Information,No Information,No Information,No Information,4.12% above/1.47% above/1.47% above,32.14%/1.28%/6.86%,"5.74%, 24.36%",254 days/19 days/89 days,2025-09-17/2024-10-12/2025-01-21,9.08%,13.73%,-4.65%,0.78,0.62,13.42/13.0476/16.71/No Horizontal Resistance/12.2485/18.927,10.6/7.3167/8.121/5.57/No Fib Ret Level/No Fib Ret Level,11.04/10.68,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
