Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-12-07 (Price: 545.52)",Weekly,No Exit Yet,No Price Target,2026-02-05 (Min),5.95%/6.65%,"1.81%, 1.9 month","2026-02-03 (Price: 555.37), 1.81% above",592.3256 (Historic Rise or Fall to Pivot)/634.3307 (Avg % Gain of Historic Winning trades)/649.27 (Function Specific Target)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/658.9882 (Backtested Max)/588.3979 (Backtested Min),2028-03-20 (Max)/2026-02-05 (Min)/2026-09-11 (Avg),540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 19 years, 18",547.64,No Information,No Information,No Information,"38.2% (Price: 535.7184), 3.67% above, Upmove Bounce Back","2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",No Information,20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,14.25%,18.73%,-4.48%,1.65,0.96,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
DELTADRIFT,"MA, Long, 2026-01-20 (Price: 531.74)",Daily,2026-02-02 (Price: 555.37) (Today),No Price Target,2026-02-03 (Avg),0.99%/1.46%,"4.44%, 13 days","2026-02-02 (Price: 555.37), 4.44% above",578.5331 (Historic Rise or Fall to Pivot)/564.71 (Function Specific Target)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/563.47 (EMA 200)/560.8794 (Backtested Max),2026-03-17 (Max)/2026-02-03 (Avg),527.58/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,"93.33%, Past 4 years, 15",530.6,No Information,No Information,No Information,No Information,No Information,No Information,5.48%/1.68%/3.6%,"3.92%, 6.0%",1.3 month/2 days/10 days,12.96%,7.15%,5.81%,1.12,0.38,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,No Price Target,2026-02-02 (Avg),5.06%/7.99%,"1.46%, 3.3 months","2026-02-02 (Price: 626.14), 1.46% above",700.9022 (Historic Rise or Fall to Pivot)/657.8286 (Avg % Gain of Historic Winning trades)/676.16 (Function Specific Target)/836.2536 (F-Stack 2)/691.584 (Backtested Max),2026-04-26 (Max),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"88.24%, Past 10 years, 17",607.14,No Information,No Information,No Information,No Information,No Information,3.68% above/1.46% above/1.46% above,12.07%/1.74%/6.6%,"10.15%, 35.46%",4.2 months/1.2 month/2.3 months,8.62%,11.98%,-3.36%,0.65,0.79,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",Monthly,2026-01-31 (Price: 621.87),No Price Target,No Date Target,2.28%/3.68%,"9.77%, 5.2 months","2026-02-02 (Price: 626.14), 9.77% above",649.1722 (Historic Rise or Fall to Pivot)/640.3881 (Avg % Gain of Historic Winning trades)/735.71 (Function Specific Target)/836.2536 (F-Stack 2)/664.2308 (Backtested Max),2026-11-17 (Max)/2026-04-05 (Min)/2026-07-18 (Avg),468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,"100.0%, Past 20 years, 14",558.83,No Information,No Information,No Information,No Information,No Information,9.77% above/9.77% above/9.77% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,8.4%,6.82%,1.58%,1.2,0.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",Daily,2026-02-02 (Price: 49.91) (Today),No Price Target,No Date Target,3.21%/8.37%,"11.86%, 24 days","2026-02-02 (Price: 49.91), 11.86% above",54.0973 (Historic Rise or Fall to Pivot)/54.44 (Function Specific Target)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/54.0884 (Backtested Max),2026-08-31 (Max)/2026-03-02 (Avg),No Recent Minima/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/44.14,"83.33%, Past 6 years, 18",44.08,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,20.81%,10.2%,10.61%,0.68,0.51,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
BAND MATRIX,"CNQ.TO, Long, 2025-05-31 (Price: 41.67)",Monthly,No Exit Yet,50.5707 (Historic Rise or Fall to Pivot),No Date Target,3.21%/31.91%,"19.77%, 8.3 months","2026-02-03 (Price: 49.91), 19.77% above",235.1188 (Avg % Gain of Historic Winning trades)/142.84 (Function Specific Target)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/510.8617 (Backtested Max)/72.0683 (Backtested Min),2040-07-18 (Max)/2028-11-02 (Min)/2035-04-06 (Avg),39.56/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 53 years, 4",39.51,No Information,No Information,No Information,No Information,No Information,No Information,1125.97%/72.95%/464.24%,"-0.0%, 59.73%",10.6 years/2.4 years/6.9 years,17.87%,10.02%,7.85%,0.63,0.5,No Data (Across ALL Assets),100.0%/2/7.3 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",Weekly,2026-02-03 (Price: 180.59),No Price Target,No Date Target,16.03%/19.51%,"9.53%, 1.5 month","2026-02-02 (Price: 180.59), 9.53% above",215.83 (Function Specific Target)/209.546 (Backtested Max),2026-06-30 (Max)/2026-02-11 (Min)/2026-04-12 (Avg),135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,"86.67%, Past 10 years, 30",163.7,No Information,No Information,No Information,No Information,No Information,9.53% above/9.53% above/9.53% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,3.49%,6.66%,-3.17%,0.68,0.35,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-09-30 (Price: 155.74)",Monthly,No Exit Yet,178.0989 (F-Stack 2),No Date Target,3.24%/6.85%,"15.96%, 4.2 months","2026-02-02 (Price: 180.59), 15.96% above",192.9619 (Historic Rise or Fall to Pivot)/213.9089 (Avg % Gain of Historic Winning trades)/209.37 (Function Specific Target)/240.2289 (Backtested Max)/186.4364 (Backtested Min),2027-08-08 (Max)/2026-05-05 (Min)/2026-08-17 (Avg),55.12/48.855/125.9496/92.3678/No F-Track Level/No F-Track Level/113.78,"73.33%, Past 20 years, 15",140.91,No Information,No Information,No Information,No Information,No Information,42.51% above/15.96% above/15.96% above,54.25%/19.71%/37.35%,"32.86%, 60.15%",1.3 year/5 months/7.4 months,7.22%,13.05%,-5.83%,0.62,0.59,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2025-06-30 (Price: 10.6)",Monthly,No Exit Yet,No Price Target,2026-02-06 (Min),10.56%/15.64%,"4.06%, 7.3 months","2026-02-03 (Price: 11.03), 4.06% above",12.1953 (Historic Rise or Fall to Pivot)/12.8642 (Avg % Gain of Historic Winning trades)/17.08 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.0433 (Backtested Max)/12.755 (Backtested Min),2027-10-12 (Max)/2026-02-06 (Min)/2027-01-24 (Avg),10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.71%, Past 31 years, 7",10.55,No Information,No Information,No Information,"38.2% (Price: 9.2141), 19.71% above, Upmove Bounce Back","2016-12-31 (Price: 2.5393), 2024-10-31 (Price: 13.34)",No Information,23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,8.62%,8.22%,0.4%,0.91,0.49,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2025-12-07 (Price: 11.78)",Weekly,No Exit Yet,No Price Target,2026-02-05 (Min),7.32%/8.11%,"-6.37%, 1.9 month","2026-02-03 (Price: 11.03), 6.37% below",12.839 (Historic Rise or Fall to Pivot)/12.6988 (Avg % Gain of Historic Winning trades)/14.34 (Function Specific Target)/11.925 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/15.5661 (Backtested Max)/11.8377 (Backtested Min),2027-07-03 (Max)/2026-02-05 (Min)/2026-06-29 (Avg),11.55/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.34,"100.0%, Past 10 years, 24",11.69,No Information,No Information,No Information,No Information,No Information,6.37% below/6.37% below/6.37% below,32.14%/0.49%/7.8%,"0%, 24.36%",1.1 year/1.4 month/4.7 months,9.48%,8.73%,0.75%,1.08,0.54,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-11 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-02-05 (Min),7.47%/10.63%,"-0.53%, 1.8 month","2026-02-03 (Price: 9.31), 0.53% below",10.0058 (Avg % Gain of Historic Winning trades)/10.3 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.486 (Backtested Max),2030-01-31 (Max)/2026-02-05 (Min)/2027-04-02 (Avg),9.28/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,"90.91%, Past 5 years, 11",9.3,No Information,No Information,No Information,"38.2% (Price: 9.3041), 0.06% above, Upmove Bounce Back","2025-03-20 (Price: 8.34), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-05-31 (Price: 9.16)",Monthly,2026-02-03 (Price: 9.31) (Today),No Price Target,No Date Target,17.62%/18.55%,"1.64%, 8.3 months","2026-02-03 (Price: 9.31), 1.64% above",11.2979 (Avg % Gain of Historic Winning trades)/10.95 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/12.1049 (Backtested Max)/11.0369 (Backtested Min),2040-05-27 (Max)/2028-12-24 (Avg),7.79/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 26 years, 9",8.9,No Information,No Information,No Information,"50% (Price: 8.31), 12.03% above, Upmove Bounce Back","2022-06-30 (Price: 6.82), 2024-12-31 (Price: 9.8)",No Information,32.15%/20.49%/23.34%,"1.72%, 36.63%",10.5 years/1 month/2.5 years,6.07%,3.39%,2.68%,1.19,0.12,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"KXS.TO, Long, 2025-11-23 (Price: 176.3)",Weekly,No Exit Yet,No Price Target,2026-01-31 (Min),38.13%/40.12%,"-24.19%, 2.4 months","2026-02-03 (Price: 133.66), 24.19% below",206.1476 (Avg % Gain of Historic Winning trades)/232.08 (Function Specific Target)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/184.62 (EMA 200)/217.7129 (Backtested Max)/187.2835 (Backtested Min),2027-11-21 (Max)/2027-01-14 (Avg),169.84/126.33/176.1333/151.1683/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 11 years, 10",172.62,No Information,No Information,No Information,"50% (Price: 165.965), 19.46% below, Upmove Bounce Back","2022-06-19 (Price: 119.48), 2025-08-03 (Price: 212.45)",No Information,23.49%/6.23%/16.93%,"14.59%, 37.82%",1.4 year/1.6 month/9.6 months,12.74%,17.23%,-4.49%,0.84,0.8,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2026-01-23 (Price: 149.09)",Daily,2026-02-02 (Price: 133.66) (Today),No Price Target,No Date Target,13.92%/16.17%,"-10.35%, 10 days","2026-02-02 (Price: 133.66), 10.35% below",158.751 (Historic Rise or Fall to Pivot)/155.2772 (Avg % Gain of Historic Winning trades)/157.01 (Function Specific Target)/209.885 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/184.62 (EMA 200)/159.6158 (Backtested Max)/152.2656 (Backtested Min),2026-04-11 (Max)/2026-02-09 (Avg),148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 4 years, 14",148.62,No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,3.12%,-2.75%,5.87%,0.03,-0.07,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",Quarterly,No Exit Yet,348.2242 (F-Stack 1),No Date Target,12.7%/13.94%,"17.11%, 1.1 month","2026-02-02 (Price: 352.69), 17.11% above",401.8546 (Historic Rise or Fall to Pivot)/444.9491 (Avg % Gain of Historic Winning trades)/463.42 (Function Specific Target)/411.0319 (F-Stack 2)/525.5369 (Backtested Max)/397.4879 (Backtested Min),2030-09-16 (Max)/2027-11-08 (Min)/2028-09-16 (Avg),106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,"100.0%, Past 24 years, 7",269.38,No Information,No Information,No Information,No Information,No Information,17.11% above/17.11% above/17.11% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,16.0%,8.74%,7.26%,0.66,0.45,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
BAND MATRIX,"SOXX, Long, 2025-11-18 (Price: 276.98)",Daily,No Exit Yet,358.1351 (Backtested Max),No Date Target,16.54%,"27.33%, 2.5 months","2026-02-02 (Price: 352.69), 27.33% above",411.0319 (F-Stack 2),2028-01-09 (Max)/2026-02-08 (Min)/2026-07-19 (Avg),271.99/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/262.34,"77.78%, Past 5 years, 9",279.54,No Information,No Information,No Information,No Information,No Information,No Information,29.3%/10.91%/18.92%,"16.66%, 41.67%",1.5 year/1.9 month/5.6 months,20.73%,12.97%,7.76%,0.76,0.63,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
FRACTAL TRACK,"ENZL, Long, 2025-10-16 (Price: 45.42)",Daily,No Exit Yet,No Price Target,2026-02-01 (Min),1.73%/4.98%,"3.74%, 3.6 months","2026-02-02 (Price: 47.1177), 3.74% above",49.4624 (Avg % Gain of Historic Winning trades)/50.47 (Function Specific Target)/65.1933 (Horizontal)/79.7363 (F-Stack 1)/84.688 (F-Stack 2)/50.3072 (Backtested Max)/47.9317 (Backtested Min),2026-09-24 (Max)/2026-05-25 (Avg),45.07/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 12",45.61,No Information,No Information,No Information,"23.66% (Price: 45.3502), 3.9% above, Upmove Bounce Back","2025-04-07 (Price: 38.93), 2025-10-03 (Price: 47.34)",No Information,10.76%/5.53%/8.9%,"-0.0%, 17.13%",7.9 months/2.5 months/5.1 months,9.1%,-5.47%,14.57%,0.51,-0.57,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"ENZL, Long, 2026-01-23 (Price: 46.62)",Daily,2026-01-29 (Price: 47.23),No Price Target,2026-02-03 (Min),0.84%/4.06%,"1.07%, 10 days","2026-02-02 (Price: 47.1177), 1.07% above",47.5151 (Avg % Gain of Historic Winning trades)/65.1933 (Horizontal)/79.7363 (F-Stack 1)/84.688 (F-Stack 2)/49.0303 (Backtested Max),2026-04-15 (Max)/2026-02-03 (Min)/2026-02-20 (Avg),44.64/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.34,"87.5%, Past 4 years, 16",46.49,No Information,No Information,No Information,No Information,No Information,2.19% above/1.07% above/1.07% above,5.17%/0.29%/1.92%,"10.32%, 33.2%",1.9 month/8 days/20 days,-5.23%,-2.63%,-2.6%,0.15,-0.23,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2026-02-03 (Price: 78932.3281)",Daily,No Exit Yet,No Price Target,2026-02-05 (Min),2.55%/2.86%,"0.0%, 0 days","2026-02-03 (Price: 78932.3281), 0.0% below",81189.7927 (Historic Rise or Fall to Pivot)/83636.6949 (Avg % Gain of Historic Winning trades)/82413.24 (Function Specific Target)/124582.2656 (Horizontal)/117228.5171 (F-Stack 1)/177451.6084 (F-Stack 2)/103745.77 (EMA 200)/88167.4105 (Backtested Max)/80945.1025 (Backtested Min),2026-04-26 (Max)/2026-02-05 (Min)/2026-02-17 (Avg),76974.45/18304.4229/12294.8818/9282.7158/78564.5881/65615.6803/No EMA 200 Support,"80.0%, Past 4 years, 15",78677.4453,No Information,No Information,No Information,No Information,No Information,No Information,11.7%/2.55%/5.96%,"26.18%, 26.18%",1.9 month/2 days/10 days,6.02%,14.76%,-8.74%,0.14,0.5,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"SPY, Long, 2025-03-23 (Price: 563.98)",Weekly,No Exit Yet,691.72 (Function Specific Target),No Date Target,2.88%/17.74%,"23.3%, 10.6 months","2026-02-03 (Price: 695.41), 23.3% above",818.7862 (Avg % Gain of Historic Winning trades)/969.1148 (F-Stack 2)/949.5167 (Backtested Max)/715.465 (Backtested Min),2029-12-07 (Max)/2027-10-17 (Min)/2029-01-28 (Avg),562.81/321.605/415.8599/285.255/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",562.79,No Information,No Information,No Information,No Information,No Information,No Information,68.36%/26.86%/45.18%,"-0.0%, 21.14%",3.3 years/1.8 year/2.7 years,12.5%,8.26%,4.24%,1.34,0.55,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-01-26 (Price: 182.44)",Daily,No Exit Yet,No Price Target,2026-02-03 (Min),14.81%/20.52%,"-12.27%, 7 days","2026-02-02 (Price: 160.06), 12.27% below",202.0341 (Historic Rise or Fall to Pivot)/192.9121 (Avg % Gain of Historic Winning trades)/216.06 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/218.9 (EMA 200)/207.2883 (Backtested Max)/183.7718 (Backtested Min),2026-06-14 (Max)/2026-02-03 (Min)/2026-03-19 (Avg),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 17",179.1,No Information,No Information,No Information,No Information,No Information,9.65% below/12.27% below/12.27% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,20.9%,16.31%,4.59%,1.07,0.75,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",Weekly,2026-01-25 (Price: 150.15),152.5642 (Historic Rise or Fall to Pivot)/153.93 (EMA 200),No Date Target,3.39%/17.14%,"6.04%, 1.5 month","2026-02-03 (Price: 153.19), 6.04% above",179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/158.3859 (Backtested Max),2026-10-12 (Max)/2026-03-13 (Avg),142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",143.27,No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,6.41%,4.09%,2.32%,2.17,0.17,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
DELTADRIFT,"RELIANCE.NS, Long, 2026-01-12 (Price: 1483.2)",Daily,No Exit Yet,No Price Target,2026-02-04 (Max),4.5%/6.13%,"-3.11%, 22 days","2026-02-03 (Price: 1437.1), 3.11% below",1536.5952 (Historic Rise or Fall to Pivot)/1525.1746 (Avg % Gain of Historic Winning trades)/1530.88 (Function Specific Target)/1531.725 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1552.4654 (Backtested Max)/1501.74 (Backtested Min),2026-02-04 (Max),1470.6/1025.8126/1375.0525/1288.3015/No F-Track Level/No F-Track Level/1445.75,"72.73%, Past 4 years, 11",1475.3,No Information,No Information,No Information,No Information,No Information,No Information,4.67%/1.25%/2.83%,"6.81%, 6.81%",16 days/4 days/9 days,4.15%,6.83%,-2.68%,0.09,0.37,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"MCD, Long, 2025-06-11 (Price: 301.72)",Daily,No Exit Yet,318.2543 (Backtested Min),No Date Target,1.09%/1.45%,"5.57%, 7.9 months","2026-02-02 (Price: 318.53), 5.57% above",329.4179 (Avg % Gain of Historic Winning trades)/323.16 (Function Specific Target)/322.0 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/341.9091 (Backtested Max),2028-02-26 (Max)/2026-07-02 (Avg),300.43/204.46/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 6",300.2,No Information,No Information,No Information,No Information,No Information,No Information,13.32%/5.48%/9.18%,"-0.0%, 18.2%",1.9 year/2.5 months/8.9 months,11.3%,5.91%,5.39%,1.7,0.33,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2026-01-22 (Price: 113.21)",Daily,No Exit Yet,No Price Target,2026-02-02 (Min),9.28%/10.3%,"-7.74%, 11 days","2026-02-02 (Price: 104.45), 7.74% below",115.7346 (Historic Rise or Fall to Pivot)/117.2742 (Avg % Gain of Historic Winning trades)/115.21 (Function Specific Target)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/124.4404 (Backtested Max)/114.1383 (Backtested Min),2026-08-27 (Max)/2026-03-23 (Avg),110.34/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/111.22,"80.0%, Past 4 years, 15",113.17,No Information,No Information,No Information,No Information,No Information,7.72% below/7.74% below/7.74% below,9.92%/0.82%/3.59%,"37.38%, 50.6%",5 months/8 days/1.4 month,-16.64%,-4.09%,-12.55%,-0.07,-0.15,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2025-12-31 (Price: 36.54)",Daily,No Exit Yet,No Price Target,2026-01-31 (Avg),8.96%/10.89%,"-7.53%, 1.1 month","2026-02-02 (Price: 33.79), 7.53% below",38.8968 (Historic Rise or Fall to Pivot)/37.8372 (Avg % Gain of Historic Winning trades)/37.47 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/38.9626 (Backtested Max)/36.8177 (Backtested Min),2026-02-21 (Max),35.13/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.17,"85.71%, Past 4 years, 14",36.5,No Information,No Information,No Information,No Information,No Information,7.02% below/7.53% below/7.53% below,6.63%/0.76%/3.55%,"0.81%, 14.63%",1.2 month/6 days/22 days,14.01%,1.7%,12.31%,1.17,0.11,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-30 (Price: 189.55)",Weekly,2026-02-01 (Price: 150.45),No Price Target,No Date Target,32.91%/33.07%,"-21.39%, 2.2 months","2026-02-03 (Price: 149.0), 21.39% below",198.2693 (Historic Rise or Fall to Pivot)/201.2452 (Avg % Gain of Historic Winning trades)/199.76 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/229.22 (EMA 200)/204.8846 (Backtested Max)/198.0418 (Backtested Min),2027-11-28 (Max)/2026-07-31 (Avg),163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",190.76,No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,5.14%,6.08%,-0.94%,1.52,0.34,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,2026-02-01 (Price: 162.25),No Price Target,No Date Target,15.08%/22.68%,"31.75%, 11.5 months","2026-02-03 (Price: 163.94), 31.75% above",188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Max),2030-06-06 (Max)/2026-04-03 (Min)/2028-01-01 (Avg),106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",125.91,No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,11.98%,7.53%,4.45%,1.22,0.44,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
