"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"RY.TO, Long, 2025-11-24 (Price: 211.39)",2025-11-28 (Price: 216.14) (Today),"2.25%, 4 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-28 (Price: 216.14), 2.25% above",4 days,"2, 2025-10-02 (Price: 204.44)",2025-11-21 (Price: 211.38),2025-11-24 (Price: 211.39),5/4/4 days,2.25% above/2.25% above/2.25% above,2025-10-02 (Price: 205.8585)/2025-11-24 (Price: 210.0366),4.14%/0.14%/1.98%,"3.64%, 22.27%",3.6 months/4 days/18 days,2026-04-30/2025-11-29/2025-12-20,15.71%,11.08%,4.63%,1.07,0.45,215.0893/215.5755/215.56/No Horizontal Resistance/221.431/339.4883/No Moving Avg Target,204.01/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/182.18,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLV, Long, 2025-11-23 (Price: 154.61)",No Exit Yet,"1.97%, 4 days","100.0%, Past 10 years, 38","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-28 (Price: 157.65), 1.97% above",4 days,"0, 2021-08-01 (Price: 132.15)",2025-11-23 (Price: 154.61),2025-11-21 (Price: 154.61),4/5/4 days,1.97% above/1.97% above/1.97% above,2021-08-01 (Price: 143.183)/2025-11-23 (Price: 151.7246),7.4%/0.4%/4.39%,"0%, 12.97%",5.6 months/19 days/1.8 month,2026-07-25/2025-12-20/2026-02-10,17.4%,10.58%,6.81%,1.98,0.49,159.3256/161.3974/168.09/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,130.16/121.6312/153.114/117.2225/No F-Track Level/No F-Track Level/139.37,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"CNQ.TO, Long, 2025-11-23 (Price: 47.11)",No Exit Yet,"0.38%, 4 days","70.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-28 (Price: 47.29), 0.38% above",4 days,"0, 2021-08-01 (Price: 20.1616)",2025-11-09 (Price: 44.4),2025-11-18 (Price: 47.56),19/10/4 days,6.51% above/0.57% below/0.38% above,2021-08-01 (Price: 78.2704)/2025-11-23 (Price: 43.5224),19.11%/1.41%/7.62%,"22.31%, 71.02%",4.3 months/19 days/1.5 month,2026-05-28/2025-12-20/2026-01-27,1.12%,5.6%,-4.49%,0.03,0.24,47.7036/50.6998/63.28/51.51/65.8353/68.6522/No Moving Avg Target,41.23/34.9317/46.0303/41.121/No F-Track Level/No F-Track Level/42.96,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"UPS, Long, 2025-11-23 (Price: 94.66)",No Exit Yet,"1.19%, 4 days","91.43%, Past 10 years, 35","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-28 (Price: 95.79), 1.19% above",4 days,"6, 2023-05-14 (Price: 168.5)",2025-11-23 (Price: 94.66),2025-11-21 (Price: 94.66),4/5/4 days,1.19% above/1.19% above/1.19% above,2023-05-14 (Price: 197.499)/2025-11-23 (Price: 93.6556),31.22%/1.77%/7.51%,"13.76%, 27.26%",8.1 months/19 days/3.6 months,2026-11-11/2025-12-20/2026-04-29,13.13%,2.3%,10.84%,0.5,0.04,93.1549/101.769/138.96/221.2667/228.7501/295.6013/97.5,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"MTY.TO, Long, 2025-11-21 (Price: 36.56)",2025-11-28 (Price: 37.84) (Today),"3.5%, 5 days","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-28 (Price: 37.84), 3.5% above",5 days,"6, 2025-06-18 (Price: 40.66)",2025-11-19 (Price: 34.96),2025-11-21 (Price: 36.56),9/5/5 days,8.24% above/3.5% above/3.5% above,2025-06-18 (Price: 48.0555)/2025-11-21 (Price: 34.7677),10.03%/0.53%/3.45%,"1.08%, 22.19%",3.7 months/4 days/1.0 month,2026-04-29/2025-11-26/2026-01-04,28.2%,-6.94%,35.14%,1.34,-0.03,37.4667/37.8213/39.02/72.5033/No Next Fib Ext/No Next Fib Ext/40.28,33.34/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"ATZ.TO, Long, 2025-11-18 (Price: 99.89)",2025-11-24 (Price: 108.23),"8.35%, 4 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-28 (Price: 110.5), 10.62% above",10 days,"10, 2025-03-03 (Price: 67.47)",2025-11-18 (Price: 99.89),2025-11-18 (Price: 99.89),10/10/10 days,10.62% above/10.62% above/10.62% above,2025-03-03 (Price: 55.5542)/2025-11-18 (Price: 99.1681),18.96%/1.32%/6.21%,"50.85%, 58.96%",1.1 month/5 days/13 days,2026-01-04/2025-11-25/2025-12-06,16.69%,30.38%,-13.7%,0.13,0.89,105.0743/106.0932/119.34/No Horizontal Resistance/99.4929/119.4832/No Moving Avg Target,94.11/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/71.14,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BRK-B, Long, 2025-11-16 (Price: 508.94)",No Exit Yet,"0.96%, 12 days","96.77%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-28 (Price: 513.81), 0.96% above",12 days,"2, 2025-04-06 (Price: 493.54)",2025-11-16 (Price: 508.94),2025-11-12 (Price: 502.4),12/16/12 days,0.96% above/2.27% above/0.96% above,2025-04-06 (Price: 542.8072)/2025-11-16 (Price: 495.9973),11.6%/2.26%/5.43%,"13.62%, 25.57%",7.0 months/24 days/2 months,2026-09-14/2025-12-20/2026-02-10,16.54%,12.36%,4.19%,0.91,0.56,531.5878/536.5754/518.18/No Horizontal Resistance/630.85/709.9376/No Moving Avg Target,477.54/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/496.0,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"^BVSP, Long, 2025-11-16 (Price: 157739.0)",No Exit Yet,"0.85%, 12 days","94.44%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-28 (Price: 159072.125), 0.85% above",12 days,"2, 2025-03-09 (Price: 125035.0)",2025-11-09 (Price: 154064.0),2025-11-16 (Price: 157739.0),19/12/12 days,3.25% above/0.85% above/0.85% above,2025-03-09 (Price: 133240.6247)/2025-11-16 (Price: 150914.5932),11.93%/0.93%/6.26%,"15.17%, 43.39%",9.6 months/19 days/2.4 months,2027-01-08/2025-12-13/2026-02-26,10.24%,5.05%,5.2%,0.76,0.14,161840.214/167613.4614/177361.4/No Horizontal Resistance/173653.968/192289.6/No Moving Avg Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/136771.08,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"BPCL.NS, Long, 2025-11-16 (Price: 371.15)",No Exit Yet,"-3.25%, 12 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-28 (Price: 359.1), 3.25% below",12 days,"0, 2021-07-25 (Price: 230.675)",2025-11-02 (Price: 356.8),2025-11-14 (Price: 371.15),26/14/12 days,0.64% above/3.25% below/3.25% below,2021-07-25 (Price: 448.4362)/2025-11-16 (Price: 350.8425),29.59%/1.78%/11.46%,"32.02%, 47.09%",5.8 months/19 days/2.0 months,2026-07-26/2025-12-13/2026-02-12,12.02%,12.45%,-0.44%,0.38,0.44,389.5219/413.6838/455.43/No Horizontal Resistance/372.4081/393.108/No Moving Avg Target,308.2/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level/310.9,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"XLV, Long, 2025-11-12 (Price: 152.82)",2025-11-28 (Price: 157.65) (Today),"3.16%, 16 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-28 (Price: 157.65), 3.16% above",16 days,"2, 2025-08-19 (Price: 136.76)",2025-11-11 (Price: 150.68),2025-11-12 (Price: 152.82),17/16/16 days,4.63% above/3.16% above/3.16% above,2025-08-19 (Price: 138.084)/2025-11-12 (Price: 150.0742),3.35%/0.29%/1.59%,"7.54%, 13.97%",3 months/4 days/26 days,2026-03-22/2025-11-17/2025-12-19,7.94%,7.25%,0.69%,0.38,0.26,155.5555/155.2498/162.46/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,143.98/121.6312/117.2225/81.225/No F-Track Level/No F-Track Level/139.18,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"RHHBY, Long, 2025-11-11 (Price: 45.43)",2025-11-21 (Price: 49.01),"7.88%, 10 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-28 (Price: 47.74), 5.08% above",17 days,"0, 2024-01-26 (Price: 35.64)",2025-11-07 (Price: 41.96),2025-11-11 (Price: 45.43),21/17/17 days,13.78% above/5.08% above/5.08% above,2024-01-26 (Price: 47.2455)/2025-11-11 (Price: 42.5942),10.73%/0.36%/4.2%,"8.73%, 19.35%",1.5 month/4 days/11 days,2026-01-15/2025-11-16/2025-11-26,30.23%,1.45%,28.78%,0.66,0.0,46.5703/47.3381/51.3/52.46/58.6089/65.2057/No Moving Avg Target,40.15/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/40.9,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-05 (Price: 82.96)",2025-11-27 (Price: 86.36),"4.1%, 22 days","80.56%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-28 (Price: 87.09), 4.98% above",23 days,"8, 2025-04-09 (Price: 65.83)",2025-11-05 (Price: 82.96),2025-11-05 (Price: 82.96),23/23/23 days,4.98% above/4.98% above/4.98% above,2025-04-09 (Price: 85.2402)/2025-11-05 (Price: 79.4912),12.01%/1.22%/4.01%,"21.83%, 34.43%",4.0 months/4 days/21 days,2026-04-26/2025-11-10/2025-12-05,8.72%,13.33%,-4.61%,0.22,0.49,84.6524/86.2867/93.24/84.3925/95.0177/123.2166/No Moving Avg Target,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.59,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GOOG, Long, 2025-10-31 (Price: 281.82)",No Exit Yet,"13.59%, 28 days","94.12%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 320.12), 13.59% above",28 days,"0, 2020-10-31 (Price: 81.0505)",2025-09-30 (Price: 243.55),2025-10-15 (Price: 251.71),59/44/28 days,31.44% above/27.18% above/13.59% above,2020-10-31 (Price: 126.9444)/2025-10-31 (Price: 221.2778),63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,2027-06-19/2026-03-04/2026-08-15,22.75%,24.26%,-1.52%,1.49,0.85,307.7193/365.6614/402.28/No Horizontal Resistance/285.4807/322.8294/No Moving Avg Target,156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",No Exit Yet,"2.86%, 28 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 46.43), 2.86% above",28 days,"0, 2020-10-31 (Price: 23.53)",2025-08-31 (Price: 42.76),2025-10-28 (Price: 45.46),89/31/28 days,8.58% above/2.13% above/2.86% above,2020-10-31 (Price: 31.0813)/2025-10-31 (Price: 41.0445),13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-01-14/2026-03-01/2026-05-27,8.8%,4.94%,3.87%,0.91,0.11,47.9703/49.3425/58.11/No Horizontal Resistance/53.8646/79.5406/No Moving Avg Target,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level/40.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"QQQ, Long, 2025-10-31 (Price: 629.07)",No Exit Yet,"-1.56%, 28 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 619.25), 1.56% below",28 days,"0, 2020-10-31 (Price: 269.38)",2025-09-30 (Price: 600.37),2025-10-31 (Price: 629.07),59/28/28 days,3.14% above/1.56% below/1.56% below,2020-10-31 (Price: 364.6767)/2025-10-31 (Price: 567.9074),26.83%/5.89%/12.63%,"-0.0%, 33.07%",1.9 year/3.6 months/7.7 months,2028-07-01/2026-04-03/2026-09-29,11.42%,9.45%,1.97%,2.06,0.36,677.0051/708.5215/844.88/No Horizontal Resistance/610.7303/836.2536/No Moving Avg Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/537.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"^GSPC, Long, 2025-10-31 (Price: 6840.2002)",No Exit Yet,"0.13%, 28 days","95.45%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 6849.0898), 0.13% above",28 days,"0, 2020-10-31 (Price: 3269.96)",2025-09-30 (Price: 6688.46),2025-10-31 (Price: 6840.2002),59/28/28 days,2.4% above/0.13% above/0.13% above,2020-10-31 (Price: 4279.9133)/2025-10-31 (Price: 6434.7405),17.02%/3.9%/10.39%,"7.48%, 24.77%",1.8 year/2.9 months/6.4 months,2028-05-01/2026-03-06/2026-08-06,9.69%,6.68%,3.01%,1.42,0.24,7449.662/7550.897/8982.34/No Horizontal Resistance/6767.7249/9765.5661/No Moving Avg Target,5569.06/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6111.52,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"^NDX, Long, 2025-10-31 (Price: 25858.1309)",No Exit Yet,"-1.64%, 28 days","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 25434.8887), 1.64% below",28 days,"0, 2020-10-31 (Price: 11052.9502)",2025-09-30 (Price: 24679.9902),2025-10-31 (Price: 25858.1309),59/28/28 days,3.06% above/1.64% below/1.64% below,2020-10-31 (Price: 14945.6094)/2025-10-31 (Price: 23342.1479),30.75%/6.45%/14.42%,"-0.0%, 13.1%",1.0 year/3.6 months/6.8 months,2027-04-18/2026-04-03/2026-08-21,16.42%,9.59%,6.84%,1.86,0.37,29242.9602/29586.8734/34741.24/No Horizontal Resistance/25025.4383/33965.62/No Moving Avg Target,19278.45/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/22067.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",No Exit Yet,"5.38%, 28 days","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 96.94), 5.38% above",28 days,"0, 2020-10-31 (Price: 55.35)",2025-08-31 (Price: 85.77),2025-10-30 (Price: 91.86),89/29/28 days,13.02% above/5.53% above/5.38% above,2020-10-31 (Price: 101.9929)/2025-10-31 (Price: 75.7694),24.83%/3.08%/11.43%,"30.99%, 38.87%",2.0 year/4.3 months/9.4 months,2028-09-06/2026-05-05/2026-12-13,4.31%,6.33%,-2.02%,0.35,0.21,94.4461/102.5045/113.97/No Horizontal Resistance/92.969/100.7509/No Moving Avg Target,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level/76.35,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"CVS, Long, 2025-10-31 (Price: 78.15)",No Exit Yet,"2.83%, 28 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 80.36), 2.83% above",28 days,"0, 2020-10-31 (Price: 56.09)",2025-08-31 (Price: 73.15),2025-10-31 (Price: 78.15),89/28/28 days,9.86% above/2.83% above/2.83% above,2020-10-31 (Price: 127.1433)/2025-10-31 (Price: 67.5433),28.65%/12.56%/20.39%,"44.04%, 44.04%",7.3 months/2.9 months/5.3 months,2026-09-11/2026-03-06/2026-06-18,6.5%,4.04%,2.46%,0.24,0.13,87.1138/94.0848/91.39/106.045/116.3721/144.3517/No Moving Avg Target,44.89/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/67.21,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XLU, Long, 2025-10-31 (Price: 89.1)",No Exit Yet,"1.72%, 28 days","90.48%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 90.63), 1.72% above",28 days,"0, 2020-10-31 (Price: 62.38)",2025-09-30 (Price: 87.21),2025-10-01 (Price: 88.05),59/58/28 days,3.92% above/2.93% above/1.72% above,2020-10-31 (Price: 67.198)/2025-10-31 (Price: 87.0494),16.63%/1.39%/9.27%,"27.25%, 40.67%",2.4 years/3.6 months/8.2 months,2029-04-14/2026-04-03/2026-10-23,5.14%,3.83%,1.3%,0.73,0.04,93.0739/97.3596/105.13/No Horizontal Resistance/98.9717/144.4725/No Moving Avg Target,58.93/59.52/70.8508/53.4708/No F-Track Level/No F-Track Level/82.19,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"ACWX, Long, 2025-10-31 (Price: 66.35)",No Exit Yet,"0.21%, 28 days","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 66.49), 0.21% above",28 days,"2, 2023-06-30 (Price: 49.22)",2025-10-31 (Price: 66.35),2025-10-15 (Price: 65.56),28/44/28 days,0.21% above/1.42% above/0.21% above,2023-06-30 (Price: 50.8243)/2025-10-31 (Price: 64.1443),15.1%/1.81%/6.09%,"10.07%, 26.55%",2.4 years/2.9 months/10.5 months,2029-03-13/2026-03-07/2027-01-30,2.59%,1.11%,1.48%,0.53,-0.09,69.9329/70.3907/76.63/No Horizontal Resistance/69.6679/76.9985/No Moving Avg Target,52.16/45.07/61.9685/307.3483/No F-Track Level/No F-Track Level/59.62,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"TSM, Long, 2025-10-31 (Price: 300.43)",No Exit Yet,"-2.97%, 28 days","96.55%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 291.51), 2.97% below",28 days,"2, 2023-06-30 (Price: 100.92)",2025-10-31 (Price: 300.43),2025-10-13 (Price: 302.89),28/46/28 days,2.97% below/3.76% below/2.97% below,2023-06-30 (Price: 111.482)/2025-10-31 (Price: 284.8673),62.44%/5.05%/21.09%,"28.26%, 49.81%",1.1 year/3.6 months/8.2 months,2027-05-21/2026-04-03/2026-10-23,11.28%,15.19%,-3.91%,0.91,0.52,354.6276/363.7907/420.14/No Horizontal Resistance/334.306/349.9895/No Moving Avg Target,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/218.77,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BAC, Long, 2025-10-31 (Price: 53.45)",No Exit Yet,"0.37%, 28 days","75.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 53.65), 0.37% above",28 days,"0, 2020-10-31 (Price: 23.7)",2025-08-31 (Price: 50.74),2025-10-23 (Price: 51.76),89/36/28 days,5.74% above/3.65% above/0.37% above,2020-10-31 (Price: 51.0942)/2025-10-31 (Price: 47.4033),30.69%/9.64%/20.1%,"25.08%, 44.87%",1.1 year/2.9 months/6.9 months,2027-06-19/2026-03-07/2026-08-25,4.84%,3.94%,0.9%,0.33,0.19,59.5593/64.1935/71.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.86,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"PPH, Long, 2025-10-31 (Price: 92.54)",No Exit Yet,"10.77%, 28 days","81.48%, Past 20 years, 27","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 102.51), 10.77% above",28 days,"2, 2024-08-31 (Price: 99.43)",2025-09-30 (Price: 90.36),2025-10-01 (Price: 94.26),59/58/28 days,13.45% above/8.75% above/10.77% above,2024-08-31 (Price: 100.5162)/2025-10-31 (Price: 88.7495),15.31%/0.84%/7.86%,"30.19%, 39.01%",3.1 years/3.5 months/10.2 months,2030-04-23/2026-04-02/2027-01-15,1.99%,2.01%,-0.01%,0.18,-0.1,98.296/99.8136/96.67/No Horizontal Resistance/100.0174/110.0139/No Moving Avg Target,82.93/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/88.68,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"VGT, Long, 2025-10-31 (Price: 793.21)",No Exit Yet,"-5.17%, 28 days","82.61%, Past 20 years, 23","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 752.2), 5.17% below",28 days,"0, 2020-10-31 (Price: 297.99)",2025-09-30 (Price: 746.63),2025-10-30 (Price: 790.95),59/29/28 days,0.75% above/4.9% below/5.17% below,2020-10-31 (Price: 398.3086)/2025-10-31 (Price: 692.9573),27.2%/4.39%/14.49%,"23.72%, 51.21%",1.2 year/2.8 months/6.3 months,2027-07-21/2026-03-01/2026-07-30,6.59%,13.32%,-6.73%,0.5,0.59,878.718/908.1461/1090.34/No Horizontal Resistance/946.1588/993.4664/No Moving Avg Target,542.38/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/644.77,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"FRW.NZ, Long, 2025-10-31 (Price: 14.72)",No Exit Yet,"-5.23%, 28 days","95.65%, Past 20 years, 23","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 13.95), 5.23% below",28 days,"0, 2020-10-31 (Price: 8.4)",2025-08-31 (Price: 12.16),2025-10-29 (Price: 13.73),89/30/28 days,14.72% above/1.6% above/5.23% below,2020-10-31 (Price: 13.6522)/2025-10-31 (Price: 11.2035),25.1%/4.41%/14.42%,"3.66%, 17.71%",1.4 year/2.9 months/7.8 months,2027-10-26/2026-03-04/2026-10-06,10.04%,9.85%,0.19%,1.67,0.39,15.8122/16.8426/18.51/No Horizontal Resistance/16.2179/21.849/No Moving Avg Target,7.7/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/11.41,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"BDGI.TO, Long, 2025-10-31 (Price: 73.59)",No Exit Yet,"-1.06%, 28 days","89.66%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 72.81), 1.06% below",28 days,"10, 2019-12-31 (Price: 35.14)",2025-08-31 (Price: 57.63),2025-10-30 (Price: 72.81),89/29/28 days,26.34% above/0.0% below/1.06% below,2019-12-31 (Price: 41.6895)/2025-10-31 (Price: 55.5322),159.21%/3.87%/50.82%,"37.81%, 54.03%",1.1 year/3.5 months/6.0 months,2027-06-21/2026-04-02/2026-07-17,17.99%,19.81%,-1.82%,0.67,0.65,111.6287/110.9884/96.66/No Horizontal Resistance/63.2847/69.0016/No Moving Avg Target,35.88/24.32/58.5532/53.241/No F-Track Level/No F-Track Level/48.39,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"RY.TO, Long, 2025-10-31 (Price: 205.47)",No Exit Yet,"5.19%, 28 days","78.95%, Past 20 years, 19","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 216.14), 5.19% above",28 days,"0, 2020-10-31 (Price: 93.16)",2025-08-31 (Price: 199.58),2025-10-31 (Price: 205.47),89/28/28 days,8.3% above/5.19% above/5.19% above,2020-10-31 (Price: 122.675)/2025-10-31 (Price: 192.005),16.93%/2.86%/10.78%,"16.54%, 21.22%",1.8 year/2.8 months/7.0 months,2028-06-02/2026-03-01/2026-08-29,5.05%,9.0%,-3.95%,0.4,0.37,220.0584/227.6197/272.86/No Horizontal Resistance/221.431/339.4883/No Moving Avg Target,162.1/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/179.57,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"MSE.PA, Long, 2025-10-31 (Price: 62.93)",No Exit Yet,"0.37%, 28 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-28 (Price: 63.16), 0.37% above",28 days,"10, 2020-10-31 (Price: 28.795)",2025-08-31 (Price: 59.41),2025-10-31 (Price: 62.93),89/28/28 days,6.31% above/0.37% above/0.37% above,2020-10-31 (Price: 38.3464)/2025-10-31 (Price: 58.9082),14.35%/2.24%/8.34%,"-0.0%, 28.4%",2.5 years/3.6 months/1.3 year,2029-05-16/2026-04-03/2027-09-23,5.98%,2.81%,3.17%,0.92,-0.0,63.9243/68.1784/83.41/No Horizontal Resistance/81.1364/117.7989/No Moving Avg Target,52.08/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/59.09,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
