Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"ETH-USD, Long, 2026-02-06 (Price: 1978.0664)",Daily,No Exit Yet,No Price Target,2026-02-07 (Min),4.94%/6.19%,"0.0%, 0 days","2026-02-06 (Price: 1978.0664), 0.0% below",2100.5087 (Historic Rise or Fall to Pivot)/2199.6098 (Avg % Gain of Historic Winning trades)/2150.06 (Function Specific Target)/4922.7188 (Horizontal)/5483.4169 (F-Stack 1)/7318.9774 (F-Stack 2)/3637.89 (EMA 200)/2349.3495 (Backtested Max)/2075.7829 (Backtested Min),2026-03-25 (Max)/2026-02-07 (Min)/2026-02-19 (Avg),1821.68/1370.4997/No F-Stack Support/No F-Stack Support/1764.4405/1358.6781/No EMA 200 Support,"86.67%, Past 4 years, 15",1823.203,No Information,No Information,No Information,No Information,No Information,No Information,18.77%/4.94%/11.2%,"24.06%, 28.71%",1.1 month/1 day/9 days,24.3%,11.69%,12.61%,0.56,0.5,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"RELIANCE.NS, Long, 2026-01-12 (Price: 1483.2)",Daily,No Exit Yet,No Price Target,2026-02-04 (Max),3.83%/5.45%,"-2.49%, 25 days","2026-02-06 (Price: 1446.3), 2.49% below",1536.5952 (Historic Rise or Fall to Pivot)/1525.1746 (Avg % Gain of Historic Winning trades)/1530.88 (Function Specific Target)/1531.725 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1552.4654 (Backtested Max)/1501.74 (Backtested Min),No Next Date Target,1470.6/1025.8126/1375.0525/1288.3015/No F-Track Level/No F-Track Level/1448.18,"72.73%, Past 4 years, 11",1475.3,No Information,No Information,No Information,No Information,No Information,No Information,4.67%/1.25%/2.83%,"6.81%, 6.81%",16 days/4 days/9 days,4.15%,6.83%,-2.68%,0.09,0.37,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-01-12 (Price: 936.95)",Daily,2026-02-04 (Price: 954.4),No Price Target,No Date Target,2.32%/2.85%,"0.61%, 25 days","2026-02-06 (Price: 942.7), 0.61% above",974.5217 (Historic Rise or Fall to Pivot)/964.59 (Avg % Gain of Historic Winning trades)/969.56 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/977.33 (EMA 200)/989.1381 (Backtested Max),2026-05-09 (Max)/2026-02-18 (Avg),878.85/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",937.5,No Information,No Information,No Information,No Information,No Information,No Information,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,5.13%,4.11%,1.02%,0.21,0.19,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"BTI, Long, 2025-12-23 (Price: 57.04)",Daily,2026-02-06 (Price: 62.84) (Today),62.5 (Function Specific Target)/63.5026 (Backtested Max),No Date Target,30.85%/46.48%,"10.17%, 1.5 month","2026-02-06 (Price: 62.84), 10.17% above",82.226 (F-Stack 1)/92.0468 (F-Stack 2),2030-09-08 (Max)/2026-02-21 (Min)/2027-09-09 (Avg),56.45/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.65,"100.0%, Past 5 years, 12",56.89,No Information,No Information,No Information,"23.66% (Price: 56.8269), 10.58% above, Upmove Bounce Back","2025-10-21 (Price: 49.88), 2025-12-11 (Price: 58.98)",No Information,11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,11.0%,5.81%,5.19%,1.67,0.3,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"SPOT, Long, 2026-01-14 (Price: 528.92)",Daily,2026-02-04 (Price: 440.53),No Price Target,No Date Target,33.62%/33.99%,"-22.41%, 23 days","2026-02-06 (Price: 410.38), 22.41% below",549.8652 (Historic Rise or Fall to Pivot)/564.7279 (Avg % Gain of Historic Winning trades)/557.3 (Function Specific Target)/854.3544 (F-Stack 1)/896.959 (F-Stack 2)/645.99 (EMA 200)/600.1126 (Backtested Max)/548.3314 (Backtested Min),2026-03-11 (Max),503.3/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 4 years, 9",537.0,No Information,No Information,No Information,No Information,No Information,No Information,13.46%/3.67%/6.77%,"8.88%, 11.98%",1.3 month/1 day/14 days,11.53%,6.15%,5.38%,0.63,0.37,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-02-02 (Price: 187.0)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),2.33%/2.34%,"3.24%, 4 days","2026-02-06 (Price: 193.05), 3.24% above",201.3055 (Historic Rise or Fall to Pivot)/206.2797 (Avg % Gain of Historic Winning trades)/203.83 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/226.6814 (Backtested Max)/197.5468 (Backtested Min),2026-10-12 (Max)/2026-05-12 (Avg),No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 6 years, 17",185.16,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,19.66%,19.52%,0.14%,0.91,1.22,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,2026-02-06 (Price: 39.9) (Today),40.469 (Avg % Gain of Historic Winning trades)/39.8673 (Backtested Min),No Date Target,2.58%/3.9%,"15.38%, 10.2 months","2026-02-06 (Price: 39.9), 15.38% above",46.11 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",33.0,No Information,No Information,No Information,"38.2% (Price: 32.1618), 24.06% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
DELTADRIFT,"INDA, Long, 2026-01-22 (Price: 51.8)",Daily,2026-02-02 (Price: 53.28),No Price Target,2026-02-04 (Avg),1.02%/1.03%,"2.6%, 15 days","2026-02-06 (Price: 53.145), 2.6% above",54.3641 (Historic Rise or Fall to Pivot)/53.71 (Function Specific Target)/55.3975 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/53.69 (EMA 200)/53.6855 (Backtested Max),2026-03-03 (Max),51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,"78.57%, Past 4 years, 14",51.72,No Information,No Information,No Information,No Information,No Information,No Information,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,5.73%,3.54%,2.19%,0.28,0.12,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"MEL.NZ, Long, 2025-12-02 (Price: 5.61)",Daily,No Exit Yet,5.72 (EMA 200),No Date Target,0.85%/1.9%,"1.78%, 2.2 months","2026-02-05 (Price: 5.71), 1.78% above",5.8563 (Historic Rise or Fall to Pivot)/5.8187 (Avg % Gain of Historic Winning trades)/5.84 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/5.8737 (Backtested Max)/5.7587 (Backtested Min),No Next Date Target,5.58/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/No EMA 200 Support,"77.78%, Past 4 years, 9",5.6,No Information,No Information,No Information,No Information,No Information,No Information,4.7%/2.65%/3.72%,"9.78%, 16.99%",23 days/1 day/11 days,4.59%,-3.26%,7.85%,0.12,-0.21,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2026-01-25 (Price: 42.56)",Weekly,No Exit Yet,43.773 (Historic Rise or Fall to Pivot),No Date Target,1.88%/11.05%,"2.8%, 12 days","2026-02-06 (Price: 43.75), 2.8% above",48.5822 (Avg % Gain of Historic Winning trades)/49.39 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/50.6209 (Backtested Max)/44.5731 (Backtested Min),2035-05-07 (Max)/2026-07-26 (Min)/2027-12-03 (Avg),42.51/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.53,"100.0%, Past 20 years, 19",43.12,No Information,No Information,No Information,"38.2% (Price: 42.5398), 2.84% above, Upmove Bounce Back","2025-04-13 (Price: 35.51), 2025-10-19 (Price: 46.885)",No Information,18.94%/4.73%/14.15%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,10.1%,3.65%,6.45%,3.45,0.14,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2025-06-30 (Price: 10.6)",Monthly,No Exit Yet,No Price Target,2026-02-06 (Min),12.61%/17.77%,"2.17%, 7.4 months","2026-02-06 (Price: 10.83), 2.17% above",12.1953 (Historic Rise or Fall to Pivot)/12.8642 (Avg % Gain of Historic Winning trades)/17.08 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/13.0433 (Backtested Max)/12.755 (Backtested Min),2027-10-12 (Max)/2027-01-24 (Avg),10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.71%, Past 31 years, 7",10.55,No Information,No Information,No Information,"38.2% (Price: 9.2141), 17.54% above, Upmove Bounce Back","2016-12-31 (Price: 2.5393), 2024-10-31 (Price: 13.34)",No Information,23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,8.62%,8.22%,0.4%,0.91,0.49,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2026-02-06 (Price: 126.72)",Daily,No Exit Yet,No Price Target,2026-02-08 (Min),2.13%/4.15%,"0.0%, 0 days","2026-02-06 (Price: 126.72), 0.0% below",134.9315 (Historic Rise or Fall to Pivot)/131.9789 (Avg % Gain of Historic Winning trades)/133.46 (Function Specific Target)/209.885 (Horizontal)/228.5478 (F-Stack 1)/258.7048 (F-Stack 2)/183.87 (EMA 200)/135.6664 (Backtested Max)/129.4191 (Backtested Min),2026-04-25 (Max)/2026-02-08 (Min)/2026-02-23 (Avg),120.08/No Horizontal Support/117.053/100.333/No support/No support/No EMA 200 Support,"71.43%, Past 4 years, 14",124.49,No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,3.12%,-2.75%,5.87%,0.03,-0.07,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"SOXX, Long, 2025-11-18 (Price: 276.98)",Daily,No Exit Yet,No Price Target,2026-02-08 (Min),5.33%/20.88%,"22.76%, 2.7 months","2026-02-06 (Price: 340.02), 22.76% above",411.0319 (F-Stack 2)/358.1351 (Backtested Max),2028-01-09 (Max)/2026-02-08 (Min)/2026-07-19 (Avg),271.99/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/264.85,"77.78%, Past 5 years, 9",279.54,No Information,No Information,No Information,No Information,No Information,No Information,29.3%/10.91%/18.92%,"16.66%, 41.67%",1.5 year/1.9 month/5.6 months,20.73%,12.97%,7.76%,0.76,0.63,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
FRACTAL TRACK,"ENZL, Long, 2025-11-10 (Price: 45.68)",Daily,No Exit Yet,47.43 (Function Specific Target),No Date Target,1.61%/4.86%,"3.85%, 2.9 months","2026-02-06 (Price: 47.44), 3.85% above",49.7455 (Avg % Gain of Historic Winning trades)/65.1933 (Horizontal)/79.7363 (F-Stack 1)/84.688 (F-Stack 2)/50.5952 (Backtested Max)/48.2061 (Backtested Min),2026-10-19 (Max)/2026-02-26 (Min)/2026-06-19 (Avg),45.33/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.56,"100.0%, Past 5 years, 12",45.43,No Information,No Information,No Information,"50% (Price: 45.885), 3.39% above, Upmove Bounce Back","2025-08-27 (Price: 44.43), 2025-10-03 (Price: 47.34)",No Information,10.76%/5.53%/8.9%,"-0.0%, 17.13%",7.9 months/2.5 months/5.1 months,9.1%,-5.47%,14.57%,0.51,-0.57,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"CAD=X, Long, 2026-02-02 (Price: 1.3636)",Daily,No Exit Yet,No Price Target,2026-02-04 (Min),0.49%/0.77%,"-0.05%, 4 days","2026-02-06 (Price: 1.3629), 0.05% below",1.3846 (Historic Rise or Fall to Pivot)/1.3734 (Avg % Gain of Historic Winning trades)/1.38 (Function Specific Target)/1.3921 (Horizontal)/1.38 (EMA 200)/1.3805 (Backtested Max)/1.3696 (Backtested Min),2026-03-26 (Max)/2026-02-20 (Avg),1.35/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 4 years, 15",1.3636,No Information,No Information,No Information,No Information,No Information,No Information,1.24%/0.44%/0.72%,"1.99%, 2.15%",1.2 month/2 days/13 days,4.14%,1.03%,3.11%,0.22,-0.46,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"GBPUSD=X, Long, 2025-10-30 (Price: 1.3195)",Daily,2026-02-05 (Price: 1.3645),No Price Target,No Date Target,1.88%/4.58%,"3.14%, 3.3 months","2026-02-06 (Price: 1.3609), 3.14% above",1.4232 (Horizontal)/2.4421 (F-Stack 1)/3.2078 (F-Stack 2)/1.3865 (Backtested Max),2026-08-25 (Max)/2026-02-24 (Avg),No support/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"91.67%, Past 5 years, 12",1.3194,No Information,No Information,No Information,No Information,No Information,No Information,5.08%/0.79%/2.49%,"10.95%, 16.78%",6.9 months/1 month/2.7 months,3.87%,-0.1%,3.97%,0.28,-0.51,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
TRENDPULSE,"ORCL, Short, 2026-01-21 (Price: 173.88)",Daily,2026-02-04 (Price: 146.67),No Price Target,2026-02-05 (Avg),-39.34%,"21.51%, 15 days","2026-02-05 (Price: 136.48), 21.51% below",82.7925 (Horizontal),2026-02-18 (Max),No support/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No support,"88.89%, Past 4 years, 9",179.68,No Information,No Information,No Information,No Information,No Information,28.58% below/21.51% below/21.51% below,15.65%/3.55%/6.53%,"13.18%, 19.61%",20 days/7 days/11 days,11.64%,4.02%,7.62%,0.61,0.53,No Data (Across ALL Assets),71.43%/7/10 days (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-12-31 (Price: 93.76)",Quarterly,2026-02-06 (Price: 80.87) (Today),No Price Target,No Date Target,-71.5%/-56.89%,"13.75%, 1.2 month","2026-02-06 (Price: 80.87), 13.75% below",66.1196 (Avg % Gain of Historic Winning trades)/23.05 (Function Specific Target)/34.8663 (Horizontal)/77.567 (F-Stack 2),2026-05-14 (Max)/2026-05-10 (Min)/2026-05-10 (Min),No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,"100.0%, Past 23 years, 6",117.549,No Information,No Information,No Information,"23.66% (Price: 106.2331), 23.87% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,11.77%,5.5%,6.27%,1.3,0.88,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
DELTADRIFT,"TD.TO, Short, 2025-11-30 (Price: 117.65)",Monthly,2026-02-06 (Price: 131.4) (Today),No Price Target,No Date Target,-43.97%/-36.57%,"-11.69%, 2.3 months","2026-02-06 (Price: 131.4), 11.69% above",106.4144 (Historic Rise or Fall to Pivot)/111.8734 (Avg % Gain of Historic Winning trades)/109.14 (Function Specific Target)/73.6233 (Horizontal)/101.1064 (F-Stack 1)/83.3451 (F-Stack 2)/108.62 (EMA 200)/127.9914 (Backtested Max)/120.3442 (Backtested Min),2026-02-24 (Max),No Recent Maxima/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 54 years, 6",115.02,No Information,No Information,No Information,No Information,No Information,No Information,8.79%/2.29%/4.91%,"0.0%, 10.3%",2 months/1 month/1.4 month,5.19%,4.88%,0.31%,1.28,0.43,No Data (Across ALL Assets),25.0%/4/4.6 months (Across ALL Assets)
OSCILLATOR DELTA,"WPM.TO, Short, 2026-02-04 (Price: 191.49)",Daily,2026-02-05 (Price: 179.19),No Price Target,2026-02-06 (Min),-71.56%/-32.15%,"3.07%, 2 days","2026-02-06 (Price: 185.62), 3.07% below",176.458 (Avg % Gain of Historic Winning trades)/178.51 (Function Specific Target)/52.782 (Horizontal)/146.152 (F-Stack 1)/125.9496 (F-Stack 2)/141.63 (EMA 200),2026-03-28 (Max)/2026-02-27 (Avg),No Recent Maxima/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 6 years, 5",192.07,No Information,No Information,No Information,No Information,No Information,No Information,10.69%/5.67%/7.85%,"0.0%, 10.96%",1.2 month/2 days/16 days,11.21%,5.2%,6.01%,1.42,0.84,83.33%/18/4 days (Across ALL Assets),62.86%/35/4 days (Across ALL Assets)
