Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"AAPL, Long, 2026-01-22 (Price: 248.35)",2026-01-26 (Price: 255.41),"2.84%, 4 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-29 (Price: 258.28), 4.0% above",7 days,249.2,No Information,No Information,No Information,No Information,No Information,No Information,6.6%/3.13%/3.95%,"4.88%, 13.99%",2.3 months/2 days/23 days,2026-05-01/2026-01-24/2026-02-24,8.79%,8.71%,0.08%,0.77,0.46,258.7559/258.1598/258.46/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,246.7/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/236.37,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-20 (Price: 147.0)",2026-01-27 (Price: 148.34),"0.91%, 7 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-20",Already confirmed,"2026-01-29 (Price: 149.9), 1.97% above",9 days,144.46,No Information,No Information,No Information,No Information,No Information,3.72% above/1.97% above/1.97% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-12/2026-01-28/2026-03-13,9.71%,2.06%,7.65%,0.36,0.03,148.5729/149.94/153.59/179.4533/186.6499/209.3631/154.63,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"WPM, Long, 2026-01-20 (Price: 141.68)",2026-01-28 (Price: 156.3),"10.32%, 8 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2026-01-20",Already confirmed,"2026-01-29 (Price: 152.7), 7.78% above",9 days,140.0,No Information,No Information,No Information,No Information,No Information,12.82% above/7.78% above/7.78% above,15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-07-04/2026-01-25/2026-03-17,22.59%,17.13%,5.46%,1.09,0.81,152.6744/150.6058/165.19/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,104.96/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/98.56,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-01-15 (Price: 165568.0)",2026-01-26 (Price: 178721.0),"7.94%, 11 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-29 (Price: 183133.75), 10.61% above",14 days,165180.0,No Information,No Information,No Information,No Information,No Information,10.89% above/10.61% above/10.61% above,5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-09-28/2026-01-25/2026-02-27,10.46%,4.14%,6.32%,1.7,0.2,175601.4208/170319.8016/171680.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,157327.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/143125.97,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"BABA, Long, 2026-01-13 (Price: 167.01)",2026-01-27 (Price: 172.72),"3.42%, 14 days","73.33%, Past 4 years, 30","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-29 (Price: 174.25), 4.34% above",16 days,165.5,No Information,No Information,No Information,No Information,No Information,15.43% above/4.34% above/4.34% above,13.07%/3.26%/7.2%,"49.23%, 66.54%",2.5 months/6 days/1.2 month,2026-05-01/2026-01-21/2026-03-06,-7.81%,-3.01%,-4.8%,-0.14,0.07,170.6508/179.0347/171.62/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,146.58/67.495/144.416/No support/No F-Track Level/No F-Track Level/138.31,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"EFA, Long, 2026-01-12 (Price: 99.41)",2026-01-29 (Price: 101.69) (Today),"2.29%, 17 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-29 (Price: 101.69), 2.29% above",17 days,99.15,No Information,No Information,No Information,No Information,No Information,2.91% above/2.29% above/2.29% above,2.11%/0.62%/1.31%,"18.28%, 30.28%",1.3 month/4 days/15 days,2026-03-09/2026-01-17/2026-02-02,0.47%,3.77%,-3.3%,-0.12,0.15,102.6607/100.7123/111.32/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,94.15/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/90.58,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",2026-01-27 (Price: 186.36),"-7.78%, 15 days","85.19%, Past 5 years, 27","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-29 (Price: 185.27), 8.32% below",17 days,199.44,No Information,No Information,No Information,"23.66% (Price: 201.5134), 8.06% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,2027-01-07/2026-02-09/2026-05-22,30.23%,20.61%,9.62%,1.18,1.4,210.7492/220.3278/223.5/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.36,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2026-01-07 (Price: 40.04)",2026-01-26 (Price: 42.91),"7.17%, 19 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-29 (Price: 41.91), 4.67% above",22 days,39.7,No Information,No Information,No Information,No Information,No Information,4.7% above/4.67% above/4.67% above,7.25%/0.53%/3.58%,"0.46%, 22.19%",2.6 months/7 days/21 days,2026-04-29/2026-01-17/2026-02-06,16.78%,-4.47%,21.25%,1.28,-0.0,41.8178/41.4734/47.83/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"NVO, Long, 2026-01-04 (Price: 52.39)",2026-01-29 (Price: 59.33) (Today),"13.25%, 25 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-29 (Price: 59.33), 13.25% above",25 days,51.56,No Information,No Information,No Information,No Information,No Information,13.23% above/13.25% above/13.25% above,20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"19.92%, 29 days","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 361.13), 19.92% above",29 days,269.38,No Information,No Information,No Information,No Information,No Information,19.92% above/19.92% above/19.92% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
TRENDPULSE,"BDGI.TO, Long, 2025-12-31 (Price: 73.13)",No Exit Yet,"7.14%, 29 days","100.0%, Past 33 years, 6","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 78.35), 7.14% above",29 days,61.31,No Information,No Information,No Information,No Information,No Information,27.65% above/7.14% above/7.14% above,227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-26/2027-11-08/2028-04-13,16.49%,8.5%,7.99%,0.7,0.42,150.8453/189.2824/98.01/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,26.66/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/55.48,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
FRACTAL TRACK,"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"-5.0%, 29 days","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 258.28), 5.0% below",29 days,255.04,No Information,No Information,No Information,"38.2% (Price: 169.2862), 52.57% above, Upmove Bounce Back","2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",No Information,37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/236.37,92.31%/13/0 days (Across ALL Assets),69.23%/13/0 days (Across ALL Assets)
FRACTAL TRACK,"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"-7.81%, 29 days","100.0%, Past 14 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 11.33), 7.81% below",29 days,10.7,No Information,No Information,No Information,"50% (Price: 10.74), 5.49% above, Upmove Bounce Back","2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",No Information,48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/19.8479/26.5969/No EMA 200 Target,8.8/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,92.31%/13/0 days (Across ALL Assets),69.23%/13/0 days (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-12-28 (Price: 907.04)",2026-01-29 (Price: 940.12) (Today),"3.65%, 1.1 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-01-29 (Price: 940.12), 3.65% above",1.1 month,896.52,No Information,No Information,No Information,No Information,No Information,5.87% above/3.65% above/3.65% above,16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
FRACTAL TRACK,"DBC, Long, 2025-12-24 (Price: 22.63)",2026-01-28 (Price: 24.94),"10.21%, 1.2 month","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-24",Already confirmed,"2026-01-29 (Price: 25.3), 11.8% above",1.2 month,22.67,No Information,No Information,No Information,"38.2% (Price: 22.7333), 11.29% above, Upmove Bounce Back","2025-08-19 (Price: 21.59), 2025-12-05 (Price: 23.44)",No Information,10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-06-07/2026-02-04/2026-03-16,7.63%,6.83%,0.8%,0.42,0.39,22.9672/23.671/23.74/28.58/60.6441/65.878/No EMA 200 Target,22.39/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.32,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
DELTADRIFT,"LYFT, Long, 2025-12-17 (Price: 19.18)",2026-01-28 (Price: 17.2),"-10.32%, 1.4 month","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2025-12-17",Already confirmed,"2026-01-29 (Price: 17.75), 7.46% below",1.4 month,19.22,No Information,No Information,No Information,No Information,No Information,No Information,8.38%/5.33%/6.9%,"26.16%, 31.32%",1.8 month/1 day/15 days,2026-03-05/2025-12-18/2026-01-07,-3.92%,-12.3%,8.38%,-0.15,-0.0,18.9844/20.5034/19.74/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.12/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/17.62,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
BAND MATRIX,"CVS, Long, 2025-12-05 (Price: 75.63)",2026-01-27 (Price: 72.0),"-4.8%, 1.8 month","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-12-05",No Cancellation Possible,"2026-01-29 (Price: 74.44), 1.57% below",1.8 month,76.73,No Information,No Information,No Information,No Information,No Information,No Information,23.31%/1.13%/12.66%,"19.57%, 37.23%",6.4 months/1.2 month/3.4 months,2026-09-09/2026-01-26/2026-05-01,13.84%,1.55%,12.29%,0.46,0.07,80.8258/85.2048/83.02/106.045/116.3721/144.3517/No EMA 200 Target,75.0/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/72.02,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets)
SIGMASHELL,"CVS, Long, 2025-12-03 (Price: 75.0)",2026-01-29 (Price: 74.44) (Today),"-0.75%, 1.9 month","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2026-01-29 (Price: 74.44), 0.75% below",1.9 month,77.87,"-3.45, 71.88%",No Information,No Information,No Information,No Information,No Information,21.64%/3.88%/11.16%,"0%, 35.1%",10.9 months/2.2 months/3.7 months,2027-03-21/2026-03-08/2026-05-12,25.69%,5.11%,20.58%,1.78,0.27,78.915/83.37/116.3721/106.045/116.3721/144.3517/No EMA 200 Target,70.26/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/72.02,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-30 (Price: 189.55)",2026-01-29 (Price: 151.95) (Today),"-19.84%, 2 months","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-01-29 (Price: 151.95), 19.84% below",2 months,190.76,No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2027-11-28/2025-12-20/2026-07-31,5.14%,6.08%,-0.94%,1.52,0.34,198.2693/201.2452/199.76/240.8933/293.2329/455.2123/230.21,163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets)
FRACTAL TRACK,"MAR, Long, 2025-11-16 (Price: 285.72)",2026-01-29 (Price: 319.77) (Today),"11.92%, 2.5 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-01-29 (Price: 319.77), 11.92% above",2.5 months,292.12,No Information,No Information,No Information,"50% (Price: 256.035), 24.89% above, Upmove Bounce Back","2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",No Information,23.39%/8.05%/16.44%,"-0.0%, 61.32%",3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,300.3774/332.6924/347.5/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/275.33,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
FRACTAL TRACK,"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-29 (Price: 1455.16) (Today),"37.38%, 3 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-01-29 (Price: 1455.16), 37.38% above",3 months,965.61,No Information,No Information,No Information,"38.2% (Price: 692.3064), 110.19% above, Upmove Bounce Back","2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",No Information,30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/904.18,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
TRENDPULSE,"NZDCAD=X, Long, 2025-10-28 (Price: 0.8079)",2026-01-28 (Price: 0.819),"1.37%, 3.1 months","100.0%, Past 4 years, 7","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2026-01-29 (Price: 0.8209), 1.61% above",3.1 months,0.8078,No Information,No Information,No Information,No Information,No Information,1.86% above/1.61% above/1.61% above,1.28%/1.12%/1.17%,"-0.0%, 1.49%",13 days/6 days/7 days,2025-11-15/2025-11-05/2025-11-07,6.42%,-0.9%,7.32%,2.3,-0.7,0.8306/0.8174/0.81/0.9093/1.0924/1.3117/0.82,0.8/0.7625/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-10-02 (Price: 152.05)",2026-01-28 (Price: 147.34),"-3.1%, 3.9 months","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2025-10-02",Already confirmed,"2026-01-29 (Price: 149.9), 1.41% below",4 months,152.72,"-3.12, 82.15%",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,2026-05-20/2025-11-23/2026-01-09,17.9%,6.33%,11.57%,1.15,0.33,155.6384/162.6023/186.6499/179.4533/186.6499/209.3631/154.1,150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
SIGMASHELL,"NVO, Long, 2025-09-04 (Price: 56.14)",2026-01-28 (Price: 60.33),"7.46%, 4.9 months","81.82%, Past 5 years, 11","Daily, was CONFIRMED on 2025-09-04",Already confirmed,"2026-01-29 (Price: 59.33), 5.68% above",4.9 months,55.97,"-6.86, 100.0%",No Information,No Information,No Information,No Information,No Information,22.44%/14.95%/18.7%,"28.06%, 44.04%",6.4 months/2.4 months/4.4 months,2026-06-09/2025-12-17/2026-03-14,-0.56%,9.2%,-9.76%,-0.04,0.47,57.3246/66.6382/157.4212/139.01/157.4212/201.8641/58.9,45.38/37.445/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2025-08-31 (Price: 42.76)",2026-01-29 (Price: 48.255) (Today),"12.85%, 5 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-29 (Price: 48.255), 12.85% above",5 months,40.71,No Information,No Information,No Information,No Information,No Information,12.85% above/12.85% above/12.85% above,12.69%/8.05%/10.4%,"6.95%, 19.49%",1.2 year/4 months/8.4 months,2027-05-18/2026-02-20/2026-08-31,6.01%,3.56%,2.45%,0.45,0.12,47.0446/47.207/53.49/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/38.98,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",2026-01-29 (Price: 629.43) (Today),"10.35%, 5 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-29 (Price: 629.43), 10.35% above",5 months,558.83,No Information,No Information,No Information,No Information,No Information,10.35% above/10.35% above/10.35% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,2026-11-17/2026-04-05/2026-07-18,8.4%,6.82%,1.58%,1.2,0.37,649.1722/640.3881/735.71/No Horizontal Resistance/610.7303/836.2536/No EMA 200 Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
TRENDPULSE,"VGT, Long, 2025-08-31 (Price: 697.02)",2026-01-29 (Price: 760.8) (Today),"9.15%, 5 months","100.0%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-01-29 (Price: 760.8), 9.15% above",5 months,683.16,No Information,No Information,No Information,No Information,No Information,9.15% above/9.15% above/9.15% above,27.2%/4.39%/15.02%,"-0.0%, 51.21%",1.4 year/4.1 months/8 months,2027-08-29/2026-02-23/2026-08-13,6.44%,9.1%,-2.66%,1.52,0.57,820.1137/801.7124/918.34/No Horizontal Resistance/702.1644/946.1588/No EMA 200 Target,542.38/311.83/626.0547/551.3644/No F-Track Level/No F-Track Level/618.84,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",2026-01-29 (Price: 91.3) (Today),"16.86%, 5.3 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2026-01-29 (Price: 91.3), 16.86% above",5.3 months,76.84,No Information,No Information,No Information,"23.66% (Price: 74.9138), 21.87% above, Upmove Bounce Back","1999-03-07 (Price: 0.425), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2035-12-04/2025-10-15/2027-07-02,8.85%,12.31%,-3.46%,1.52,0.64,86.9118/90.5917/136.68/84.3925/95.0177/123.2166/79.63,76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-08-01 (Price: 150.65)",2026-01-28 (Price: 147.34),"-2.2%, 6 months","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2025-08-01",Already confirmed,"2026-01-29 (Price: 149.9), 0.5% below",6 months,151.78,"-3.85, 85.0%",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,2026-03-19/2025-09-22/2025-11-08,17.9%,6.33%,11.57%,1.15,0.33,154.2053/161.1051/186.6499/179.4533/186.6499/209.3631/154.1,150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-07-06 (Price: 78.82)",2026-01-29 (Price: 91.3) (Today),"15.83%, 6.9 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-07-06",Already confirmed,"2026-01-29 (Price: 91.3), 15.83% above",6.9 months,78.12,No Information,No Information,No Information,"23.66% (Price: 74.9167), 21.87% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2035-10-16/2025-08-27/2027-05-14,8.85%,12.31%,-3.46%,1.52,0.64,87.6794/91.3918/137.36/84.9567/95.0177/123.2166/79.63,65.75/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-29 (Price: 433.5) (Today),"-12.85%, 7.1 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 433.5), 12.85% below",7.1 months,457.14,No Information,No Information,No Information,"50% (Price: 340.89), 27.17% above, Upmove Bounce Back","2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",No Information,27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,669.6133/608.4319/650.36/No Horizontal Resistance/517.4523/553.3726/No EMA 200 Target,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/485.73,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-29 (Price: 263.37) (Today),"22.05%, 7.1 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 263.37), 22.05% above",7.1 months,205.32,No Information,No Information,No Information,"88.6% (Price: 171.1673), 53.87% above, Upmove Bounce Back","2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",No Information,25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/230.91,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
