"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IFT.NZ, Long, 2025-11-25 (Price: 11.78)",No Exit Yet,"-2.89%, 1 day","88.64%, Past 5 years, 44","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-11-26 (Price: 11.44), 2.89% below",1 day,Upmove Bounce Back,50% (Price: 11.435),0.04% above,"2025-06-11 (Price: 10.02), 2025-11-13 (Price: 12.85)",49.32%/1.62%/13.7%,"0.96%, 15.98%",2.4 years/14 days/6.7 months,2029-04-04/2025-12-15/2026-09-10,8.65%,17.61%,-8.96%,0.54,0.71,11.9862/13.3939/13.48/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"^DJI, Long, 2025-11-24 (Price: 46448.2695)",No Exit Yet,"1.43%, 1 day","94.12%, Past 5 years, 34","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-25 (Price: 47112.4492), 1.43% above",1 day,Upmove Bounce Back,23.66% (Price: 45635.0082),3.24% above,"2025-04-07 (Price: 36611.7812), 2025-11-12 (Price: 48431.5703)",26.02%/4.63%/16.06%,"4.65%, 21.94%",2.5 years/1.2 month/1.0 year,2029-06-10/2026-01-15/2027-05-05,6.0%,11.05%,-5.05%,0.67,0.55,47098.5453/53907.8616/53540.14/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,45752.26/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43918.83,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"XLY, Long, 2025-11-24 (Price: 228.51)",No Exit Yet,"2.14%, 1 day","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-25 (Price: 233.4), 2.14% above",1 day,Upmove Bounce Back,23.66% (Price: 220.7881),5.71% above,"2023-10-26 (Price: 147.83), 2025-09-17 (Price: 243.4)",27.09%/0.83%/9.52%,"5.33%, 40.28%",2.7 years/15 days/10.1 months,2029-10-09/2025-12-15/2027-02-04,5.42%,9.59%,-4.18%,0.46,0.36,231.1836/250.2642/285.85/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"DIA, Long, 2025-11-24 (Price: 464.44)",No Exit Yet,"1.45%, 1 day","94.44%, Past 5 years, 36","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-25 (Price: 471.18), 1.45% above",1 day,Upmove Bounce Back,23.66% (Price: 456.4623),3.22% above,"2025-04-07 (Price: 366.32), 2025-11-12 (Price: 484.4)",23.9%/4.34%/12.06%,"4.72%, 21.9%",2.5 years/1.2 month/10.3 months,2029-06-10/2026-01-15/2027-02-13,5.68%,11.05%,-5.37%,0.57,0.55,469.3631/520.4515/535.29/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SONY, Long, 2025-11-24 (Price: 29.01)",No Exit Yet,"-1.41%, 1 day","89.47%, Past 5 years, 19","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-25 (Price: 28.6), 1.41% below",1 day,Upmove Bounce Back,38.2% (Price: 27.8341),2.75% above,"2025-07-16 (Price: 23.78), 2025-11-12 (Price: 30.34)",24.5%/7.06%/17.24%,"5.03%, 23.78%",6.1 months/2.1 months/3.2 months,2026-08-16/2026-02-23/2026-04-10,23.93%,9.83%,14.1%,0.54,0.36,29.7353/34.0113/32.95/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"FBU.NZ, Long, 2025-11-24 (Price: 3.35)",No Exit Yet,"-0.9%, 2 days","90.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-26 (Price: 3.32), 0.9% below",2 days,Upmove Bounce Back,38.2% (Price: 3.312),0.24% above,"2025-06-26 (Price: 2.83), 2025-11-13 (Price: 3.61)",6.62%/4.44%/5.53%,"6.26%, 17.05%",8.1 months/3.1 months/5.6 months,2026-11-12/2026-04-07/2026-07-25,2.01%,-5.66%,7.67%,0.04,-0.17,3.3487/3.5353/3.82/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"GBPUSD=X, Long, 2025-11-23 (Price: 1.3085)",No Exit Yet,"0.78%, 2 days","100.0%, Past 20 years, 26","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-26 (Price: 1.3187), 0.78% above",2 days,Upmove Bounce Back,38.2% (Price: 1.3144),0.33% above,"2025-01-19 (Price: 1.2101), 2025-07-06 (Price: 1.3789)",11.31%/1.1%/4.86%,"-0.0%, 8.98%",2.1 years/5.6 months/1.3 year,2028-10-28/2026-07-25/2027-09-13,2.57%,-1.36%,3.93%,0.24,-0.57,1.3001/1.3721/1.41/1.4232/2.4421/3.2078/1.33,1.22/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"GBPSGD=X, Long, 2025-11-23 (Price: 1.7105)",No Exit Yet,"0.11%, 2 days","100.0%, Past 20 years, 20","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-26 (Price: 1.7123), 0.11% above",2 days,Upmove Bounce Back,23.66% (Price: 1.7383),1.5% below,"2025-01-26 (Price: 1.6606), 2025-04-06 (Price: 1.7624)",5.2%/3.01%/3.87%,"-0.0%, 8.33%",2.2 years/9.1 months/1.5 year,2028-12-25/2026-12-24/2028-01-28,1.71%,-2.66%,4.37%,0.4,-0.87,1.7052/1.7767/1.77/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"KXS.TO, Long, 2025-11-23 (Price: 176.3)",No Exit Yet,"1.88%, 2 days","82.35%, Past 11 years, 17","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-26 (Price: 179.62), 1.88% above",2 days,Upmove Bounce Back,50% (Price: 165.965),8.23% above,"2022-06-19 (Price: 119.48), 2025-08-03 (Price: 212.45)",156.2%/6.23%/51.99%,"14.59%, 37.82%",1.0 year/3.0 months/9.8 months,2027-05-18/2026-03-31/2027-01-24,15.07%,24.7%,-9.62%,0.27,0.8,180.2139/267.9584/232.08/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"TSM, Long, 2025-11-20 (Price: 277.5)",No Exit Yet,"2.59%, 3 days","100.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-11-25 (Price: 284.68), 2.59% above",3 days,Upmove Bounce Back,23.66% (Price: 269.4634),5.65% above,"2025-04-07 (Price: 134.25), 2025-10-16 (Price: 311.37)",80.74%/3.58%/25.44%,"-0.0%, 57.14%",2.2 years/1 month/7.1 months,2029-01-08/2026-01-02/2026-09-23,11.13%,26.78%,-15.65%,0.69,0.86,280.608/348.096/383.77/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"FRW.NZ, Long, 2025-11-20 (Price: 13.84)",No Exit Yet,"1.16%, 4 days","91.67%, Past 5 years, 24","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-11-26 (Price: 14.0), 1.16% above",4 days,Upmove Bounce Back,23.66% (Price: 13.6615),2.48% above,"2025-04-07 (Price: 9.73), 2025-10-31 (Price: 14.88)",26.84%/1.54%/11.53%,"4.41%, 43.52%",3.1 years/1.2 month/8.4 months,2030-04-02/2026-01-09/2026-11-21,8.14%,11.02%,-2.89%,0.53,0.42,14.2137/15.4358/16.93/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"BN.TO, Long, 2025-11-20 (Price: 61.6)",No Exit Yet,"5.45%, 3 days","93.18%, Past 1 years, 44","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-11-25 (Price: 64.96), 5.45% above",3 days,Upmove Bounce Back,23.66% (Price: 58.5318),10.98% above,"2023-10-31 (Price: 26.7133), 2025-09-23 (Price: 68.3933)",40.79%/1.8%/13.46%,"3.46%, 37.68%",2.0 year/15 days/6.1 months,2028-09-16/2025-12-11/2026-08-12,8.09%,22.75%,-14.66%,0.5,0.84,63.1893/69.8914/86.61/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"GNE.NZ, Long, 2025-11-05 (Price: 2.53)",2025-11-20 (Price: 2.47),"-2.37%, 15 days","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-26 (Price: 2.46), 2.77% below",21 days,Upmove Bounce Back,23.66% (Price: 2.4547),0.22% above,"2025-04-07 (Price: 2.115), 2025-10-15 (Price: 2.56)",6.64%/0.44%/3.91%,"7.43%, 9.96%",4.8 months/1.2 month/2.6 months,2026-06-03/2025-12-27/2026-02-24,1.92%,-3.81%,5.72%,0.03,-0.29,2.548/2.6289/2.8/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"BRK-B, Long, 2025-10-31 (Price: 477.54)",No Exit Yet,"6.5%, 26 days","92.31%, Past 29 years, 26","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-26 (Price: 508.57), 6.5% above",26 days,Upmove Bounce Back,23.66% (Price: 451.5539),12.63% above,"2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",204.24%/9.94%/55.24%,"11.32%, 45.86%",8.7 years/7.9 months/2.4 years,2038-03-31/2026-10-10/2029-04-17,5.06%,11.04%,-5.98%,0.48,0.46,510.2992/741.3331/707.08/488.245/630.85/709.9376/497.18,267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"ASML, Long, 2025-10-31 (Price: 1059.23)",No Exit Yet,"-5.29%, 26 days","90.0%, Past 30 years, 30","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-26 (Price: 1003.22), 5.29% below",26 days,Upmove Bounce Back,38.2% (Price: 692.3064),44.91% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",569.94%/9.57%/122.25%,"6.56%, 50.14%",6.2 years/5.8 months/1.6 year,2034-09-18/2026-07-08/2028-02-28,10.68%,20.11%,-9.43%,0.34,0.62,1116.6403/2354.1387/1715.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"SOXX, Long, 2025-06-30 (Price: 238.7)",2025-10-31 (Price: 306.55),"28.42%, 4.1 months","100.0%, Past 24 years, 20","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-11-26 (Price: 283.58), 18.8% above",5.0 months,Upmove Bounce Back,50% (Price: 145.7634),94.55% above,"2015-08-31 (Price: 24.2867), 2024-07-31 (Price: 267.24)",232.86%/6.72%/83.33%,"-0.0%, 59.88%",7.9 years/8.0 months/2.7 years,2036-10-13/2026-06-11/2029-05-03,6.92%,10.69%,-3.77%,0.53,0.39,278.5629/437.6087/384.47/239.6067/254.997/285.4342/No Moving Avg Target,183.84/95.6666/226.8328/161.2/No F-Track Level/No F-Track Level/235.15,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"GBPSGD=X, Long, 2025-03-31 (Price: 1.7372)",2025-10-31 (Price: 1.7102),"-1.55%, 7.1 months","75.0%, Past 55 years, 8","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-11-26 (Price: 1.7113), 1.49% below",8 months,Upmove Bounce Back,23.66% (Price: 1.6865),1.47% above,"2022-09-30 (Price: 1.4895), 2024-07-31 (Price: 1.7475)",5.36%/5.36%/5.36%,"4.45%, 10.09%",2.2 years/2.2 years/2.2 years,2028-05-06/2028-05-06/2028-05-06,-0.14%,-2.54%,2.41%,-0.04,-0.98,1.6974/1.8303/1.89/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"RHHBY, Long, 2024-12-31 (Price: 34.88)",2025-11-26 (Price: 48.63) (Today),"39.42%, 11 months","100.0%, Past 24 years, 9","Quarterly, was CONFIRMED on 2024-12-31",Already confirmed,"2025-11-26 (Price: 48.63), 39.42% above",11 months,Upmove Bounce Back,88.6% (Price: 29.4418),65.17% above,"2018-06-30 (Price: 26.3), 2022-06-30 (Price: 53.86)",15.79%/12.77%/14.28%,"-0.0%, 30.62%",4.7 years/4.2 years/4.4 years,2031-09-21/2030-12-12/2031-05-02,2.03%,6.19%,-4.16%,0.46,0.19,34.1824/39.8609/51.42/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"IWM, Long, 2023-06-30 (Price: 187.27)",2025-11-26 (Price: 245.13) (Today),"30.9%, 2.4 years","100.0%, Past 25 years, 8","Quarterly, was CONFIRMED on 2023-06-30",Already confirmed,"2025-11-26 (Price: 245.13), 30.9% above",2.4 years,Upmove Bounce Back,38.2% (Price: 164.1636),49.32% above,"2009-03-31 (Price: 34.26), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",2.0 year/2.0 year/2.0 year,2026-05-02/2026-04-30/2026-04-30,11.21%,6.21%,5.0%,0.5,0.2,180.9028/263.6013/313.39/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"META, Short, 2025-11-26 (Price: 636.22)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-07",No Cancellation Possible,"2025-11-26 (Price: 636.22), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 628.6993),1.2% above,"2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",32.63%/3.19%/11.97%,"-0.0%, 32.63%",2.2 months/20 days/1.2 month,2026-02-28/2025-12-24/2026-01-18,94.49%,5.3%,89.19%,0.68,0.8,568.6534/560.0645/211.32/280.19/627.6205/591.2141/No Moving Avg Target,773.44/280.19/627.6205/591.2141/628.6993/525.7329/673.87,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"SFTBY, Short, 2025-11-26 (Price: 50.04)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-11-26 (Price: 50.04), 0.0% below",0 days,Upmove Break Below,50.0% (Price: 53.39),6.27% below,"2022-06-30 (Price: 16.78), 2025-11-26 (Price: 90.0)",22.05%/16.72%/18.57%,"0%, 22.05%",6.5 months/2.2 months/3.3 months,2026-09-04/2026-02-28/2026-04-16,14.54%,5.4%,9.14%,7.65,0.48,53.9331/40.7476/6.11/16.82/48.0625/43.9946/42.89,63.3/16.82/48.0625/43.9946/44.75/32.4491/No Moving Avg Support,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
"KWEB, Short, 2025-11-26 (Price: 37.74)",No Exit Yet,"-0.0%, 0 days","88.89%, Past 12 years, 9","Monthly, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-26 (Price: 37.74), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 37.1791),1.51% above,"2022-10-31 (Price: 17.22), 2025-10-31 (Price: 43.365)",10.4%/3.11%/6.98%,"19.33%, 16.82%",2.2 months/21 days/1.2 month,2026-03-01/2025-12-26/2026-01-17,21.98%,5.3%,16.68%,0.3,0.14,34.6906/35.1057/22.05/24.5062/No F-Stack Support/No F-Stack Support/36.27,42.01/24.5062/No F-Stack Support/No F-Stack Support/39.3865/41.3508/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"NFLX, Short, 2025-11-26 (Price: 104.4)",No Exit Yet,"-0.0%, 0 days","87.5%, Past 23 years, 16","Monthly, was CONFIRMED on 2025-11-24",No Cancellation Possible,"2025-11-26 (Price: 104.4), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 106.2331),1.73% below,"2022-05-31 (Price: 16.271), 2025-06-30 (Price: 134.115)",51.8%/3.55%/19.68%,"21.42%, 51.8%",2.1 months/20 days/27 days,2026-02-26/2025-12-24/2026-01-04,107.65%,5.4%,102.25%,0.58,0.92,192.2422/83.8541/33.69/34.8663/101.6781/77.3488/No Moving Avg Target,133.91/34.8663/101.6781/77.3488/106.2331/89.0986/113.34,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"NFLX, Short, 2025-11-26 (Price: 104.4)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 23 years, 7","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-11-26 (Price: 104.4), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 106.2331),1.73% below,"2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",57.17%/10.52%/34.09%,"-0.0%, 57.17%",2.2 months/2.2 months/2.2 months,2026-03-01/2026-02-28/2026-02-28,106.75%,5.4%,101.35%,1.28,0.89,200.7403/68.81/33.69/34.8663/101.6781/77.3488/No Moving Avg Target,133.91/34.8663/101.6781/77.3488/106.2331/89.0986/113.34,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
"RHHBY, Short, 2025-11-25 (Price: 48.63)",No Exit Yet,"-0.0%, 0 days","89.36%, Past 5 years, 47","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 48.63), 0.0% below",0 days,Downmove Bounce Back,88.6% (Price: 45.2708),7.42% above,"2025-11-25 (Price: 48.74), 2025-11-25 (Price: 48.15)",5.98%/0.06%/2.18%,"10.54%, 11.17%",14 days/1 day/4 days,2025-12-15/2025-11-26/2025-11-30,22.8%,5.1%,17.7%,0.07,-0.17,48.0805/47.5699/48.28/No Horizontal Support/No F-Stack Support/No F-Stack Support/No Moving Avg Target,No Recent Maxima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,48.21%/56/7 days (Across ALL Assets),40.19%/107/15 days (Across ALL Assets)
"SPOT, Short, 2025-11-23 (Price: 583.61)",No Exit Yet,"-0.32%, 2 days","87.5%, Past 7 years, 16","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-26 (Price: 585.47), 0.32% above",2 days,Upmove Break Below,23.66% (Price: 615.6618),4.9% below,"2022-11-06 (Price: 69.285), 2025-06-29 (Price: 785.0)",11.53%/3.99%/7.19%,"16.98%, 11.53%",1.1 month/4 days/9 days,2026-01-11/2025-11-28/2025-12-06,38.54%,5.2%,33.34%,0.12,0.66,576.7234/541.6484/154.18/No Horizontal Support/No F-Stack Support/No F-Stack Support/No Moving Avg Target,No Recent Maxima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,50.0%/6/1.1 month (Across ALL Assets),46.15%/13/24 days (Across ALL Assets)
"ETH-USD, Short, 2025-10-31 (Price: 3847.0803)",2025-11-26 (Price: 2940.1658) (Today),"23.57%, 26 days","90.0%, Past 10 years, 10","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-26 (Price: 2940.1658), 23.57% below",26 days,Upmove Break Below,23.66% (Price: 3801.2773),22.65% below,"2018-12-31 (Price: 82.8299), 2025-08-31 (Price: 4953.7329)",32.85%/5.87%/20.42%,"38.7%, 32.85%",1.4 month/21 days/25 days,2026-01-01/2025-11-30/2025-12-06,120.83%,5.2%,115.63%,0.39,0.97,3818.9966/3061.5065/924.54/1370.4997/3454.2267/2637.9184/3513.7,4390.02/1370.4997/3454.2267/2637.9184/No F-Track Level/No F-Track Level/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"WPM, Short, 2025-10-31 (Price: 96.52)",No Exit Yet,"-6.2%, 26 days","100.0%, Past 20 years, 16","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-11-26 (Price: 102.5), 6.2% above",26 days,Upmove Break Below,23.66% (Price: 96.3808),6.35% above,"2023-10-31 (Price: 38.37), 2025-10-31 (Price: 114.36)",24.39%/3.3%/9.68%,"0.0%, 24.39%",2.2 months/20 days/1.1 month,2026-02-02/2025-11-28/2025-12-16,70.35%,5.4%,64.95%,0.87,0.57,100.014/87.1769/50.93/No Horizontal Support/No F-Stack Support/No F-Stack Support/No Moving Avg Target,No Recent Maxima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
"ETH-USD, Short, 2025-09-30 (Price: 4145.9575)",2025-10-31 (Price: 3847.0803),"7.21%, 1.0 month","90.0%, Past 10 years, 10","Monthly, was CONFIRMED on 2025-09-30",Already confirmed,"2025-11-26 (Price: 2940.1658), 29.08% below",1.9 month,Upmove Break Below,23.66% (Price: 3993.6991),26.38% below,"2022-06-30 (Price: 896.109), 2025-08-31 (Price: 4953.7329)",32.85%/5.87%/20.42%,"38.7%, 32.85%",1.4 month/21 days/25 days,2025-12-01/2025-10-30/2025-11-05,120.83%,5.2%,115.63%,0.39,0.97,4115.692/3299.353/1711.38/1370.4997/3929.1537/3454.2267/3513.7,4390.02/1370.4997/3929.1537/3454.2267/No F-Track Level/No F-Track Level/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
