Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"^NSEI, Long, 2026-01-22 (Price: 25289.9004)",2026-02-03 (Price: 25727.5508),"1.73%, 12 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-04 (Price: 25776.0), 1.92% above",13 days,25344.1504,No Information,No Information,No Information,No Information,No Information,No Information,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-02-18/2026-01-23/2026-01-29,7.24%,8.84%,-1.6%,0.75,0.7,27007.0846/25815.9303/26411.51/25973.3496/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,25157.5/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25225.79,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"USCI, Long, 2025-11-25 (Price: 76.97)",2026-02-02 (Price: 80.53),"4.63%, 2.3 months","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-25",No Cancellation Possible,"2026-02-04 (Price: 82.5), 7.18% above",2.4 months,76.75,No Information,No Information,No Information,No Information,No Information,No Information,30.17%/1.73%/14.57%,"-0.0%, 16.38%",1.6 year/2.6 months/10 months,2028-03-08/2026-03-17/2027-02-02,13.97%,13.72%,0.25%,0.89,0.99,79.4715/88.1845/83.83/No Horizontal Resistance/81.0354/90.2685/No EMA 200 Target,76.9/38.14/75.2881/67.5442/No F-Track Level/No F-Track Level/76.06,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"DBC, Long, 2025-08-05 (Price: 21.82)",2026-02-02 (Price: 23.54),"7.88%, 6 months","83.33%, Past 5 years, 6","Daily, was CONFIRMED on 2025-08-05",No Cancellation Possible,"2026-02-04 (Price: 24.19), 10.86% above",6.1 months,21.94,No Information,No Information,No Information,No Information,No Information,No Information,26.23%/6.43%/15.25%,"18.84%, 24.85%",3.5 months/2 months/2.6 months,2026-01-04/2025-10-30/2025-11-25,10.2%,6.83%,3.37%,0.41,0.39,24.3991/25.1476/24.77/28.58/60.6441/65.878/22.36,21.8/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
DELTADRIFT,"MA, Long, 2026-01-20 (Price: 531.74)",2026-02-02 (Price: 555.37),"4.44%, 13 days","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-01-20",Already confirmed,"2026-02-04 (Price: 553.52), 4.1% above",15 days,530.6,No Information,No Information,No Information,No Information,No Information,No Information,5.48%/1.68%/3.6%,"3.92%, 6.0%",1.3 month/2 days/10 days,2026-03-17/2026-01-22/2026-02-03,12.96%,7.15%,5.81%,1.12,0.38,578.5331/550.8826/564.71/592.9033/716.5814/751.3605/563.67,527.58/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"^TNX, Long, 2024-03-08 (Price: 4.089)",2026-02-02 (Price: 4.275),"4.55%, 1.9 year","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2024-03-08",No Cancellation Possible,"2026-02-04 (Price: 4.275), 4.55% above",1.9 year,4.067,No Information,No Information,No Information,No Information,No Information,No Information,24.4%/3.3%/13.57%,"-0.0%, 25.18%",7.9 months/1.5 month/4.1 months,2025-02-14/2024-05-12/2024-08-31,22.48%,24.06%,-1.58%,0.89,1.16,3.9508/4.6439/4.3/No Horizontal Resistance/17.4008/18.8284/4.23,3.86/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
DELTADRIFT,"INDA, Long, 2026-01-22 (Price: 51.8)",2026-02-02 (Price: 53.28),"2.86%, 11 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-04 (Price: 53.44), 3.17% above",13 days,51.72,No Information,No Information,No Information,No Information,No Information,No Information,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,2026-03-03/2026-01-24/2026-02-04,5.73%,3.54%,2.19%,0.28,0.12,54.3641/53.0587/53.71/55.3975/66.8401/79.771/53.69,51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"JPY=X, Long, 2026-01-30 (Price: 153.162)",2026-02-02 (Price: 155.202),"1.33%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 155.799), 1.72% above",5 days,153.147,No Information,No Information,No Information,No Information,No Information,No Information,2.21%/1.18%/1.7%,"5.69%, 5.69%",1.4 month/2 days/14 days,2026-03-31/2026-02-01/2026-02-19,3.17%,6.05%,-2.88%,0.02,0.47,156.6694/155.7658/156.22/159.6618/175.8568/187.2285/No EMA 200 Target,152.45/108.0995/138.2059/No support/No F-Track Level/No F-Track Level/150.01,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",2026-02-02 (Price: 49.91),"11.86%, 24 days","83.33%, Past 6 years, 18","Daily, is Confirmed on 2026-01-09",No Cancellation Possible,"2026-02-04 (Price: 52.65), 18.0% above",26 days,44.08,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,2026-08-31/2026-01-10/2026-03-02,20.81%,10.2%,10.61%,0.68,0.51,54.0973/48.6224/54.44/51.51/65.8353/68.6522/No EMA 200 Target,No Recent Minima/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/44.2,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"RY.TO, Long, 2026-01-29 (Price: 227.52)",2026-02-02 (Price: 230.51),"1.31%, 4 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-04 (Price: 232.37), 2.13% above",6 days,226.03,No Information,No Information,No Information,No Information,No Information,No Information,3.75%/1.31%/1.82%,"7.86%, 8.45%",29 days/1 day/12 days,2026-03-12/2026-01-30/2026-02-15,1.66%,11.78%,-10.12%,-0.11,0.96,238.35/231.6609/235.01/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/197.83,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2026-01-23 (Price: 149.09)",2026-02-02 (Price: 133.66),"-10.35%, 10 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-02-04 (Price: 120.08), 19.46% below",12 days,148.62,No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,2026-04-11/2026-01-25/2026-02-09,3.12%,-2.75%,5.87%,0.03,-0.07,158.751/155.2772/157.01/209.885/222.5978/243.8843/184.35,148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
BAND MATRIX,"JPY=X, Long, 2023-12-31 (Price: 141.43)",2026-02-01 (Price: 153.162),"8.3%, 2.1 years","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2023-12-31",No Cancellation Possible,"2026-02-04 (Price: 155.799), 10.16% above",2.1 years,142.342,No Information,No Information,No Information,No Information,No Information,No Information,4.36%/0.69%/2.53%,"3.04%, 15.82%",4.3 years/8.9 months/2.5 years,2030-02-19/2025-01-20/2027-07-26,2.69%,2.94%,-0.25%,0.15,0.02,139.3368/145.0082/142.17/151.92/156.7717/175.8568/150.01,138.07/103.3558/138.2059/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
TRENDPULSE,"NVO, Long, 2026-01-04 (Price: 52.39)",2026-02-01 (Price: 59.43),"13.44%, 28 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-04 (Price: 47.19), 9.93% below",1 month,51.56,No Information,No Information,No Information,No Information,No Information,9.94% below/9.93% below/9.93% below,20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
BAND MATRIX,"INFY, Long, 2025-03-16 (Price: 18.4)",2026-02-01 (Price: 17.58),"-4.46%, 10.7 months","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-03-16",No Cancellation Possible,"2026-02-04 (Price: 16.74), 9.02% below",10.8 months,19.75,No Information,No Information,No Information,No Information,No Information,No Information,175.09%/39.66%/107.38%,"10.82%, 34.36%",6.7 years/1.8 year/4.3 years,2034-10-08/2027-10-10/2031-05-06,10.72%,3.02%,7.7%,0.62,0.15,21.4838/38.1579/29.82/23.796/31.8515/41.1179/No EMA 200 Target,16.75/16.315/13.0115/No support/No F-Track Level/No F-Track Level/17.55,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",2026-02-01 (Price: 162.25),"30.39%, 11.4 months","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-02-23",No Cancellation Possible,"2026-02-04 (Price: 166.91), 34.14% above",11.5 months,125.91,No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,2030-06-06/2026-04-03/2028-01-01,11.98%,7.53%,4.45%,1.22,0.44,128.4242/165.2679/146.85/No Horizontal Resistance/188.6608/207.1743/149.52,106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-12-28 (Price: 907.04)",2026-02-01 (Price: 935.41),"3.13%, 1.2 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-04 (Price: 913.3), 0.69% above",1.3 month,896.52,No Information,No Information,No Information,No Information,No Information,2.85% above/0.69% above/0.69% above,16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
FRACTAL TRACK,"MAR, Long, 2025-11-16 (Price: 285.72)",2026-02-01 (Price: 315.3),"10.35%, 2.6 months","100.0%, Past 20 years, 22","Weekly, was CONFIRMED on 2025-11-16",Already confirmed,"2026-02-04 (Price: 324.56), 13.59% above",2.7 months,292.12,No Information,No Information,No Information,"50% (Price: 256.035), 26.76% above, Upmove Bounce Back","2024-08-11 (Price: 204.55), 2025-02-09 (Price: 307.52)",No Information,23.39%/8.05%/16.44%,"-0.0%, 61.32%",3 years/21 days/8 months,2030-02-27/2025-12-16/2026-10-29,13.69%,8.26%,5.43%,2.62,0.41,300.3774/332.6924/347.5/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/276.8,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",2026-02-01 (Price: 91.3),"16.86%, 5.4 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2026-02-04 (Price: 99.26), 27.04% above",5.5 months,76.84,No Information,No Information,No Information,"23.66% (Price: 74.9167), 32.49% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,2035-12-04/2025-10-15/2027-07-02,8.85%,12.31%,-3.46%,1.52,0.64,86.9118/90.5917/136.67/84.3925/95.0177/123.2166/80.07,76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-30 (Price: 189.55)",2026-02-01 (Price: 150.45),"-20.63%, 2.1 months","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-02-04 (Price: 127.87), 32.54% below",2.2 months,190.76,No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2027-11-28/2025-12-20/2026-07-31,5.14%,6.08%,-0.94%,1.52,0.34,198.2693/201.2452/199.76/240.8933/293.2329/455.2123/228.6,163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",2026-01-31 (Price: 430.41),"24.23%, 8.2 months","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-02-04 (Price: 406.01), 17.19% above",8.3 months,280.01,No Information,No Information,No Information,No Information,No Information,43.89% above/17.19% above/17.19% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,2028-02-15 (Max),26.29%,28.82%,-2.53%,0.27,1.04,864.2098/373.4492/367.54/408.5817/413.6779/490.132/No EMA 200 Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"AAPL, Long, 2024-09-30 (Price: 233.0)",2026-01-31 (Price: 259.48),"11.36%, 1.4 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-02-04 (Price: 276.49), 18.67% above",1.4 year,228.55,No Information,No Information,No Information,No Information,No Information,18.67% above/18.67% above/18.67% above,49.66%/12.62%/21.67%,"-0.0%, 40.56%",2.5 years/5.1 months/10.5 months,2028-04-25/2025-05-09/2025-12-30,17.77%,21.49%,-3.72%,2.41,1.03,338.9451/283.4911/275.29/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/197.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-31 (Price: 1423.0),"34.34%, 3.1 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-02-04 (Price: 1339.13), 26.42% above",3.2 months,965.61,No Information,No Information,No Information,"38.2% (Price: 692.3064), 93.43% above, Upmove Bounce Back","2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",No Information,30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/915.24,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-31 (Price: 259.65),"20.33%, 7.2 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-04 (Price: 260.52), 20.73% above",7.3 months,205.32,No Information,No Information,No Information,"88.6% (Price: 171.1673), 52.2% above, Upmove Bounce Back","2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",No Information,25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/232.03,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"PPH, Long, 2025-06-30 (Price: 87.96)",2026-01-31 (Price: 106.81),"21.43%, 7.2 months","90.0%, Past 26 years, 10","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-04 (Price: 108.63), 23.5% above",7.3 months,87.83,No Information,No Information,No Information,"38.2% (Price: 78.775), 37.9% above, Upmove Bounce Back","2015-08-31 (Price: 45.23), 2024-09-30 (Price: 99.51)",No Information,23.88%/20.36%/21.19%,"1.09%, 37.34%",6.1 years/10.1 months/3.2 years,2034-03-15/2026-09-11/2030-01-23,4.29%,2.59%,1.7%,1.41,0.03,101.4091/106.5987/120.53/No Horizontal Resistance/100.0174/110.4008/92.64,86.28/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"WMT, Long, 2025-06-30 (Price: 97.78)",2026-01-31 (Price: 119.14),"21.84%, 7.2 months","76.92%, Past 53 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-04 (Price: 128.0), 30.91% above",7.3 months,98.84,No Information,No Information,No Information,"23.66% (Price: 81.1796), 57.68% above, Upmove Bounce Back","1996-02-29 (Price: 3.3542), 2025-02-28 (Price: 105.3)",No Information,31.01%/7.63%/22.28%,"13.36%, 28.82%",3.7 years/7.1 months/1.5 year,2030-10-11/2026-05-04/2027-08-21,6.18%,11.88%,-5.7%,0.95,0.61,118.6365/119.5654/158.95/No Horizontal Resistance/98.8222/108.7906/103.37,40.53/42.9289/85.5556/72.7913/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-06-30 (Price: 497.41)",2026-01-31 (Price: 430.29),"-13.49%, 7.2 months","92.31%, Past 39 years, 13","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-02-04 (Price: 411.21), 17.33% below",7.3 months,457.14,No Information,No Information,No Information,"50% (Price: 340.89), 20.63% above, Upmove Bounce Back","2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",No Information,27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2045-10-07/2025-11-07/2028-01-24,7.9%,16.21%,-8.31%,1.65,0.79,669.6133/608.4319/650.36/No Horizontal Resistance/517.4523/553.3726/No EMA 200 Target,375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/486.33,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"VGT, Long, 2025-08-31 (Price: 697.02)",2026-01-31 (Price: 747.92),"7.3%, 5.1 months","100.0%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-04 (Price: 721.75), 3.55% above",5.2 months,683.16,No Information,No Information,No Information,No Information,No Information,3.55% above/3.55% above/3.55% above,27.2%/4.39%/15.02%,"-0.0%, 51.21%",1.4 year/4.1 months/8 months,2027-08-29/2026-02-23/2026-08-13,6.44%,9.1%,-2.66%,1.52,0.57,820.1137/801.7124/918.34/No Horizontal Resistance/702.1644/946.1588/No EMA 200 Target,542.38/311.83/626.0547/551.3644/No F-Track Level/No F-Track Level/618.84,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2025-08-31 (Price: 42.76)",2026-01-31 (Price: 46.9),"9.68%, 5.1 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-04 (Price: 47.67), 11.48% above",5.2 months,40.71,No Information,No Information,No Information,No Information,No Information,11.48% above/11.48% above/11.48% above,12.69%/8.05%/10.4%,"6.95%, 19.49%",1.2 year/4 months/8.4 months,2027-05-18/2026-02-20/2026-08-31,6.01%,3.56%,2.45%,0.45,0.12,47.0446/47.207/53.49/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/38.98,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"MSE.PA, Long, 2025-02-28 (Price: 59.36)",2026-01-31 (Price: 66.41),"11.88%, 11.2 months","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-02-04 (Price: 66.72), 12.4% above",11.4 months,56.21,No Information,No Information,No Information,No Information,No Information,12.4% above/12.4% above/12.4% above,11.99%/4.9%/8.12%,"-0.0%, 28.4%",1.7 year/5 months/11.9 months,2027-08-03/2025-10-03/2026-07-30,5.39%,1.99%,3.4%,0.77,-0.0,60.7728/64.18/75.54/No Horizontal Resistance/58.4776/81.1364/No EMA 200 Target,52.08/33.57/44.4738/35.8188/No F-Track Level/No F-Track Level/53.71,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",2026-01-31 (Price: 621.87),"9.02%, 5.1 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-04 (Price: 605.75), 6.2% above",5.2 months,558.83,No Information,No Information,No Information,No Information,No Information,6.2% above/6.2% above/6.2% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,2026-11-17/2026-04-05/2026-07-18,8.4%,6.82%,1.58%,1.2,0.37,649.1722/640.3881/735.71/No Horizontal Resistance/610.7303/836.2536/No EMA 200 Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",2026-01-31 (Price: 43.25),"9.7%, 10.2 months","92.31%, Past 27 years, 13","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2026-02-04 (Price: 43.08), 9.27% above",10.3 months,39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 16.51% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,2033-09-01/2026-07-26/2027-09-03,5.35%,2.87%,2.48%,1.11,0.06,40.9429/45.1535/51.42/41.0733/49.4858/72.2363/42.48,29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"ASML, Long, 2024-01-31 (Price: 869.82)",2026-01-31 (Price: 1423.0),"63.6%, 2 years","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-02-04 (Price: 1339.13), 53.95% above",2 years,730.0,No Information,No Information,No Information,No Information,No Information,53.95% above/53.95% above/53.95% above,42.83%/5.07%/18.51%,"28.83%, 59.07%",1.4 year/5.1 months/1 year,2026-01-28/2024-09-08/2025-07-05,8.92%,10.16%,-1.24%,0.75,0.49,1035.4337/1030.8237/1286.69/888.525/1034.6774/1091.1724/No EMA 200 Target,588.66/188.78/832.8601/749.8177/No F-Track Level/No F-Track Level/678.52,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2026-01-23 (Price: 135.93)",2026-01-30 (Price: 141.95),"4.43%, 7 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-04 (Price: 146.23), 7.58% above",12 days,131.26,No Information,No Information,No Information,No Information,No Information,13.26% above/7.58% above/7.58% above,8.4%/1.52%/3.99%,"5.96%, 27.45%",3.3 months/7 days/1.1 month,2026-06-15/2026-02-02/2026-03-11,10.05%,7.71%,2.34%,1.26,0.4,141.9789/141.3536/142.49/No Horizontal Resistance/146.167/154.7608/No EMA 200 Target,118.3/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/114.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-01-26 (Price: 73.48)",2026-01-30 (Price: 79.52),"8.22%, 4 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-02-04 (Price: 77.88), 5.99% above",9 days,73.36,No Information,No Information,No Information,No Information,No Information,8.44% above/5.99% above/5.99% above,7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-08/2026-02-03/2026-04-22,13.27%,-3.97%,17.24%,0.8,-0.03,73.6343/76.0004/76.77/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
