"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ORCL, Long, 2026-01-26 (Price: 182.44)",No Exit Yet,"-7.36%, 3 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 169.01), 7.36% below",3 days,"4, 2025-09-08 (Price: 238.48)",2026-01-23 (Price: 177.16),2026-01-26 (Price: 182.44),6/3/3 days,4.6% below/7.36% below/7.36% below,2025-09-08 (Price: 359.5846)/2026-01-26 (Price: 174.5589),13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,2026-06-14/2026-02-03/2026-03-19,20.9%,16.31%,4.59%,1.07,0.75,202.0341/192.9121/216.06/No Horizontal Resistance/300.069/376.1425/218.9,173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),179.1
"WPM.TO, Long, 2026-01-25 (Price: 200.26)",No Exit Yet,"2.58%, 4 days","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-29 (Price: 205.43), 2.58% above",4 days,"2, 2025-04-20 (Price: 116.36)",2026-01-18 (Price: 188.28),2026-01-25 (Price: 200.26),11/4/4 days,9.11% above/2.58% above/2.58% above,2025-04-20 (Price: 118.6857)/2026-01-25 (Price: 182.0196),27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-08-04/2026-03-18/2026-05-17,3.49%,6.66%,-3.17%,0.68,0.35,213.0366/222.6691/250.6/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/137.99,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),191.85
"EEM, Long, 2026-01-25 (Price: 59.07)",No Exit Yet,"2.32%, 4 days","96.15%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-29 (Price: 60.44), 2.32% above",4 days,"2, 2024-12-01 (Price: 43.26)",2026-01-25 (Price: 59.07),2026-01-25 (Price: 59.07),4/4/4 days,2.32% above/2.32% above/2.32% above,2024-12-01 (Price: 43.422)/2026-01-25 (Price: 57.8607),11.23%/1.19%/3.84%,"20.12%, 35.1%",1.4 year/28 days/3.4 months,2028-01-23/2026-03-06/2026-06-21,3.49%,0.73%,2.76%,0.51,-0.08,61.1906/61.3383/68.56/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,40.58/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.68,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),57.35
"WPM, Long, 2026-01-25 (Price: 146.16)",No Exit Yet,"4.47%, 4 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-29 (Price: 152.7), 4.47% above",4 days,"2, 2025-04-20 (Price: 84.01)",2026-01-18 (Price: 135.35),2026-01-25 (Price: 146.16),11/4/4 days,12.82% above/4.47% above/4.47% above,2025-04-20 (Price: 86.9662)/2026-01-25 (Price: 129.3304),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-05-26/2026-03-06/2026-04-04,5.32%,5.11%,0.21%,0.63,0.29,157.9843/161.2729/183.45/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/99.6,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),140.0
"EFA, Long, 2026-01-25 (Price: 99.97)",No Exit Yet,"1.72%, 4 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-29 (Price: 101.69), 1.72% above",4 days,"2, 2025-08-10 (Price: 90.37)",2026-01-25 (Price: 99.97),2026-01-25 (Price: 99.97),4/4/4 days,1.72% above/1.72% above/1.72% above,2025-08-10 (Price: 93.1129)/2026-01-25 (Price: 98.8775),7.21%/1.24%/3.66%,"13.66%, 23.59%",7.2 months/1.2 month/3.1 months,2026-12-03/2026-03-18/2026-06-08,2.99%,2.36%,0.63%,0.4,0.03,103.1291/103.6289/105.73/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.02/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/91.35,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),98.0
"DBC, Long, 2026-01-23 (Price: 24.18)",2026-01-29 (Price: 25.3) (Today),"4.63%, 6 days","75.0%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-29 (Price: 25.3), 4.63% above",6 days,"8, 2025-06-27 (Price: 21.8)",2026-01-22 (Price: 23.74),2026-01-23 (Price: 24.18),7/6/6 days,6.57% above/4.63% above/4.63% above,2025-06-27 (Price: 22.3146)/2026-01-23 (Price: 23.7352),5.33%/0.57%/2.1%,"7.94%, 13.15%",3.3 months/6 days/22 days,2026-06-15/2026-01-31/2026-02-23,5.64%,4.38%,1.26%,0.13,0.2,24.8546/24.6878/25.61/28.58/60.6441/65.878/No EMA 200 Target,22.36/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.23,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),24.05
"ENZL, Long, 2026-01-23 (Price: 46.62)",2026-01-29 (Price: 47.234) (Today),"1.32%, 6 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-29 (Price: 47.234), 1.32% above",6 days,"0, 2024-04-08 (Price: 45.41)",2026-01-21 (Price: 46.11),2026-01-23 (Price: 46.62),8/6/6 days,2.44% above/1.32% above/1.32% above,2024-04-08 (Price: 52.3531)/2026-01-23 (Price: 45.9134),5.17%/0.29%/1.92%,"10.32%, 33.2%",1.9 month/8 days/20 days,2026-04-15/2026-02-03/2026-02-20,-5.23%,-2.63%,-2.6%,0.15,-0.23,46.9184/47.5151/47.35/65.1933/79.7363/84.688/No EMA 200 Target,44.64/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.34,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),46.49
"XLE, Long, 2026-01-22 (Price: 48.91)",2026-01-28 (Price: 50.05),"2.33%, 6 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-22",Already confirmed,"2026-01-29 (Price: 50.51), 3.27% above",7 days,"2, 2025-11-11 (Price: 45.765)",2026-01-20 (Price: 47.6),2026-01-22 (Price: 48.91),9/7/7 days,6.11% above/3.27% above/3.27% above,2025-11-11 (Price: 46.0491)/2026-01-22 (Price: 47.7451),6.81%/0.4%/3.61%,"6.99%, 40.87%",1.5 month/6 days/17 days,2026-03-28/2026-01-30/2026-02-15,10.35%,4.61%,5.74%,0.88,0.26,51.5071/50.6757/50.8/49.2225/53.4428/58.8712/No EMA 200 Target,43.81/22.8475/44.5115/37.0707/No F-Track Level/No F-Track Level/43.58,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),48.62
"^BVSP, Long, 2026-01-22 (Price: 175589.0)",2026-01-28 (Price: 184691.0),"5.18%, 6 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-22",Already confirmed,"2026-01-29 (Price: 183133.75), 4.3% above",7 days,"2, 2025-11-27 (Price: 158292.0)",2026-01-20 (Price: 166277.0),2026-01-22 (Price: 175589.0),9/7/7 days,10.14% above/4.3% above/4.3% above,2025-11-27 (Price: 165265.1744)/2026-01-22 (Price: 163773.686),5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-10-05/2026-02-01/2026-03-06,10.46%,4.14%,6.32%,1.7,0.2,186229.6934/180628.4043/185967.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,157327.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/144087.66,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),171817.0
"PG, Long, 2026-01-20 (Price: 147.0)",2026-01-27 (Price: 148.34),"0.91%, 7 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-20",Already confirmed,"2026-01-29 (Price: 149.9), 1.97% above",9 days,"4, 2025-09-02 (Price: 157.99)",2026-01-16 (Price: 144.53),2026-01-20 (Price: 147.0),13/9/9 days,3.72% above/1.97% above/1.97% above,2025-09-02 (Price: 164.4567)/2026-01-20 (Price: 144.0005),3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-12/2026-01-28/2026-03-13,9.71%,2.06%,7.65%,0.36,0.03,148.5729/149.94/153.59/179.4533/186.6499/209.3631/154.63,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),144.46
"WPM, Long, 2026-01-20 (Price: 141.68)",2026-01-28 (Price: 156.3),"10.32%, 8 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2026-01-20",Already confirmed,"2026-01-29 (Price: 152.7), 7.78% above",9 days,"2, 2025-11-25 (Price: 102.5)",2026-01-16 (Price: 135.35),2026-01-20 (Price: 141.68),13/9/9 days,12.82% above/7.78% above/7.78% above,2025-11-25 (Price: 111.27)/2026-01-20 (Price: 132.7271),15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-07-04/2026-01-25/2026-03-17,22.59%,17.13%,5.46%,1.09,0.81,152.6744/150.6058/165.19/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,104.96/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/98.56,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),140.0
"XIU.TO, Long, 2026-01-18 (Price: 48.64)",No Exit Yet,"-0.79%, 11 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-29 (Price: 48.255), 0.79% below",11 days,"2, 2024-11-24 (Price: 38.41)",2026-01-11 (Price: 48.22),2026-01-18 (Price: 48.64),18/11/11 days,0.07% above/0.79% below/0.79% below,2024-11-24 (Price: 38.3918)/2026-01-18 (Price: 47.9139),5.21%/1.57%/3.78%,"2.16%, 32.4%",1.1 year/1.2 month/6.5 months,2027-08-14/2026-03-11/2026-10-27,5.54%,4.24%,1.3%,1.64,0.19,49.569/50.4786/54.78/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/42.5,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),48.27
"ASML, Long, 2026-01-18 (Price: 1358.5699)",No Exit Yet,"7.11%, 11 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-29 (Price: 1455.16), 7.11% above",11 days,"2, 2025-07-06 (Price: 794.5)",2026-01-18 (Price: 1358.5699),2026-01-18 (Price: 1358.5699),11/11/11 days,7.11% above/7.11% above/7.11% above,2025-07-06 (Price: 806.2086)/2026-01-18 (Price: 1258.5642),26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-08/2026-03-11/2026-06-19,11.7%,15.27%,-3.57%,1.0,0.74,1503.3935/1524.9947/1697.01/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,689.82/576.784/1034.6774/832.8601/No F-Track Level/No F-Track Level/873.67,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),1256.0601
"GS, Long, 2026-01-18 (Price: 962.0)",No Exit Yet,"-2.27%, 11 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-29 (Price: 940.12), 2.27% below",11 days,"2, 2025-07-06 (Price: 723.68)",2026-01-18 (Price: 962.0),2026-01-18 (Price: 962.0),11/11/11 days,2.27% below/2.27% below/2.27% below,2025-07-06 (Price: 725.236)/2026-01-18 (Price: 938.1843),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-03-10/2026-03-19/2026-10-10,9.45%,7.78%,1.67%,2.03,0.4,986.3386/1046.0788/1104.99/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/727.07,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),934.0
"MTY.TO, Long, 2026-01-18 (Price: 40.33)",No Exit Yet,"3.92%, 11 days","73.91%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-29 (Price: 41.91), 3.92% above",11 days,"8, 2023-04-16 (Price: 59.7)",2026-01-18 (Price: 40.33),2026-01-18 (Price: 40.33),11/11/11 days,3.92% above/3.92% above/3.92% above,2023-04-16 (Price: 70.7306)/2026-01-18 (Price: 39.5891),16.17%/2.07%/7.98%,"37.54%, 76.03%",1.1 year/28 days/4.3 months,2027-08-14/2026-02-27/2026-07-23,2.07%,4.23%,-2.16%,-0.11,0.25,41.1527/43.5483/51.95/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.34/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.21,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),39.9
"MSE.PA, Long, 2026-01-18 (Price: 67.23)",No Exit Yet,"-2.23%, 11 days","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-29 (Price: 65.73), 2.23% below",11 days,"2, 2025-07-06 (Price: 58.64)",2026-01-18 (Price: 67.23),2026-01-18 (Price: 67.23),11/11/11 days,2.23% below/2.23% below/2.23% below,2025-07-06 (Price: 60.0117)/2026-01-18 (Price: 66.601),10.47%/2.5%/6.07%,"-0.0%, 33.38%",1.4 year/1.2 month/6.9 months,2028-01-16/2026-03-11/2026-11-13,7.99%,3.79%,4.2%,2.07,0.15,70.8873/71.3109/72.38/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,61.34/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/60.53,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),66.84
"^BVSP, Long, 2026-01-15 (Price: 165568.0)",2026-01-26 (Price: 178721.0),"7.94%, 11 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-29 (Price: 183133.75), 10.61% above",14 days,"2, 2025-11-19 (Price: 155381.0)",2026-01-14 (Price: 165146.0),2026-01-15 (Price: 165568.0),15/14/14 days,10.89% above/10.61% above/10.61% above,2025-11-19 (Price: 165586.6111)/2026-01-15 (Price: 163784.6111),5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-09-28/2026-01-25/2026-02-27,10.46%,4.14%,6.32%,1.7,0.2,175601.4208/170319.8016/171680.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,157327.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/143125.97,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),165180.0
"BABA, Long, 2026-01-13 (Price: 167.01)",2026-01-27 (Price: 172.72),"3.42%, 14 days","73.33%, Past 4 years, 30","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-29 (Price: 174.25), 4.34% above",16 days,"2, 2025-10-24 (Price: 174.7)",2026-01-09 (Price: 150.96),2026-01-13 (Price: 167.01),20/16/16 days,15.43% above/4.34% above/4.34% above,2025-10-24 (Price: 182.7225)/2026-01-13 (Price: 148.7306),13.07%/3.26%/7.2%,"49.23%, 66.54%",2.5 months/6 days/1.2 month,2026-05-01/2026-01-21/2026-03-06,-7.81%,-3.01%,-4.8%,-0.14,0.07,170.6508/179.0347/171.62/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,146.58/67.495/144.416/No support/No F-Track Level/No F-Track Level/138.31,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),165.5
"EFA, Long, 2026-01-12 (Price: 99.41)",2026-01-29 (Price: 101.69) (Today),"2.29%, 17 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-29 (Price: 101.69), 2.29% above",17 days,"0, 2024-03-26 (Price: 79.56)",2026-01-09 (Price: 98.81),2026-01-12 (Price: 99.41),20/17/17 days,2.91% above/2.29% above/2.29% above,2024-03-26 (Price: 79.0752)/2026-01-12 (Price: 98.4085),2.11%/0.62%/1.31%,"18.28%, 30.28%",1.3 month/4 days/15 days,2026-03-09/2026-01-17/2026-02-02,0.47%,3.77%,-3.3%,-0.12,0.15,102.6607/100.7123/111.32/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,94.15/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/90.58,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),99.15
"MTY.TO, Long, 2026-01-07 (Price: 40.04)",2026-01-26 (Price: 42.91),"7.17%, 19 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-07",Already confirmed,"2026-01-29 (Price: 41.91), 4.67% above",22 days,"0, 2024-03-21 (Price: 53.02)",2026-01-06 (Price: 40.03),2026-01-07 (Price: 40.04),23/22/22 days,4.7% above/4.67% above/4.67% above,2024-03-21 (Price: 66.6843)/2026-01-07 (Price: 38.5086),7.25%/0.53%/3.58%,"0.46%, 22.19%",2.6 months/7 days/21 days,2026-04-29/2026-01-17/2026-02-06,16.78%,-4.47%,21.25%,1.28,-0.0,41.8178/41.4734/47.83/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),39.7
"NVO, Long, 2026-01-04 (Price: 52.39)",2026-01-29 (Price: 59.33) (Today),"13.25%, 25 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-01-29 (Price: 59.33), 13.25% above",25 days,"2, 2025-03-02 (Price: 90.65)",2025-12-28 (Price: 52.4),2026-01-04 (Price: 52.39),32/25/25 days,13.23% above/13.25% above/13.25% above,2025-03-02 (Price: 95.0201)/2026-01-04 (Price: 47.1478),20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),51.56
"JPY=X, Long, 2025-12-31 (Price: 156.413)",No Exit Yet,"-2.12%, 29 days","73.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 153.096), 2.12% below",29 days,"2, 2024-06-30 (Price: 160.687)",2025-11-30 (Price: 156.284),2025-12-31 (Price: 156.413),60/29/29 days,2.04% below/2.12% below/2.12% below,2024-06-30 (Price: 162.4562)/2025-12-31 (Price: 153.2012),18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-27/2026-08-05/2027-02-03,-1.08%,0.88%,-1.96%,0.37,-0.3,172.2576/173.5089/158.98/159.6617/175.8568/187.2285/No EMA 200 Target,142.3/110.2702/138.2059/No support/No F-Track Level/No F-Track Level/148.77,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),155.887
"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"19.92%, 29 days","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 361.13), 19.92% above",29 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-31 (Price: 301.15),2025-12-31 (Price: 301.15),29/29/29 days,19.92% above/19.92% above/19.92% above,2015-06-30 (Price: 22.1158)/2025-12-31 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),269.38
"BAC, Long, 2025-12-31 (Price: 55.0)",No Exit Yet,"-3.49%, 29 days","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 53.08), 3.49% below",29 days,"4, 2022-08-31 (Price: 33.61)",2025-11-30 (Price: 53.65),2025-12-31 (Price: 55.0),60/29/29 days,1.06% below/3.49% below/3.49% below,2022-08-31 (Price: 37.3153)/2025-12-31 (Price: 51.7863),30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-11-08/2026-08-05/2027-01-26,4.68%,2.37%,2.31%,0.29,0.18,64.064/64.9825/67.83/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/47.69,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),53.5
"MAR, Long, 2025-12-31 (Price: 310.24)",No Exit Yet,"3.07%, 29 days","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 319.77), 3.07% above",29 days,"2, 2024-12-31 (Price: 278.94)",2025-11-30 (Price: 304.79),2025-12-31 (Price: 310.24),60/29/29 days,4.91% above/3.07% above/3.07% above,2024-12-31 (Price: 317.028)/2025-12-31 (Price: 259.98),30.2%/3.49%/16.71%,"0%, 34.42%",2.2 years/5 months/10.1 months,2029-02-20/2026-08-05/2027-03-14,9.36%,7.98%,1.38%,1.77,0.4,379.9199/362.0811/329.02/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,136.01/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/267.22,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),302.43
"FBU.NZ, Long, 2025-12-31 (Price: 3.68)",No Exit Yet,"1.9%, 29 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 3.75), 1.9% above",29 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-12-31 (Price: 3.68),90/29/29 days,15.03% above/1.9% above/1.9% above,2021-04-30 (Price: 8.1708)/2025-12-31 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-22/2026-08-05/2026-08-18,5.5%,0.69%,4.81%,1.23,0.0,4.2997/4.4484/5.83/7.985/12.7156/14.3053/No EMA 200 Target,2.83/2.82/3.5015/3.1474/No F-Track Level/No F-Track Level/3.23,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),3.28
"MFT.NZ, Long, 2025-12-31 (Price: 68.62)",No Exit Yet,"-1.71%, 29 days","92.86%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 67.45), 1.71% below",29 days,"0, 2020-12-31 (Price: 69.5)",2025-12-31 (Price: 68.62),2025-12-31 (Price: 68.62),29/29/29 days,1.71% below/1.71% below/1.71% below,2020-12-31 (Price: 105.6512)/2025-12-31 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-26/2026-08-05/2027-01-04,9.96%,11.66%,-1.7%,0.82,0.67,106.3884/77.7327/69.15/85.45/105.252/119.9356/No EMA 200 Target,55.51/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.85,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),67.06
"BDGI.TO, Long, 2025-12-31 (Price: 73.13)",No Exit Yet,"7.14%, 29 days","100.0%, Past 33 years, 6","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 78.35), 7.14% above",29 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-31 (Price: 73.13),121/29/29 days,27.65% above/7.14% above/7.14% above,2018-06-30 (Price: 49.0339)/2025-12-31 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-26/2027-11-08/2028-04-13,16.49%,8.5%,7.99%,0.7,0.42,150.8453/189.2824/98.01/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,26.66/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/55.48,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),61.31
"EFA, Long, 2025-12-31 (Price: 96.03)",No Exit Yet,"5.89%, 29 days","80.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 101.69), 5.89% above",29 days,"2, 2023-06-30 (Price: 72.5)",2025-12-31 (Price: 96.03),2025-12-31 (Price: 96.03),29/29/29 days,5.89% above/5.89% above/5.89% above,2023-06-30 (Price: 74.0386)/2025-12-31 (Price: 95.0814),18.42%/4.43%/10.16%,"13.47%, 23.01%",1.5 year/5 months/8.9 months,2028-02-21/2026-08-05/2027-01-21,4.72%,2.4%,2.32%,0.44,0.03,108.197/105.7866/110.15/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.61/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/90.09,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),94.92
