"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"IWM, Long, 2025-11-11 (Price: 244.24)",2025-12-17 (Price: 247.24),"1.23%, 1.2 month","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-12-19 (Price: 250.79), 2.68% above",1.3 month,Upmove Bounce Back,23.66% (Price: 233.5959),7.36% above,"2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",13.11%/0.65%/9.22%,"-0.0%, 28.11%",3.9 years/1.9 month/11.3 months,2031-06-06/2026-02-01/2027-03-17,14.39%,3.76%,10.63%,1.95,0.16,234.6169/266.7589/292.86/244.72/267.7701/348.4025/No EMA 200 Target,240.35/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/223.01,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),244.24
"INFY, Long, 2025-10-06 (Price: 16.69)",2025-12-18 (Price: 19.18),"14.92%, 2.4 months","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2025-10-06",Already confirmed,"2025-12-19 (Price: 20.22), 21.15% above",2.5 months,Upmove Bounce Back,78.6% (Price: 16.3102),23.97% above,"2025-08-12 (Price: 15.91), 2025-09-17 (Price: 17.78)",12.21%/2.02%/9.78%,"1.69%, 24.19%",1.2 year/1.6 month/5.5 months,2027-06-23/2025-12-14/2026-06-01,19.54%,1.44%,18.1%,0.98,0.04,16.5248/18.3223/17.81/23.796/31.8515/41.1179/17.52,16.15/16.074/13.0115/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),16.69
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-19 (Price: 80.36) (Today),"-0.36%, 5.7 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-19 (Price: 80.36), 0.36% below",5.7 months,Upmove Bounce Back,38.2% (Price: 76.5615),4.96% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03/2027-12-03/2027-12-03,3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.9,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),80.65
"NA.TO, Long, 2025-06-30 (Price: 140.52)",2025-11-30 (Price: 168.95),"20.23%, 5.1 months","92.86%, Past 42 years, 14","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-19 (Price: 176.03), 25.27% above",5.7 months,Upmove Bounce Back,23.66% (Price: 108.7595),61.85% above,"1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",29.1%/8.19%/21.58%,"3.99%, 52.46%",4.6 years/4 months/1.5 year,2032-01-22/2025-12-20/2027-08-21,8.81%,8.57%,0.24%,1.75,0.52,154.9795/170.8442/222.66/No Horizontal Resistance/188.6608/207.1743/141.79,118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),140.52
"RY.TO, Long, 2025-06-30 (Price: 179.47)",2025-11-30 (Price: 216.14),"20.43%, 5.1 months","94.44%, Past 48 years, 18","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-19 (Price: 232.71), 29.67% above",5.7 months,Upmove Bounce Back,38.2% (Price: 152.7435),52.35% above,"2023-10-31 (Price: 107.92), 2024-12-31 (Price: 180.45)",25.48%/3.95%/19.36%,"8.99%, 47.82%",3.6 years/6 months/1.7 year,2030-08-20/2026-03-17/2027-12-03,8.56%,8.11%,0.45%,1.79,0.51,201.132/214.2154/222.99/No Horizontal Resistance/221.431/339.4883/187.38,162.1/108.18/148.4673/103.3737/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),179.47
"^BVSP, Long, 2025-03-31 (Price: 130260.0)",2025-11-30 (Price: 159072.0),"22.12%, 8.1 months","81.82%, Past 58 years, 11","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-12-19 (Price: 158473.0156), 21.66% above",8.8 months,Upmove Bounce Back,50% (Price: 116368.0),36.18% above,"2022-07-31 (Price: 95267.0), 2024-08-31 (Price: 137469.0)",27.02%/4.94%/21.13%,"17.81%, 34.07%",4.8 years/4 months/1.9 year,2032-02-05/2025-09-20/2027-12-16,5.99%,20.73%,-14.74%,0.68,0.88,155608.596/157783.938/155581.2/134350.3333/173653.968/192289.6/140702.27,120283.0/95217.0/121313.6/110617.73/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),130260.0
"RHHBY, Long, 2025-02-28 (Price: 41.74)",2025-12-19 (Price: 51.2) (Today),"22.66%, 9.8 months","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-02-28",Already confirmed,"2025-12-19 (Price: 51.2), 22.66% above",9.8 months,Upmove Bounce Back,61.8% (Price: 34.2539),49.47% above,"2024-05-31 (Price: 29.2), 2024-08-31 (Price: 42.43)",29.63%/5.85%/20.48%,"5.23%, 30.29%",6 years/1 year/3.2 years,2033-09-22/2026-08-03/2029-09-23,5.03%,5.2%,-0.17%,0.93,0.26,46.0559/50.2884/49.68/52.46/58.6089/65.2057/41.95,29.82/34.4/41.5794/31.0544/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),41.74
"^DJI, Long, 2025-02-02 (Price: 44544.6602)",2025-12-07 (Price: 47954.9883),"7.66%, 10.3 months","100.0%, Past 20 years, 19","Weekly, was CONFIRMED on 2025-02-02",Already confirmed,"2025-12-19 (Price: 48134.8906), 8.06% above",10.7 months,Upmove Bounce Back,23.66% (Price: 42057.8236),14.45% above,"2023-10-29 (Price: 32327.1992), 2024-12-08 (Price: 45073.6289)",16.56%/0.85%/14.38%,"0%, 50.73%",5.5 years/4 months/1.3 year,2032-12-09/2025-07-25/2026-12-11,9.45%,5.31%,4.14%,3.66,0.28,48063.6884/50950.1823/52192.52/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,41938.45/29171.1927/36151.8794/25040.9446/No F-Track Level/No F-Track Level/44272.42,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),44544.6602
"RHHBY, Long, 2023-05-31 (Price: 39.59)",2025-11-30 (Price: 47.83),"20.81%, 2.5 years","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2023-05-31",Already confirmed,"2025-12-19 (Price: 51.2), 29.33% above",2.6 years,Upmove Bounce Back,50% (Price: 34.8525),46.9% above,"2010-07-31 (Price: 15.845), 2022-04-30 (Price: 53.86)",29.63%/5.85%/20.48%,"5.23%, 30.29%",6 years/1 year/3.2 years,2031-12-23/2024-11-02/2027-12-24,5.03%,5.2%,-0.17%,0.93,0.26,43.6836/47.698/62.4/52.46/58.6089/61.4729/41.95,35.86/29.095/31.0544/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),39.59
"UBER, Short, 2025-12-19 (Price: 79.31)",No Exit Yet,"-0.0%, 0 days","90.0%, Past 6 years, 10","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 79.31), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 82.5663),3.94% below,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",11.18%/4.08%/7.12%,"16.62%, 11.18%",21 days/7 days/11 days,2026-01-18/2025-12-29/2026-01-03,12.48%,5.2%,7.28%,0.51,0.43,78.961/73.6631/30.05/34.6025/71.0872/363.4563/No EMA 200 Target,No support/34.6025/71.0872/No support/70.6297/60.9425/No support,100.0%/1/0 days (Across ALL Assets),43.75%/16/0 days (Across ALL Assets),79.31
"NFLX, Short, 2025-12-19 (Price: 94.39)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 23 years, 6","Quarterly, is CONFIRMED on 2025-12-19",No Cancellation Possible,"2025-12-19 (Price: 94.39), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 106.2331),11.15% below,"2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,2026-05-02/2026-04-28/2026-04-28,11.77%,5.5%,6.27%,1.3,0.88,185.3631/66.5638/23.68/34.8663/77.3488/70.5306/No EMA 200 Target,No support/34.8663/77.3488/70.5306/89.0986/75.193/No support,75.0%/4/0 days (Across ALL Assets),57.14%/14/0 days (Across ALL Assets),94.39
"SFTBY, Short, 2025-12-19 (Price: 55.26)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-12-19 (Price: 55.26), 0.0% below",0 days,Upmove Break Below,50.0% (Price: 53.39),3.5% above,"2022-06-30 (Price: 16.78), 2025-12-19 (Price: 90.0)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-02/2026-05-02/2026-05-02,12.53%,5.4%,7.13%,1.47,0.38,49.6511/45.6392/11.33/16.82/48.0625/43.9946/44.97,No support/16.82/48.0625/43.9946/53.39/44.75/No EMA 200 Support,75.0%/4/0 days (Across ALL Assets),57.14%/14/0 days (Across ALL Assets),55.26
"C6L.SI, Short, 2025-12-19 (Price: 6.32)",No Exit Yet,"-0.0%, 0 days","92.86%, Past 40 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price > 7.63 prior to 2025-12-31,"2025-12-19 (Price: 6.32), 0.0% below",0 days,Upmove Break Below,78.6% (Price: 7.5813),16.64% below,"2023-06-30 (Price: 6.44), 2024-08-31 (Price: 6.4)",13.97%/3.18%/6.42%,"3.38%, 13.97%",3.1 months/1 month/1.7 month,2026-05-02/2026-01-31/2026-03-02,8.07%,5.5%,2.57%,1.46,-0.19,5.8953/5.9143/6.3/4.7975/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/No support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),6.32
"AMD, Short, 2025-12-02 (Price: 215.24)",2025-12-15 (Price: 207.58),"3.56%, 13 days","85.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-19 (Price: 213.43), 0.84% below",17 days,Upmove Break Below,38.2% (Price: 222.0575),3.89% below,"2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",8.59%/0.06%/4.31%,"24.21%, 11.06%",1.8 month/1 day/8 days,2026-02-18/2025-12-03/2025-12-13,20.24%,5.1%,15.14%,0.39,0.6,214.379/205.9632/144.52/72.6533/187.3421/170.075/158.6,No support/72.6533/187.3421/170.075/No F-Track Level/No F-Track Level/No EMA 200 Support,66.67%/9/0 days (Across ALL Assets),43.52%/108/0 days (Across ALL Assets),215.24
"META, Short, 2025-11-30 (Price: 647.95)",No Exit Yet,"-1.67%, 19 days","100.0%, Past 13 years, 4","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 658.77), 1.67% above",19 days,Upmove Break Below,23.66% (Price: 628.6993),4.78% above,"2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",32.63%/3.19%/14.4%,"0.0%, 32.63%",3.1 months/28 days/1.7 month,2026-04-13/2026-01-09/2026-02-11,10.6%,5.4%,5.2%,0.76,0.8,559.6344/554.6452/223.05/280.19/556.264/2054.9119/No EMA 200 Target,No support/280.19/556.264/No support/No F-Track Level/No F-Track Level/No support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),647.95
"KWEB, Short, 2025-11-30 (Price: 37.57)",No Exit Yet,"2.85%, 19 days","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 36.5), 2.85% below",19 days,Upmove Break Below,23.66% (Price: 37.1791),1.83% below,"2022-10-31 (Price: 17.22), 2025-10-31 (Price: 43.365)",10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-04-13/2026-01-12/2026-02-07,5.83%,5.4%,0.43%,0.25,0.12,34.3991/34.8913/21.88/24.5062/No F-Stack Support/No F-Stack Support/36.45,No support/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),37.57
"UBER, Short, 2025-11-23 (Price: 83.87)",2025-12-19 (Price: 79.31) (Today),"5.44%, 26 days","90.0%, Past 6 years, 10","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-12-19 (Price: 79.31), 5.44% below",26 days,Upmove Break Below,38.2% (Price: 83.9787),5.56% below,"2024-08-11 (Price: 54.84), 2025-09-28 (Price: 101.99)",11.18%/4.08%/7.12%,"16.62%, 11.18%",21 days/7 days/11 days,2025-12-23/2025-12-03/2025-12-08,12.48%,5.2%,7.28%,0.51,0.43,83.501/77.8985/55.58/34.6025/75.9736/63.3753/No EMA 200 Target,No support/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No support,100.0%/1/0 days (Across ALL Assets),43.75%/16/0 days (Across ALL Assets),83.87
"ETH-USD, Short, 2025-10-31 (Price: 3847.0803)",2025-11-30 (Price: 2992.1125),"22.22%, 1 month","100.0%, Past 10 years, 4","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 2979.1304), 22.56% below",1.6 month,Upmove Break Below,23.66% (Price: 3801.2773),21.63% below,"2018-12-31 (Price: 82.8299), 2025-08-31 (Price: 4953.7329)",32.85%/5.87%/17.04%,"0%, 32.85%",2 months/1 month/1.2 month,2026-01-25/2025-12-13/2025-12-22,59.0%,5.2%,53.8%,1.33,1.37,3791.6823/3191.5378/924.54/1370.4997/3454.2267/2637.9184/3569.83,No support/1370.4997/3454.2267/2637.9184/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),3847.0803
