"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"PPH, Long, 2025-11-06 (Price: 94.3)",2025-11-14 (Price: 98.86) (Today),"4.84%, 6 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-14 (Price: 98.86), 4.84% above",6 days,"2, 2025-09-17 (Price: 88.58)",2025-11-04 (Price: 92.75),2025-11-06 (Price: 94.3),8/6/6 days,6.59% above/4.84% above/4.84% above,2025-09-17 (Price: 96.444)/2025-11-06 (Price: 91.692),5.58%/0.68%/1.93%,"8.41%, 20.52%",87 days/4 days/29 days,2026-03-12/2025-11-11/2025-12-18,12.0%,7.54%,4.46%,0.55,0.28,95.3656/96.12/97.73/No Horizontal Resistance/100.0174/110.0139,90.97/65.915/87.7591/70.617/No F-Track Level/No F-Track Level,90.83/88.83,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"MAR, Long, 2025-11-05 (Price: 283.07)",2025-11-13 (Price: 287.43),"1.54%, 6 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-14 (Price: 285.72), 0.94% above",7 days,"6, 2025-06-03 (Price: 264.4)",2025-11-04 (Price: 272.24),2025-11-05 (Price: 283.07),8/7/7 days,4.95% above/0.94% above/0.94% above,2025-06-03 (Price: 288.1148)/2025-11-05 (Price: 269.259),20.78%/1.46%/5.76%,"-0.0%, 12.09%",62 days/4 days/17 days,2026-02-02/2025-11-10/2025-11-29,113.25%,11.5%,101.74%,0.99,0.41,295.7232/299.3748/294.27/No Horizontal Resistance/372.972/399.3723,260.58/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level,265.96/263.4,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"LYFT, Long, 2025-11-03 (Price: 20.95)",2025-11-13 (Price: 23.8),"13.6%, 8 days","91.43%, Past 4 years, 35","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-14 (Price: 23.14), 10.45% above",9 days,"2, 2025-09-12 (Price: 18.62)",2025-10-31 (Price: 20.46),2025-11-03 (Price: 20.95),10/9/9 days,13.1% above/10.45% above/10.45% above,2025-09-12 (Price: 24.1729)/2025-11-03 (Price: 19.9527),46.32%/1.28%/12.74%,"52.91%, 72.52%",77 days/4 days/24 days,2026-02-22/2025-11-08/2025-12-07,43.3%,-10.85%,54.15%,0.48,0.14,22.0981/23.619/22.35/57.19/81.0416/101.3843,19.75/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,19.96/15.39,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"DOL.TO, Long, 2025-11-03 (Price: 182.6)",2025-11-13 (Price: 194.07),"6.28%, 8 days","100.0%, Past 4 years, 44","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-14 (Price: 194.93), 6.75% above",9 days,"2, 2025-08-15 (Price: 192.31)",2025-11-03 (Price: 182.6),2025-11-03 (Price: 182.6),9/9/9 days,6.75% above/6.75% above/6.75% above,2025-08-15 (Price: 199.549)/2025-11-03 (Price: 181.5204),10.12%/0.29%/3.51%,"-0.0%, 13.61%",101 days/4 days/29 days,2026-03-29/2025-11-08/2025-12-15,31.05%,25.35%,5.71%,1.47,1.07,186.1242/189.0093/188.43/197.56/194.1559/294.0831,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level,184.66/172.2,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"^DJI, Long, 2025-11-02 (Price: 47562.8711)",No Exit Yet,"-0.87%, 9 days","93.75%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 47147.4805), 0.87% below",9 days,"0, 2021-07-11 (Price: 34870.1602)",2025-10-19 (Price: 46190.6094),2025-10-31 (Price: 47562.8711),19/10/9 days,2.07% above/0.87% below/0.87% below,2021-07-11 (Price: 36111.9479)/2025-11-02 (Price: 45602.9241),6.98%/0.22%/3.8%,"3.06%, 34.78%",249 days/19 days/101 days,2026-10-28/2025-11-29/2026-03-28,6.99%,9.91%,-2.92%,1.11,0.44,48742.4303/49370.2602/55178.5/No Horizontal Resistance/54129.8938/83218.843,38314.86/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level,46229.44/43702.44,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-11-02 (Price: 59825.8984)",No Exit Yet,"1.53%, 9 days","89.13%, Past 10 years, 46","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 60739.1992), 1.53% above",9 days,"2, 2025-05-18 (Price: 57060.5)",2025-10-19 (Price: 58902.25),2025-11-02 (Price: 59825.8984),19/9/9 days,3.12% above/1.53% above/1.53% above,2025-05-18 (Price: 60173.8125)/2025-11-02 (Price: 58938.3281),11.35%/2.01%/6.62%,"21.92%, 38.39%",259 days/19 days/71 days,2026-11-12/2025-11-29/2026-02-12,7.9%,12.8%,-4.9%,0.6,0.56,63104.3576/63786.3729/61485.14/60182.9323/69983.5191/76335.2565,55727.4/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level,58144.29/55609.45,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"GOOG, Long, 2025-10-31 (Price: 281.82)",No Exit Yet,"-1.72%, 10 days","94.12%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 276.98), 1.72% below",10 days,"0, 2020-10-31 (Price: 81.0505)",2025-09-30 (Price: 243.55),2025-10-31 (Price: 281.82),33/10/10 days,13.73% above/1.72% below/1.72% below,2020-10-31 (Price: 126.9444)/2025-10-31 (Price: 221.2778),63.04%/1.54%/29.75%,"3.21%, 18.92%",412 days/86 days/199 days,2027-06-19/2026-03-04/2026-08-15,22.75%,24.26%,-1.52%,1.49,0.85,307.7193/365.6614/402.28/No Horizontal Resistance/285.4807/322.8294,156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level,244.46/194.01,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",No Exit Yet,"0.38%, 10 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 45.31), 0.38% above",10 days,"0, 2020-10-31 (Price: 23.53)",2025-08-31 (Price: 42.76),2025-10-31 (Price: 45.14),54/10/10 days,5.96% above/0.38% above/0.38% above,2020-10-31 (Price: 31.0813)/2025-10-31 (Price: 41.0445),13.41%/2.94%/9.31%,"6.95%, 19.49%",304 days/84 days/144 days,2027-01-14/2026-03-01/2026-05-27,8.8%,4.94%,3.87%,0.91,0.11,47.9703/49.3425/58.11/No Horizontal Resistance/53.8646/79.5406,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level,44.24/40.37,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"QQQ, Long, 2025-10-31 (Price: 629.07)",No Exit Yet,"-3.21%, 10 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 608.86), 3.21% below",10 days,"0, 2020-10-31 (Price: 269.38)",2025-09-30 (Price: 600.37),2025-10-31 (Price: 629.07),33/10/10 days,1.41% above/3.21% below/3.21% below,2020-10-31 (Price: 364.6767)/2025-10-31 (Price: 567.9074),26.83%/5.89%/12.63%,"-0.0%, 33.07%",673 days/107 days/230 days,2028-07-01/2026-04-03/2026-09-29,11.42%,9.45%,1.97%,2.06,0.36,677.0051/708.5215/844.88/No Horizontal Resistance/610.7303/836.2536,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,596.73/537.0,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"^GSPC, Long, 2025-10-31 (Price: 6840.2002)",No Exit Yet,"-1.55%, 10 days","95.45%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 6734.1099), 1.55% below",10 days,"0, 2020-10-31 (Price: 3269.96)",2025-09-30 (Price: 6688.46),2025-10-31 (Price: 6840.2002),33/10/10 days,0.68% above/1.55% below/1.55% below,2020-10-31 (Price: 4279.9133)/2025-10-31 (Price: 6434.7405),17.02%/3.9%/10.39%,"7.48%, 24.77%",631 days/87 days/193 days,2028-05-01/2026-03-06/2026-08-06,9.69%,6.68%,3.01%,1.42,0.24,7449.662/7550.897/8982.34/No Horizontal Resistance/6767.7249/9765.5661,5569.06/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level,6640.02/6111.52,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"^NDX, Long, 2025-10-31 (Price: 25858.1309)",No Exit Yet,"-3.29%, 10 days","100.0%, Past 20 years, 22","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 25008.2422), 3.29% below",10 days,"0, 2020-10-31 (Price: 11052.9502)",2025-09-30 (Price: 24679.9902),2025-10-31 (Price: 25858.1309),33/10/10 days,1.33% above/3.29% below/3.29% below,2020-10-31 (Price: 14945.6094)/2025-10-31 (Price: 23342.1479),30.75%/6.45%/14.42%,"-0.0%, 13.1%",369 days/107 days/203 days,2027-04-18/2026-04-03/2026-08-21,16.42%,9.59%,6.84%,1.86,0.37,29242.9602/29586.8734/34741.24/No Horizontal Resistance/25025.4383/33965.62,19278.45/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level,24519.3/22067.0,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",No Exit Yet,"2.89%, 10 days","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 94.65), 2.89% above",10 days,"0, 2020-10-31 (Price: 55.35)",2025-08-31 (Price: 85.77),2025-10-31 (Price: 91.99),54/10/10 days,10.35% above/2.89% above/2.89% above,2020-10-31 (Price: 101.9929)/2025-10-31 (Price: 75.7694),24.83%/3.08%/11.43%,"30.99%, 38.87%",719 days/129 days/282 days,2028-09-06/2026-05-05/2026-12-13,4.31%,6.33%,-2.02%,0.35,0.21,94.4461/102.5045/113.97/No Horizontal Resistance/92.969/100.7509,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level,88.59/76.35,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"CVS, Long, 2025-10-31 (Price: 78.15)",No Exit Yet,"-0.44%, 10 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 77.81), 0.44% below",10 days,"0, 2020-10-31 (Price: 56.09)",2025-08-31 (Price: 73.15),2025-10-31 (Price: 78.15),54/10/10 days,6.37% above/0.44% below/0.44% below,2020-10-31 (Price: 127.1433)/2025-10-31 (Price: 67.5433),28.65%/12.56%/20.39%,"44.04%, 44.04%",218 days/87 days/159 days,2026-09-11/2026-03-06/2026-06-18,6.5%,4.04%,2.46%,0.24,0.13,87.1138/94.0848/91.39/106.045/116.3721/144.3517,44.89/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level,76.44/67.21,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"XLU, Long, 2025-10-31 (Price: 89.1)",No Exit Yet,"-0.38%, 10 days","90.48%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 88.76), 0.38% below",10 days,"0, 2020-10-31 (Price: 62.38)",2025-09-30 (Price: 87.21),2025-10-31 (Price: 89.1),33/10/10 days,1.78% above/0.38% below/0.38% below,2020-10-31 (Price: 67.198)/2025-10-31 (Price: 87.0494),16.63%/1.39%/9.27%,"27.25%, 40.67%",871 days/107 days/247 days,2029-04-14/2026-04-03/2026-10-23,5.14%,3.83%,1.3%,0.73,0.04,93.0739/97.3596/105.13/No Horizontal Resistance/98.9717/144.4725,58.93/59.52/70.8508/53.4708/No F-Track Level/No F-Track Level,87.48/82.19,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"ACWX, Long, 2025-10-31 (Price: 66.35)",No Exit Yet,"0.32%, 10 days","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 66.56), 0.32% above",10 days,"2, 2023-06-30 (Price: 49.22)",2025-10-31 (Price: 66.35),2025-10-31 (Price: 66.35),10/10/10 days,0.32% above/0.32% above/0.32% above,2023-06-30 (Price: 50.8243)/2025-10-31 (Price: 64.1443),15.1%/1.81%/6.09%,"10.07%, 26.55%",849 days/88 days/315 days,2029-03-13/2026-03-07/2027-01-30,2.59%,1.11%,1.48%,0.53,-0.09,69.9329/70.3907/76.63/No Horizontal Resistance/69.6679/76.9985,52.16/45.07/61.9685/307.3483/No F-Track Level/No F-Track Level,64.86/59.62,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"TSM, Long, 2025-10-31 (Price: 300.43)",No Exit Yet,"-5.2%, 10 days","96.55%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 284.82), 5.2% below",10 days,"2, 2023-06-30 (Price: 100.92)",2025-10-31 (Price: 300.43),2025-10-31 (Price: 300.43),10/10/10 days,5.2% below/5.2% below/5.2% below,2023-06-30 (Price: 111.482)/2025-10-31 (Price: 284.8673),62.44%/5.05%/21.09%,"28.26%, 49.81%",392 days/107 days/247 days,2027-05-21/2026-04-03/2026-10-23,11.28%,15.19%,-3.91%,0.91,0.52,354.6276/363.7907/420.14/No Horizontal Resistance/334.306/349.9895,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level,274.27/218.77,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BAC, Long, 2025-10-31 (Price: 53.45)",No Exit Yet,"-1.57%, 10 days","75.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 52.61), 1.57% below",10 days,"0, 2020-10-31 (Price: 23.7)",2025-08-31 (Price: 50.74),2025-10-31 (Price: 53.45),54/10/10 days,3.69% above/1.57% below/1.57% below,2020-10-31 (Price: 51.0942)/2025-10-31 (Price: 47.4033),30.69%/9.64%/20.1%,"25.08%, 44.87%",412 days/88 days/206 days,2027-06-19/2026-03-07/2026-08-25,4.84%,3.94%,0.9%,0.33,0.19,59.5593/64.1935/71.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,51.02/45.86,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"PPH, Long, 2025-10-31 (Price: 92.54)",No Exit Yet,"6.83%, 10 days","81.48%, Past 20 years, 27","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 98.86), 6.83% above",10 days,"2, 2024-08-31 (Price: 99.43)",2025-09-30 (Price: 90.36),2025-10-31 (Price: 92.54),33/10/10 days,9.41% above/6.83% above/6.83% above,2024-08-31 (Price: 100.5162)/2025-10-31 (Price: 88.7495),15.31%/0.84%/7.86%,"30.19%, 39.01%",1129 days/106 days/305 days,2030-04-23/2026-04-02/2027-01-15,1.99%,2.01%,-0.01%,0.18,-0.1,98.296/99.8136/96.67/No Horizontal Resistance/100.0174/110.0139,82.93/65.915/87.7591/70.617/No F-Track Level/No F-Track Level,90.45/88.68,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"VGT, Long, 2025-10-31 (Price: 793.21)",No Exit Yet,"-4.66%, 10 days","82.61%, Past 20 years, 23","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 756.26), 4.66% below",10 days,"0, 2020-10-31 (Price: 297.99)",2025-09-30 (Price: 746.63),2025-10-31 (Price: 793.21),33/10/10 days,1.29% above/4.66% below/4.66% below,2020-10-31 (Price: 398.3086)/2025-10-31 (Price: 692.9573),27.2%/4.39%/14.49%,"23.72%, 51.21%",434 days/84 days/188 days,2027-07-21/2026-03-01/2026-07-30,6.59%,13.32%,-6.73%,0.5,0.59,878.718/908.1461/1090.34/No Horizontal Resistance/946.1588/993.4664,542.38/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level,739.53/644.77,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"FRW.NZ, Long, 2025-10-31 (Price: 14.72)",No Exit Yet,"-6.86%, 10 days","95.65%, Past 20 years, 23","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 13.71), 6.86% below",10 days,"0, 2020-10-31 (Price: 8.4)",2025-08-31 (Price: 12.16),2025-10-31 (Price: 14.72),54/10/10 days,12.75% above/6.86% below/6.86% below,2020-10-31 (Price: 13.6522)/2025-10-31 (Price: 11.2035),25.1%/4.41%/14.42%,"3.66%, 17.71%",501 days/86 days/235 days,2027-10-26/2026-03-04/2026-10-06,10.04%,9.85%,0.19%,1.67,0.39,15.8122/16.8426/18.51/No Horizontal Resistance/16.2179/21.849,7.7/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level,13.01/11.41,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BDGI.TO, Long, 2025-10-31 (Price: 73.59)",No Exit Yet,"-2.77%, 10 days","89.66%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 71.55), 2.77% below",10 days,"10, 2019-12-31 (Price: 35.14)",2025-08-31 (Price: 57.63),2025-10-31 (Price: 73.59),54/10/10 days,24.15% above/2.77% below/2.77% below,2019-12-31 (Price: 41.6895)/2025-10-31 (Price: 55.5322),159.21%/3.87%/50.82%,"37.81%, 54.03%",413 days/106 days/179 days,2027-06-21/2026-04-02/2026-07-17,17.99%,19.81%,-1.82%,0.67,0.65,111.6287/110.9884/96.66/No Horizontal Resistance/63.2847/69.0016,35.88/24.32/58.5532/53.241/No F-Track Level/No F-Track Level,62.34/48.39,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"RY.TO, Long, 2025-10-31 (Price: 205.47)",No Exit Yet,"-0.0%, 10 days","78.95%, Past 20 years, 19","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 205.46), 0.0% below",10 days,"0, 2020-10-31 (Price: 93.16)",2025-08-31 (Price: 199.58),2025-10-31 (Price: 205.47),54/10/10 days,2.95% above/0.0% below/0.0% below,2020-10-31 (Price: 122.675)/2025-10-31 (Price: 192.005),16.93%/2.86%/10.78%,"16.54%, 21.22%",653 days/84 days/209 days,2028-06-02/2026-03-01/2026-08-29,5.05%,9.0%,-3.95%,0.4,0.37,220.0584/227.6197/272.86/No Horizontal Resistance/221.431/339.4883,162.1/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level,202.23/179.57,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"MSE.PA, Long, 2025-10-31 (Price: 62.93)",No Exit Yet,"0.62%, 10 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 63.32), 0.62% above",10 days,"10, 2020-10-31 (Price: 28.795)",2025-08-31 (Price: 59.41),2025-10-31 (Price: 62.93),54/10/10 days,6.58% above/0.62% above/0.62% above,2020-10-31 (Price: 38.3464)/2025-10-31 (Price: 58.9082),14.35%/2.24%/8.34%,"-0.0%, 28.4%",893 days/107 days/478 days,2029-05-16/2026-04-03/2027-09-23,5.98%,2.81%,3.17%,0.92,-0.0,63.9243/68.1784/83.41/No Horizontal Resistance/81.1364/117.7989,52.08/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level,61.21/59.09,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"^NZ50, Long, 2025-10-31 (Price: 13548.3203)",No Exit Yet,"-0.62%, 10 days","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 13464.46), 0.62% below",10 days,"0, 2020-10-31 (Price: 12084.4697)",2025-10-31 (Price: 13548.3203),2025-10-31 (Price: 13548.3203),10/10/10 days,0.62% below/0.62% below/0.62% below,2020-10-31 (Price: 13363.1815)/2025-10-31 (Price: 13251.3755),16.11%/2.05%/8.79%,"10.24%, 18.13%",304 days/130 days/205 days,2027-01-14/2026-05-07/2026-08-23,6.21%,8.68%,-2.47%,0.51,0.45,14269.0909/14739.2177/14426.63/No Horizontal Resistance/14773.8816/17170.3822,11903.31/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level,13260.08/12757.79,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"EFA, Long, 2025-10-31 (Price: 94.49)",No Exit Yet,"0.81%, 10 days","80.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-14 (Price: 95.26), 0.81% above",10 days,"2, 2023-06-30 (Price: 72.5)",2025-10-31 (Price: 94.49),2025-10-31 (Price: 94.49),10/10/10 days,0.81% above/0.81% above/0.81% above,2023-06-30 (Price: 74.0386)/2025-10-31 (Price: 93.6786),18.42%/4.43%/11.81%,"14.7%, 23.01%",391 days/84 days/167 days,2027-05-20/2026-03-01/2026-06-29,6.85%,3.37%,3.48%,0.51,0.03,101.6618/105.6493/107.68/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,75.61/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,93.4/87.2,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"CEN.NZ, Long, 2025-10-22 (Price: 9.45)",2025-11-14 (Price: 9.6) (Today),"1.59%, 17 days","70.27%, Past 4 years, 37","Daily, is CONFIRMED on 2025-10-22",Already confirmed,"2025-11-14 (Price: 9.6), 1.59% above",17 days,"0, 2024-01-08 (Price: 8.17)",2025-10-21 (Price: 9.3),2025-10-22 (Price: 9.45),18/17/17 days,3.23% above/1.59% above/1.59% above,2024-01-08 (Price: 10.5841)/2025-10-22 (Price: 9.1498),7.56%/1.51%/3.12%,"7.04%, 16.17%",78 days/5 days/26 days,2026-02-11/2025-10-29/2025-11-28,5.05%,4.18%,0.87%,0.27,0.12,9.5247/9.7448/10.22/No Horizontal Resistance/11.2606/15.4512,8.95/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level,9.11/9.12,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BDGI.TO, Long, 2025-10-12 (Price: 65.01)",2025-11-14 (Price: 71.55) (Today),"10.06%, 24 days","85.0%, Past 10 years, 60","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-11-14 (Price: 71.55), 10.06% above",24 days,"2, 2025-01-05 (Price: 35.97)",2025-10-12 (Price: 65.01),2025-10-12 (Price: 65.01),24/24/24 days,10.06% above/10.06% above/10.06% above,2025-01-05 (Price: 38.0844)/2025-10-12 (Price: 61.3659),22.6%/3.01%/13.6%,"47.14%, 54.37%",279 days/19 days/68 days,2026-11-20/2025-11-08/2026-01-18,9.3%,18.14%,-8.84%,0.3,0.62,71.1404/73.8514/82.43/No Horizontal Resistance/63.2847/70.6207,35.59/24.32/58.5532/50.7492/No F-Track Level/No F-Track Level,57.75/46.03,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"MAR, Long, 2025-10-06 (Price: 271.94)",2025-11-10 (Price: 290.47),"6.81%, 25 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2025-10-06",Already confirmed,"2025-11-14 (Price: 285.72), 5.07% above",29 days,"2, 2025-08-14 (Price: 266.55)",2025-10-03 (Price: 267.57),2025-10-06 (Price: 271.94),30/29/29 days,6.78% above/5.07% above/5.07% above,2025-08-14 (Price: 275.7983)/2025-10-06 (Price: 266.4736),20.78%/1.46%/5.76%,"-0.0%, 12.09%",62 days/4 days/17 days,2026-01-03/2025-10-11/2025-10-30,113.25%,11.5%,101.74%,0.99,0.41,284.0957/287.6037/275.17/276.35/372.972/399.3723,260.44/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level,265.39/264.7,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"PPH, Long, 2025-10-01 (Price: 94.26)",2025-11-14 (Price: 98.86) (Today),"4.88%, 32 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-10-01",Already confirmed,"2025-11-14 (Price: 98.86), 4.88% above",32 days,"0, 2023-12-13 (Price: 80.16)",2025-09-30 (Price: 90.36),2025-10-01 (Price: 94.26),33/32/32 days,9.41% above/4.88% above/4.88% above,2023-12-13 (Price: 101.8531)/2025-10-01 (Price: 89.7331),5.58%/0.68%/1.93%,"8.41%, 20.52%",87 days/4 days/29 days,2026-02-04/2025-10-06/2025-11-12,12.0%,7.54%,4.46%,0.55,0.28,95.3251/96.0792/102.72/No Horizontal Resistance/100.0174/110.0139,85.99/65.915/87.7591/70.617/No F-Track Level/No F-Track Level,87.67/88.07,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XIU.TO, Long, 2025-09-30 (Price: 44.77)",No Exit Yet,"1.21%, 33 days","100.0%, Past 26 years, 6","Quarterly, is CONFIRMED on 2025-09-30",Already confirmed,"2025-11-14 (Price: 45.31), 1.21% above",33 days,"6, 2015-03-31 (Price: 21.9)",2025-06-30 (Price: 40.41),2025-09-30 (Price: 44.77),99/33/33 days,12.13% above/1.21% above/1.21% above,2015-03-31 (Price: 20.8699)/2025-09-30 (Price: 38.3649),18.25%/10.98%/14.62%,"-0.0%, 12.24%",914 days/261 days/587 days,2029-05-15/2026-10-13/2028-01-28,10.51%,5.01%,5.5%,1.29,0.12,47.1965/51.3154/58.49/No Horizontal Resistance/53.8646/79.5406,20.65/28.235/37.996/28.1885/No F-Track Level/No F-Track Level,42.69/39.55,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
