Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-24 (Price: 200.28)",2025-12-04 (Price: 214.33),"7.02%, 10 days (calendar days)","71.43%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-12-09 (Price: 221.53), 10.61% above",15 days (calendar days),No Information,No Information,No Information,No Information,No Information,No Information,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days (calendar days)/3 days (business days)/7 days (business days),2025-12-22/2025-11-28/2025-12-04,-5.14%,28.08%,-33.22%,-0.21,0.86,225.9759/206.4687/216.22/No Horizontal Resistance/300.069/376.1425/212.4,198.76/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
DELTADRIFT,"ARM, Long, 2025-11-18 (Price: 136.04)",2025-12-05 (Price: 141.31),"3.87%, 17 days (calendar days)","80.0%, Past 2 years, 5","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-12-09 (Price: 141.93), 4.33% above",21 days (calendar days),No Information,No Information,No Information,No Information,No Information,No Information,13.24%/7.69%/10.84%,"19.77%, 19.77%",25 days (calendar days)/3 days (business days)/10 days (calendar days),2025-12-24/2025-11-22/2025-12-02,19.42%,56.91%,-37.49%,0.35,1.37,139.9035/150.7867/145.35/165.49/209.6611/292.8214/137.78,131.42/No Horizontal Support/122.7432/102.2246/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",2025-12-08 (Price: 179.74),"-7.23%, 26 days (calendar days)","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-12-09 (Price: 178.26), 7.99% below",27 days (calendar days),No Information,No Information,No Information,No Information,No Information,No Information,4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days (calendar days)/1 day (business days)/5 days (business days),2025-12-02/2025-11-13/2025-11-19,6.54%,8.52%,-1.98%,0.2,0.33,201.5775/198.9812/200.28/240.8933/293.2329/455.2123/242.34,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",2025-12-05 (Price: 673.42),"6.59%, 25 days (calendar days)","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-12-09 (Price: 656.96), 3.99% above",29 days (calendar days),No Information,No Information,No Information,No Information,No Information,No Information,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days (calendar days)/3 days (business days)/10 days (calendar days),2025-12-13/2025-11-14/2025-11-24,-75.0%,21.72%,-96.72%,-0.28,0.69,619.1248/679.5842/663.35/No Horizontal Resistance/842.484/1305.5879/671.33,No Recent Minima/280.19/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets)
DELTADRIFT,"META, Long, 2025-11-10 (Price: 631.76)",2025-12-04 (Price: 661.53),"4.71%, 24 days (calendar days)","75.0%, Past 4 years, 8","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-12-09 (Price: 656.96), 3.99% above",29 days (calendar days),No Information,No Information,No Information,No Information,No Information,No Information,14.76%/3.27%/8.73%,"19.19%, 19.41%",17 days (calendar days)/1 day (business days)/7 days (business days),2025-12-04/2025-11-11/2025-11-20,6.71%,17.48%,-10.77%,0.15,0.58,698.2212/686.9126/692.57/No Horizontal Resistance/842.484/1305.5879/671.33,618.94/280.19/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
OSCILLATOR DELTA,"NFLX, Long, 2025-10-31 (Price: 111.886)",2025-12-05 (Price: 100.24),"-10.41%, 1 day (business days)","86.21%, Past 6 years, 29","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-12-09 (Price: 96.71), 13.56% below",1 day (business days),No Information,No Information,No Information,No Information,No Information,No Information,13.15%/5.22%/7.5%,"35.12%, 35.12%",26 days (calendar days)/2 days (business days)/8 days (calendar days),2025-12-07/2025-11-02/2025-11-11,39.66%,24.78%,14.88%,0.1,0.78,114.5377/120.2774/117.48/No Horizontal Resistance/139.352/152.4292/113.39,No Recent Minima/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No EMA 200 Support,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",2025-12-09 (Price: 178.26) (Today),"-19.77%, 1 day (business days)","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2025-12-09 (Price: 178.26), 19.77% below",1 day (business days),No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.44%/5.83%,"0%, 11.31%",1.0 year (calendar days)/9 days (calendar days)/3.2 months (calendar days),2027-04-06/2025-11-01/2026-03-08,6.48%,10.95%,-4.47%,3.36,0.47,243.3538/235.1331/239.24/240.8933/293.2329/316.3836/242.34,212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,96.88%/32/2 days (business days) (Across ALL Assets),88.57%/105/2 days (business days) (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",2025-12-07 (Price: 3238.2),"6.93%, 1 day (business days)","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2025-12-09 (Price: 3208.3), 5.94% above",1 day (business days),No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.87%,"14.47%, 16.73%",19 days (calendar days)/14 days (calendar days)/16 days (calendar days),2025-11-08/2025-11-01/2025-11-04,4.81%,11.95%,-7.14%,0.07,0.46,3172.7499/3296.9102/3234.83/4543.575/5637.7577/6110.9256/3272.98,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,96.88%/32/2 days (business days) (Across ALL Assets),88.57%/105/2 days (business days) (Across ALL Assets)
PULSEGAUGE,"GS, Long, 2025-07-06 (Price: 723.68)",2025-12-09 (Price: 876.58) (Today),"21.13%, 5 days (business days)","100.0%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-12-09 (Price: 876.58), 21.13% above",5 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,22.69%/20.13%/21.19%,"-0.0%, 17.93%",11.3 months (calendar days)/9 days (calendar days)/3.3 months (calendar days),2026-11-09/2025-07-19/2025-11-24,37.88%,8.91%,28.97%,0.86,0.32,779.2586/877.0278/794.5775/No Horizontal Resistance/794.5775/931.1482/No EMA 200 Target,470.81/185.695/634.5288/521.2487/No F-Track Level/No F-Track Level/682.05,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets)
PULSEGAUGE,"FBU.NZ, Long, 2025-07-06 (Price: 3.08)",2025-12-09 (Price: 3.7) (Today),"20.13%, 5 days (business days)","82.35%, Past 24 years, 17","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-12-09 (Price: 3.7), 20.13% above",5 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,68.51%/21.85%/42.85%,"19.52%, 23.38%",2.7 years (calendar days)/2.0 month (calendar days)/8.8 months (calendar days),2029-05-23/2025-09-29/2026-07-24,17.57%,1.49%,16.08%,0.36,0.03,3.1244/4.3998/12.7156/7.985/12.7156/14.3053/3.2,2.94/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets)
PULSEGAUGE,"NA.TO, Long, 2025-07-06 (Price: 141.41)",2025-12-07 (Price: 170.76),"20.76%, 5 days (business days)","94.12%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-12-09 (Price: 172.78), 22.18% above",5 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,24.84%/20.45%/21.62%,"24.51%, 35.98%",8.0 months (calendar days)/1.3 month (calendar days)/4.1 months (calendar days),2026-06-17/2025-08-31/2025-12-29,22.55%,10.54%,12.01%,0.56,0.41,149.4562/171.9828/188.6608/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,112.96/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/139.63,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets)
PULSEGAUGE,"TD.TO, Long, 2025-07-06 (Price: 101.69)",2025-12-07 (Price: 122.2),"20.17%, 5 days (business days)","88.24%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-12-09 (Price: 123.47), 21.42% above",5 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,21.78%/20.27%/20.81%,"32.27%, 42.55%",1.4 year (calendar days)/19 days (calendar days)/8.4 months (calendar days),2027-07-27/2025-08-02/2026-07-07,7.2%,6.93%,0.27%,0.31,0.24,106.2254/122.8517/128.6672/No Horizontal Resistance/128.6672/152.0396/No EMA 200 Target,81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.89,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"ASHR, Long, 2025-06-30 (Price: 27.54)",2025-12-09 (Price: 33.05) (Today),"20.01%, 5 days (business days)","100.0%, Past 12 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-09 (Price: 33.05), 20.01% above",5 days (business days),No Information,No Information,No Information,"88.6% (Price: 23.1742), 42.62% above, Upmove Bounce Back","2024-02-29 (Price: 21.56), 2024-10-31 (Price: 35.72)",No Information,6.41%/6.41%/6.41%,"-0.0%, 12.65%",5.8 months (calendar days)/5.8 months (calendar days)/5.8 months (calendar days),2026-03-07/2026-03-07/2026-03-07,9.59%,2.03%,7.56%,0.36,0.04,28.6196/29.3053/36.04/39.9467/60.2967/80.3432/29.21,25.82/23.36/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-09 (Price: 80.46) (Today),"-0.24%, 5 days (business days)","90.91%, Past 18 years, 11","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-09 (Price: 80.46), 0.24% below",5 days (business days),No Information,No Information,No Information,"38.2% (Price: 76.5615), 5.09% above, Upmove Bounce Back","2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",No Information,2.15%/2.15%/2.15%,"3.95%, 5.88%",1.2 year (calendar days)/1.2 year (calendar days)/1.2 year (calendar days),2027-03-20/2027-03-20/2027-03-20,-0.69%,-1.4%,0.72%,-0.15,-0.53,80.2064/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.87,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"^DJI, Long, 2025-02-02 (Price: 44544.6602)",2025-12-07 (Price: 47954.9883),"7.66%, 10 days (calendar days)","100.0%, Past 20 years, 33","Weekly, was CONFIRMED on 2025-02-02",Already confirmed,"2025-12-09 (Price: 47560.2891), 6.77% above",10 days (calendar days),No Information,No Information,No Information,"23.66% (Price: 42057.8236), 13.08% above, Upmove Bounce Back","2023-10-29 (Price: 32327.1992), 2024-12-08 (Price: 45073.6289)",No Information,47.66%/0.85%/23.42%,"-0.0%, 50.73%",4.5 years (calendar days)/6.6 months (calendar days)/1.9 year (calendar days),2031-06-21/2025-11-17/2027-10-10,4.85%,7.58%,-2.73%,0.53,0.28,45310.8284/54977.0196/52192.52/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,41938.45/29171.1927/36151.8794/25040.9446/No F-Track Level/No F-Track Level/44070.96,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"RHHBY, Long, 2024-12-31 (Price: 34.88)",2025-12-09 (Price: 48.67) (Today),"39.54%, 11 days (calendar days)","100.0%, Past 24 years, 9","Quarterly, was CONFIRMED on 2024-12-31",Already confirmed,"2025-12-09 (Price: 48.67), 39.54% above",11 days (calendar days),No Information,No Information,No Information,"88.6% (Price: 29.4418), 65.31% above, Upmove Bounce Back","2018-06-30 (Price: 26.3), 2022-06-30 (Price: 53.86)",No Information,15.79%/12.77%/14.28%,"-0.0%, 30.62%",4.7 years (calendar days)/4.2 years (calendar days)/4.4 years (calendar days),2031-09-21/2030-12-12/2031-05-02,2.03%,6.19%,-4.16%,0.46,0.19,34.1824/39.8609/51.42/52.46/58.6089/65.2057/41.62,31.92/34.87/31.0544/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2023-06-30 (Price: 187.27)",2025-12-09 (Price: 251.39) (Today),"34.24%, 2 days (business days)","100.0%, Past 25 years, 8","Quarterly, was CONFIRMED on 2023-06-30",Already confirmed,"2025-12-09 (Price: 251.39), 34.24% above",2 days (business days),No Information,No Information,No Information,"38.2% (Price: 164.1636), 53.13% above, Upmove Bounce Back","2009-03-31 (Price: 34.26), 2021-12-31 (Price: 244.46)",No Information,56.32%/25.19%/40.76%,"-0.0%, 20.56%",2.0 year (calendar days)/2.0 year (calendar days)/2.0 year (calendar days),2026-05-02/2026-04-30/2026-04-30,11.21%,6.21%,5.0%,0.5,0.2,180.9028/263.6013/313.39/232.67/348.4025/539.5308/221.37,164.92/144.954/157.2742/112.1542/No F-Track Level/No F-Track Level/No EMA 200 Support,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"HDB, Long, 2025-12-09 (Price: 35.17)",No Exit Yet,"0.0%, 0 days (business days)","90.91%, Past 25 years, 22","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-09 (Price: 35.17), 0.0% below",0 days (business days),No Information,No Information,No Information,"38.2% (Price: 34.562), 1.76% above, Upmove Bounce Back","2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",No Information,165.72%/8.35%/65.32%,"32.26%, 39.31%",3.0 years (calendar days)/7.3 months (calendar days)/1.4 year (calendar days),2030-03-02/2026-10-20/2027-12-27,12.66%,17.02%,-4.36%,0.26,0.59,36.7456/58.143/43.41/39.3812/45.6752/50.9526/35.73,26.75/25.6925/29.7659/26.539/34.266/32.555/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-12-09 (Price: 492.02)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 20 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 464.89 prior to 2025-12-12,"2025-12-09 (Price: 492.02), 0.0% below",0 days (business days),No Information,No Information,No Information,"38.2% (Price: 474.9779), 3.59% above, Upmove Bounce Back","2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",No Information,75.24%/6.95%/27.72%,"-0.0%, 45.68%",4.7 years (calendar days)/1.6 month (calendar days)/1.2 year (calendar days),2032-08-05/2026-02-17/2027-08-29,7.14%,15.5%,-8.36%,0.64,0.6,500.3351/628.4079/618.42/554.585/574.7462/615.9561/No EMA 200 Target,472.12/216.39/452.6681/384.4933/474.9779/450.12/470.65,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"IHI, Long, 2025-12-09 (Price: 61.74)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 19 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 58.18 prior to 2025-12-31,"2025-12-09 (Price: 61.74), 0.0% below",0 days (business days),No Information,No Information,No Information,"38.2% (Price: 57.074), 8.18% above, Upmove Bounce Back","2023-10-31 (Price: 43.96), 2025-02-28 (Price: 65.18)",No Information,5.78%/5.78%/5.78%,"-0.0%, 6.3%",6.5 months (calendar days)/6.5 months (calendar days)/6.5 months (calendar days),2026-09-17/2026-09-17/2026-09-17,7.62%,10.75%,-3.13%,0.39,0.47,61.3387/65.3086/74.47/66.34/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,45.26/46.725/No F-Stack Support/No F-Stack Support/No support/No support/60.9,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2025-12-09 (Price: 221.62)",No Exit Yet,"0.0%, 0 days (business days)","92.31%, Past 20 years, 39","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 194.28 prior to 2025-12-12,"2025-12-09 (Price: 221.62), 0.0% below",0 days (business days),No Information,No Information,No Information,"38.2% (Price: 194.2708), 14.08% above, Upmove Bounce Back","2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",No Information,321.33%/1.73%/83.55%,"17.29%, 82.02%",4.9 years (calendar days)/1.8 month (calendar days)/1.3 year (calendar days),2032-12-07/2026-02-25/2027-09-27,10.38%,12.12%,-1.74%,0.52,0.48,243.2058/406.7835/335.98/No Horizontal Resistance/269.2327/283.8155/No EMA 200 Target,151.14/72.6533/210.12/167.5998/No support/194.2708/154.22,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"XLV, Long, 2025-12-09 (Price: 149.96)",No Exit Yet,"0.0%, 0 days (business days)","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-12-09 (Price: 149.96), 0.0% below",0 days (business days),No Information,No Information,No Information,"23.66% (Price: 126.9868), 18.09% above, Upmove Bounce Back","2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",No Information,307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years (calendar days)/10.3 years (calendar days)/10.3 years (calendar days),2040-09-04/2040-09-04/2040-09-04,8.26%,6.44%,1.82%,0.48,0.22,146.5109/610.4872/232.77/No Horizontal Resistance/174.1807/202.706/No EMA 200 Target,24.21/121.1/117.2225/81.225/No support/No support/139.85,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"TCS.NS, Long, 2025-12-09 (Price: 3208.3)",No Exit Yet,"0.0%, 0 days (business days)","90.91%, Past 21 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-09 (Price: 3208.3), 0.0% below",0 days (business days),No Information,No Information,No Information,"50% (Price: 2809.1), 14.21% above, Upmove Bounce Back","2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",No Information,375.83%/7.31%/87.63%,"10.18%, 12.85%",1.9 year (calendar days)/7.9 months (calendar days)/1.1 year (calendar days),2028-08-08/2026-11-18/2027-06-26,21.36%,19.52%,1.84%,0.36,0.61,3126.1675/6019.7333/5348.08/4543.575/No Next Fib Ext/No Next Fib Ext/3272.98,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/No support/3116.0412/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-09 (Price: 38.06)",No Exit Yet,"0.0%, 0 days (business days)","92.86%, Past 24 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-09 (Price: 38.06), 0.0% below",0 days (business days),No Information,No Information,No Information,"23.66% (Price: 34.9549), 8.88% above, Upmove Bounce Back","2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",No Information,338.94%/27.3%/113.16%,"1.22%, 45.89%",7.8 years (calendar days)/7.9 months (calendar days)/2.6 years (calendar days),2037-02-22/2026-11-18/2029-08-22,11.44%,13.21%,-1.77%,0.39,0.49,38.9316/81.1287/49.59/39.1438/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,33.54/22.5167/No F-Stack Support/No F-Stack Support/35.1507/31.8879/36.17,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2025-12-09 (Price: 11.7)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-12-09 (Price: 11.7), 0.0% below",0 days (business days),No Information,No Information,No Information,"38.2% (Price: 9.2141), 26.98% above, Upmove Bounce Back","2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",No Information,103.41%/23.86%/63.63%,"-0.0%, 22.42%",2.7 years (calendar days)/2.0 year (calendar days)/2.4 years (calendar days),2029-10-25/2028-10-12/2029-04-18,13.15%,12.57%,0.58%,0.46,0.51,13.4632/19.1447/18.18/11.925/13.8771/15.9169/No EMA 200 Target,2.72/7.3167/11.3804/9.6206/No support/No support/11.35,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"SUM.NZ, Long, 2025-12-09 (Price: 11.94)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-09 (Price: 11.94), 0.0% below",0 days (business days),No Information,No Information,No Information,"50% (Price: 10.74), 11.17% above, Upmove Bounce Back","2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",No Information,21.12%/21.12%/21.12%,"-0.0%, 38.76%",2.0 year (calendar days)/2.0 year (calendar days)/2.0 year (calendar days),2028-10-13/2028-10-13/2028-10-13,7.04%,16.47%,-9.43%,0.34,0.57,11.7931/14.4617/15.18/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/No support/11.3772/11.41,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"BDGI.TO, Long, 2025-12-09 (Price: 78.3)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-12-09 (Price: 78.3), 0.0% below",0 days (business days),No Information,No Information,No Information,"61.8% (Price: 33.6027), 133.02% above, Upmove Bounce Back","2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",No Information,35.15%/35.15%/35.15%,"-0.0%, 52.34%",3.1 years (calendar days)/3.1 years (calendar days)/3.1 years (calendar days),2030-05-01/2030-05-01/2030-05-01,7.18%,12.22%,-5.04%,0.42,0.42,82.1524/105.8224/95.68/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.0264/61.4733/52.95,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"CNQ.TO, Long, 2025-12-09 (Price: 46.67)",No Exit Yet,"0.0%, 0 days (business days)","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-12-09 (Price: 46.67), 0.0% below",0 days (business days),No Information,No Information,No Information,"38.2% (Price: 35.7534), 30.53% above, Upmove Bounce Back","2001-12-31 (Price: 2.1976), 2024-06-30 (Price: 56.495)",No Information,880.76%/124.37%/387.49%,"-0.0%, 59.43%",5.8 years (calendar days)/4.5 years (calendar days)/5.3 years (calendar days),2034-03-19/2032-05-28/2033-06-08,12.07%,13.02%,-0.95%,0.46,0.46,48.9988/227.5116/79.25/51.51/57.5622/59.9244/No EMA 200 Target,42.8/34.9317/44.0597/41.1349/No support/No support/43.2,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"MX.TO, Long, 2025-12-09 (Price: 54.14)",No Exit Yet,"0.0%, 0 days (business days)","85.71%, Past 33 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 36.1 prior to 2025-12-31,"2025-12-09 (Price: 54.14), 0.0% below",0 days (business days),No Information,No Information,No Information,"61.8% (Price: 36.7101), 47.48% above, Upmove Bounce Back","2020-03-31 (Price: 13.24), 2023-03-31 (Price: 74.68)",No Information,68.59%/44.74%/56.66%,"40.03%, 69.12%",5.4 years (calendar days)/2.0 year (calendar days)/3.7 years (calendar days),2033-09-09/2028-10-12/2031-03-28,4.14%,4.51%,-0.37%,0.3,0.25,56.1973/84.8157/91.0/73.435/118.0011/153.5474/No EMA 200 Target,45.09/38.425/47.9234/44.2912/No support/No support/49.03,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
