"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ACWX, Long, 2025-10-26 (Price: 66.54)",No Exit Yet,"-0.29%, 4 days","77.78%, Past 10 years, 9","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 66.35), 0.29% below",4 days,"2, 2025-05-11 (Price: 57.9)",2025-10-26 (Price: 66.54),2025-10-26 (Price: 66.54),4/4/4 days,0.29% below/0.29% below/0.29% below,2025-05-11 (Price: 59.6284)/2025-10-26 (Price: 66.0755),5.27%/2.19%/3.79%,"7.49%, 23.65%",169 days/19 days/65 days,2026-06-27/2025-11-22/2026-01-28,4.24%,2.94%,1.3%,0.41,-0.0,68.4564/69.0619/71.72/No Horizontal Resistance/69.6679/76.9985,51.22/45.07/61.9685/307.3483/No F-Track Level/No F-Track Level,64.47/59.25,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"^BVSP, Long, 2025-10-26 (Price: 146172.0)",No Exit Yet,"2.3%, 4 days","91.67%, Past 10 years, 12","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 149540.4375), 2.3% above",4 days,"0, 2021-07-04 (Price: 127622.0)",2025-10-19 (Price: 143399.0),2025-10-24 (Price: 146172.0),9/5/4 days,4.28% above/2.3% above/2.3% above,2021-07-04 (Price: 122214.0)/2025-10-26 (Price: 143016.2727),11.93%/0.88%/5.42%,"9.52%, 33.57%",119 days/19 days/54 days,2026-04-16/2025-11-22/2026-01-12,7.2%,4.99%,2.21%,0.75,0.14,153422.1312/154094.5224/157302.0/No Horizontal Resistance/173653.968/192289.6,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level,142372.54/134509.56,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"DIA, Long, 2025-10-26 (Price: 472.21)",No Exit Yet,"0.73%, 4 days","100.0%, Past 10 years, 9","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 475.67), 0.73% above",4 days,"0, 2021-07-04 (Price: 347.94)",2025-10-19 (Price: 461.78),2025-10-24 (Price: 472.21),9/5/4 days,3.01% above/0.73% above/0.73% above,2021-07-04 (Price: 360.4022)/2025-10-26 (Price: 455.6319),6.15%/1.18%/3.37%,"-0.0%, 8.54%",194 days/14 days/87 days,2026-08-02/2025-11-15/2026-03-01,5.84%,9.92%,-4.08%,1.38,0.44,495.3955/488.1235/546.77/No Horizontal Resistance/538.1343/826.9871,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level,459.87/435.91,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"EFN.TO, Long, 2025-10-26 (Price: 37.71)",No Exit Yet,"0.32%, 4 days","90.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 37.83), 0.32% above",4 days,"8, 2023-12-24 (Price: 21.16)",2025-10-12 (Price: 36.73),2025-10-26 (Price: 37.71),14/4/4 days,2.99% above/0.32% above/0.32% above,2023-12-24 (Price: 23.4385)/2025-10-26 (Price: 36.5305),26.0%/1.9%/8.8%,"54.81%, 76.43%",64 days/24 days/44 days,2026-01-26/2025-11-29/2025-12-28,2.64%,15.84%,-13.2%,0.1,0.55,41.481/41.0285/47.64/No Horizontal Resistance/45.1741/70.5281,36.01/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level,36.79/32.61,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"MSE.PA, Long, 2025-10-26 (Price: 63.0002)",No Exit Yet,"-0.11%, 4 days","100.0%, Past 10 years, 7","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 62.93), 0.11% below",4 days,"2, 2025-05-11 (Price: 58.41)",2025-10-19 (Price: 62.29),2025-10-26 (Price: 63.0002),9/4/4 days,1.03% above/0.11% below/0.11% below,2025-05-11 (Price: 60.3079)/2025-10-26 (Price: 61.523),9.25%/1.32%/3.91%,"0%, 5.26%",89 days/19 days/44 days,2026-03-03/2025-11-22/2025-12-28,7.04%,4.86%,2.18%,1.51,0.13,67.9268/65.4635/65.75/No Horizontal Resistance/81.1364/117.7989,57.29/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level,60.95/58.9,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"UPS, Long, 2025-10-26 (Price: 87.22)",No Exit Yet,"10.55%, 4 days","72.73%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 96.42), 10.55% above",4 days,"4, 2024-09-29 (Price: 134.26)",2025-10-19 (Price: 86.41),2025-10-26 (Price: 87.22),9/4/4 days,11.58% above/10.55% above/10.55% above,2024-09-29 (Price: 153.0472)/2025-10-26 (Price: 84.9372),5.87%/2.75%/4.29%,"54.87%, 55.03%",209 days/19 days/75 days,2026-08-24/2025-11-22/2026-02-11,-7.73%,1.5%,-9.23%,-0.31,0.0,84.4377/90.9617/115.44/221.2667/228.7501/295.6013,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,85.54/100.59,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"SUM.NZ, Long, 2025-10-24 (Price: 11.9)",No Exit Yet,"-2.52%, 5 days","100.0%, Past 4 years, 9","Daily, is CONFIRMED on 2025-10-24",Already confirmed,"2025-10-31 (Price: 11.6), 2.52% below",5 days,"0, 2024-01-10 (Price: 10.77)",2025-10-23 (Price: 11.7),2025-10-24 (Price: 11.9),6/5/5 days,0.85% below/2.52% below/2.52% below,2024-01-10 (Price: 14.7429)/2025-10-24 (Price: 11.6547),8.54%/0.69%/5.09%,"0%, 11.81%",133 days/4 days/22 days,2026-05-04/2025-10-29/2025-11-24,14.49%,9.01%,5.48%,1.83,0.33,12.802/12.5057/12.58/13.345/19.8479/26.5969,10.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level,11.05/11.53,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"^BVSP, Long, 2025-10-23 (Price: 145721.0)",2025-10-30 (Price: 148780.0),"2.1%, 5 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2025-10-23",Already confirmed,"2025-10-31 (Price: 149540.4375), 2.62% above",6 days,"8, 2025-03-31 (Price: 130260.0)",2025-10-22 (Price: 144873.0),2025-10-23 (Price: 145721.0),7/6/6 days,3.22% above/2.62% above/2.62% above,2025-03-31 (Price: 139064.0371)/2025-10-23 (Price: 144249.3284),5.29%/0.72%/2.9%,"4.47%, 18.35%",127 days/5 days/19 days,2026-04-24/2025-10-30/2025-11-19,8.66%,5.34%,3.32%,0.71,0.17,154478.8321/149946.909/154997.6/No Horizontal Resistance/173653.968/192289.6,140680.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level,142175.92/134377.61,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"XLU, Long, 2025-10-19 (Price: 91.57)",No Exit Yet,"-2.7%, 9 days","81.25%, Past 10 years, 16","Weekly, is CONFIRMED on 2025-10-17",Already confirmed,"2025-10-31 (Price: 89.1), 2.7% below",9 days,"2, 2025-02-09 (Price: 78.14)",2025-10-12 (Price: 90.2),2025-10-19 (Price: 91.57),14/9/9 days,1.22% below/2.7% below/2.7% below,2025-02-09 (Price: 78.7842)/2025-10-19 (Price: 89.9532),13.08%/2.24%/5.73%,"9.77%, 32.06%",334 days/24 days/102 days,2027-02-14/2025-11-22/2026-03-15,4.22%,6.68%,-2.46%,0.54,0.23,93.7677/96.817/99.63/No Horizontal Resistance/98.9717/144.4725,83.47/59.52/70.8508/53.4708/No F-Track Level/No F-Track Level,86.57/81.47,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"^NSEI, Long, 2025-10-19 (Price: 25709.8496)",No Exit Yet,"0.05%, 9 days","100.0%, Past 10 years, 12","Weekly, is CONFIRMED on 2025-10-17",Already confirmed,"2025-10-31 (Price: 25722.0996), 0.05% above",9 days,"0, 2021-06-27 (Price: 15860.3496)",2025-10-19 (Price: 25709.8496),2025-10-17 (Price: 25709.8496),9/10/9 days,0.05% above/0.05% above/0.05% above,2021-06-27 (Price: 24928.3552)/2025-10-19 (Price: 25136.613),6.98%/1.59%/4.63%,"0%, 12.99%",194 days/19 days/72 days,2026-07-26/2025-11-15/2026-01-31,7.62%,9.75%,-2.13%,2.59,0.43,27370.7059/26900.2156/31619.55/25973.3496/No Next Fib Ext/No Next Fib Ext,24363.3/15428.8669/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,24929.73/24230.32,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"UPS, Long, 2025-10-17 (Price: 86.41)",2025-10-29 (Price: 97.4),"12.72%, 8 days","84.62%, Past 4 years, 13","Daily, is CONFIRMED on 2025-10-17",Already confirmed,"2025-10-31 (Price: 96.42), 11.58% above",10 days,"10, 2024-09-19 (Price: 132.13)",2025-10-16 (Price: 85.64),2025-10-17 (Price: 86.41),11/10/10 days,12.59% above/11.58% above/11.58% above,2024-09-19 (Price: 154.2939)/2025-10-17 (Price: 85.1984),14.16%/0.81%/3.54%,"11.16%, 24.75%",94 days/4 days/16 days,2026-03-02/2025-10-22/2025-11-09,7.18%,-5.7%,12.88%,0.3,-0.19,89.901/89.4689/113.84/221.2667/228.7501/295.6013,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,85.55/101.52,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"ACWX, Long, 2025-10-06 (Price: 66.37)",2025-10-29 (Price: 66.88),"0.77%, 17 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2025-10-06",Already confirmed,"2025-10-31 (Price: 66.35), 0.03% below",19 days,"2, 2025-07-21 (Price: 61.21)",2025-10-02 (Price: 65.72),2025-10-06 (Price: 66.37),21/19/19 days,0.96% above/0.03% below/0.03% below,2025-07-21 (Price: 62.2056)/2025-10-06 (Price: 65.8552),3.3%/0.75%/1.98%,"1.94%, 13.84%",37 days/8 days/19 days,2025-11-28/2025-10-17/2025-11-02,6.91%,5.5%,1.41%,0.85,0.16,67.3324/67.6841/69.47/No Horizontal Resistance/69.6679/76.9985,64.1/45.07/61.9685/307.3483/No F-Track Level/No F-Track Level,63.27/58.32,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"^GSPC, Long, 2025-10-01 (Price: 6711.2002)",2025-10-29 (Price: 6890.5898),"2.67%, 20 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2025-10-01",Already confirmed,"2025-10-31 (Price: 6840.2002), 1.92% above",22 days,"6, 2025-04-28 (Price: 5528.75)",2025-10-01 (Price: 6711.2002),2025-10-01 (Price: 6711.2002),22/22/22 days,1.92% above/1.92% above/1.92% above,2025-04-28 (Price: 5993.8039)/2025-10-01 (Price: 6671.3843),3.77%/0.5%/1.57%,"0%, 4.01%",33 days/6 days/11 days,2025-11-17/2025-10-09/2025-10-16,8.25%,13.66%,-5.41%,1.44,0.58,6944.75/6816.566/7420.67/No Horizontal Resistance/6767.7249/9765.5661,6370.17/4106.4632/6316.2337/5433.2046/No F-Track Level/No F-Track Level,6482.75/6024.36,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"NVDA, Long, 2025-09-21 (Price: 176.67)",2025-10-26 (Price: 186.26),"5.43%, 24 days","81.82%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-10-31 (Price: 202.49), 14.61% above",29 days,"0, 2021-05-30 (Price: 16.2445)",2025-09-21 (Price: 176.67),2025-09-19 (Price: 176.67),29/30/29 days,14.61% above/14.61% above/14.61% above,2021-05-30 (Price: 72.5117)/2025-09-21 (Price: 168.4859),43.5%/2.57%/15.86%,"7.69%, 65.96%",419 days/24 days/91 days,2027-05-20/2025-10-25/2026-01-30,10.33%,51.48%,-41.15%,0.86,1.44,191.4926/204.6899/272.93/No Horizontal Resistance/239.8943/283.6698,167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level,175.55/140.9,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"TSM, Long, 2025-09-21 (Price: 264.87)",2025-10-19 (Price: 295.08),"11.41%, 19 days","90.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-10-31 (Price: 300.43), 13.43% above",29 days,"2, 2024-10-20 (Price: 200.78)",2025-09-14 (Price: 259.33),2025-09-21 (Price: 264.87),34/29/29 days,15.85% above/13.43% above/13.43% above,2024-10-20 (Price: 213.0129)/2025-09-21 (Price: 256.7031),40.88%/5.34%/14.87%,"3.63%, 21.69%",189 days/29 days/60 days,2026-06-21/2025-11-02/2025-12-16,15.56%,23.68%,-8.12%,1.14,0.87,307.4081/304.2562/303.32/No Horizontal Resistance/274.027/334.306,146.8/83.575/233.1074/217.8566/No F-Track Level/No F-Track Level,242.0/205.22,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"BAC, Long, 2025-09-19 (Price: 52.25)",2025-10-30 (Price: 53.03),"1.49%, 29 days","76.92%, Past 4 years, 13","Daily, is CONFIRMED on 2025-09-19",Already confirmed,"2025-10-31 (Price: 53.45), 2.3% above",30 days,"2, 2025-07-22 (Price: 47.77)",2025-09-19 (Price: 52.25),2025-09-19 (Price: 52.25),30/30/30 days,2.3% above/2.3% above/2.3% above,2025-07-22 (Price: 48.8523)/2025-09-19 (Price: 51.9538),3.57%/0.71%/2.18%,"13.24%, 27.96%",123 days/6 days/38 days,2026-03-16/2025-09-27/2025-11-13,1.4%,8.97%,-7.57%,-0.05,0.33,51.7797/53.3891/54.94/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,49.46/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,48.47/44.96,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
"RY.TO, Long, 2025-08-31 (Price: 199.58)",2025-10-19 (Price: 204.27),"2.35%, 34 days","78.95%, Past 10 years, 19","Weekly, is CONFIRMED on 2025-08-29",Already confirmed,"2025-10-31 (Price: 205.47), 2.95% above",44 days,"2, 2025-03-16 (Price: 160.0)",2025-08-17 (Price: 188.5),2025-08-31 (Price: 199.58),54/44/44 days,9.0% above/2.95% above/2.95% above,2025-03-16 (Price: 172.3728)/2025-08-31 (Price: 187.0658),11.01%/0.59%/5.4%,"10.15%, 19.83%",189 days/9 days/55 days,2026-05-31/2025-09-13/2025-11-18,6.85%,9.02%,-2.17%,0.57,0.38,210.2176/210.3573/223.33/No Horizontal Resistance/221.431/339.4883,157.28/108.18/148.4673/103.3737/No F-Track Level/No F-Track Level,182.88/173.31,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"FRW.NZ, Long, 2025-08-24 (Price: 12.1)",2025-10-19 (Price: 13.15),"8.68%, 39 days","100.0%, Past 10 years, 8","Weekly, is CONFIRMED on 2025-08-22",Already confirmed,"2025-10-31 (Price: 14.72), 21.65% above",49 days,"2, 2025-02-09 (Price: 10.97)",2025-08-17 (Price: 11.56),2025-08-24 (Price: 12.1),54/49/49 days,27.34% above/21.65% above/21.65% above,2025-02-09 (Price: 11.5339)/2025-08-24 (Price: 11.4713),16.8%/0.23%/6.39%,"0%, 36.82%",249 days/14 days/112 days,2026-08-19/2025-09-13/2026-02-02,7.28%,9.67%,-2.39%,0.98,0.38,12.5041/12.8732/12.78/12.9875/16.2179/21.849,10.0/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level,11.27/10.79,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"NVDA, Long, 2025-07-27 (Price: 173.5)",2025-10-26 (Price: 186.26),"7.35%, 64 days","81.82%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-07-25",Already confirmed,"2025-10-31 (Price: 202.49), 16.71% above",69 days,"0, 2021-04-04 (Price: 13.8118)",2025-07-27 (Price: 173.5),2025-07-25 (Price: 173.5),69/70/69 days,16.71% above/16.71% above/16.71% above,2021-04-04 (Price: 69.0993)/2025-07-27 (Price: 165.0734),43.5%/2.57%/15.86%,"7.69%, 65.96%",419 days/24 days/91 days,2027-03-25/2025-08-30/2025-12-05,10.33%,51.48%,-41.15%,0.86,1.44,188.0567/201.0171/269.31/No Horizontal Resistance/176.5924/239.8943,94.31/13.9695/152.8996/143.3288/No F-Track Level/No F-Track Level,150.36/133.66,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"NVDA, Long, 2025-07-20 (Price: 172.41)",2025-10-19 (Price: 183.22),"6.27%, 64 days","81.82%, Past 10 years, 11","Weekly, is CONFIRMED on 2025-07-18",Already confirmed,"2025-10-31 (Price: 202.49), 17.45% above",74 days,"0, 2021-03-28 (Price: 12.8392)",2025-07-20 (Price: 172.41),2025-07-18 (Price: 172.41),74/75/74 days,17.45% above/17.45% above/17.45% above,2021-03-28 (Price: 68.6728)/2025-07-20 (Price: 164.6469),43.5%/2.57%/15.86%,"7.69%, 65.96%",419 days/24 days/91 days,2027-03-18/2025-08-23/2025-11-28,10.33%,51.48%,-41.15%,0.86,1.44,186.8752/199.7542/268.15/No Horizontal Resistance/176.5924/239.8943,94.31/13.9695/152.8996/143.3288/No F-Track Level/No F-Track Level,145.31/132.41,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"CAD=X, Long, 2025-07-20 (Price: 1.3736)",2025-10-19 (Price: 1.4046),"2.26%, 64 days","72.41%, Past 10 years, 29","Weekly, is CONFIRMED on 2025-07-18",Already confirmed,"2025-10-31 (Price: 1.401), 1.99% above",74 days,"2, 2025-02-02 (Price: 1.4493)",2025-07-06 (Price: 1.3573),2025-07-20 (Price: 1.3736),84/74/74 days,3.22% above/1.99% above/1.99% above,2025-02-02 (Price: 1.4849)/2025-07-20 (Price: 1.3517),8.62%/0.73%/2.73%,"7.3%, 12.49%",334 days/19 days/95 days,2026-11-15/2025-08-16/2025-12-04,-0.59%,1.92%,-2.51%,0.22,-0.31,1.3754/1.4111/1.42/1.3894/No Next Fib Ext/No Next Fib Ext,1.36/1.2341/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,1.37/1.4,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"GOOG, Long, 2025-05-31 (Price: 172.85)",2025-10-31 (Price: 281.82) (Today),"63.04%, 109 days","85.71%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2025-10-31 (Price: 281.82), 63.04% above",109 days,"10, 2020-05-31 (Price: 71.446)",2025-05-31 (Price: 172.85),2025-05-31 (Price: 172.85),109/109/109 days,63.04% above/63.04% above/63.04% above,2020-05-31 (Price: 149.423)/2025-05-31 (Price: 157.2888),39.1%/1.54%/23.19%,"3.21%, 17.45%",412 days/76 days/164 days,2027-01-17/2025-09-18/2026-01-23,11.85%,23.51%,-11.66%,1.08,0.83,208.1633/212.9339/233.69/No Horizontal Resistance/219.0619/240.3589,156.23/85.8978/138.1748/130.09/No F-Track Level/No F-Track Level,161.79/172.82,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"PFE, Long, 2025-03-02 (Price: 26.43)",2025-10-31 (Price: 24.65) (Today),"-6.73%, 174 days","85.71%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-02-28",Already confirmed,"2025-10-31 (Price: 24.65), 6.73% below",174 days,"0, 2020-11-08 (Price: 34.5351)",2025-02-16 (Price: 25.53),2025-02-28 (Price: 26.43),184/175/174 days,3.45% below/6.73% below/6.73% below,2020-11-08 (Price: 74.7985)/2025-03-02 (Price: 24.8849),20.77%/0.69%/7.46%,"6.51%, 19.5%",304 days/19 days/78 days,2026-05-16/2025-03-29/2025-06-22,8.51%,2.67%,5.84%,0.88,0.03,28.629/28.4017/31.29/55.39/66.4672/73.1352,25.53/25.2625/21.508/20.5265/No F-Track Level/No F-Track Level,26.3/27.82,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"PFE, Long, 2024-12-29 (Price: 26.62)",2025-10-31 (Price: 24.65) (Today),"-7.4%, 219 days","85.71%, Past 10 years, 14","Weekly, is CONFIRMED on 2024-12-27",Already confirmed,"2025-10-31 (Price: 24.65), 7.4% below",219 days,"4, 2022-11-06 (Price: 47.22)",2024-12-22 (Price: 26.36),2024-12-29 (Price: 26.62),224/219/219 days,6.49% below/7.4% below/7.4% below,2022-11-06 (Price: 55.9968)/2024-12-29 (Price: 25.164),20.77%/0.69%/7.46%,"6.51%, 19.5%",304 days/19 days/78 days,2026-03-14/2025-01-25/2025-04-20,8.51%,2.67%,5.84%,0.88,0.03,28.8348/28.6059/38.98/55.39/66.4672/73.1352,24.8/24.84/21.508/20.5265/No F-Track Level/No F-Track Level,26.67/27.95,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"AAPL, Long, 2024-12-08 (Price: 242.84)",2025-10-19 (Price: 252.29),"3.89%, 224 days","87.5%, Past 10 years, 8","Weekly, is CONFIRMED on 2024-12-06",Already confirmed,"2025-10-31 (Price: 270.37), 11.34% above",234 days,"10, 2022-08-21 (Price: 171.52)",2024-11-24 (Price: 229.87),2024-12-08 (Price: 242.84),244/234/234 days,17.62% above/11.34% above/11.34% above,2022-08-21 (Price: 172.8919)/2024-12-08 (Price: 229.3724),18.76%/0.65%/11.8%,"5.42%, 26.3%",119 days/24 days/53 days,2025-05-29/2025-01-11/2025-02-22,10.27%,22.37%,-12.1%,1.2,0.83,280.5288/271.4951/285.63/No Horizontal Resistance/294.7231/309.0801,165.0/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level,230.39/207.31,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"BNS.TO, Long, 2024-09-30 (Price: 73.69)",2025-10-31 (Price: 91.99) (Today),"24.83%, 284 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2025-10-31 (Price: 91.99), 24.83% above",284 days,"0, 2019-09-30 (Price: 75.25)",2024-08-31 (Price: 67.27),2024-09-30 (Price: 73.69),304/284/284 days,36.75% above/24.83% above/24.83% above,2019-09-30 (Price: 123.536)/2024-09-30 (Price: 64.496),20.44%/4.28%/14.08%,"0%, 26.01%",719 days/152 days/296 days,2027-08-07/2025-05-08/2025-12-02,6.51%,5.64%,0.87%,2.46,0.16,83.675/84.0656/74.63/81.0275/92.969/100.7509,56.15/54.1533/69.3218/61.3348/No F-Track Level/No F-Track Level,66.97/65.1,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"ORCL, Long, 2024-09-30 (Price: 170.4)",2025-10-31 (Price: 262.61) (Today),"54.11%, 284 days","85.71%, Past 20 years, 7","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2025-10-31 (Price: 262.61), 54.11% above",284 days,"0, 2019-09-30 (Price: 55.03)",2024-09-30 (Price: 170.4),2024-09-30 (Price: 170.4),284/284/284 days,54.11% above/54.11% above/54.11% above,2019-09-30 (Price: 79.91)/2024-09-30 (Price: 138.6433),81.93%/7.78%/27.53%,"3.23%, 28.67%",458 days/87 days/222 days,2026-07-25/2025-02-03/2025-08-17,10.12%,8.42%,1.7%,0.8,0.31,182.8562/217.3111/239.62/No Horizontal Resistance/145.7273/152.3597,61.07/54.8525/117.4897/106.3198/No F-Track Level/No F-Track Level,145.55/126.67,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"FPH.NZ, Long, 2024-06-30 (Price: 30.08)",2025-09-30 (Price: 37.05),"23.17%, 326 days","100.0%, Past 23 years, 6","Quarterly, is CONFIRMED on 2024-06-30",Already confirmed,"2025-10-31 (Price: 37.1), 23.34% above",349 days,"2, 2020-06-30 (Price: 35.6)",2024-03-31 (Price: 25.65),2024-06-30 (Price: 30.08),414/349/349 days,44.64% above/23.34% above/23.34% above,2020-06-30 (Price: 38.7936)/2024-06-30 (Price: 24.3355),111.71%/7.3%/50.4%,"0%, 48.03%",1425 days/316 days/734 days,2030-02-22/2025-09-30/2027-05-29,16.77%,14.17%,2.6%,1.18,0.51,50.5164/45.2403/33.39/37.034/38.8108/40.9296,18.5/22.675/28.7839/26.1935/No F-Track Level/No F-Track Level,29.0/24.75,83.33%/6/698 days (Across ALL Assets),100.0%/1/154 days (Across ALL Assets)
"SFTBY, Long, 2024-03-31 (Price: 29.71)",2025-10-31 (Price: 87.9) (Today),"195.86%, 414 days","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2025-10-31 (Price: 87.9), 195.86% above",414 days,"0, 2019-03-31 (Price: 24.325)",2024-01-31 (Price: 21.6),2024-03-28 (Price: 29.71),457/416/414 days,306.94% above/195.86% above/195.86% above,2019-03-31 (Price: 68.9948)/2024-03-31 (Price: 19.4431),36.66%/13.53%/21.4%,"49.17%, 64.04%",434 days/11 days/235 days,2025-12-19/2024-04-15/2025-03-06,0.6%,12.79%,-12.19%,0.1,0.43,27.3273/36.0679/32.94/33.06/52.6237/57.2421,16.86/16.82/28.6536/144.0247/No F-Track Level/No F-Track Level,27.07/23.29,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
