Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-12-04 (Price: 178.88)",Daily,No Exit Yet,No Price Target,2026-01-25 (Avg),23.82%/25.48%,"-18.35%, 1.8 month","2026-01-27 (Price: 146.06), 18.35% below",190.5072 (Historic Rise or Fall to Pivot)/188.468 (Avg % Gain of Historic Winning trades)/192.3 (Function Specific Target)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/183.27 (EMA 200)/197.8949 (Backtested Max)/180.8477 (Backtested Min),2026-04-26 (Max),170.26/125.3967/176.1333/151.1683/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.19%, Past 4 years, 27",175.09,No Information,No Information,No Information,No Information,No Information,15.84% below/18.35% below/18.35% below,10.63%/1.1%/5.36%,"12.05%, 47.61%",3.3 months/7 days/1.2 month,5.65%,6.41%,-0.76%,0.33,0.34,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",Quarterly,No Exit Yet,348.2242 (F-Stack 1),No Date Target,13.22%/14.46%,"16.58%, 27 days","2026-01-27 (Price: 351.08), 16.58% above",401.8546 (Historic Rise or Fall to Pivot)/444.9491 (Avg % Gain of Historic Winning trades)/463.42 (Function Specific Target)/411.0319 (F-Stack 2)/525.5369 (Backtested Max)/397.4879 (Backtested Min),2030-09-16 (Max)/2027-11-08 (Min)/2028-09-16 (Avg),106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,"100.0%, Past 24 years, 7",269.38,No Information,No Information,No Information,No Information,No Information,16.58% above/16.58% above/16.58% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,16.0%,8.74%,7.26%,0.66,0.45,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
BAND MATRIX,"SOXX, Long, 2025-11-18 (Price: 276.98)",Daily,No Exit Yet,348.2242 (F-Stack 1)/358.1351 (Backtested Max),No Date Target,17.08%,"26.75%, 2.3 months","2026-01-27 (Price: 351.08), 26.75% above",411.0319 (F-Stack 2),2028-01-09 (Max)/2026-02-08 (Min)/2026-07-19 (Avg),271.99/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/258.68,"77.78%, Past 5 years, 9",279.54,No Information,No Information,No Information,No Information,No Information,No Information,29.3%/10.91%/18.92%,"16.66%, 41.67%",1.5 year/1.9 month/5.6 months,20.73%,12.97%,7.76%,0.76,0.63,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",Monthly,No Exit Yet,3.9375 (Historic Rise or Fall to Pivot),No Date Target,4.45%/9.9%,"15.73%, 4 months","2026-01-27 (Price: 3.9), 15.73% above",4.0737 (Avg % Gain of Historic Winning trades)/4.39 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.286 (Backtested Max),2026-06-22 (Max)/2026-05-05 (Min)/2026-05-18 (Avg),2.83/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.1,"100.0%, Past 20 years, 10",3.13,No Information,No Information,No Information,No Information,No Information,23.81% above/15.73% above/15.73% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",Monthly,No Exit Yet,3.9609 (Historic Rise or Fall to Pivot),No Date Target,5.07%/8.97%,"15.04%, 11.1 months","2026-01-27 (Price: 3.9), 15.04% above",4.0978 (Avg % Gain of Historic Winning trades)/4.25 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.3114 (Backtested Max),No Next Date Target,2.83/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"100.0%, Past 20 years, 10",2.85,No Information,No Information,No Information,No Information,No Information,36.84% above/15.04% above/15.04% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",Monthly,2026-01-27 (Price: 430.9) (Today),No Price Target,No Date Target,13.75%/100.56%,"24.37%, 8 months","2026-01-27 (Price: 430.9), 24.37% above",864.2098 (Historic Rise or Fall to Pivot)/490.132 (F-Stack 2),No Next Date Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,"83.33%, Past 20 years, 6",280.01,No Information,No Information,No Information,No Information,No Information,52.71% above/24.37% above/24.37% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,26.29%,28.82%,-2.53%,0.27,1.04,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
BAND MATRIX,"SPY, Long, 2025-03-23 (Price: 563.98)",Weekly,No Exit Yet,691.72 (Function Specific Target),No Date Target,2.87%/17.73%,"23.32%, 10.3 months","2026-01-27 (Price: 695.49), 23.32% above",818.7862 (Avg % Gain of Historic Winning trades)/969.1148 (F-Stack 2)/949.5167 (Backtested Max)/715.465 (Backtested Min),2029-12-07 (Max)/2027-10-17 (Min)/2029-01-28 (Avg),562.81/321.605/415.8599/285.255/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",562.79,No Information,No Information,No Information,No Information,No Information,No Information,68.36%/26.86%/45.18%,"-0.0%, 21.14%",3.3 years/1.8 year/2.7 years,12.5%,8.26%,4.24%,1.34,0.55,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
DELTADRIFT,"NFLX, Long, 2025-12-28 (Price: 94.47)",Weekly,No Exit Yet,No Price Target,2026-01-27 (Min),26.6%/27.32%,"-9.41%, 1 month","2026-01-27 (Price: 85.58), 9.41% below",108.9617 (Historic Rise or Fall to Pivot)/109.708 (Avg % Gain of Historic Winning trades)/109.33 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/112.96 (EMA 200)/110.9834 (Backtested Max)/108.3476 (Backtested Min),2026-06-06 (Max)/2026-04-02 (Avg),94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 15 years, 5",94.71,No Information,No Information,No Information,No Information,No Information,No Information,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,0.19%,16.51%,-16.32%,-0.04,0.71,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,No Exit Yet,251.3512 (F-Stack 2)/250.5189 (Backtested Min),No Date Target,35.72%/57.04%,"42.95%, 6 months","2026-01-27 (Price: 252.03), 42.95% above",342.059 (Historic Rise or Fall to Pivot)/395.7983 (Avg % Gain of Historic Winning trades)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-09-21 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"100.0%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,127.61% above/42.95% above/42.95% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",Monthly,2026-01-27 (Price: 631.13) (Today),No Price Target,No Date Target,1.47%/2.86%,"10.65%, 5 months","2026-01-27 (Price: 631.13), 10.65% above",649.1722 (Historic Rise or Fall to Pivot)/640.3881 (Avg % Gain of Historic Winning trades)/735.71 (Function Specific Target)/836.2536 (F-Stack 2)/664.2308 (Backtested Max),2026-11-17 (Max)/2026-04-05 (Min)/2026-07-18 (Avg),468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,"100.0%, Past 20 years, 14",558.83,No Information,No Information,No Information,No Information,No Information,10.65% above/10.65% above/10.65% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,8.4%,6.82%,1.58%,1.2,0.37,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
DELTADRIFT,"RELIANCE.NS, Long, 2026-01-12 (Price: 1483.2)",Daily,No Exit Yet,No Price Target,2026-01-25 (Avg),8.78%/10.48%,"-6.92%, 15 days","2026-01-27 (Price: 1380.5), 6.92% below",1536.5952 (Historic Rise or Fall to Pivot)/1525.1746 (Avg % Gain of Historic Winning trades)/1530.88 (Function Specific Target)/1531.725 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1552.4654 (Backtested Max)/1501.74 (Backtested Min),2026-02-04 (Max),1470.6/1025.8126/1375.0525/1288.3015/No F-Track Level/No F-Track Level/1441.03,"72.73%, Past 4 years, 11",1475.3,No Information,No Information,No Information,No Information,No Information,No Information,4.67%/1.25%/2.83%,"6.81%, 6.81%",16 days/4 days/9 days,4.15%,6.83%,-2.68%,0.09,0.37,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
SIGMASHELL,"HDB, Long, 2025-10-01 (Price: 33.8)",Daily,No Exit Yet,No Price Target,2026-01-26 (Avg),19.07%/20.35%,"-4.02%, 3.9 months","2026-01-27 (Price: 32.44), 4.02% below",40.717 (Function Specific Target)/39.042 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/38.6266 (Backtested Max),2026-05-14 (Max),31.89/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 5 years, 10",34.7,"-5.35, 69.32%",No Information,No Information,No Information,No Information,No Information,14.28%/3.41%/7.62%,"4.9%, 29.32%",5.2 months/1.1 month/2.7 months,15.6%,11.87%,3.73%,0.95,0.57,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
BAND MATRIX,"TCS.NS, Long, 2022-05-22 (Price: 3293.0)",Weekly,2026-01-25 (Price: 3162.5),No Price Target,No Date Target,67.08%/80.26%,"-4.1%, 3.7 years","2026-01-27 (Price: 3158.0), 4.1% below",5692.579 (F-Stack 2)/5276.3739 (Backtested Max),No Next Date Target,3167.45/1228.9625/3006.8346/2637.2425/No F-Track Level/No F-Track Level/3217.51,"100.0%, Past 15 years, 5",3415.0,No Information,No Information,No Information,No Information,No Information,No Information,60.23%/7.63%/25.48%,"-0.0%, 23.27%",2.1 years/5.1 months/1 year,11.64%,8.39%,3.25%,0.89,0.46,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
BAND MATRIX,"BTI, Long, 2025-09-24 (Price: 52.38)",Daily,No Exit Yet,60.3994 (Avg % Gain of Historic Winning trades),No Date Target,25.84%/36.27%,"15.2%, 4.2 months","2026-01-27 (Price: 60.34), 15.2% above",82.226 (F-Stack 1)/92.0468 (F-Stack 2)/75.93 (Backtested Max),2026-08-28 (Max)/2026-03-29 (Avg),46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level/51.97,"87.5%, Past 5 years, 8",52.64,No Information,No Information,No Information,No Information,No Information,No Information,44.96%/1.83%/15.31%,"6.64%, 12.43%",7.8 months/1.2 month/4.3 months,22.59%,5.81%,16.78%,0.7,0.3,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets)
BAND MATRIX,"CNQ.TO, Long, 2025-05-31 (Price: 41.67)",Monthly,No Exit Yet,50.5707 (Historic Rise or Fall to Pivot),No Date Target,3.41%/32.17%,"19.53%, 8 months","2026-01-27 (Price: 49.81), 19.53% above",235.1188 (Avg % Gain of Historic Winning trades)/142.84 (Function Specific Target)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/510.8617 (Backtested Max)/72.0683 (Backtested Min),2040-07-18 (Max)/2028-11-02 (Min)/2035-04-06 (Avg),39.56/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 53 years, 4",39.51,No Information,No Information,No Information,No Information,No Information,No Information,1125.97%/72.95%/464.24%,"-0.0%, 59.73%",10.6 years/2.4 years/6.9 years,17.87%,10.02%,7.85%,0.63,0.5,No Data (Across ALL Assets),100.0%/2/0 days (Across ALL Assets)
BAND MATRIX,"COIN, Long, 2025-08-05 (Price: 297.99)",Daily,No Exit Yet,No Price Target,2026-01-28 (Avg),105.81%/113.4%,"-29.25%, 5.8 months","2026-01-27 (Price: 210.83), 29.25% below",433.9032 (Avg % Gain of Historic Winning trades)/449.909 (F-Stack 1)/643.0255 (F-Stack 2)/867.4787 (Backtested Max),2026-08-05 (Max)/2026-01-28 (Avg),241.05/86.505/286.5304/189.7902/No F-Track Level/No F-Track Level/290.58,"75.0%, Past 4 years, 8",307.11,No Information,No Information,No Information,No Information,No Information,No Information,191.11%/0.19%/45.61%,"82.54%, 85.28%",8.4 months/1.6 month/4.1 months,-8.78%,-3.19%,-5.59%,0.22,0.39,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets)
SIGMASHELL,"TRI.TO, Long, 2025-11-04 (Price: 206.63)",Daily,No Exit Yet,No Price Target,2026-01-25 (Avg),29.25%/29.65%,"-21.89%, 2.8 months","2026-01-27 (Price: 161.4), 21.89% below",209.2542 (Historic Rise or Fall to Pivot)/226.4871 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/231.02 (EMA 200)/234.0705 (Backtested Max)/208.6136 (Backtested Min),2026-02-11 (Max),No Recent Minima/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 5 years, 10",221.1,"-3.94, 62.5%",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/9.61%,"5.24%, 12.83%",2.3 months/1.2 month/1.9 month,11.85%,6.18%,5.67%,0.52,0.33,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2026-01-14 (Price: 184.93)",Daily,2026-01-22 (Price: 198.25),205.29 (Function Specific Target)/201.7401 (Backtested Max),No Date Target,No Next Target,"9.83%, 13 days","2026-01-27 (Price: 203.1), 9.83% above",No Next Target,2026-07-24 (Max)/2026-02-26 (Avg),145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/135.01,"78.95%, Past 4 years, 19",183.95,No Information,No Information,No Information,No Information,No Information,13.85% above/9.83% above/9.83% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,12.04%,18.03%,-5.99%,0.06,0.87,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
BAND MATRIX,"TFII.TO, Long, 2025-03-09 (Price: 120.45)",Weekly,No Exit Yet,No Price Target,2026-01-28 (Min),27.95%/49.4%,"22.25%, 10.8 months","2026-01-27 (Price: 147.25), 22.25% above",248.392 (Avg % Gain of Historic Winning trades)/188.4 (Function Specific Target)/219.9933 (Horizontal)/292.119 (F-Stack 1)/470.5571 (F-Stack 2)/501.9272 (Backtested Max),2031-10-01 (Max)/2026-01-28 (Min)/2028-03-08 (Avg),95.06/116.3/113.6809/71.5572/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",131.6,No Information,No Information,No Information,No Information,No Information,No Information,316.71%/21.67%/106.22%,"-0.0%, 44.98%",4.6 years/7.5 months/2.1 years,21.18%,11.14%,10.04%,0.59,0.57,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-01-14 (Price: 5.63)",Daily,No Exit Yet,5.7116 (Backtested Min),No Date Target,0.35%/1.75%,"1.42%, 13 days","2026-01-27 (Price: 5.71), 1.42% above",5.8282 (Historic Rise or Fall to Pivot)/5.8349 (Avg % Gain of Historic Winning trades)/5.81 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/5.73 (EMA 200)/6.0224 (Backtested Max),2027-01-09 (Max)/2026-02-11 (Min)/2026-05-20 (Avg),5.55/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,"93.94%, Past 4 years, 33",5.61,No Information,No Information,No Information,No Information,No Information,1.42% above/1.42% above/1.42% above,6.97%/1.45%/3.64%,"6.51%, 16.22%",8.3 months/20 days/2.9 months,15.17%,1.53%,13.64%,0.66,0.09,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,No Exit Yet,No Price Target,2026-01-30 (Min),7.18%/8.28%,"11.36%, 2.9 months","2026-01-27 (Price: 88.65), 11.36% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/113.3487 (Backtested Max)/95.9858 (Backtested Min),2031-09-06 (Max)/2026-01-30 (Min)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/79.38,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 18.38% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",Monthly,2025-12-31 (Price: 9.4),No Price Target,2026-01-25 (Max),8.94%/16.06%,"8.94%, 1.3 year","2026-01-27 (Price: 9.5), 8.94% above",10.3489 (Avg % Gain of Historic Winning trades)/11.0256 (Backtested Max),No Next Date Target,7.18/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/7.84,"100.0%, Past 20 years, 6",8.47,No Information,No Information,No Information,No Information,No Information,11.24% above/8.94% above/8.94% above,26.44%/7.23%/18.68%,"-0.0%, 15.86%",11.1 months/5.1 months/8.1 months,14.78%,5.28%,9.5%,1.0,0.27,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-01-26 (Price: 11.92)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),2.93%/3.98%,"-1.59%, 1 day","2026-01-27 (Price: 11.73), 1.59% below",12.0738 (Historic Rise or Fall to Pivot)/12.3694 (Avg % Gain of Historic Winning trades)/12.22 (Function Specific Target)/12.6867 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/12.572 (Backtested Max)/12.1965 (Backtested Min),2026-04-22 (Max)/2026-02-22 (Avg),11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.5,"71.43%, Past 4 years, 14",11.95,No Information,No Information,No Information,No Information,No Information,No Information,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,5.72%,-0.28%,6.0%,0.18,-0.09,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2026-01-07 (Price: 40.04)",Daily,2026-01-26 (Price: 42.91),No Price Target,No Date Target,12.01%/69.8%,"6.64%, 20 days","2026-01-27 (Price: 42.7), 6.64% above",47.83 (Function Specific Target)/72.5033 (Horizontal),2026-04-29 (Max)/2026-02-06 (Avg),37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/39.27,"96.0%, Past 4 years, 25",39.7,No Information,No Information,No Information,No Information,No Information,6.67% above/6.64% above/6.64% above,7.25%/0.53%/3.58%,"0.46%, 22.19%",2.6 months/7 days/21 days,16.78%,-4.47%,21.25%,1.28,-0.0,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"GBPUSD=X, Long, 2025-11-23 (Price: 1.3085)",Weekly,No Exit Yet,1.3721 (Avg % Gain of Historic Winning trades),No Date Target,3.09%/4.06%,"4.52%, 2.2 months","2026-01-27 (Price: 1.3677), 4.52% above",1.41 (Function Specific Target)/1.4232 (Horizontal)/2.4421 (F-Stack 1)/3.2078 (F-Stack 2)/1.4565 (Backtested Max),2030-01-13 (Max)/2026-11-01 (Min)/2028-06-18 (Avg),1.22/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 13",1.3157,No Information,No Information,No Information,"38.2% (Price: 1.3144), 4.06% above, Upmove Bounce Back","2025-01-19 (Price: 1.2101), 2025-07-06 (Price: 1.3789)",No Information,11.31%/1.1%/4.86%,"-0.0%, 8.98%",2.9 years/7.9 months/1.8 year,4.18%,-1.02%,5.2%,0.37,-0.58,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
DELTADRIFT,"JPM, Short, 2025-10-31 (Price: 311.12)",Monthly,No Exit Yet,300.9735 (F-Stack 1),2026-01-25 (Min),-58.12%/-4.26%,"3.47%, 2.9 months","2026-01-27 (Price: 300.31), 3.47% below",291.0839 (Avg % Gain of Historic Winning trades)/125.7575 (Horizontal)/287.5071 (F-Stack 2)/292.15 (EMA 200),2026-03-10 (Max)/2026-02-12 (Avg),No support/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 45 years, 5",313.97,No Information,No Information,No Information,No Information,No Information,No Information,7.59%/5.25%/6.44%,"20.94%, 8.48%",3 months/2 months/2.4 months,2.69%,4.88%,-2.19%,-0.03,0.32,No Data (Across ALL Assets),25.0%/4/0 days (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-12-31 (Price: 93.76)",Quarterly,2026-01-27 (Price: 85.58) (Today),No Price Target,No Date Target,-73.07%/-59.26%,"8.72%, 27 days","2026-01-27 (Price: 85.58), 8.72% below",66.1196 (Avg % Gain of Historic Winning trades)/23.05 (Function Specific Target)/34.8663 (Horizontal)/77.567 (F-Stack 2),2026-05-14 (Max)/2026-05-10 (Min)/2026-05-10 (Min),No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,"100.0%, Past 23 years, 6",117.549,No Information,No Information,No Information,"23.66% (Price: 106.2331), 19.44% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,11.77%,5.5%,6.27%,1.3,0.88,0.0%/1/0 days (Across ALL Assets),53.33%/15/0 days (Across ALL Assets)
DELTADRIFT,"TD.TO, Short, 2025-11-30 (Price: 117.65)",Monthly,No Exit Yet,No Price Target,2026-01-29 (Avg),-43.55%/-36.09%,"-10.85%, 1.9 month","2026-01-27 (Price: 130.42), 10.85% above",106.4144 (Historic Rise or Fall to Pivot)/111.8734 (Avg % Gain of Historic Winning trades)/109.14 (Function Specific Target)/73.6233 (Horizontal)/101.1064 (F-Stack 1)/83.3451 (F-Stack 2)/107.0 (EMA 200)/127.9914 (Backtested Max)/120.3442 (Backtested Min),2026-02-24 (Max)/2026-01-29 (Avg),No Recent Maxima/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 54 years, 6",115.02,No Information,No Information,No Information,No Information,No Information,No Information,8.79%/2.29%/4.91%,"0.0%, 10.3%",2 months/1 month/1.4 month,5.19%,4.88%,0.31%,1.28,0.43,No Data (Across ALL Assets),25.0%/4/0 days (Across ALL Assets)
