Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
DELTADRIFT,"MEL.NZ, Long, 2025-12-15 (Price: 5.46)",2025-12-16 (Price: 5.6),"2.56%, 1 day","83.33%, Past 4 years, 6","Daily, was CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 5.53), 1.28% above",4 days,No Information,No Information,No Information,No Information,No Information,No Information,4.7%/2.65%/3.63%,"5.86%, 6.64%",23 days/6 days/13 days,2026-01-17/2025-12-23/2026-01-02,8.78%,3.44%,5.34%,0.55,0.16,5.8586/5.6582/5.76/6.825/7.4565/8.4213/5.72,5.44/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),
TRENDPULSE,"WMT, Long, 2025-12-14 (Price: 116.7)",No Exit Yet,"-2.01%, 5 days","86.36%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-19 (Price: 114.36), 2.01% below",5 days,No Information,No Information,No Information,No Information,No Information,3.48% above/2.01% below/2.01% below,10.45%/2.48%/5.29%,"1.31%, 24.69%",1.5 year/28 days/5.7 months,2028-02-04/2026-01-23/2026-08-18,8.78%,8.74%,0.04%,1.42,0.53,124.1221/122.8734/156.43/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,101.18/42.3916/85.5556/53.2582/No F-Track Level/No F-Track Level/98.71,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"MFT.NZ, Long, 2025-12-14 (Price: 67.4)",No Exit Yet,"1.28%, 5 days","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-19 (Price: 68.26), 1.28% above",5 days,No Information,No Information,No Information,No Information,No Information,1.28% above/1.5% above/1.28% above,13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-08-31/2026-01-23/2026-06-23,9.15%,10.41%,-1.26%,1.17,0.61,72.5831/71.3496/70.16/85.45/105.252/119.9356/No EMA 200 Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.86,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"TD.TO, Long, 2025-12-14 (Price: 125.8)",No Exit Yet,"1.74%, 5 days","90.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-19 (Price: 127.99), 1.74% above",5 days,No Information,No Information,No Information,No Information,No Information,1.74% above/3.66% above/1.74% above,12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,2028-07-09/2026-01-23/2026-07-06,7.49%,5.65%,1.84%,1.01,0.31,134.9205/134.0776/141.61/No Horizontal Resistance/128.6672/152.0396/No EMA 200 Target,81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/100.5,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
FRACTAL TRACK,"MSFT, Long, 2025-12-14 (Price: 478.53)",No Exit Yet,"1.54%, 5 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2025-12-14",Already confirmed,"2025-12-19 (Price: 485.92), 1.54% above",5 days,No Information,No Information,No Information,"38.2% (Price: 474.9779), 2.3% above, Upmove Bounce Back","2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",No Information,25.02%/6.95%/15.92%,"0%, 45.68%",3.7 years/1.4 month/11.4 months,2031-03-27/2026-02-12/2027-04-23,11.58%,10.65%,0.93%,3.32,0.59,511.6443/554.712/604.93/554.585/553.3726/615.9924/No EMA 200 Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/474.02,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),
TRENDPULSE,"ABNB, Long, 2025-12-11 (Price: 128.0)",2025-12-17 (Price: 133.78),"4.52%, 6 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-19 (Price: 135.28), 5.69% above",8 days,No Information,No Information,No Information,No Information,No Information,6.04% above/5.69% above/5.69% above,13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-04-29/2025-12-19/2026-01-17,10.28%,-2.98%,13.26%,0.22,0.05,127.3216/137.152/142.44/178.025/223.5359/256.334/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.69,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"ABNB, Long, 2025-12-10 (Price: 127.57)",2025-12-17 (Price: 133.78),"4.87%, 7 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-19 (Price: 135.28), 6.04% above",9 days,No Information,No Information,No Information,No Information,No Information,7.89% above/6.04% above/6.04% above,13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-04-28/2025-12-18/2026-01-16,10.28%,-2.98%,13.26%,0.22,0.05,126.8939/136.6913/140.59/178.025/223.5359/256.334/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.77,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
DELTADRIFT,"TCEHY, Long, 2025-12-10 (Price: 77.33)",2025-12-19 (Price: 79.06) (Today),"2.24%, 9 days","77.78%, Past 4 years, 9","Daily, was CONFIRMED on 2025-12-10",Already confirmed,"2025-12-19 (Price: 79.06), 2.24% above",9 days,No Information,No Information,No Information,No Information,No Information,No Information,10.88%/4.05%/5.86%,"19.68%, 19.68%",22 days/2 days/7 days,2026-01-10/2025-12-12/2025-12-20,7.25%,5.28%,1.97%,0.13,0.31,85.6352/81.8615/83.75/No Horizontal Resistance/91.9947/116.3817/No EMA 200 Target,77.31/36.36/76.6795/58.4956/No F-Track Level/No F-Track Level/72.0,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),
TRENDPULSE,"WMT, Long, 2025-12-04 (Price: 114.84)",2025-12-17 (Price: 115.66),"0.71%, 13 days","100.0%, Past 4 years, 23","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-19 (Price: 114.36), 0.42% below",15 days,No Information,No Information,No Information,No Information,No Information,0.04% below/0.42% below/0.42% below,4.8%/0.97%/2.87%,"-0.0%, 26.01%",2.6 months/6 days/21 days,2026-03-26/2025-12-12/2026-01-03,12.68%,12.5%,0.18%,2.03,0.74,120.3179/118.1359/121.73/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,100.61/42.3916/85.5556/53.2582/No F-Track Level/No F-Track Level/98.14,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"WMT, Long, 2025-12-03 (Price: 114.41)",2025-12-17 (Price: 115.66),"1.09%, 14 days","100.0%, Past 4 years, 23","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-19 (Price: 114.36), 0.04% below",16 days,No Information,No Information,No Information,No Information,No Information,0.04% below/0.04% below/0.04% below,4.8%/0.97%/2.87%,"-0.0%, 26.01%",2.6 months/6 days/21 days,2026-03-25/2025-12-11/2026-01-02,12.68%,12.5%,0.18%,2.03,0.74,119.8674/117.6936/123.47/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,100.61/42.3916/85.5556/53.2582/No F-Track Level/No F-Track Level/98.09,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-30 (Price: 1007.6)",No Exit Yet,"-2.19%, 19 days","80.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 985.5), 2.19% below",19 days,No Information,No Information,No Information,No Information,No Information,2.19% below/2.19% below/2.19% below,23.14%/5.97%/13.11%,"11.13%, 17.76%",9.1 months/5 months/6.2 months,2026-12-30/2026-07-05/2026-08-26,11.02%,13.41%,-2.39%,0.59,0.75,1218.9945/1139.6964/1179.9/1009.6/1098.0619/1305.7899/No EMA 200 Target,701.7/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",No Exit Yet,"1.36%, 19 days","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 47.06), 1.36% above",19 days,No Information,No Information,No Information,No Information,No Information,5.12% above/3.72% above/1.36% above,12.69%/8.05%/10.4%,"6.95%, 19.49%",1.2 year/4 months/8.4 months,2027-08-17/2026-05-22/2026-11-30,6.01%,3.56%,2.45%,0.45,0.12,51.0823/51.2587/56.48/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"IEI, Long, 2025-11-30 (Price: 120.26)",No Exit Yet,"-0.77%, 19 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 119.34), 0.77% below",19 days,No Information,No Information,No Information,No Information,No Information,0.77% below/0.62% below/0.77% below,1.93%/1.13%/1.45%,"15.13%, 15.6%",11.2 months/6.1 months/8.1 months,2027-03-31/2026-08-22/2026-11-16,1.43%,0.7%,0.73%,-0.36,-0.87,123.3146/122.0038/120.65/129.9625/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,112.29/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/118.54,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"XLV, Long, 2025-11-30 (Price: 157.65)",No Exit Yet,"-1.72%, 19 days","76.19%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 154.94), 1.72% below",19 days,No Information,No Information,No Information,No Information,No Information,11.33% above/2.41% below/1.72% below,17.42%/3.05%/8.57%,"20.84%, 36.99%",2.7 years/4.1 months/1.1 year,2029-10-07/2026-05-25/2027-06-26,4.12%,5.06%,-0.94%,0.26,0.28,171.87/171.1606/159.83/No Horizontal Resistance/174.1807/202.706/No EMA 200 Target,130.43/120.178/153.114/117.2225/No F-Track Level/No F-Track Level/139.6,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"^NSEI, Long, 2025-11-30 (Price: 26202.9492)",No Exit Yet,"-0.9%, 19 days","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 25966.4004), 0.9% below",19 days,No Information,No Information,No Information,No Information,No Information,0.9% below/0.35% above/0.9% below,12.44%/2.54%/7.03%,"-0.0%, 10.7%",1.6 year/6 months/11.3 months,2028-03-13/2026-08-17/2027-04-05,7.14%,6.55%,0.59%,0.81,0.36,28760.357/28045.0165/26438.21/No Horizontal Resistance/33071.3292/48196.8152/No EMA 200 Target,22124.7/15428.8669/23723.236/17945.8431/No F-Track Level/No F-Track Level/24578.35,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"CSCO, Long, 2025-11-30 (Price: 76.94)",No Exit Yet,"1.92%, 19 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 78.42), 1.92% above",19 days,No Information,No Information,No Information,No Information,No Information,7.26% above/1.34% above/1.92% above,25.25%/6.97%/16.52%,"26.7%, 42.44%",1.3 year/5 months/8.9 months,2027-10-08/2026-07-05/2026-12-21,3.74%,1.95%,1.79%,0.29,0.11,86.8268/89.6505/97.29/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,46.5/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/66.03,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
TRENDPULSE,"NA.TO, Long, 2025-11-30 (Price: 168.95)",No Exit Yet,"4.19%, 19 days","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 176.03), 4.19% above",19 days,No Information,No Information,No Information,No Information,No Information,12.34% above/4.19% above/4.19% above,28.7%/8.86%/18.76%,"5.23%, 30.62%",1.5 year/5.1 months/9.5 months,2028-01-21/2026-07-09/2027-01-16,8.11%,7.36%,0.75%,1.24,0.44,185.2199/200.645/227.16/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,118.77/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),
FRACTAL TRACK,"WIPRO.NS, Long, 2025-11-30 (Price: 249.53)",No Exit Yet,"5.98%, 19 days","77.78%, Past 80 years, 9","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 264.45), 5.98% above",19 days,No Information,No Information,No Information,"61.8% (Price: 232.7652), 13.61% above, Upmove Bounce Back","2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",No Information,30.71%/20.0%/24.36%,"25.41%, 60.52%",1.9 year/5.1 months/11.6 months,2028-08-16/2026-07-09/2027-04-18,6.46%,15.61%,-9.15%,0.44,0.63,293.597/310.3155/338.69/366.6625/412.2037/473.5829/252.49,239.37/187.6062/216.7036/198.5041/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
FRACTAL TRACK,"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",No Exit Yet,"-0.15%, 19 days","90.0%, Past 48 years, 10","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-19 (Price: 1565.1), 0.15% below",19 days,No Information,No Information,No Information,"23.66% (Price: 1322.8731), 18.31% above, Upmove Bounce Back","2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",No Information,42.5%/21.29%/26.97%,"6.47%, 28.2%",1.6 year/2 months/7.2 months,2028-03-13/2026-02-24/2026-10-08,11.26%,13.7%,-2.44%,1.21,0.63,2292.7823/1990.2548/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1410.64,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",2025-12-16 (Price: 157.61),"2.7%, 18 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-19 (Price: 164.88), 7.43% above",21 days,No Information,No Information,No Information,No Information,No Information,10.34% above/7.43% above/7.43% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-06-07/2025-12-06/2026-01-10,12.04%,18.03%,-5.99%,0.06,0.87,165.2105/161.2049/155.78/No Horizontal Resistance/180.0371/199.4231/No EMA 200 Target,139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"WPM, Long, 2025-11-28 (Price: 110.05)",2025-12-16 (Price: 114.44),"3.99%, 18 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-19 (Price: 119.7), 8.77% above",21 days,No Information,No Information,No Information,No Information,No Information,12.12% above/8.77% above/8.77% above,15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-05-12/2025-12-03/2026-01-23,22.59%,17.13%,5.46%,1.09,0.81,118.5899/116.9831/111.75/No Horizontal Resistance/132.4733/148.0295/No EMA 200 Target,99.27/38.3375/99.8674/92.8869/No F-Track Level/No F-Track Level/90.49,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"GDX, Long, 2025-11-26 (Price: 81.55)",2025-12-16 (Price: 84.83),"4.02%, 20 days","95.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-12-19 (Price: 87.79), 7.65% above",23 days,No Information,No Information,No Information,No Information,No Information,12.84% above/7.65% above/7.65% above,10.29%/0.8%/7.01%,"16.5%, 30.61%",3.7 months/4 days/26 days,2026-05-05/2025-12-01/2026-01-02,15.68%,13.51%,2.17%,0.9,0.64,87.0546/87.2667/84.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,72.97/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/57.17,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"XLF, Long, 2025-11-12 (Price: 53.67)",2025-12-16 (Price: 54.64),"1.81%, 1.1 month","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-12-19 (Price: 54.84), 2.18% above",1.2 month,No Information,No Information,No Information,No Information,No Information,3.06% above/2.18% above/2.18% above,4.58%/1.0%/2.45%,"10.45%, 16.27%",3.9 months/4 days/1 month,2026-04-30/2025-11-17/2025-12-25,10.61%,6.55%,4.06%,0.71,0.34,55.3284/54.9849/53.68/No Horizontal Resistance/70.6138/110.4396/No EMA 200 Target,52.09/30.1167/45.9996/No support/No F-Track Level/No F-Track Level/51.34,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
FRACTAL TRACK,"IWM, Long, 2025-11-11 (Price: 244.24)",2025-12-17 (Price: 247.24),"1.23%, 1.2 month","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-11",Already confirmed,"2025-12-19 (Price: 250.79), 2.68% above",1.3 month,No Information,No Information,No Information,"23.66% (Price: 233.5959), 7.36% above, Upmove Bounce Back","2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",No Information,13.11%/0.65%/9.22%,"-0.0%, 28.11%",3.9 years/1.9 month/11.3 months,2031-06-06/2026-02-01/2027-03-17,14.39%,3.76%,10.63%,1.95,0.16,234.6169/266.7589/292.86/244.72/267.7701/348.4025/No EMA 200 Target,240.35/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/223.01,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",2025-12-17 (Price: 314.98),"0.5%, 1.4 month","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-12-19 (Price: 317.21), 1.21% above",1.4 month,No Information,No Information,No Information,No Information,No Information,2.57% above/1.21% above/1.21% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,2026-03-29/2025-11-14/2025-12-02,17.37%,9.85%,7.52%,1.54,0.5,316.899/323.5121/314.42/No Horizontal Resistance/328.9175/381.492/No EMA 200 Target,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/275.77,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",2025-12-17 (Price: 314.98),"1.24%, 1.6 month","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-12-19 (Price: 317.21), 1.96% above",1.6 month,No Information,No Information,No Information,No Information,No Information,2.51% above/1.96% above/1.96% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,2026-03-23/2025-11-08/2025-11-26,17.37%,9.85%,7.52%,1.54,0.5,314.5734/321.1381/314.46/No Horizontal Resistance/328.9175/381.492/No EMA 200 Target,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/274.75,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
OSCILLATOR DELTA,"INFY, Long, 2025-10-20 (Price: 16.91)",2025-12-19 (Price: 20.22) (Today),"19.57%, 2 months","70.83%, Past 6 years, 24","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-12-19 (Price: 20.22), 19.57% above",2 months,No Information,No Information,No Information,No Information,No Information,No Information,13.6%/5.09%/8.19%,"14.44%, 21.07%",3.3 months/8 days/1.4 month,2026-03-12/2025-10-31/2025-12-19,8.71%,6.68%,2.03%,0.2,0.34,18.1833/18.2949/19.45/23.796/31.8515/41.1179/17.52,No Recent Minima/16.074/13.0115/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets),
TRENDPULSE,"RHHBY, Long, 2025-10-12 (Price: 45.66)",2025-12-19 (Price: 51.2) (Today),"12.13%, 2.3 months","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-12-19 (Price: 51.2), 12.13% above",2.3 months,No Information,No Information,No Information,No Information,No Information,13.02% above/12.97% above/12.13% above,18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-06-29/2025-12-03/2026-04-25,3.03%,4.77%,-1.74%,0.42,0.23,47.3996/49.8972/50.49/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/40.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
FRACTAL TRACK,"INFY, Long, 2025-10-06 (Price: 16.69)",2025-12-18 (Price: 19.18),"14.92%, 2.4 months","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2025-10-06",Already confirmed,"2025-12-19 (Price: 20.22), 21.15% above",2.5 months,No Information,No Information,No Information,"78.6% (Price: 16.3102), 23.97% above, Upmove Bounce Back","2025-08-12 (Price: 15.91), 2025-09-17 (Price: 17.78)",No Information,12.21%/2.02%/9.78%,"1.69%, 24.19%",1.2 year/1.6 month/5.5 months,2027-06-23/2025-12-14/2026-06-01,19.54%,1.44%,18.1%,0.98,0.04,16.5248/18.3223/17.81/23.796/31.8515/41.1179/17.52,16.15/16.074/13.0115/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
SIGMASHELL,"NZDUSD=X, Long, 2025-10-01 (Price: 0.5796)",2025-12-16 (Price: 0.5786),"-0.17%, 2.5 months","84.21%, Past 5 years, 19","Daily, was CONFIRMED on 2025-10-01",Already confirmed,"2025-12-18 (Price: 0.5773), 0.4% below",2.6 months,"-3.71, 82.29",No Information,No Information,No Information,No Information,No Information,13.24%/0.27%/4.06%,"4.2%, 15.06%",9.6 months/1.9 month/3.9 months,2026-11-22/2025-12-22/2026-03-19,7.12%,-0.45%,7.57%,0.64,-0.35,0.5882/0.6031/No Target/0.7479/No Next Fib Ext/No Next Fib Ext/0.59,No support/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
SIGMASHELL,"DOL.TO, Long, 2025-10-01 (Price: 181.79)",2025-12-17 (Price: 200.08),"10.06%, 2.6 months","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-10-01",Already confirmed,"2025-12-19 (Price: 203.39), 11.88% above",2.6 months,"-4.42, 93.33",No Information,No Information,No Information,No Information,No Information,16.48%/8.78%/11.25%,"-0.0%, 7.51%",3.2 months/1.9 month/2.3 months,2026-02-17/2025-12-22/2026-01-08,14.73%,19.58%,-4.85%,1.4,1.24,188.8071/202.2414/194.1559/197.56/194.1559/294.0831/No EMA 200 Target,175.34/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/181.15,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
TRENDPULSE,"XLF, Long, 2025-09-18 (Price: 54.13)",2025-12-17 (Price: 54.63),"0.92%, 3 months","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-09-18",Already confirmed,"2025-12-19 (Price: 54.84), 1.31% above",3.1 months,No Information,No Information,No Information,No Information,No Information,1.41% above/1.31% above/1.31% above,4.58%/1.0%/2.45%,"10.45%, 16.27%",3.9 months/4 days/1 month,2026-03-06/2025-09-23/2025-10-31,10.61%,6.55%,4.06%,0.71,0.34,55.8026/55.4562/65.07/No Horizontal Resistance/70.6138/110.4396/No EMA 200 Target,53.07/30.1167/45.9996/No support/No F-Track Level/No F-Track Level/50.62,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"ABNB, Long, 2025-08-29 (Price: 130.53)",2025-12-19 (Price: 135.28) (Today),"3.64%, 3.7 months","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-08-29",Already confirmed,"2025-12-19 (Price: 135.28), 3.64% above",3.7 months,No Information,No Information,No Information,No Information,No Information,3.69% above/3.64% above/3.64% above,13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-01-15/2025-09-06/2025-10-05,10.28%,-2.98%,13.26%,0.22,0.05,129.8382/139.8629/137.96/178.025/223.5359/232.9937/131.47,118.3/99.795/124.5998/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
SIGMASHELL,"NZDUSD=X, Long, 2025-08-01 (Price: 0.5889)",2025-12-16 (Price: 0.5786),"-1.75%, 4.6 months","84.21%, Past 5 years, 19","Daily, was CONFIRMED on 2025-08-01",Already confirmed,"2025-12-18 (Price: 0.5773), 1.97% below",4.6 months,"-3.98, 88.46",No Information,No Information,No Information,No Information,No Information,13.24%/0.27%/4.06%,"4.2%, 15.06%",9.6 months/1.9 month/3.9 months,2026-09-22/2025-10-22/2026-01-17,7.12%,-0.45%,7.57%,0.64,-0.35,0.5977/0.6128/No Target/0.7332/No Next Fib Ext/No Next Fib Ext/0.59,No support/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),
