"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"QQQ, Long, 2025-11-25 (Price: 608.89)",No Exit Yet,"2.15%, 5 days","100.0%, Past 5 years, 31","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 622.0), 2.15% above",5 days,Upmove Bounce Back,23.66% (Price: 581.4989),6.96% above,"2025-04-07 (Price: 402.39), 2025-10-29 (Price: 637.01)",49.98%/1.83%/18.58%,"-0.0%, 24.88%",1.3 year/11 days/5.7 months,2027-09-09/2025-12-10/2026-08-01,17.52%,16.62%,0.89%,0.43,0.69,618.206/722.0218/749.66/No Horizontal Resistance/836.2536/910.0135/No Moving Avg Target,585.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/546.02,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"FXI, Long, 2025-11-25 (Price: 39.6)",No Exit Yet,"-0.28%, 5 days","100.0%, Past 5 years, 22","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 39.49), 0.28% below",5 days,Upmove Bounce Back,23.66% (Price: 37.8808),4.25% above,"2024-08-05 (Price: 24.59), 2025-10-02 (Price: 42.0)",20.99%/3.97%/12.16%,"-0.0%, 45.3%",2.6 years/27 days/1.1 year,2029-09-05/2026-01-03/2027-06-28,5.97%,-3.23%,9.2%,0.55,-0.09,39.3941/44.4154/50.05/42.665/83.3684/90.0109/No Moving Avg Target,38.58/20.865/34.3506/28.5649/No F-Track Level/No F-Track Level/37.5,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"ASHR, Long, 2025-11-25 (Price: 32.25)",No Exit Yet,"1.05%, 5 days","91.3%, Past 5 years, 23","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 32.59), 1.05% above",5 days,Upmove Bounce Back,23.66% (Price: 31.4536),3.61% above,"2025-04-07 (Price: 23.27), 2025-10-29 (Price: 33.99)",17.11%/2.73%/9.92%,"10.44%, 32.83%",3.2 months/1.2 month/2.2 months,2026-04-11/2026-01-17/2026-02-28,1.15%,-2.53%,3.68%,0.04,-0.17,32.3081/35.4492/38.68/39.9467/60.2967/80.3432/No Moving Avg Target,31.79/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/29.06,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"KWEB, Long, 2025-11-25 (Price: 37.74)",No Exit Yet,"-0.37%, 5 days","100.0%, Past 5 years, 23","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 37.6), 0.37% below",5 days,Upmove Bounce Back,50% (Price: 35.595),5.63% above,"2025-04-08 (Price: 27.825), 2025-10-02 (Price: 43.365)",40.19%/7.17%/20.95%,"-0.0%, 42.67%",1.2 year/4 months/7.9 months,2027-08-18/2026-05-17/2026-11-04,15.59%,-12.03%,27.62%,0.48,-0.12,37.4343/45.6465/47.06/54.865/112.1402/127.8094/No Moving Avg Target,36.23/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/36.34,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SOXX, Long, 2025-11-25 (Price: 283.58)",No Exit Yet,"6.79%, 5 days","95.12%, Past 5 years, 41","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 302.84), 6.79% above",5 days,Upmove Bounce Back,23.66% (Price: 265.2949),14.15% above,"2022-12-28 (Price: 112.05), 2025-10-29 (Price: 312.79)",150.93%/1.52%/33.7%,"4.47%, 44.19%",2.0 years/12 days/7.9 months,2028-10-23/2025-12-12/2026-11-04,12.53%,22.72%,-10.19%,0.46,0.76,291.6053/379.1465/404.02/No Horizontal Resistance/348.2242/411.0319/No Moving Avg Target,268.1/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/236.66,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"^GSPC, Long, 2025-11-25 (Price: 6765.8799)",No Exit Yet,"0.94%, 5 days","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 6829.3701), 0.94% above",5 days,Upmove Bounce Back,23.66% (Price: 6426.9579),6.26% above,"2025-04-07 (Price: 4835.04), 2025-10-29 (Price: 6920.3398)",60.63%/1.24%/22.15%,"-0.0%, 18.9%",1.9 year/1.2 month/7.4 months,2028-08-10/2026-01-17/2026-10-12,15.73%,14.39%,1.34%,0.4,0.71,6828.8026/8264.5223/8017.06/No Horizontal Resistance/9765.5661/10911.139/No Moving Avg Target,6538.76/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6184.41,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"^NDX, Long, 2025-11-25 (Price: 25018.3594)",No Exit Yet,"2.15%, 5 days","100.0%, Past 5 years, 31","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 25555.8574), 2.15% above",5 days,Upmove Bounce Back,23.66% (Price: 23901.2992),6.92% above,"2025-04-07 (Price: 16542.1992), 2025-10-29 (Price: 26182.0996)",52.07%/1.74%/16.14%,"-0.0%, 24.85%",1.2 year/11 days/5.3 months,2027-09-06/2025-12-10/2026-07-14,16.45%,16.65%,-0.21%,0.44,0.69,25488.7046/29056.3226/30802.3/No Horizontal Resistance/33965.62/36701.6323/No Moving Avg Target,24054.38/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/22436.32,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"WPM.TO, Long, 2025-11-25 (Price: 144.58)",No Exit Yet,"4.18%, 5 days","97.3%, Past 5 years, 37","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 150.63), 4.18% above",5 days,Upmove Bounce Back,23.66% (Price: 139.3211),8.12% above,"2024-06-28 (Price: 71.18), 2025-10-16 (Price: 160.44)",69.2%/2.13%/25.88%,"0.62%, 39.55%",2.2 years/15 days/6.1 months,2029-01-09/2025-12-16/2026-08-15,14.82%,17.12%,-2.29%,0.59,0.6,148.368/181.9973/198.14/No Horizontal Resistance/180.0371/199.4231/No Moving Avg Target,139.91/52.782/133.3839/125.3844/No F-Track Level/No F-Track Level/126.54,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"GS, Long, 2025-11-25 (Price: 802.32)",No Exit Yet,"1.61%, 5 days","96.88%, Past 5 years, 32","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 815.21), 1.61% above",5 days,Upmove Bounce Back,23.66% (Price: 746.1905),9.25% above,"2025-04-07 (Price: 439.38), 2025-11-13 (Price: 841.28)",117.52%/0.35%/18.56%,"0.74%, 33.99%",2.0 years/27 days/6.3 months,2028-10-23/2026-01-03/2026-08-27,11.99%,31.13%,-19.14%,0.39,1.18,816.6013/951.2306/1043.46/No Horizontal Resistance/931.1482/1236.8362/No Moving Avg Target,773.7/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/676.86,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"BAC, Long, 2025-11-25 (Price: 52.48)",No Exit Yet,"1.35%, 5 days","96.3%, Past 5 years, 27","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 53.19), 1.35% above",5 days,Upmove Bounce Back,23.66% (Price: 49.5747),7.29% above,"2025-04-09 (Price: 33.07), 2025-11-12 (Price: 54.69)",45.51%/5.4%/18.32%,"2.21%, 43.05%",2.6 years/1.3 month/1.1 year,2029-08-16/2026-01-19/2027-06-18,8.02%,17.29%,-9.27%,0.4,0.64,53.1832/62.0943/65.45/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,51.0/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/46.5,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"EEM, Long, 2025-11-25 (Price: 53.85)",No Exit Yet,"0.84%, 5 days","100.0%, Past 5 years, 22","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 54.3), 0.84% above",5 days,Upmove Bounce Back,23.66% (Price: 52.0228),4.38% above,"2025-04-08 (Price: 38.19), 2025-10-29 (Price: 56.31)",32.68%/2.11%/10.82%,"-0.0%, 18.67%",1.5 year/1.3 month/6.5 months,2028-02-02/2026-01-21/2026-09-01,11.15%,3.28%,7.88%,0.45,0.03,54.3346/59.6766/64.72/No Horizontal Resistance/56.6819/68.2921/No Moving Avg Target,53.1/37.485/41.6415/32.346/No F-Track Level/No F-Track Level/48.63,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"GDX, Long, 2025-11-25 (Price: 77.8)",No Exit Yet,"4.9%, 5 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 81.61), 4.9% above",5 days,Upmove Bounce Back,23.66% (Price: 72.8649),12.0% above,"2024-12-30 (Price: 33.42), 2025-10-16 (Price: 85.09)",19.78%/1.26%/11.83%,"3.89%, 20.99%",9.9 months/25 days/3.6 months,2027-01-29/2025-12-31/2026-04-30,20.71%,13.08%,7.63%,0.52,0.46,79.4649/87.0037/108.8/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,72.97/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/57.78,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"LYFT, Long, 2025-11-25 (Price: 19.63)",2025-12-02 (Price: 22.24) (Today),"13.3%, 5 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 22.24), 13.3% above",5 days,Upmove Bounce Back,38.2% (Price: 18.7824),18.41% above,"2023-05-24 (Price: 7.85), 2025-11-12 (Price: 25.54)",52.96%/0.97%/21.59%,"5.88%, 53.48%",1.1 year/27 days/6.3 months,2027-06-18/2026-01-03/2026-08-27,19.21%,-6.72%,25.93%,0.41,0.2,19.5181/23.8681/30.24/57.19/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.16,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SPY, Long, 2025-11-25 (Price: 675.02)",No Exit Yet,"0.96%, 5 days","100.0%, Past 5 years, 32","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 681.53), 0.96% above",5 days,Upmove Bounce Back,23.66% (Price: 640.5109),6.4% above,"2025-04-07 (Price: 481.8), 2025-10-29 (Price: 689.7)",33.04%/1.67%/12.79%,"-0.0%, 24.3%",1.6 year/1.1 month/7.9 months,2028-03-09/2026-01-11/2026-11-03,9.91%,14.38%,-4.46%,0.39,0.7,681.3652/761.3551/799.76/No Horizontal Resistance/969.1148/1522.3697/No Moving Avg Target,652.53/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/616.77,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"USCI, Long, 2025-11-25 (Price: 76.97)",No Exit Yet,"1.63%, 5 days","96.3%, Past 5 years, 27","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 78.2235), 1.63% above",5 days,Upmove Bounce Back,23.66% (Price: 76.2759),2.55% above,"2025-04-09 (Price: 64.26), 2025-11-11 (Price: 80.0)",42.17%/8.4%/22.06%,"4.19%, 13.54%",2.1 years/2.1 months/11.3 months,2028-12-08/2026-02-25/2027-04-01,9.38%,20.56%,-11.19%,0.54,1.04,78.1092/93.9496/86.41/No Horizontal Resistance/81.0354/90.2685/No Moving Avg Target,76.9/38.14/75.2881/67.5442/No F-Track Level/No F-Track Level/73.92,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"VGT, Long, 2025-11-25 (Price: 739.21)",No Exit Yet,"2.77%, 5 days","100.0%, Past 5 years, 24","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 759.71), 2.77% above",5 days,Upmove Bounce Back,23.66% (Price: 689.4022),10.2% above,"2023-01-06 (Price: 310.0), 2025-10-29 (Price: 806.99)",59.83%/3.28%/23.64%,"-0.0%, 35.46%",2.3 years/29 days/7.4 months,2029-02-13/2026-01-06/2026-10-11,14.36%,19.75%,-5.39%,0.6,0.79,755.9161/913.9592/1037.4/No Horizontal Resistance/946.1588/993.4664/No Moving Avg Target,715.7/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/658.2,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"WPM, Long, 2025-11-25 (Price: 102.5)",No Exit Yet,"5.12%, 5 days","100.0%, Past 5 years, 38","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 107.75), 5.12% above",5 days,Upmove Bounce Back,23.66% (Price: 96.3169),11.87% above,"2022-12-19 (Price: 38.1), 2025-10-16 (Price: 114.36)",110.18%/1.64%/29.37%,"-0.0%, 43.76%",2.8 years/22 days/8.5 months,2029-11-13/2025-12-26/2026-11-29,11.47%,15.48%,-4.01%,0.49,0.54,105.6365/132.6043/148.26/No Horizontal Resistance/132.4733/148.0295/No Moving Avg Target,99.27/38.3375/99.8674/92.8869/No F-Track Level/No F-Track Level/90.89,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"IFT.NZ, Long, 2025-11-25 (Price: 11.78)",No Exit Yet,"-0.25%, 5 days","88.64%, Past 5 years, 44","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 11.75), 0.25% below",5 days,Upmove Bounce Back,50% (Price: 11.435),2.75% above,"2025-06-11 (Price: 10.02), 2025-11-13 (Price: 12.85)",49.32%/1.62%/13.7%,"0.96%, 15.98%",2.4 years/14 days/6.7 months,2029-04-04/2025-12-15/2026-09-10,8.65%,17.61%,-8.96%,0.54,0.71,11.9862/13.3939/13.48/11.925/18.927/29.733/No Moving Avg Target,11.55/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.33,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"^NZ50, Long, 2025-11-25 (Price: 13572.0195)",No Exit Yet,"-0.81%, 4 days","100.0%, Past 5 years, 28","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-01 (Price: 13462.1299), 0.81% below",4 days,Upmove Bounce Back,23.66% (Price: 13255.3776),1.56% above,"2025-04-08 (Price: 11738.1201), 2025-11-12 (Price: 13725.6201)",18.32%/0.56%/6.7%,"-0.0%, 20.61%",3.2 years/1.7 month/1.1 year,2030-06-17/2026-02-08/2027-07-03,2.97%,2.07%,0.9%,0.73,-0.15,13717.2401/14481.3448/14764.52/No Horizontal Resistance/14773.8816/17170.3822/No Moving Avg Target,13296.05/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/12815.82,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"IBKR, Long, 2025-11-25 (Price: 63.17)",No Exit Yet,"0.66%, 5 days","100.0%, Past 5 years, 32","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-02 (Price: 63.59), 0.66% above",5 days,Upmove Bounce Back,23.66% (Price: 58.0979),9.45% above,"2024-08-05 (Price: 25.9225), 2025-08-12 (Price: 68.07)",177.45%/8.73%/59.16%,"-0.0%, 38.74%",2.3 years/26 days/6.9 months,2029-02-14/2026-01-01/2026-09-19,20.73%,41.24%,-20.51%,0.6,1.38,63.827/100.5414/88.46/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,61.05/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.85,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"GBPUSD=X, Long, 2025-11-23 (Price: 1.3085)",No Exit Yet,"1.18%, 9 days","100.0%, Past 20 years, 26","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-12-02 (Price: 1.324), 1.18% above",9 days,Upmove Bounce Back,38.2% (Price: 1.3144),0.73% above,"2025-01-19 (Price: 1.2101), 2025-07-06 (Price: 1.3789)",11.31%/1.1%/4.86%,"-0.0%, 8.98%",2.1 years/5.6 months/1.3 year,2028-10-28/2026-07-25/2027-09-13,2.57%,-1.36%,3.93%,0.24,-0.57,1.3001/1.3721/1.41/1.4232/2.4421/3.2078/1.33,1.22/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"KXS.TO, Long, 2025-11-23 (Price: 176.3)",No Exit Yet,"-1.44%, 9 days","82.35%, Past 11 years, 17","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-12-02 (Price: 173.77), 1.44% below",9 days,Upmove Bounce Back,50% (Price: 165.965),4.7% above,"2022-06-19 (Price: 119.48), 2025-08-03 (Price: 212.45)",156.2%/6.23%/51.99%,"14.59%, 37.82%",1.0 year/3.0 months/9.8 months,2027-05-18/2026-03-31/2027-01-24,15.07%,24.7%,-9.62%,0.27,0.8,180.2139/267.9584/232.08/209.885/227.7644/245.4058/183.12,169.84/126.33/176.1333/151.1683/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"WPM, Long, 2025-10-30 (Price: 98.07)",2025-11-28 (Price: 110.05),"12.22%, 29 days","100.0%, Past 5 years, 38","Daily, was CONFIRMED on 2025-10-30",Already confirmed,"2025-12-02 (Price: 107.75), 9.87% above",1.1 month,Upmove Bounce Back,38.2% (Price: 90.5232),19.03% above,"2024-07-01 (Price: 51.96), 2025-10-16 (Price: 114.36)",110.18%/1.64%/29.37%,"-0.0%, 43.76%",2.8 years/22 days/8.5 months,2029-10-18/2025-11-30/2026-11-03,11.47%,15.48%,-4.01%,0.49,0.54,101.0709/126.8732/135.51/No Horizontal Resistance/114.4872/133.5026/No Moving Avg Target,94.45/38.3375/85.7049/76.3674/No F-Track Level/No F-Track Level/90.89,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"CNQ.TO, Long, 2025-10-23 (Price: 43.68)",2025-11-25 (Price: 46.84),"7.23%, 1.1 month","100.0%, Past 5 years, 38","Daily, was CONFIRMED on 2025-10-23",Already confirmed,"2025-12-02 (Price: 46.94), 7.46% above",1.3 month,Upmove Bounce Back,78.6% (Price: 41.8591),12.14% above,"2025-08-19 (Price: 40.62), 2025-10-09 (Price: 46.41)",101.9%/7.41%/37.34%,"-0.0%, 18.38%",11.9 months/24 days/5.8 months,2027-03-25/2025-11-26/2026-06-30,29.0%,31.99%,-2.99%,0.39,1.09,44.2959/59.9901/47.15/51.51/65.8353/68.6522/No Moving Avg Target,41.91/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/43.08,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"BYD.TO, Long, 2025-10-21 (Price: 212.17)",2025-11-26 (Price: 235.85),"11.16%, 1.2 month","97.14%, Past 5 years, 35","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-12-02 (Price: 236.35), 11.4% above",1.4 month,Upmove Bounce Back,50% (Price: 213.83),10.53% above,"2025-08-08 (Price: 186.1), 2025-09-29 (Price: 241.56)",33.99%/3.04%/14.2%,"0.61%, 12.07%",4.6 months/12 days/2.5 months,2026-05-07/2025-11-07/2026-02-06,29.12%,2.66%,26.46%,0.58,0.08,215.9042/242.2981/245.45/256.6133/367.2583/388.6839/216.16,209.51/196.0/147.1212/139.9966/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-02 (Price: 80.62) (Today),"-0.04%, 5.2 months","90.91%, Past 18 years, 11","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-02 (Price: 80.62), 0.04% below",5.2 months,Upmove Bounce Back,38.2% (Price: 76.5615),5.3% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.2 year/1.2 year/1.2 year,2027-03-20/2027-03-20/2027-03-20,-0.69%,-1.4%,0.72%,-0.15,-0.53,80.2064/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.85,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"NA.TO, Long, 2025-06-30 (Price: 140.52)",2025-11-30 (Price: 168.95),"20.23%, 5.1 months","94.12%, Past 42 years, 34","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-02 (Price: 171.12), 21.78% above",5.2 months,Upmove Bounce Back,23.66% (Price: 108.7595),57.34% above,"1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",133.9%/2.69%/39.66%,"11.85%, 52.46%",6.2 years/4.3 months/1.9 year,2034-04-13/2026-01-02/2028-03-19,5.1%,11.99%,-6.9%,0.45,0.51,146.745/196.2502/222.66/No Horizontal Resistance/188.6608/207.1743/No Moving Avg Target,118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/138.46,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"RY.TO, Long, 2025-06-30 (Price: 179.47)",2025-11-30 (Price: 216.14),"20.43%, 5.1 months","97.06%, Past 48 years, 34","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-02 (Price: 216.21), 20.47% above",5.2 months,Upmove Bounce Back,38.2% (Price: 152.7435),41.55% above,"2023-10-31 (Price: 107.92), 2024-12-31 (Price: 180.45)",942.33%/3.95%/96.76%,"8.99%, 47.82%",18.4 years/6.5 months/2.7 years,2051-09-13/2026-04-08/2029-04-21,5.39%,11.4%,-6.01%,0.19,0.5,185.4822/353.1252/222.99/No Horizontal Resistance/221.431/339.4883/183.56,162.1/108.18/148.4673/103.3737/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"^BVSP, Long, 2025-03-31 (Price: 130260.0)",2025-11-30 (Price: 159072.0),"22.12%, 8.1 months","93.33%, Past 57 years, 30","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-12-02 (Price: 161092.25), 23.67% above",8.2 months,Upmove Bounce Back,50% (Price: 116368.0),38.43% above,"2022-07-31 (Price: 95267.0), 2024-08-31 (Price: 137469.0)",195.55%/4.94%/55.92%,"17.81%, 51.61%",9.2 years/3.6 months/3.0 years,2038-06-08/2025-09-04/2029-07-26,3.98%,30.03%,-26.05%,0.44,0.88,141319.074/203101.392/155581.2/134350.3333/173653.968/192289.6/138507.6,120283.0/95217.0/121313.6/110617.73/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"^DJI, Long, 2025-02-02 (Price: 44544.6602)",2025-12-02 (Price: 47474.4609) (Today),"6.58%, 10.1 months","100.0%, Past 20 years, 33","Weekly, was CONFIRMED on 2025-02-02",Already confirmed,"2025-12-02 (Price: 47474.4609), 6.58% above",10.1 months,Upmove Bounce Back,23.66% (Price: 42057.8236),12.88% above,"2023-10-29 (Price: 32327.1992), 2024-12-08 (Price: 45073.6289)",47.66%/0.85%/23.42%,"-0.0%, 50.73%",4.5 years/6.6 months/1.9 year,2031-06-21/2025-11-17/2027-10-10,4.85%,7.58%,-2.73%,0.53,0.28,45310.8284/54977.0196/52192.52/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,41938.45/29171.1927/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43977.27,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"RHHBY, Long, 2024-12-31 (Price: 34.88)",2025-12-02 (Price: 48.7) (Today),"39.62%, 11.2 months","100.0%, Past 24 years, 9","Quarterly, was CONFIRMED on 2024-12-31",Already confirmed,"2025-12-02 (Price: 48.7), 39.62% above",11.2 months,Upmove Bounce Back,88.6% (Price: 29.4418),65.41% above,"2018-06-30 (Price: 26.3), 2022-06-30 (Price: 53.86)",15.79%/12.77%/14.28%,"-0.0%, 30.62%",4.7 years/4.2 years/4.4 years,2031-09-21/2030-12-12/2031-05-02,2.03%,6.19%,-4.16%,0.46,0.19,34.1824/39.8609/51.42/52.46/58.6089/65.2057/41.43,31.92/34.87/31.0544/130.7472/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"IWM, Long, 2023-06-30 (Price: 187.27)",2025-12-02 (Price: 245.17) (Today),"30.92%, 2.5 years","100.0%, Past 25 years, 8","Quarterly, was CONFIRMED on 2023-06-30",Already confirmed,"2025-12-02 (Price: 245.17), 30.92% above",2.5 years,Upmove Bounce Back,38.2% (Price: 164.1636),49.34% above,"2009-03-31 (Price: 34.26), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",2.0 year/2.0 year/2.0 year,2026-05-02/2026-04-30/2026-04-30,11.21%,6.21%,5.0%,0.5,0.2,180.9028/263.6013/313.39/232.67/348.4025/539.5308/220.66,164.92/144.954/157.2742/112.1542/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
