"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"USO, Long, 2026-01-26 (Price: 73.48)",2026-01-30 (Price: 79.52),"8.22%, 4 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-02-04 (Price: 77.88), 5.99% above",9 days,"8, 2025-05-23 (Price: 67.99)",2026-01-22 (Price: 71.82),2026-01-26 (Price: 73.48),13/9/9 days,8.44% above/5.99% above/5.99% above,2025-05-23 (Price: 84.8805)/2026-01-26 (Price: 71.8645),7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-08/2026-02-03/2026-04-22,13.27%,-3.97%,17.24%,0.8,-0.03,73.6343/76.0004/76.77/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),73.36
"WPM.TO, Long, 2026-01-25 (Price: 200.26)",No Exit Yet,"-4.38%, 10 days","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-04 (Price: 191.49), 4.38% below",10 days,"2, 2025-04-20 (Price: 116.36)",2026-01-18 (Price: 188.28),2026-01-25 (Price: 200.26),17/10/10 days,1.7% above/4.38% below/4.38% below,2025-04-20 (Price: 118.6857)/2026-01-25 (Price: 182.0196),27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-08-04/2026-03-18/2026-05-17,3.49%,6.66%,-3.17%,0.68,0.35,213.0366/222.6691/250.6/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/137.99,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),191.85
"EEM, Long, 2026-01-25 (Price: 59.07)",No Exit Yet,"-0.46%, 10 days","96.15%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-04 (Price: 58.8), 0.46% below",10 days,"2, 2024-12-01 (Price: 43.26)",2026-01-25 (Price: 59.07),2026-01-25 (Price: 59.07),10/10/10 days,0.46% below/0.46% below/0.46% below,2024-12-01 (Price: 43.422)/2026-01-25 (Price: 57.8607),11.23%/1.19%/3.84%,"20.12%, 35.1%",1.4 year/28 days/3.4 months,2028-01-23/2026-03-06/2026-06-21,3.49%,0.73%,2.76%,0.51,-0.08,61.1906/61.3383/68.56/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,40.58/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.68,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),57.35
"WPM, Long, 2026-01-25 (Price: 146.16)",No Exit Yet,"-4.06%, 10 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-04 (Price: 140.23), 4.06% below",10 days,"2, 2025-04-20 (Price: 84.01)",2026-01-18 (Price: 135.35),2026-01-25 (Price: 146.16),17/10/10 days,3.61% above/4.06% below/4.06% below,2025-04-20 (Price: 86.9662)/2026-01-25 (Price: 129.3304),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-05-26/2026-03-06/2026-04-04,5.32%,5.11%,0.21%,0.63,0.29,157.9843/161.2729/183.45/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/99.6,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),140.0
"EFA, Long, 2026-01-25 (Price: 99.97)",No Exit Yet,"1.81%, 10 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-04 (Price: 101.78), 1.81% above",10 days,"2, 2025-08-10 (Price: 90.37)",2026-01-25 (Price: 99.97),2026-01-25 (Price: 99.97),10/10/10 days,1.81% above/1.81% above/1.81% above,2025-08-10 (Price: 93.1129)/2026-01-25 (Price: 98.8775),7.21%/1.24%/3.66%,"13.66%, 23.59%",7.2 months/1.2 month/3.1 months,2026-12-03/2026-03-18/2026-06-08,2.99%,2.36%,0.63%,0.4,0.03,103.1291/103.6289/105.73/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.02/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/91.35,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),98.0
"GILD, Long, 2026-01-23 (Price: 135.93)",2026-01-30 (Price: 141.95),"4.43%, 7 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-02-04 (Price: 146.23), 7.58% above",12 days,"2, 2025-11-20 (Price: 124.99)",2026-01-21 (Price: 129.11),2026-01-23 (Price: 135.93),14/12/12 days,13.26% above/7.58% above/7.58% above,2025-11-20 (Price: 128.9345)/2026-01-23 (Price: 124.5918),8.4%/1.52%/3.99%,"5.96%, 27.45%",3.3 months/7 days/1.1 month,2026-06-15/2026-02-02/2026-03-11,10.05%,7.71%,2.34%,1.26,0.4,141.9789/141.3536/142.49/No Horizontal Resistance/146.167/154.7608/No EMA 200 Target,118.3/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/114.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),131.26
"NVO, Long, 2026-01-04 (Price: 52.39)",2026-02-01 (Price: 59.43),"13.44%, 28 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-04 (Price: 47.19), 9.93% below",1 month,"2, 2025-03-02 (Price: 90.65)",2025-12-28 (Price: 52.4),2026-01-04 (Price: 52.39),38/31/31 days,9.94% below/9.93% below/9.93% below,2025-03-02 (Price: 95.0201)/2026-01-04 (Price: 47.1478),20.26%/3.25%/8.42%,"16.75%, 27.09%",4.4 months/28 days/1.9 month,2026-07-14/2026-02-13/2026-03-27,9.13%,7.21%,1.92%,0.46,0.37,57.6971/56.8012/75.35/139.01/157.4212/201.8641/59.76,45.68/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/No EMA 200 Support,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),51.56
"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"9.71%, 1.2 month","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-04 (Price: 330.38), 9.71% above",1.2 month,"6, 2015-06-30 (Price: 30.6967)",2025-12-31 (Price: 301.15),2025-12-31 (Price: 301.15),35/35/35 days,9.71% above/9.71% above/9.71% above,2015-06-30 (Price: 22.1158)/2025-12-31 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),269.38
"BDGI.TO, Long, 2025-12-31 (Price: 73.13)",No Exit Yet,"-4.07%, 1.2 month","100.0%, Past 33 years, 6","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-02-04 (Price: 70.15), 4.07% below",1.2 month,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-31 (Price: 73.13),127/35/35 days,14.29% above/4.07% below/4.07% below,2018-06-30 (Price: 49.0339)/2025-12-31 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-26/2027-11-08/2028-04-13,16.49%,8.5%,7.99%,0.7,0.42,150.8453/189.2824/98.01/No Horizontal Resistance/79.8787/88.3247/No EMA 200 Target,26.66/24.32/70.6207/63.2847/No F-Track Level/No F-Track Level/55.48,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),61.31
"GLD, Long, 2025-12-28 (Price: 416.74)",2026-02-04 (Price: 453.97) (Today),"8.93%, 1.3 month","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-04 (Price: 453.97), 8.93% above",1.3 month,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-28 (Price: 416.74),45/38/38 days,13.77% above/8.93% above/8.93% above,2024-08-11 (Price: 229.74)/2025-12-28 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-29/2026-02-06/2026-05-20,4.9%,5.02%,-0.12%,1.33,0.26,443.9948/441.8694/532.05/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,236.59/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/330.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),406.98
"GS, Long, 2025-12-28 (Price: 907.04)",2026-02-01 (Price: 935.41),"3.13%, 1.2 month","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-04 (Price: 913.3), 0.69% above",1.3 month,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-28 (Price: 907.04),52/38/38 days,2.85% above/0.69% above/0.69% above,2024-08-11 (Price: 536.6316)/2025-12-28 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-18/2026-02-26/2026-09-19,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),896.52
"WPM, Long, 2025-12-28 (Price: 124.22)",2026-02-04 (Price: 140.23) (Today),"12.89%, 1.3 month","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-04 (Price: 140.23), 12.89% above",1.3 month,"6, 2024-08-11 (Price: 55.81)",2025-12-21 (Price: 119.7),2025-12-28 (Price: 124.22),45/38/38 days,17.15% above/12.89% above/12.89% above,2024-08-11 (Price: 58.517)/2025-12-28 (Price: 119.4562),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-28/2026-02-06/2026-03-07,5.32%,5.11%,0.21%,0.63,0.29,134.2694/137.0643/165.27/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/94.77,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),122.33
"WPM.TO, Long, 2025-12-21 (Price: 164.88)",2026-02-04 (Price: 191.49) (Today),"16.14%, 1.5 month","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-04 (Price: 191.49), 16.14% above",1.5 month,"6, 2024-08-04 (Price: 79.97)",2025-12-21 (Price: 164.88),2025-12-21 (Price: 164.88),45/45/45 days,16.14% above/16.14% above/16.14% above,2024-08-04 (Price: 79.878)/2025-12-21 (Price: 162.5546),27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-30/2026-02-11/2026-04-12,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),163.7
"RHHBY, Long, 2025-12-21 (Price: 51.2)",2026-02-04 (Price: 57.26) (Today),"11.84%, 1.5 month","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-04 (Price: 57.26), 11.84% above",1.5 month,"2, 2025-07-06 (Price: 40.44)",2025-12-14 (Price: 50.04),2025-12-21 (Price: 51.2),52/45/45 days,14.43% above/11.84% above/11.84% above,2025-07-06 (Price: 40.6429)/2025-12-21 (Price: 49.0534),18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-09-07/2026-02-11/2026-07-04,3.03%,4.77%,-1.74%,0.42,0.23,53.1507/55.9514/57.66/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/41.95,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),50.25
"UPS, Long, 2025-12-21 (Price: 101.92)",2026-02-04 (Price: 116.74) (Today),"14.54%, 1.5 month","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-04 (Price: 116.74), 14.54% above",1.5 month,"2, 2025-07-06 (Price: 104.13)",2025-12-14 (Price: 100.92),2025-12-21 (Price: 101.92),52/45/45 days,15.68% above/14.54% above/14.54% above,2025-07-06 (Price: 106.46)/2025-12-21 (Price: 98.1447),11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-02-19/2026-01-30/2026-06-15,6.24%,1.27%,4.97%,0.28,0.02,98.9439/109.7678/103.25/221.2667/228.7501/295.6013/No EMA 200 Target,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.71,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),101.0
"BNS.TO, Long, 2025-12-07 (Price: 99.26)",2026-02-04 (Price: 102.1) (Today),"2.86%, 2 months","100.0%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2026-02-04 (Price: 102.1), 2.86% above",2 months,"2, 2024-10-13 (Price: 72.18)",2025-11-30 (Price: 96.94),2025-12-07 (Price: 99.26),66/59/59 days,5.32% above/2.86% above/2.86% above,2024-10-13 (Price: 75.69)/2025-12-07 (Price: 94.2113),12.4%/0.79%/4.02%,"0%, 33.13%",1.1 year/28 days/3.2 months,2027-07-03/2026-01-16/2026-04-25,7.58%,2.54%,5.04%,1.18,0.04,103.8557/103.2503/115.51/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,63.97/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/79.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),96.69
"^BVSP, Long, 2025-11-16 (Price: 157739.0)",2026-01-25 (Price: 178859.0),"13.39%, 2.3 months","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2026-02-04 (Price: 181708.0), 15.2% above",2.7 months,"2, 2025-03-09 (Price: 125035.0)",2025-11-09 (Price: 154064.0),2025-11-16 (Price: 157739.0),87/80/80 days,17.94% above/15.2% above/15.2% above,2025-03-09 (Price: 133240.6247)/2025-11-16 (Price: 150914.5932),10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-06-12/2025-12-26/2026-04-12,7.52%,4.03%,3.49%,2.1,0.18,165058.0896/166588.1579/177361.4/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/136771.08,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),154061.0
"QQQ, Long, 2025-10-28 (Price: 632.92)",2026-02-04 (Price: 605.75) (Today),"-4.29%, 3.3 months","95.24%, Past 4 years, 21","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2026-02-04 (Price: 605.75), 4.29% below",3.3 months,"6, 2025-05-23 (Price: 509.24)",2025-10-27 (Price: 628.09),2025-10-28 (Price: 632.92),100/99/99 days,3.56% below/4.29% below/4.29% below,2025-05-23 (Price: 536.4097)/2025-10-28 (Price: 624.98),6.55%/0.6%/3.63%,"1.69%, 22.88%",27 days/6 days/14 days,2025-12-06/2025-11-05/2025-11-17,13.5%,13.63%,-0.13%,1.17,0.77,669.2496/655.895/707.13/No Horizontal Resistance/610.7303/836.2536/No EMA 200 Target,589.5/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/535.18,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),630.36
"^NDX, Long, 2025-10-28 (Price: 26012.1504)",2026-02-04 (Price: 24891.2402) (Today),"-4.31%, 3.3 months","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2026-02-04 (Price: 24891.2402), 4.31% below",3.3 months,"6, 2025-05-23 (Price: 20915.6602)",2025-10-27 (Price: 25821.5508),2025-10-28 (Price: 26012.1504),100/99/99 days,3.6% below/4.31% below/4.31% below,2025-05-23 (Price: 22020.2904)/2025-10-28 (Price: 25697.0143),6.54%/0.57%/3.17%,"1.79%, 22.93%",2.3 months/6 days/18 days,2026-02-04/2025-11-05/2025-11-23,13.31%,13.29%,0.02%,1.25,0.74,27203.5069/26836.7356/29070.04/No Horizontal Resistance/25025.4383/33965.62/No EMA 200 Target,24221.74/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/21992.33,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),25932.6406
"XLE, Long, 2025-10-26 (Price: 44.035)",2026-01-25 (Price: 49.19),"11.71%, 3 months","72.22%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-02-04 (Price: 52.83), 19.97% above",3.4 months,"4, 2024-11-24 (Price: 48.635)",2025-10-19 (Price: 42.99),2025-10-26 (Price: 44.035),108/101/101 days,22.89% above/19.97% above/19.97% above,2024-11-24 (Price: 49.2193)/2025-10-26 (Price: 42.658),16.62%/0.85%/7.33%,"27.58%, 58.07%",7.9 months/28 days/2.5 months,2026-10-04/2025-12-05/2026-02-11,4.71%,1.43%,3.28%,-0.1,0.05,47.4081/47.2628/46.79/49.2225/53.4428/58.8712/No EMA 200 Target,42.61/22.8475/37.0707/26.9521/No F-Track Level/No F-Track Level/43.51,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),43.065
"TSM, Long, 2025-10-05 (Price: 292.19)",2026-01-25 (Price: 334.87),"14.61%, 3.7 months","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2026-02-04 (Price: 325.74), 11.48% above",4.1 months,"4, 2024-07-14 (Price: 187.35)",2025-09-21 (Price: 264.87),2025-10-05 (Price: 292.19),136/122/122 days,22.98% above/11.48% above/11.48% above,2024-07-14 (Price: 196.0675)/2025-10-05 (Price: 261.0645),24.83%/4.38%/11.82%,"-0.0%, 31.75%",8.9 months/28 days/3.4 months,2026-10-26/2025-11-14/2026-03-01,13.85%,15.73%,-1.88%,1.66,0.83,333.0089/326.7269/355.09/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,146.8/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/209.36,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),276.49
"ATZ.TO, Long, 2025-09-30 (Price: 84.18)",2026-02-04 (Price: 113.77) (Today),"35.15%, 4.2 months","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-02-04 (Price: 113.77), 35.15% above",4.2 months,"0, 2020-09-30 (Price: 17.43)",2025-08-31 (Price: 82.22),2025-09-30 (Price: 84.18),157/127/127 days,38.37% above/35.15% above/35.15% above,2020-09-30 (Price: 54.9511)/2025-09-30 (Price: 76.2844),9.72%/9.72%/9.72%,"-0.0%, 27.64%",7.1 months/7.1 months/7.1 months,2026-08-04 (Max),13.41%,14.86%,-1.45%,1.61,0.68,145.2947/92.3623/124.23/No Horizontal Resistance/99.4929/119.4832/No EMA 200 Target,21.57/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/65.85,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),80.71
"FPH.NZ, Long, 2025-09-19 (Price: 38.32)",2026-02-04 (Price: 40.02) (Today),"4.44%, 4.6 months","84.09%, Past 4 years, 44","Daily, is CONFIRMED on 2025-09-19",Already confirmed,"2026-02-04 (Price: 40.02), 4.44% above",4.6 months,"8, 2025-02-24 (Price: 34.55)",2025-09-18 (Price: 37.48),2025-09-19 (Price: 38.32),139/138/138 days,6.78% above/4.44% above/4.44% above,2025-02-24 (Price: 38.2783)/2025-09-19 (Price: 36.9876),11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,2026-02-18/2025-09-29/2025-11-10,-16.19%,6.47%,-22.66%,-0.13,0.33,40.4506/39.8068/40.58/39.1917/40.9296/48.5677/No EMA 200 Target,37.45/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.2,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),37.33
"XIU.TO, Long, 2025-08-31 (Price: 42.76)",2026-01-31 (Price: 46.9),"9.68%, 5.1 months","76.92%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-04 (Price: 47.67), 11.48% above",5.2 months,"0, 2020-08-31 (Price: 24.88)",2025-08-31 (Price: 42.76),2025-08-29 (Price: 42.76),157/159/157 days,11.48% above/11.48% above/11.48% above,2020-08-31 (Price: 30.7492)/2025-08-31 (Price: 40.7124),12.69%/8.05%/10.4%,"6.95%, 19.49%",1.2 year/4 months/8.4 months,2027-05-18/2026-02-20/2026-08-31,6.01%,3.56%,2.45%,0.45,0.12,47.0446/47.207/53.49/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/38.98,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),40.71
"QQQ, Long, 2025-08-31 (Price: 570.4)",2026-01-31 (Price: 621.87),"9.02%, 5.1 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-04 (Price: 605.75), 6.2% above",5.2 months,"0, 2020-08-31 (Price: 294.88)",2025-08-31 (Price: 570.4),2025-08-29 (Price: 570.4),157/159/157 days,6.2% above/6.2% above/6.2% above,2020-08-31 (Price: 357.9023)/2025-08-31 (Price: 561.1331),16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,2026-11-17/2026-04-05/2026-07-18,8.4%,6.82%,1.58%,1.2,0.37,649.1722/640.3881/735.71/No Horizontal Resistance/610.7303/836.2536/No EMA 200 Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),558.83
"GS, Long, 2025-08-31 (Price: 745.25)",2026-02-04 (Price: 913.3) (Today),"22.55%, 5.2 months","100.0%, Past 20 years, 13","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-04 (Price: 913.3), 22.55% above",5.2 months,"10, 2019-10-31 (Price: 213.38)",2025-06-30 (Price: 707.75),2025-08-31 (Price: 745.25),219/157/157 days,29.04% above/22.55% above/22.55% above,2019-10-31 (Price: 280.0331)/2025-08-31 (Price: 603.5427),53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-03-26/2026-02-20/2027-03-27,10.95%,5.86%,5.09%,1.01,0.3,898.0263/959.882/1064.37/No Horizontal Resistance/794.5775/931.1482/No EMA 200 Target,303.61/288.555/634.5288/521.2487/No F-Track Level/No F-Track Level/618.35,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),710.51
"VGT, Long, 2025-08-31 (Price: 697.02)",2026-01-31 (Price: 747.92),"7.3%, 5.1 months","100.0%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-04 (Price: 721.75), 3.55% above",5.2 months,"0, 2020-08-31 (Price: 328.15)",2025-08-31 (Price: 697.02),2025-08-29 (Price: 697.02),157/159/157 days,3.55% above/3.55% above/3.55% above,2020-08-31 (Price: 388.487)/2025-08-31 (Price: 683.1357),27.2%/4.39%/15.02%,"-0.0%, 51.21%",1.4 year/4.1 months/8 months,2027-08-29/2026-02-23/2026-08-13,6.44%,9.1%,-2.66%,1.52,0.57,820.1137/801.7124/918.34/No Horizontal Resistance/702.1644/946.1588/No EMA 200 Target,542.38/311.83/626.0547/551.3644/No F-Track Level/No F-Track Level/618.84,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),683.16
"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-04 (Price: 200.19) (Today),"13.54%, 6.3 months","100.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-02-04 (Price: 200.19), 13.54% above",6.3 months,"2, 2024-03-31 (Price: 180.49)",2025-05-31 (Price: 110.73),2025-07-31 (Price: 176.31),249/188/188 days,80.79% above/13.54% above/13.54% above,2024-03-31 (Price: 224.5781)/2025-07-31 (Price: 100.79),190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,2029-02-23/2026-03-09/2026-09-21,26.16%,7.99%,18.17%,1.24,0.48,342.059/395.7983/178.82/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),138.77
