Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,"Today Trading Date/Price[$], Today price vs Signal"
FRACTAL TRACK,"ORCL, Long, 2026-01-23 (Price: 177.16)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),6.59%/11.46%,"-1.28%, 4 days","2026-02-10 (Price: 159.8900), 9.75% below",186.4255 (Historic Rise or Fall to Pivot)/205.169 (Avg % Gain of Historic Winning trades)/313.28 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/219.07 (EMA 200)/260.8327 (Backtested Max)/194.9469 (Backtested Min),2028-05-06 (Max)/2026-08-02 (Avg),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 23",No Information,No Information,No Information,"78.6% (Price: 167.408), 4.48% above, Upmove Bounce Back","2025-04-07 (Price: 118.86), 2025-09-10 (Price: 345.72)",No Information,47.23%/10.04%/15.81%,"-0.0%, 41.08%",1.6 year/3 days/4.4 months,57.24%,18.71%,38.53%,1.43,0.86,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),portfolio_target_achieved,172.62,
TRENDPULSE,"ORCL, Long, 2025-09-10 (Price: 328.33)",Daily,No Exit Yet,No Price Target,2026-01-27 (Max),89.09%/98.5%,"-46.73%, 4.6 months","2026-02-10 (Price: 159.8900), 51.30% below",363.5926 (Historic Rise or Fall to Pivot)/347.1761 (Avg % Gain of Historic Winning trades)/379.2 (Function Specific Target)/376.1425 (F-Stack 2)/373.0485 (Backtested Max)/330.7268 (Backtested Min),No Next Date Target,223.0/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level/184.4,"100.0%, Past 4 years, 17",No Information,No Information,No Information,No Information,No Information,27.58% below/46.73% below/46.73% below,13.62%/0.73%/5.74%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,20.9%,16.31%,4.59%,1.07,0.75,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),portfolio_target_achieved,319.19,
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",Weekly,2026-01-25 (Price: 150.15),No Price Target,No Date Target,2.43%/2.64%,"2.69%, 1.2 month","2026-02-10 (Price: 159.0800), 10.12% above",152.5642 (Historic Rise or Fall to Pivot)/151.943 (Avg % Gain of Historic Winning trades)/152.25 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.26 (EMA 200)/158.3859 (Backtested Max),2026-10-12 (Max)/2026-03-13 (Avg),142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,6.41%,4.09%,2.32%,2.17,0.17,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),portfolio_target_achieved,143.27,
TRENDPULSE,"PG, Long, 2026-01-20 (Price: 147.0)",Daily,2026-01-27 (Price: 148.34),No Price Target,2026-01-28 (Min),1.08%/2.19%,"0.91%, 7 days","2026-02-10 (Price: 159.0800), 8.22% above",149.94 (Avg % Gain of Historic Winning trades)/153.59 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.63 (EMA 200)/151.5864 (Backtested Max),2026-06-12 (Max)/2026-01-28 (Min)/2026-03-13 (Avg),138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",No Information,No Information,No Information,No Information,No Information,2.64% above/0.91% above/0.91% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,9.71%,2.06%,7.65%,0.36,0.03,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),portfolio_target_achieved,144.46,
FRACTAL TRACK,"MCD, Long, 2026-01-08 (Price: 308.88)",Daily,No Exit Yet,313.9147 (Backtested Min),No Date Target,0.39%/2.3%,"1.7%, 19 days","2026-02-10 (Price: 325.9700), 5.53% above",315.3665 (Historic Rise or Fall to Pivot)/329.9147 (Avg % Gain of Historic Winning trades)/326.73 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/343.907 (Backtested Max),2028-08-03 (Max)/2026-07-03 (Min)/2027-03-18 (Avg),299.86/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,"93.75%, Past 5 years, 16",No Information,No Information,No Information,"61.8% (Price: 303.4045), 3.54% above, Upmove Bounce Back","2025-10-09 (Price: 292.04), 2025-12-18 (Price: 321.79)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,9.72%,5.91%,3.81%,0.88,0.33,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),portfolio_target_achieved,303.44,
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",Weekly,No Exit Yet,No Price Target,2026-01-28 (Min),2.3%/3.62%,"0.93%, 1.7 month","2026-02-10 (Price: 325.9700), 4.74% above",333.7008 (Historic Rise or Fall to Pivot)/325.7333 (Avg % Gain of Historic Winning trades)/325.49 (Function Specific Target)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/344.9985 (Backtested Max),2027-02-27 (Max)/2026-01-28 (Min)/2026-06-24 (Avg),297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,"100.0%, Past 10 years, 17",No Information,No Information,No Information,No Information,No Information,0.93% above/0.93% above/0.93% above,10.85%/0.38%/4.66%,"0%, 16.82%",10.3 months/1.2 month/4.6 months,9.08%,6.77%,2.31%,1.49,0.4,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),portfolio_target_achieved,309.48,
DELTADRIFT,"NA.TO, Long, 2026-01-22 (Price: 165.94)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),4.49%/5.1%,"-2.4%, 5 days","2026-02-10 (Price: 173.1800), 4.36% above",172.1793 (Historic Rise or Fall to Pivot)/170.2213 (Avg % Gain of Historic Winning trades)/171.2 (Function Specific Target)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/172.1462 (Backtested Max)/169.2256 (Backtested Min),2026-04-23 (Max)/2026-02-19 (Avg),147.83/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/148.26,"91.67%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,No Information,3.74%/1.98%/2.58%,"5.06%, 6.5%",2.1 months/4 days/20 days,8.27%,12.05%,-3.78%,0.79,0.88,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),portfolio_target_achieved,167.19,
BAND MATRIX,"NA.TO, Long, 2025-02-23 (Price: 124.43)",Weekly,2026-01-27 (Price: 161.96),No Price Target,No Date Target,16.49%/24.18%,"30.16%, 11.3 months","2026-02-10 (Price: 173.1800), 39.18% above",188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/201.1287 (Backtested Max),2030-06-06 (Max)/2026-04-03 (Min)/2028-01-01 (Avg),106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,11.98%,7.53%,4.45%,1.22,0.44,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),portfolio_target_achieved,125.91,
FRACTAL TRACK,"DOL.TO, Long, 2026-01-12 (Price: 202.08)",Daily,2026-01-27 (Price: 186.36),No Price Target,No Date Target,9.83%/13.09%,"-7.78%, 15 days","2026-02-10 (Price: 188.4200), 6.76% below",210.7492 (Historic Rise or Fall to Pivot)/220.3278 (Avg % Gain of Historic Winning trades)/223.5 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/225.8042 (Backtested Max)/204.6868 (Backtested Min),2027-01-07 (Max)/2026-02-09 (Min)/2026-05-22 (Avg),198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.09,"85.19%, Past 5 years, 27",No Information,No Information,No Information,"23.66% (Price: 201.5134), 7.52% below, Upmove Bounce Back","2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,30.23%,20.61%,9.62%,1.18,1.4,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),portfolio_target_achieved,199.44,
DELTADRIFT,"DOL.TO, Long, 2026-01-23 (Price: 192.22)",Daily,No Exit Yet,No Price Target,2026-01-27 (Min),5.66%/6.01%,"-3.05%, 4 days","2026-02-10 (Price: 188.4200), 1.98% below",212.0955 (Historic Rise or Fall to Pivot)/198.2557 (Avg % Gain of Historic Winning trades)/205.18 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/198.8708 (Backtested Max)/196.9102 (Backtested Min),2026-02-23 (Max)/2026-02-03 (Avg),180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.09,"80.0%, Past 4 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),portfolio_target_achieved,193.26,
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-27 (Price: 43.43),No Price Target,No Date Target,3.97%/10.18%,"10.16%, 10.1 months","2026-02-10 (Price: 44.2000), 12.11% above",45.1535 (Avg % Gain of Historic Winning trades)/51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",No Information,No Information,No Information,"23.66% (Price: 36.9765), 17.45% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),portfolio_target_achieved,39.57,
TRENDPULSE,"XLU, Long, 2022-03-31 (Price: 37.23)",Quarterly,No Exit Yet,43.1607 (Avg % Gain of Historic Winning trades)/43.7042 (F-Stack 2)/43.1607 (Backtested Max)/43.1607 (Backtested Min),No Date Target,8.08%,"16.65%, 3.9 years","2026-02-10 (Price: 44.2000), 18.72% above",46.94 (Function Specific Target),No Next Date Target,12.78/23.93/35.4254/30.3912/No F-Track Level/No F-Track Level/33.84,"75.0%, Past 27 years, 4",No Information,No Information,No Information,No Information,No Information,16.65% above/16.65% above/16.65% above,15.93%/15.93%/15.93%,"8.81%, 39.64%",2.8 years/2.8 years/2.8 years,1.15%,2.87%,-1.72%,0.42,0.05,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),portfolio_target_achieved,35.775,
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-04 (Price: 9.5)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),2.59%/2.93%,"-1.79%, 1.8 month","2026-02-11 (Price: 9.6500), 1.58% above",9.5713 (Historic Rise or Fall to Pivot)/10.1555 (Avg % Gain of Historic Winning trades)/10.21 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.6429 (Backtested Max)/9.6035 (Backtested Min),2030-01-24 (Max)/2026-01-29 (Min)/2027-03-26 (Avg),9.35/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.2,"90.91%, Past 5 years, 11",No Information,No Information,No Information,"38.2% (Price: 9.4454), 1.22% below, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),portfolio_target_achieved,9.45,
TRENDPULSE,"CEN.NZ, Long, 2026-01-19 (Price: 9.36)",Daily,No Exit Yet,No Price Target,2026-01-29 (Min),1.84%/2.01%,"-0.32%, 8 days","2026-02-11 (Price: 9.6500), 3.10% above",9.5172 (Historic Rise or Fall to Pivot)/9.6595 (Avg % Gain of Historic Winning trades)/9.58 (Function Specific Target)/9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.0676 (Backtested Max)/9.5013 (Backtested Min),2026-06-28 (Max)/2026-01-29 (Min)/2026-03-12 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.19,"88.89%, Past 4 years, 27",No Information,No Information,No Information,No Information,No Information,0.32% below/0.32% below/0.32% below,7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,-0.65%,3.46%,-4.11%,0.55,0.15,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),portfolio_target_achieved,9.34,
DELTADRIFT,"KXS.TO, Long, 2026-01-23 (Price: 149.09)",Daily,No Exit Yet,No Price Target,2026-01-25 (Min),4.25%/6.31%,"-2.03%, 4 days","2026-02-10 (Price: 128.0500), 14.11% below",158.751 (Historic Rise or Fall to Pivot)/155.2772 (Avg % Gain of Historic Winning trades)/157.01 (Function Specific Target)/209.885 (Horizontal)/222.5978 (F-Stack 1)/243.8843 (F-Stack 2)/185.15 (EMA 200)/159.6158 (Backtested Max)/152.2656 (Backtested Min),2026-04-11 (Max)/2026-02-09 (Avg),148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,3.12%,-2.75%,5.87%,0.03,-0.07,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),portfolio_target_achieved,148.62,
TRENDPULSE,"KXS.TO, Long, 2025-12-04 (Price: 178.88)",Daily,No Exit Yet,No Price Target,2026-01-25 (Avg),23.82%/25.48%,"-18.35%, 1.8 month","2026-02-10 (Price: 128.0500), 28.42% below",190.5072 (Historic Rise or Fall to Pivot)/188.468 (Avg % Gain of Historic Winning trades)/192.3 (Function Specific Target)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/183.27 (EMA 200)/197.8949 (Backtested Max)/180.8477 (Backtested Min),2026-04-26 (Max),170.26/125.3967/176.1333/151.1683/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.19%, Past 4 years, 27",No Information,No Information,No Information,No Information,No Information,15.84% below/18.35% below/18.35% below,10.63%/1.1%/5.36%,"12.05%, 47.61%",3.3 months/7 days/1.2 month,5.65%,6.41%,-0.76%,0.33,0.34,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),portfolio_target_achieved,175.09,
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",Quarterly,No Exit Yet,348.2242 (F-Stack 1),No Date Target,13.22%/14.46%,"16.58%, 27 days","2026-02-10 (Price: 351.4300), 16.70% above",401.8546 (Historic Rise or Fall to Pivot)/444.9491 (Avg % Gain of Historic Winning trades)/463.42 (Function Specific Target)/411.0319 (F-Stack 2)/525.5369 (Backtested Max)/397.4879 (Backtested Min),2030-09-16 (Max)/2027-11-08 (Min)/2028-09-16 (Avg),106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,"100.0%, Past 24 years, 7",No Information,No Information,No Information,No Information,No Information,16.58% above/16.58% above/16.58% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,16.0%,8.74%,7.26%,0.66,0.45,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),portfolio_target_achieved,269.38,
BAND MATRIX,"SOXX, Long, 2025-11-18 (Price: 276.98)",Daily,No Exit Yet,348.2242 (F-Stack 1)/358.1351 (Backtested Max),No Date Target,17.08%,"26.75%, 2.3 months","2026-02-10 (Price: 351.4300), 26.88% above",411.0319 (F-Stack 2),2028-01-09 (Max)/2026-02-08 (Min)/2026-07-19 (Avg),271.99/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/258.68,"77.78%, Past 5 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,29.3%/10.91%/18.92%,"16.66%, 41.67%",1.5 year/1.9 month/5.6 months,20.73%,12.97%,7.76%,0.76,0.63,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets),portfolio_target_achieved,279.54,
TRENDPULSE,"FBU.NZ, Long, 2025-09-30 (Price: 3.37)",Monthly,No Exit Yet,3.9375 (Historic Rise or Fall to Pivot),No Date Target,4.45%/9.9%,"15.73%, 4 months","2026-02-11 (Price: 3.6800), 9.20% above",4.0737 (Avg % Gain of Historic Winning trades)/4.39 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.286 (Backtested Max),2026-06-22 (Max)/2026-05-05 (Min)/2026-05-18 (Avg),2.83/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.1,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,23.81% above/15.73% above/15.73% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,3.13,
TRENDPULSE,"FBU.NZ, Long, 2025-02-28 (Price: 3.39)",Monthly,No Exit Yet,3.9609 (Historic Rise or Fall to Pivot),No Date Target,5.07%/8.97%,"15.04%, 11.1 months","2026-02-11 (Price: 3.6800), 8.55% above",4.0978 (Avg % Gain of Historic Winning trades)/4.25 (Function Specific Target)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.3114 (Backtested Max),No Next Date Target,2.83/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,36.84% above/15.04% above/15.04% above,27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,5.5%,0.69%,4.81%,1.23,0.0,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,2.85,
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",Monthly,2026-01-27 (Price: 430.9),No Price Target,No Date Target,13.75%/100.56%,"24.37%, 8 months","2026-02-10 (Price: 425.2100), 22.73% above",864.2098 (Historic Rise or Fall to Pivot)/490.132 (F-Stack 2),No Next Date Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,"83.33%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,52.71% above/24.37% above/24.37% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,26.29%,28.82%,-2.53%,0.27,1.04,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,280.01,
BAND MATRIX,"SPY, Long, 2025-03-23 (Price: 563.98)",Weekly,No Exit Yet,691.72 (Function Specific Target),No Date Target,2.87%/17.73%,"23.32%, 10.3 months","2026-02-10 (Price: 692.1200), 22.72% above",818.7862 (Avg % Gain of Historic Winning trades)/969.1148 (F-Stack 2)/949.5167 (Backtested Max)/715.465 (Backtested Min),2029-12-07 (Max)/2027-10-17 (Min)/2029-01-28 (Avg),562.81/321.605/415.8599/285.255/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,68.36%/26.86%/45.18%,"-0.0%, 21.14%",3.3 years/1.8 year/2.7 years,12.5%,8.26%,4.24%,1.34,0.55,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),portfolio_target_achieved,562.79,
DELTADRIFT,"NFLX, Long, 2025-12-28 (Price: 94.47)",Weekly,No Exit Yet,No Price Target,2026-01-27 (Min),26.6%/27.32%,"-9.41%, 1 month","2026-02-10 (Price: 82.2100), 12.98% below",108.9617 (Historic Rise or Fall to Pivot)/109.708 (Avg % Gain of Historic Winning trades)/109.33 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/112.96 (EMA 200)/110.9834 (Backtested Max)/108.3476 (Backtested Min),2026-06-06 (Max)/2026-04-02 (Avg),94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,0.19%,16.51%,-16.32%,-0.04,0.71,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),portfolio_target_achieved,94.71,
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,No Exit Yet,251.3512 (F-Stack 2)/250.5189 (Backtested Min),No Date Target,35.72%/57.04%,"42.95%, 6 months","2026-02-10 (Price: 213.5700), 21.13% above",342.059 (Historic Rise or Fall to Pivot)/395.7983 (Avg % Gain of Historic Winning trades)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-09-21 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"100.0%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,127.61% above/42.95% above/42.95% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,138.77,
TRENDPULSE,"QQQ, Long, 2025-08-31 (Price: 570.4)",Monthly,2026-01-27 (Price: 631.13),No Price Target,No Date Target,1.47%/2.86%,"10.65%, 5 months","2026-02-10 (Price: 611.4700), 7.20% above",649.1722 (Historic Rise or Fall to Pivot)/640.3881 (Avg % Gain of Historic Winning trades)/735.71 (Function Specific Target)/836.2536 (F-Stack 2)/664.2308 (Backtested Max),2026-11-17 (Max)/2026-04-05 (Min)/2026-07-18 (Avg),468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/518.49,"100.0%, Past 20 years, 14",No Information,No Information,No Information,No Information,No Information,10.65% above/10.65% above/10.65% above,16.45%/5.89%/12.27%,"-0.0%, 33.07%",10.2 months/5 months/7.4 months,8.4%,6.82%,1.58%,1.2,0.37,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),portfolio_target_achieved,558.83,
DELTADRIFT,"RELIANCE.NS, Long, 2026-01-12 (Price: 1483.2)",Daily,No Exit Yet,No Price Target,2026-01-25 (Avg),8.78%/10.48%,"-6.92%, 15 days","2026-02-11 (Price: 1461.6000), 1.46% below",1536.5952 (Historic Rise or Fall to Pivot)/1525.1746 (Avg % Gain of Historic Winning trades)/1530.88 (Function Specific Target)/1531.725 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1552.4654 (Backtested Max)/1501.74 (Backtested Min),2026-02-04 (Max),1470.6/1025.8126/1375.0525/1288.3015/No F-Track Level/No F-Track Level/1441.03,"72.73%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,4.67%/1.25%/2.83%,"6.81%, 6.81%",16 days/4 days/9 days,4.15%,6.83%,-2.68%,0.09,0.37,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),portfolio_target_achieved,1475.3,
SIGMASHELL,"HDB, Long, 2025-10-01 (Price: 33.8)",Daily,No Exit Yet,No Price Target,2026-01-26 (Avg),19.07%/20.35%,"-4.02%, 3.9 months","2026-02-10 (Price: 33.9900), 0.56% above",40.717 (Function Specific Target)/39.042 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/38.6266 (Backtested Max),2026-05-14 (Max),31.89/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.0%, Past 5 years, 10","-5.35, 69.32%",No Information,No Information,No Information,No Information,No Information,14.28%/3.41%/7.62%,"4.9%, 29.32%",5.2 months/1.1 month/2.7 months,15.6%,11.87%,3.73%,0.95,0.57,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets),portfolio_target_achieved,34.7,
BAND MATRIX,"TCS.NS, Long, 2022-05-22 (Price: 3293.0)",Weekly,2026-01-25 (Price: 3162.5),No Price Target,No Date Target,67.08%/80.26%,"-4.1%, 3.7 years","2026-02-10 (Price: 2984.6001), 9.37% below",5692.579 (F-Stack 2)/5276.3739 (Backtested Max),No Next Date Target,3167.45/1228.9625/3006.8346/2637.2425/No F-Track Level/No F-Track Level/3217.51,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,60.23%/7.63%/25.48%,"-0.0%, 23.27%",2.1 years/5.1 months/1 year,11.64%,8.39%,3.25%,0.89,0.46,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets),portfolio_target_achieved,3415.0,
BAND MATRIX,"BTI, Long, 2025-09-24 (Price: 52.38)",Daily,No Exit Yet,60.3994 (Avg % Gain of Historic Winning trades),No Date Target,25.84%/36.27%,"15.2%, 4.2 months","2026-02-10 (Price: 60.1900), 14.91% above",82.226 (F-Stack 1)/92.0468 (F-Stack 2)/75.93 (Backtested Max),2026-08-28 (Max)/2026-03-29 (Avg),46.69/28.5067/49.3734/41.6622/No F-Track Level/No F-Track Level/51.97,"87.5%, Past 5 years, 8",No Information,No Information,No Information,No Information,No Information,No Information,44.96%/1.83%/15.31%,"6.64%, 12.43%",7.8 months/1.2 month/4.3 months,22.59%,5.81%,16.78%,0.7,0.3,82.61%/69/0 days (Across ALL Assets),75.98%/254/0 days (Across ALL Assets),portfolio_target_achieved,52.64,
