Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price
DELTADRIFT,"ARM, Long, 2025-12-24 (Price: 111.55)",2026-01-05 (Price: 116.11) (Today),"4.09%, 12 days","83.33%, Past 2 years, 6","Daily, was CONFIRMED on 2025-12-24",Already confirmed,"2026-01-29 (Price: 108.4300), 2.80% below",12 days,No Information,No Information,No Information,No Information,No Information,No Information,13.24%/7.69%/10.84%,"19.77%, 19.77%",1.2 month/5 days/15 days,2026-02-14/2025-12-31/2026-01-14,17.56%,26.25%,-8.69%,0.29,1.04,114.1937/123.642/118.92/184.93/209.6611/292.8214/137.41,96.83/No Horizontal Support/102.2246/89.5435/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,112.09
DELTADRIFT,"BTC-USD, Long, 2025-11-19 (Price: 91465.9922)",2026-01-05 (Price: 94108.4297) (Today),"2.89%, 1.6 month","83.33%, Past 4 years, 12","Daily, was CONFIRMED on 2025-11-19",Already confirmed,"2026-01-29 (Price: 84561.9766), 7.55% below",1.6 month,No Information,No Information,No Information,No Information,No Information,No Information,11.7%/3.07%/6.18%,"15.01%, 18.23%",20 days/2 days/6 days,2025-12-17/2025-11-21/2025-11-27,11.57%,11.17%,0.4%,0.31,0.4,94777.0611/97118.5905/95947.83/124582.2656/122105.3521/133759.1807/106650.48,76271.95/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,92946.1641
OSCILLATOR DELTA,"IBIT, Long, 2025-11-24 (Price: 50.57)",2026-01-05 (Price: 53.46) (Today),"5.71%, 1.4 month","83.33%, Past 1 years, 6","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2026-01-29 (Price: 47.6000), 5.87% below",1.4 month,No Information,No Information,No Information,No Information,No Information,No Information,8.18%/7.68%/7.94%,"13.32%, 14.42%",1.3 month/15 days/29 days,2026-01-19/2025-12-15/2026-01-05,22.32%,27.39%,-5.07%,0.36,1.11,52.6687/54.5853/53.1/70.855/74.3812/88.2877/58.83,No Recent Minima/41.99/45.1961/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.14%/59/1.9 month (Across ALL Assets),66.67%/264/2.6 months (Across ALL Assets),exit,48.725
FRACTAL TRACK,"IBKR, Long, 2025-12-19 (Price: 64.26)",2026-01-05 (Price: 71.57) (Today),"11.38%, 17 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-19",Already confirmed,"2026-01-29 (Price: 75.6600), 17.74% above",17 days,No Information,No Information,No Information,"23.66% (Price: 62.1287), 15.2% above, Upmove Bounce Back","2024-08-05 (Price: 25.9225), 2025-10-10 (Price: 73.35)",No Information,16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-07-15/2026-01-28/2026-04-28,35.27%,24.2%,11.07%,1.68,1.19,69.4458/72.209/92.72/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,62.45/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/58.68,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,63.25
FRACTAL TRACK,"IBKR, Long, 2025-11-25 (Price: 63.17)",2026-01-05 (Price: 71.57) (Today),"13.3%, 1.4 month","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2026-01-29 (Price: 75.6600), 19.77% above",1.4 month,No Information,No Information,No Information,"23.66% (Price: 58.0979), 23.19% above, Upmove Bounce Back","2024-08-05 (Price: 25.9225), 2025-08-12 (Price: 68.07)",No Information,16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-06-21/2026-01-04/2026-04-04,35.27%,24.2%,11.07%,1.68,1.19,68.2678/70.9841/88.46/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,61.05/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/58.68,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,62.2633
OSCILLATOR DELTA,"IBKR, Long, 2025-11-26 (Price: 64.19)",2026-01-05 (Price: 71.57) (Today),"11.5%, 1.3 month","73.68%, Past 6 years, 19","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2026-01-29 (Price: 75.6600), 17.87% above",1.3 month,No Information,No Information,No Information,No Information,No Information,No Information,17.02%/5.19%/9.62%,"11.21%, 13.86%",2.1 months/4 days/25 days,2026-02-25/2025-12-01/2026-01-01,15.03%,21.69%,-6.66%,0.38,1.02,70.5705/70.3651/67.4/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,No Recent Minima/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/58.68,88.14%/59/1.9 month (Across ALL Assets),66.67%/264/2.6 months (Across ALL Assets),exit,63.8314
BASELINEDIVERGENCE,"^GSPC, Long, 2025-10-19 (Price: 6664.0098)",2026-01-05 (Price: 6902.0498) (Today),"3.57%, 2.6 months","88.46%, Past 10 years, 52","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2026-01-29 (Price: 6969.0098), 4.58% above",2.6 months,No Information,"^DJI, Normal Case",No Information,No Information,No Information,No Information,21.88%/0.79%/8.32%,"14.2%, 31.81%",9.8 months/2.1 months/4.3 months,2026-12-18/2026-01-18/2026-04-23,23.94%,9.23%,14.71%,0.85,0.57,7287.7611/7218.4554/6767.7249/No Horizontal Resistance/6767.7249/9765.5661/No EMA 200 Target,5074.08/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6298.8,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,6622.5298
TRENDPULSE,"AIA.NZ, Long, 2025-09-21 (Price: 7.85)",2025-11-11 (Price: 8.01) (Today),"2.04%, 36 days","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2026-01-30 (Price: 8.1500), 3.82% above",36 days,No Information,No Information,No Information,No Information,No Information,2.82% above/2.04% above/2.04% above,14.03%/0.47%/6.37%,,159 days/19 days/56 days,2026-05-09/2025-10-18/2025-12-11,26.78%,8.49%,18.29%,1.22,0.31,8.2755/8.35/8.37/8.8962/11.1706/12.8535,7.47/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets),exit,7.6516
TRENDPULSE,"BYD.TO, Long, 2025-02-02 (Price: 238.35)",2025-12-29 (Price: 222.52) (Today),"-6.64%, 11 months","100.0%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-01-31",Already confirmed,"2026-01-29 (Price: 219.1400), 8.06% below",11 months,No Information,No Information,No Information,No Information,No Information,0.45% above/6.64% below/6.64% below,13.87%/2.81%/7.23%,"-0.0%, 50.63%",7.2 months/28 days/4.3 months,2025-12-11/2025-03-14/2025-08-07,12.02%,17.33%,-5.31%,1.5,0.91,257.2035/255.5827/240.71/255.83/367.2583/388.6839/No EMA 200 Target,208.54/187.425/229.0045/147.1212/No F-Track Level/No F-Track Level/230.01,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,233.9996
TRENDPULSE,"FBU.NZ, Long, 2025-11-16 (Price: 3.45)",2025-12-29 (Price: 3.65) (Today),"5.8%, 1.4 month","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2026-01-30 (Price: 3.7600), 8.99% above",1.4 month,No Information,No Information,No Information,No Information,No Information,4.58% above/5.8% above/5.8% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2027-06-12/2026-04-17/2027-01-24,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.3399/3.6173/3.82/7.985/12.7156/14.3053/No EMA 200 Target,2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.17,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,3.41
TRENDPULSE,"FBU.NZ, Long, 2025-10-05 (Price: 3.48)",2025-12-29 (Price: 3.65) (Today),"4.89%, 2.8 months","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2026-01-30 (Price: 3.7600), 8.05% above",2.8 months,No Information,No Information,No Information,No Information,No Information,16.24% above/4.89% above/4.89% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2027-05-01/2026-03-06/2026-12-13,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.369/3.6488/6.08/7.985/12.7156/14.3053/No EMA 200 Target,2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.11,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,3.2
TRENDPULSE,"FBU.NZ, Long, 2025-03-02 (Price: 3.39)",2025-12-29 (Price: 3.65) (Today),"7.67%, 10.1 months","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-01-30 (Price: 3.7600), 10.91% above",10.1 months,No Information,No Information,No Information,No Information,No Information,9.28% above/7.67% above/7.67% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2026-09-26/2025-08-01/2026-05-10,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.2819/3.5544/4.01/7.985/12.7156/14.3053/No EMA 200 Target,2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,3.31
TRENDPULSE,"FBU.NZ, Long, 2025-02-23 (Price: 3.34)",2025-12-29 (Price: 3.65) (Today),"9.28%, 10.3 months","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-02-21",Already confirmed,"2026-01-30 (Price: 3.7600), 12.57% above",10.3 months,No Information,No Information,No Information,No Information,No Information,14.78% above/9.28% above/9.28% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2026-09-19/2025-07-25/2026-05-03,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.2335/3.502/3.48/7.985/12.7156/14.3053/No EMA 200 Target,2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.03,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,3.16
TRENDPULSE,"MSE.PA, Long, 2025-10-26 (Price: 63.0002)",2025-12-29 (Price: 64.15) (Today),"1.83%, 2.1 months","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-01-29 (Price: 65.7300), 4.33% above",2.1 months,No Information,No Information,No Information,No Information,No Information,2.99% above/1.86% above/1.83% above,10.47%/2.5%/6.07%,"-0.0%, 33.38%",1.4 year/1.2 month/6.9 months,2027-10-24/2025-12-17/2026-08-21,7.99%,3.79%,4.2%,2.07,0.15,66.4274/66.8243/65.75/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,57.29/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/58.9,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,62.76
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",2025-12-09 (Price: 178.26) (Today),"-19.77%, 1 day (business days)","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2026-01-29 (Price: 151.9500), 31.61% below",1 day (business days),No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.44%/5.83%,"0%, 11.31%",1.0 year (calendar days)/9 days (calendar days)/3.2 months (calendar days),2027-04-06/2025-11-01/2026-03-08,6.48%,10.95%,-4.47%,3.36,0.47,243.3538/235.1331/239.24/240.8933/293.2329/316.3836/242.34,212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,96.88%/32/2 days (business days) (Across ALL Assets),88.57%/105/2 days (business days) (Across ALL Assets),exit,212.7032
TRENDPULSE,"TRI.TO, Short, 2025-12-07 (Price: 184.66)",2025-12-29 (Price: 182.48) (Today),"1.18%, 22 days","88.24%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2026-01-29 (Price: 151.9500), 17.71% below",22 days,No Information,No Information,No Information,No Information,No Information,1.18% below/2.23% below/1.18% below,16.0%/1.62%/4.88%,"15.2%, 17.31%",5.8 months/1.6 month/2.7 months,2026-08-16/2026-02-14/2026-04-03,0.57%,5.4%,-4.83%,0.32,0.43,179.1941/175.6486/135.75/116.89/131.2534/93.0152/No EMA 200 Target,No support/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No support,No Data (Across ALL Assets),25.0%/8/0 days (Across ALL Assets),exit,187.17
TRENDPULSE,"UPS, Long, 2025-11-23 (Price: 94.66)",2025-12-29 (Price: 99.68) (Today),"5.3%, 1.2 month","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2026-01-29 (Price: 105.9900), 11.97% above",1.2 month,No Information,No Information,No Information,No Information,No Information,5.3% above/5.3% above/5.3% above,11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-01-22/2026-01-02/2026-05-18,6.24%,1.27%,4.97%,0.28,0.02,91.8959/101.9488/138.96/221.2667/228.7501/295.6013/97.5,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,92.6101
TRENDPULSE,"ETH-USD, Long, 2025-12-27 (Price: 2947.9983)",2026-01-03 (Price: 3125.9175),"6.04%, 7 days","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2025-12-27",Already confirmed,"2026-01-29 (Price: 2818.4119), 4.40% below",9 days,No Information,No Information,No Information,No Information,No Information,10.68% above/9.84% above/9.84% above,39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,2026-05-06/2026-01-03/2026-01-29,60.18%,45.2%,14.98%,0.97,1.15,3593.3151/3342.1457/3872.72/4922.7188/4887.278/5344.0381/3585.05,2827.07/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,2925.7451
DELTADRIFT,"KWEB, Long, 2025-12-30 (Price: 34.39)",2026-01-02 (Price: 35.63) (Today),"3.61%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2025-12-30",Already confirmed,"2026-01-29 (Price: 36.2900), 5.52% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,19.05%/4.1%/7.08%,"18.75%, 18.75%",1.6 month/2 days/14 days,2026-03-09/2026-01-01/2026-01-19,3.5%,-1.91%,5.41%,0.03,0.1,35.4974/36.8248/36.16/54.865/112.1402/127.8094/36.37,33.63/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,34.705
TRENDPULSE,"AAPL, Long, 2024-07-31 (Price: 222.08)",2025-12-01 (Price: 283.1) (Today),"27.48%, 1.4 year","100.0%, Past 20 years, 28","Monthly, is CONFIRMED on 2024-07-31",Already confirmed,"2026-01-29 (Price: 258.2800), 16.30% above",1.4 year,No Information,No Information,No Information,No Information,No Information,34.41% above/27.48% above/27.48% above,98.28%/8.74%/39.88%,,1.8 year/2.9 months/5.7 months,2027-02-28/2024-12-04/2025-04-03,19.97%,30.68%,-10.71%,1.22,1.01,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,210.6592
TRENDPULSE,"ATM.NZ, Long, 2025-02-28 (Price: 8.84)",2025-12-01 (Price: 10.65) (Today),"20.48%, 9.2 months","100.0%, Past 20 years, 12","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-01-30 (Price: 9.8300), 11.20% above",9.2 months,No Information,No Information,No Information,No Information,No Information,65.37% above/20.48% above/20.48% above,131.71%/45.45%/77.13%,,1.6 year/5.8 months/1.1 year,2027-06-26/2025-11-07/2026-09-20,27.09%,19.2%,7.89%,1.97,0.6,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,6.2386
TRENDPULSE,"BAC, Long, 2025-07-31 (Price: 47.27)",2025-12-01 (Price: 53.24) (Today),"12.63%, 4.1 months","75.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-01-29 (Price: 53.0800), 12.29% above",4.1 months,No Information,No Information,No Information,No Information,No Information,20.64% above/11.01% above/12.63% above,30.69%/9.64%/20.1%,,1.1 year/2.9 months/6.9 months,2027-03-19/2025-12-05/2026-05-25,4.84%,3.94%,0.9%,0.33,0.19,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,46.5182
TRENDPULSE,"BAC, Long, 2025-02-28 (Price: 46.1)",2025-12-01 (Price: 53.24) (Today),"15.49%, 9.2 months","75.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2026-01-29 (Price: 53.0800), 15.14% above",9.2 months,No Information,No Information,No Information,No Information,No Information,21.14% above/15.49% above/15.49% above,30.69%/9.64%/20.1%,,1.1 year/2.9 months/6.9 months,2026-10-17/2025-07-05/2025-12-23,4.84%,3.94%,0.9%,0.33,0.19,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,44.3919
TRENDPULSE,"BDGI.TO, Long, 2025-07-31 (Price: 52.29)",2025-12-01 (Price: 72.92) (Today),"39.45%, 4.1 months","89.66%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-01-29 (Price: 78.3500), 49.84% above",4.1 months,No Information,No Information,No Information,No Information,No Information,63.46% above/49.98% above/39.45% above,159.21%/3.87%/50.82%,,1.1 year/3.5 months/6.0 months,2027-03-21/2025-12-31/2026-04-16,17.99%,19.81%,-1.82%,0.67,0.65,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,47.3991
FRACTAL TRACK,"BPCL.NS, Long, 2025-05-31 (Price: 318.4)",2025-12-31 (Price: 384.0) (Today),"20.6%, 7.1 months","100.0%, Past 30 years, 4","Monthly, was CONFIRMED on 2025-05-31",Already confirmed,"2026-01-30 (Price: 365.9000), 14.92% above",7.1 months,No Information,No Information,No Information,"61.8% (Price: 232.6394), 65.06% above, Upmove Bounce Back","2022-10-31 (Price: 144.025), 2024-09-30 (Price: 376.0)",No Information,30.51%/20.62%/27.17%,"-0.0%, 29.42%",1.8 year/3 months/1.1 year,2027-12-25/2025-10-08/2026-12-25,9.39%,8.87%,0.52%,1.53,0.44,327.2834/404.9093/457.58/343.7375/372.4081/393.108/328.3,237.3/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,299.2245
TRENDPULSE,"CNU.NZ, Long, 2024-09-30 (Price: 8.72)",2025-12-01 (Price: 9.08) (Today),"4.13%, 1.2 year","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-01-30 (Price: 9.4500), 8.37% above",1.2 year,No Information,No Information,No Information,No Information,No Information,6.32% above/4.13% above/4.13% above,26.44%/7.23%/20.04%,,11.6 months/3.6 months/7.0 months,2026-02-17/2025-03-06/2025-08-01,20.51%,7.62%,12.9%,1.86,0.27,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,7.6965
TRENDPULSE,"EEM, Long, 2025-07-31 (Price: 48.56)",2025-12-01 (Price: 54.28) (Today),"11.78%, 4.1 months","80.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-01-29 (Price: 60.4400), 24.46% above",4.1 months,No Information,No Information,No Information,No Information,No Information,19.24% above/11.78% above/11.78% above,23.15%/1.8%/12.25%,,1.1 year/2.9 months/6.2 months,2027-03-22/2025-12-04/2026-04-26,4.02%,6.97%,-2.95%,0.38,0.24,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,47.6678
TRENDPULSE,"GILD, Long, 2022-12-31 (Price: 85.85)",2025-11-12 (Price: 123.4) (Today),"43.74%, 747 days","100.0%, Past 33 years, 10","Quarterly, is CONFIRMED on 2022-12-31",Already confirmed,"2026-01-29 (Price: 139.5500), 62.55% above",747 days,No Information,No Information,No Information,No Information,No Information,100.03% above/43.74% above/43.74% above,74.14%/5.29%/44.68%,,913 days/327 days/509 days,2026-08-14/2024-04-17/2025-01-06,12.82%,17.18%,-4.36%,1.5,0.52,96.8989/124.2078/90.9/No Horizontal Resistance/123.4541/140.4376,58.26/56.99/75.3922/65.1312/No F-Track Level/No F-Track Level,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets),exit,55.6889
FRACTAL TRACK,"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-01 (Price: 80.47) (Today),"-0.22%, 5.1 months","90.91%, Past 18 years, 11","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 81.0300), 0.47% above",5.1 months,No Information,No Information,No Information,"38.2% (Price: 76.5615), 5.11% above, Upmove Bounce Back","2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",No Information,2.15%/2.15%/2.15%,,1.2 year/1.2 year/1.2 year,2027-03-20/2027-03-20/2027-03-20,-0.69%,-1.4%,0.72%,-0.15,-0.53,,,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),exit,76.1495
TRENDPULSE,"IEI, Long, 2024-08-31 (Price: 118.72)",2025-12-01 (Price: 119.56) (Today),"0.71%, 1.3 year","91.67%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-08-31",Already confirmed,"2026-01-29 (Price: 119.2700), 0.46% above",1.3 year,No Information,No Information,No Information,No Information,No Information,1.61% above/0.71% above/0.71% above,2.72%/1.13%/1.87%,,1.1 year/3.6 months/7.6 months,2026-03-20/2025-02-04/2025-07-27,0.4%,0.95%,-0.55%,0.05,-0.88,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,111.6349
FRACTAL TRACK,"KWEB, Short, 2025-11-30 (Price: 37.57)",2025-12-17 (Price: 35.85) (Today),"4.58%, 17 days","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-01-29 (Price: 36.2900), 3.41% below",17 days,No Information,No Information,No Information,"23.66% (Price: 37.1791), 3.57% below, Upmove Break Below","2022-10-31 (Price: 17.22), 2025-10-31 (Price: 43.365)",No Information,10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-04-13/2026-01-12/2026-02-07,5.83%,5.4%,0.43%,0.25,0.12,34.3991/34.8913/21.88/24.5062/No F-Stack Support/No F-Stack Support/36.45,No support/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets),exit,37.7313
TRENDPULSE,"MSE.PA, Long, 2025-01-31 (Price: 57.37)",2025-12-01 (Price: 63.15) (Today),"10.07%, 10.1 months","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-01-31",Already confirmed,"2026-01-29 (Price: 65.7300), 14.57% above",10.1 months,No Information,No Information,No Information,No Information,No Information,18.41% above/16.79% above/10.07% above,14.35%/2.24%/8.34%,,2.5 years/3.6 months/1.3 year,2028-08-16/2025-07-04/2026-12-24,5.98%,2.81%,3.17%,0.92,-0.0,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,53.33
TRENDPULSE,"PFE, Short, 2024-03-31 (Price: 27.75)",2025-11-12 (Price: 25.87) (Today),"6.77%, 422 days","100.0%, Past 48 years, 7","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-01-29 (Price: 26.1000), 5.95% below",422 days,No Information,No Information,No Information,No Information,No Information,10.14% below/6.77% below/6.77% below,28.35%/4.94%/10.06%,,718 days/326 days/406 days,2027-02-03/2025-07-16/2025-11-09,6.98%,5.5%,1.48%,0.85,0.21,26.4485/24.9583/18.85/26.1058/21.508/20.5265,59.05/26.1058/21.508/20.5265/No F-Track Level/No F-Track Level,100.0%/1/415 days (Across ALL Assets),No Data (Across ALL Assets),exit,24.9618
TRENDPULSE,"SFTBY, Long, 2025-07-31 (Price: 38.15)",2025-12-01 (Price: 52.98) (Today),"38.87%, 4.1 months","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-01-29 (Price: 14.2500), 62.65% below",4.1 months,No Information,No Information,No Information,No Information,No Information,45.43% above/41.28% above/38.87% above,195.86%/14.0%/54.91%,,1.2 year/8.7 months/1.1 year,2027-04-20/2026-08-11/2027-02-23,16.52%,15.45%,1.07%,0.27,0.51,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,9.2025
TRENDPULSE,"^BVSP, Long, 2023-12-31 (Price: 134185.0)",2025-12-01 (Price: 158611.0156) (Today),"18.2%, 1.9 year","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2023-12-31",Already confirmed,"2026-01-29 (Price: 183133.7500), 36.48% above",1.9 year,No Information,No Information,No Information,No Information,No Information,24.57% above/18.2% above/18.2% above,65.67%/2.63%/24.36%,,2.4 years/5.1 months/1.0 year,2027-05-09/2024-08-07/2025-06-20,8.58%,9.96%,-1.38%,0.5,0.37,,,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),exit,127331.0
